Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 9243 - Vote By Mail	33	27	25	76	60	8	594	307	0	5	73	229	0
Precinct 9244 - Election Day	41	23	27	43	41	7	903	255	0	0	73	182	0
Precinct 9244 - Vote By Mail	58	36	30	119	84	9	903	485	0	2	147	336	0
Precinct 9245 - Election Day	33	15	24	42	28	3	742	209	0	3	60	146	1
Precinct 9245 - Vote By Mail	38	25	53	65	75	7	742	375	0	3	109	263	0
Precinct 9246 - Election Day	29	20	16	52	38	9	929	257	0	3	88	166	2
Precinct 9246 - Vote By Mail	74	43	49	110	78	13	929	528	0	5	156	367	0
Precinct 9247 - Election Day	32	31	22	44	38	8	927	264	0	4	82	178	3
Precinct 9247 - Vote By Mail	71	50	48	120	100	8	927	515	0	5	113	397	0
Precinct 9248 - Election Day	37	28	22	54	32	6	907	258	0	2	76	180	1
Precinct 9248 - Vote By Mail	59	33	57	116	88	3	907	487	0	2	128	357	1
Precinct 9249 - Election Day	28	22	31	62	45	4	917	271	0	4	74	193	1
Precinct 9249 - Vote By Mail	60	46	54	106	98	5	917	495	0	5	121	369	0
Precinct 9251 - Election Day	35	27	30	49	55	7	995	287	0	2	82	203	0
Precinct 9251 - Vote By Mail	50	51	64	120	80	8	995	530	0	4	151	375	2
Precinct 9252 - Election Day	30	28	29	35	34	7	944	219	0	2	54	163	0
Precinct 9252 - Vote By Mail	73	57	45	132	96	10	944	550	0	4	132	414	1
Precinct 9253 - Election Day	23	29	19	33	23	3	772	187	0	1	56	130	0
Precinct 9253 - Vote By Mail	54	49	30	87	70	7	772	397	0	8	90	299	2
Precinct 9255 - Election Day	18	21	14	50	27	5	553	183	0	2	46	135	0
Precinct 9255 - Vote By Mail	31	25	24	79	31	8	553	263	0	3	62	198	0
Precinct 9258 - Election Day	57	11	15	42	22	6	712	193	0	1	38	154	1
Precinct 9258 - Vote By Mail	97	23	30	101	45	11	712	373	0	2	64	307	0
Precinct 9401 - Election Day	27	26	30	94	28	15	1,012	293	0	3	69	221	1
Precinct 9401 - Vote By Mail	46	38	59	189	45	20	1,012	484	0	3	83	398	1
Precinct 9402 - Election Day	33	20	26	90	28	16	977	290	0	5	72	213	0
Precinct 9402 - Vote By Mail	45	35	49	166	54	16	977	458	0	1	92	365	0
Precinct 9403 - Election Day	21	20	18	80	23	11	897	240	0	3	64	173	0
Precinct 9403 - Vote By Mail	71	42	42	119	40	15	897	419	0	8	82	329	0
Precinct 9404 - Election Day	23	22	17	56	11	8	930	200	0	1	62	137	0
Precinct 9404 - Vote By Mail	98	53	36	132	44	14	930	462	0	6	77	379	2
Precinct 9405 - Election Day	36	26	15	50	30	4	786	210	0	0	47	163	2
Precinct 9405 - Vote By Mail	63	37	30	83	36	22	786	364	0	4	83	277	6
Precinct 9406 - Election Day	44	27	17	66	24	12	868	244	0	3	51	190	0
Precinct 9406 - Vote By Mail	59	38	41	130	41	12	868	421	0	3	96	322	1
Precinct 9407 - Election Day	36	22	12	92	33	13	889	253	0	2	43	208	0
Precinct 9407 - Vote By Mail	60	36	29	154	45	9	889	409	0	2	73	334	1
Precinct 9408 - Election Day	24	31	14	110	15	10	886	265	0	2	58	205	1
Precinct 9408 - Vote By Mail	50	34	29	170	46	13	886	415	0	3	69	343	1
Precinct 9411 - Election Day	27	34	18	92	16	9	956	271	0	3	72	196	0
Precinct 9411 - Vote By Mail	29	57	34	148	60	16	956	431	0	1	85	345	1
Precinct 9412 - Election Day	23	15	18	82	27	8	848	245	0	2	69	174	1
Precinct 9412 - Vote By Mail	51	24	36	128	33	11	848	380	0	2	95	283	0
Precinct 9413 - Election Day	30	18	20	66	32	7	894	229	0	1	54	174	1
Precinct 9413 - Vote By Mail	59	44	44	140	45	15	894	461	0	4	109	348	1
Precinct 9414 - Election Day	29	27	22	57	20	7	916	216	0	2	52	162	0
Precinct 9414 - Vote By Mail	69	48	37	152	53	11	916	463	0	4	89	370	0
Precinct 9415 - Election Day	24	20	19	46	17	7	784	187	0	4	50	133	0
Precinct 9415 - Vote By Mail	63	40	28	114	51	6	784	392	0	2	88	302	0
Precinct 9416 - Election Day	25	24	19	96	40	8	1,008	282	1	2	67	212	0
Precinct 9416 - Vote By Mail	70	39	47	134	66	11	1,008	480	1	4	107	368	1
Precinct 9417 - Election Day	22	14	16	52	26	5	752	175	0	1	39	135	0
Precinct 9417 - Vote By Mail	52	47	36	106	57	6	752	402	0	2	95	305	1
Precinct 9418 - Election Day	32	19	15	65	20	10	790	211	0	2	48	161	0
Precinct 9418 - Vote By Mail	63	50	31	66	58	12	790	376	0	5	91	280	0
Precinct 9419 - Election Day	53	19	19	42	26	10	924	222	0	5	48	169	0
Precinct 9419 - Vote By Mail	66	51	32	126	52	11	924	468	0	2	126	340	2
Precinct 9421 - Election Day	32	23	11	61	36	8	906	238	0	2	64	172	1
Precinct 9421 - Vote By Mail	85	39	24	134	48	8	906	446	0	4	103	339	1
Precinct 9422 - Election Day	35	29	28	84	30	8	1,056	283	0	2	65	216	2
Precinct 9422 - Vote By Mail	74	56	54	145	54	14	1,056	513	0	3	112	398	1
Precinct 9423 - Election Day	23	20	17	56	27	9	889	219	0	4	63	152	0
Precinct 9423 - Vote By Mail	49	51	46	137	33	20	889	440	0	3	101	336	0
Precinct 9424 - Election Day	37	23	12	61	19	13	952	224	0	3	56	165	0
Precinct 9424 - Vote By Mail	96	56	34	145	59	6	952	496	0	4	95	397	1
Precinct 9425 - Election Day	22	18	18	55	12	11	933	199	0	2	61	136	0
Precinct 9425 - Vote By Mail	97	53	31	131	36	11	933	465	0	5	101	359	0
Precinct 9426 - Election Day	40	14	14	60	9	5	823	198	0	4	52	142	0
Precinct 9426 - Vote By Mail	83	29	23	123	45	9	823	408	0	5	90	313	1
Precinct 9427 - Election Day	31	17	18	47	24	6	948	210	0	3	64	143	0
Precinct 9427 - Vote By Mail	98	38	35	115	35	12	948	447	0	3	106	338	5
Precinct 9428 - Election Day	21	24	9	44	14	6	961	183	0	1	62	120	2
Precinct 9428 - Vote By Mail	109	46	31	162	47	9	961	518	0	4	110	404	0
Precinct 9429 - Election Day	32	22	21	64	18	11	899	228	1	2	56	169	1
Precinct 9429 - Vote By Mail	79	50	28	129	45	9	899	432	0	6	85	341	1
Precinct 9431 - Election Day	34	35	17	60	30	8	973	235	0	0	51	184	0
Precinct 9431 - Vote By Mail	89	47	36	125	53	11	973	464	0	7	96	361	0
Precinct 9432 - Election Day	21	25	14	58	22	9	945	214	0	1	64	149	0
Precinct 9432 - Vote By Mail	74	38	41	146	45	11	945	468	0	7	105	356	1
Precinct 9433 - Election Day	33	23	13	58	14	7	945	195	0	1	46	148	0
Precinct 9433 - Vote By Mail	93	29	42	120	63	10	945	487	0	4	125	358	1
Precinct 9434 - Election Day	36	27	15	75	29	14	979	261	0	3	62	196	0
Precinct 9434 - Vote By Mail	77	46	61	124	59	12	979	481	1	3	97	380	1
Precinct 9435 - Election Day	29	26	17	73	29	9	969	251	0	0	68	183	0
Precinct 9435 - Vote By Mail	87	36	34	121	60	7	969	448	0	4	97	347	2
Precinct 9436 - Election Day	35	23	18	55	32	5	1,006	232	0	0	63	169	1
Precinct 9436 - Vote By Mail	72	36	50	153	66	11	1,006	495	0	8	97	390	2
Precinct 9437 - Election Day	34	18	24	50	34	6	897	219	0	2	51	166	0
Precinct 9437 - Vote By Mail	93	36	39	118	41	11	897	435	0	2	93	340	2
Precinct 9438 - Election Day	25	16	18	49	24	11	948	202	0	1	57	144	1
Precinct 9438 - Vote By Mail	111	68	39	125	49	7	948	496	0	2	95	399	0
Precinct 9439 - Election Day	21	23	13	45	17	6	879	173	0	0	48	125	0
Precinct 9439 - Vote By Mail	72	40	42	107	49	12	879	425	0	3	100	322	0
Precinct 9441 - Election Day	39	22	28	71	25	18	980	261	0	1	57	203	0
Precinct 9441 - Vote By Mail	83	34	38	134	68	11	980	462	0	7	86	369	1
Precinct 9442 - Election Day	41	35	19	70	35	15	1,008	280	0	3	62	215	0
Precinct 9442 - Vote By Mail	83	42	47	138	48	11	1,008	461	0	0	92	369	0
Precinct 9443 - Election Day	30	15	25	56	25	12	937	220	1	3	52	164	1
Precinct 9443 - Vote By Mail	83	41	40	129	46	19	937	442	0	8	75	359	1
Precinct 9444 - Election Day	31	26	10	44	15	7	937	190	1	1	55	133	0
Precinct 9444 - Vote By Mail	107	37	30	113	52	8	937	442	0	2	91	349	2
Precinct 9445 - Election Day	29	37	17	64	24	3	981	230	0	2	52	176	2
Precinct 9445 - Vote By Mail	91	49	52	131	48	15	981	493	0	7	99	387	1
Precinct 9446 - Election Day	33	27	21	70	27	0	1,090	240	0	1	60	179	1
Precinct 9446 - Vote By Mail	109	62	43	139	72	21	1,090	564	0	7	111	446	0
Precinct 9447 - Election Day	30	25	14	78	32	6	906	236	0	0	51	185	0
Precinct 9447 - Vote By Mail	66	46	39	125	53	7	906	448	0	8	100	340	4
Precinct 9448 - Election Day	30	21	14	78	24	16	909	232	0	2	47	183	0
Precinct 9448 - Vote By Mail	81	28	31	121	51	11	909	429	0	7	97	325	2
Precinct 9449 - Election Day	21	20	17	45	13	7	830	177	2	3	49	123	0
Precinct 9449 - Vote By Mail	106	46	22	112	39	8	830	428	0	5	90	333	0
Precinct 9451 - Election Day	15	10	12	16	13	4	420	97	0	3	24	70	0
Precinct 9451 - Vote By Mail	39	25	20	52	17	2	420	218	0	3	60	155	0
Precinct 9452 - Election Day	38	31	22	56	29	14	840	259	0	1	68	190	0
Precinct 9452 - Vote By Mail	88	33	24	111	41	13	840	412	0	2	99	311	1
Precinct 9453 - Election Day	21	14	16	25	17	7	500	135	0	0	35	100	0
Precinct 9453 - Vote By Mail	32	26	19	60	32	6	500	244	0	2	67	175	0
Precinct 9502 MB - Vote By Mail	24	15	19	45	28	5	245	177	0	1	40	136	0
Precinct 9703 - Election Day	35	23	20	56	26	9	986	232	0	0	63	169	0
Precinct 9703 - Vote By Mail	59	38	53	166	75	12	986	530	0	4	122	404	1
Precinct 9704 - Election Day	29	30	19	89	37	5	950	279	0	0	70	209	0
Precinct 9704 - Vote By Mail	71	38	31	162	61	10	950	505	0	4	128	373	0
Precinct 9705 - Election Day	19	27	35	73	33	6	919	261	3	0	65	193	0
Precinct 9705 - Vote By Mail	39	43	40	157	76	11	919	483	0	3	113	367	1
Precinct 9707 - Election Day	24	13	8	36	26	6	821	173	0	0	60	113	0
Precinct 9707 - Vote By Mail	77	49	44	119	72	7	821	491	0	5	116	370	2
Precinct 9708 - Election Day	28	22	22	69	28	11	948	250	0	2	67	181	1
Precinct 9708 - Vote By Mail	51	32	49	149	81	7	948	500	0	6	125	369	0
Precinct 9709 - Election Day	39	29	24	54	38	12	1,028	281	7	3	75	196	0
Precinct 9709 - Vote By Mail	68	64	40	139	65	11	1,028	517	0	7	123	387	0
Precinct 9711 - Election Day	23	22	17	43	36	5	641	195	0	4	45	146	0
Precinct 9711 - Vote By Mail	52	29	33	86	59	3	641	336	0	2	72	262	0
Precinct 9712 - Election Day	21	17	10	36	35	4	649	160	0	1	36	123	0
Precinct 9712 - Vote By Mail	65	35	31	76	72	13	649	398	1	4	100	293	1
Precinct 9713 - Election Day	46	17	17	56	21	8	960	225	1	2	56	166	1
Precinct 9713 - Vote By Mail	86	46	30	127	64	4	960	489	0	7	125	357	0
Precinct 9714 - Election Day	30	29	18	31	33	8	931	208	1	2	55	150	1
Precinct 9714 - Vote By Mail	71	60	44	110	100	12	931	538	0	4	136	398	1
Precinct 9715 - Election Day	29	9	17	23	49	3	569	180	0	1	48	131	1
Precinct 9715 - Vote By Mail	52	23	26	51	67	3	569	309	0	2	85	222	0
Precinct 9716 - Election Day	31	24	16	61	42	8	947	239	0	0	57	182	0
Precinct 9716 - Vote By Mail	77	54	40	118	69	8	947	481	0	2	111	368	2
Precinct 9717 - Election Day	33	37	18	62	47	5	972	265	0	1	61	203	1
Precinct 9717 - Vote By Mail	62	54	53	155	73	8	972	532	0	9	118	405	0
Precinct 9718 - Election Day	34	16	23	49	46	6	862	227	0	1	51	175	1
Precinct 9718 - Vote By Mail	59	46	55	113	104	11	862	496	0	6	102	388	0
Precinct 9719 - Election Day	37	13	12	39	69	10	901	245	0	2	62	181	1
Precinct 9719 - Vote By Mail	66	49	39	97	115	11	901	524	2	10	134	378	1
Precinct 9721 - Election Day	22	17	25	34	45	10	662	198	0	1	43	154	1
Precinct 9721 - Vote By Mail	37	44	33	65	75	6	662	357	0	2	93	262	2
Precinct 9722 - Election Day	19	12	16	20	18	3	605	119	1	1	28	89	1
Precinct 9722 - Vote By Mail	52	46	38	63	72	9	605	355	0	1	73	281	1
Precinct 9723 - Election Day	21	8	15	13	11	1	481	98	0	1	27	70	1
Precinct 9723 - Vote By Mail	51	28	17	56	35	4	481	275	0	3	81	191	0
Precinct 9724 - Election Day	44	22	14	39	24	9	991	205	0	1	52	152	0
Precinct 9724 - Vote By Mail	110	79	38	110	61	25	991	565	0	7	134	424	1
Precinct 9725 - Election Day	32	24	19	36	26	11	970	214	0	1	65	148	0
Precinct 9725 - Vote By Mail	77	60	28	112	61	16	970	499	0	4	141	354	0
Precinct 9726 - Election Day	36	34	13	69	35	25	655	263	0	2	49	212	0
Precinct 9726 - Vote By Mail	23	24	24	60	34	16	655	241	0	3	57	181	0
Precinct 9727 - Election Day	8	13	10	14	10	7	459	79	0	0	17	62	0
Precinct 9727 - Vote By Mail	64	30	25	46	37	7	459	271	0	0	62	209	0
Precinct 9728 - Election Day	45	26	28	27	33	7	926	231	0	2	63	166	0
Precinct 9728 - Vote By Mail	85	59	58	84	86	8	926	503	0	3	120	380	0
Precinct 9729 - Election Day	28	21	10	26	44	3	800	191	0	0	59	132	0
Precinct 9729 - Vote By Mail	49	51	29	63	104	8	800	442	0	2	136	304	0
Precinct 9731 - Election Day	30	20	11	26	26	5	556	167	0	3	46	118	0
Precinct 9731 - Vote By Mail	52	32	27	37	51	4	556	282	0	3	72	207	4
Precinct 9732 MB - Vote By Mail	5	4	6	13	12	5	70	56	0	1	10	45	0
Precinct 9733 MB - Vote By Mail	24	22	15	49	43	4	235	191	0	3	31	157	0
Precinct 9734 - Election Day	30	22	13	14	27	3	603	154	0	0	45	109	0
Precinct 9734 - Vote By Mail	49	46	35	56	71	7	603	341	0	6	71	264	0
Precinct 9735 - Election Day	32	13	13	27	38	9	809	206	0	1	72	133	1
Precinct 9735 - Vote By Mail	57	55	51	73	95	12	809	449	0	4	101	344	1
Precinct 9736 - Election Day	23	16	19	29	32	8	713	173	0	2	43	128	1
Precinct 9736 - Vote By Mail	43	37	43	92	92	16	713	410	0	5	81	324	1
Precinct 9737 - Election Day	25	18	15	58	28	4	818	208	0	0	60	148	0
Precinct 9737 - Vote By Mail	49	43	69	130	71	8	818	476	0	1	104	371	1
Precinct 9738 - Election Day	18	21	20	44	24	11	848	185	0	0	47	138	0
Precinct 9738 - Vote By Mail	52	52	45	76	75	18	848	404	0	5	81	318	0
Precinct 9739 - Election Day	23	31	24	68	28	12	828	220	0	0	32	188	2
Precinct 9739 - Vote By Mail	35	44	44	86	54	14	828	335	0	5	52	278	1
Precinct 9741 - Election Day	25	24	13	89	11	18	552	232	0	3	49	180	0
Precinct 9741 - Vote By Mail	10	8	6	27	24	10	552	105	0	1	19	85	0
Precinct 9742 - Election Day	35	21	19	30	23	5	677	180	4	0	43	133	0
Precinct 9742 - Vote By Mail	56	42	21	68	32	7	677	289	0	3	59	227	1
Precinct 9743 - Election Day	42	38	26	78	35	24	1,163	310	0	3	62	245	2
Precinct 9743 - Vote By Mail	64	68	47	103	89	14	1,163	501	0	7	108	386	1
Precinct 9744 - Election Day	36	34	15	65	19	21	911	247	1	2	53	191	1
Precinct 9744 - Vote By Mail	57	56	45	76	62	12	911	391	0	1	82	308	0
Precinct 9745 - Election Day	34	38	27	48	36	24	991	282	0	2	71	209	2
Precinct 9745 - Vote By Mail	37	48	51	92	52	13	991	346	0	4	47	295	2
Precinct 9746 - Election Day	46	27	24	30	38	7	884	232	0	2	58	172	0
Precinct 9746 - Vote By Mail	61	42	37	75	90	10	884	452	0	9	127	316	1
Precinct 9747 - Election Day	30	27	21	66	39	18	973	246	0	1	44	201	0
Precinct 9747 - Vote By Mail	51	27	36	143	73	24	973	470	0	2	111	357	3
Precinct 9748 - Election Day	41	33	16	55	35	11	931	229	0	4	34	191	0
Precinct 9748 - Vote By Mail	62	51	46	139	68	10	931	475	1	7	90	377	1
Precinct 9749 - Election Day	26	18	25	57	31	14	913	225	2	2	48	173	2
Precinct 9749 - Vote By Mail	79	42	33	121	25	12	913	384	0	2	69	313	1
Precinct 9751 - Election Day	25	26	22	48	49	15	1,016	253	0	1	66	186	1
Precinct 9751 - Vote By Mail	78	46	52	120	93	18	1,016	523	0	8	106	409	2
Precinct 9752 - Election Day	24	18	18	27	31	10	710	175	3	3	38	131	3
Precinct 9752 - Vote By Mail	52	38	54	72	83	10	710	392	0	6	77	309	0
Precinct 9753 - Election Day	22	12	19	51	33	6	756	186	0	0	43	143	0
Precinct 9753 - Vote By Mail	36	53	33	94	57	24	756	388	0	7	83	298	1
Precinct 9756 - Election Day	26	29	17	39	24	6	941	185	0	2	41	142	1
Precinct 9756 - Vote By Mail	110	59	39	103	59	17	941	477	0	5	82	390	3
Congressional District 12	19,205	12,564	11,347	32,020	18,425	3,529	173,681	130,812	31	1,218	32,229	97,334	244
Congressional District 14	5,320	3,963	3,341	7,977	5,234	1,541	50,054	35,574	16	392	7,691	27,475	99
Assembly District 17	4,098	2,446	2,201	5,894	4,064	872	37,971	26,349	6	265	6,451	19,627	52
Assembly District 19	20,427	14,081	12,487	34,103	19,595	4,198	185,764	140,037	41	1,345	33,469	105,182	291
BART District 8	24,525	16,527	14,688	39,997	23,659	5,070	223,735	166,386	47	1,610	39,920	124,809	343
Supervisorial District 1	4,138	3,381	3,183	9,260	4,180	895	42,612	32,618	6	300	7,204	25,108	71
Supervisorial District 2	5,610	3,333	3,139	6,634	6,446	710	46,248	37,097	1	341	10,834	25,921	49
Supervisorial District 3	2,416	1,343	1,230	3,653	2,375	427	22,196	15,554	1	140	3,943	11,470	26
Supervisorial District 4	4,928	3,049	2,562	8,946	3,395	963	42,363	31,246	8	283	7,045	23,910	67
Supervisorial District 5	27	18	19	51	28	6	245	194	0	1	44	149	0
Supervisorial District 7	4,263	3,238	2,819	6,901	4,973	991	39,490	30,620	28	275	7,069	23,248	63
Supervisorial District 10	872	550	376	1,033	569	313	8,589	4,782	3	74	970	3,735	22
Supervisorial District 11	2,271	1,615	1,360	3,519	1,693	765	21,992	14,275	0	196	2,811	11,268	45
Bayview/Hunters Point	111	58	53	117	76	25	852	563	0	7	116	440	0
Chinatown	1,295	658	576	1,974	1,158	222	11,797	8,148	1	63	2,187	5,897	14
Civic Center/Downtown	406	214	173	510	293	71	3,380	2,174	0	24	479	1,671	4
Excelsior	1,272	954	732	1,769	903	348	11,728	7,618	0	100	1,508	6,010	32
Ingleside	1,240	809	742	2,070	929	466	12,118	7,928	2	107	1,543	6,276	20
Lake Merced	827	741	531	1,347	796	298	8,390	5,918	1	55	1,309	4,553	13
Laurel Heights/Anza Vista	859	653	665	1,702	1,024	157	8,572	6,757	0	71	1,612	5,074	14
Marina Pacific Heights	4,308	2,505	2,289	4,830	4,885	551	35,161	28,062	1	245	8,410	19,406	38
North Embarcadero	715	471	481	1,169	924	134	7,019	5,232	0	53	1,277	3,902	8
Richmond	3,683	2,969	2,738	8,146	3,605	784	37,322	28,503	5	249	6,265	21,984	59
Sea Cliff/Presidio Heights	925	605	649	1,267	1,140	119	8,050	6,587	1	77	1,795	4,714	9
Sunset	4,928	3,049	2,562	8,946	3,395	963	42,363	31,246	8	283	7,045	23,910	67
Visitation Valley	761	492	323	916	493	288	7,737	4,219	3	67	854	3,295	22
West of Twin Peaks	3,195	2,349	2,174	5,234	4,038	644	29,246	23,431	25	209	5,520	17,677	43
