Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
Precinct 7051 - Vote By Mail	92	29	13	104	38	20	861	380	0	9	75	296	0
Precinct 7052 - Election Day	19	19	21	28	27	8	852	161	0	1	38	122	0
Precinct 7052 - Vote By Mail	92	39	32	89	49	17	852	402	0	6	78	318	0
Precinct 7201 - Election Day	38	19	24	36	40	4	936	245	0	1	81	163	2
Precinct 7201 - Vote By Mail	76	43	51	109	94	9	936	518	0	3	132	383	1
Precinct 7202 - Election Day	35	15	14	32	40	6	850	227	0	2	83	142	0
Precinct 7202 - Vote By Mail	77	36	34	82	79	5	850	431	0	5	113	313	0
Precinct 7203 - Election Day	42	29	18	56	54	5	921	291	1	1	85	204	0
Precinct 7203 - Vote By Mail	44	36	42	88	86	10	921	423	0	6	111	306	0
Precinct 7204 - Election Day	33	29	20	35	36	4	918	233	0	2	74	157	0
Precinct 7204 - Vote By Mail	65	47	58	104	121	9	918	531	0	2	125	404	0
Precinct 7205 - Election Day	33	15	27	42	40	5	875	251	0	2	87	162	0
Precinct 7205 - Vote By Mail	54	49	49	87	90	8	875	485	0	8	139	338	1
Precinct 7301 - Election Day	37	23	15	50	27	10	1,016	228	0	4	60	164	2
Precinct 7301 - Vote By Mail	70	49	46	97	58	13	1,016	435	0	10	91	334	1
Precinct 7302 - Election Day	25	20	13	39	32	8	814	188	0	2	49	137	0
Precinct 7302 - Vote By Mail	62	42	53	88	83	12	814	458	0	7	111	340	0
Precinct 7303 - Election Day	41	15	18	66	48	6	1,042	281	0	1	86	194	0
Precinct 7303 - Vote By Mail	55	40	52	115	95	12	1,042	482	0	4	109	369	0
Precinct 7304 - Election Day	43	23	31	54	51	4	1,002	278	0	1	70	207	1
Precinct 7304 - Vote By Mail	78	39	36	114	99	10	1,002	493	0	2	114	377	1
Precinct 7305 - Election Day	32	33	21	49	38	8	871	240	0	2	57	181	0
Precinct 7305 - Vote By Mail	66	43	41	80	93	12	871	460	0	3	122	335	0
Precinct 7306 - Election Day	54	27	19	75	41	11	1,056	317	0	3	86	228	1
Precinct 7306 - Vote By Mail	74	46	33	123	68	9	1,056	498	0	2	140	356	3
Precinct 7307 - Election Day	22	15	17	64	36	3	767	210	0	2	51	157	0
Precinct 7307 - Vote By Mail	38	30	37	84	60	6	767	346	0	3	88	255	0
Precinct 7308 - Election Day	20	18	18	36	24	8	603	177	0	2	50	125	1
Precinct 7308 - Vote By Mail	40	22	20	73	74	6	603	313	0	2	76	235	0
Precinct 7309 - Election Day	28	31	22	46	44	8	884	263	0	2	81	180	1
Precinct 7309 - Vote By Mail	71	34	32	88	75	10	884	439	0	5	123	311	1
Precinct 7311 - Election Day	40	25	21	52	39	4	917	268	0	3	84	181	0
Precinct 7311 - Vote By Mail	64	31	43	91	94	11	917	448	0	5	109	334	0
