Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	233,508	114,618	500,516	372,848	942	114	23,666	348,126
All Precincts - Election Day	78,658	41,204	500,516	127,886	135	30	7,859	119,862
All Precincts - Vote By Mail	154,850	73,414	500,516	244,962	807	84	15,807	228,264
Precinct 1101 - Election Day	86	31	553	126	0	0	9	117
Precinct 1101 - Vote By Mail	186	68	553	266	1	0	11	254
Precinct 1102 - Election Day	179	78	995	266	0	0	9	257
Precinct 1102 - Vote By Mail	310	139	995	480	-1	0	32	449
Precinct 1103 - Election Day	139	88	951	246	1	0	18	227
Precinct 1103 - Vote By Mail	288	132	951	445	0	0	25	420
Precinct 1104/1105 - Election Day	156	78	993	249	0	0	15	234
Precinct 1104/1105 - Vote By Mail	275	115	993	414	-2	0	26	390
Precinct 1106 - Election Day	115	67	765	191	-1	0	10	182
Precinct 1106 - Vote By Mail	220	101	765	343	1	0	21	321
Precinct 1107 - Election Day	102	51	746	163	1	1	8	153
Precinct 1107 - Vote By Mail	201	99	746	336	3	0	33	300
Precinct 1108 - Election Day	143	65	909	232	-1	0	25	208
Precinct 1108 - Vote By Mail	283	125	909	438	-1	0	31	408
Precinct 1109 - Election Day	101	59	798	166	0	0	6	160
Precinct 1109 - Vote By Mail	233	106	798	365	1	0	25	339
Precinct 1111 - Election Day	121	67	1,002	205	0	0	17	188
Precinct 1111 - Vote By Mail	297	126	1,002	460	-1	0	38	423
Precinct 1112 - Election Day	97	44	769	151	0	0	10	141
Precinct 1112 - Vote By Mail	223	88	769	344	0	0	33	311
Precinct 1113 - Election Day	86	41	746	135	2	0	6	127
Precinct 1113 - Vote By Mail	226	115	746	360	0	0	19	341
Precinct 1114 - Election Day	132	64	957	226	0	0	30	196
Precinct 1114 - Vote By Mail	282	100	957	404	2	0	20	382
Precinct 1115 - Election Day	109	54	895	174	1	0	10	163
Precinct 1115 - Vote By Mail	228	124	895	371	-2	0	21	352
Precinct 1116 - Election Day	129	74	895	225	0	0	22	203
Precinct 1116 - Vote By Mail	227	121	895	376	2	0	26	348
Precinct 1117 - Election Day	87	78	858	185	1	0	19	165
Precinct 1117 - Vote By Mail	228	103	858	357	1	0	25	331
Precinct 1118 - Election Day	145	60	1,043	213	-2	0	10	205
Precinct 1118 - Vote By Mail	319	134	1,043	476	-3	0	26	453
Precinct 1119 - Election Day	102	49	791	165	0	0	14	151
Precinct 1119 - Vote By Mail	227	123	791	386	1	0	35	350
Precinct 1121 - Election Day	89	63	691	160	0	0	8	152
Precinct 1121 - Vote By Mail	201	82	691	313	4	0	26	283
Precinct 1122 - Election Day	62	38	632	110	0	0	10	100
Precinct 1122 - Vote By Mail	173	122	632	310	0	0	15	295
Precinct 1123 - Election Day	107	56	915	179	0	0	16	163
Precinct 1123 - Vote By Mail	227	96	915	364	0	0	41	323
Precinct 1124 - Election Day	82	57	819	152	-1	0	14	139
Precinct 1124 - Vote By Mail	195	86	819	302	-2	0	23	281
Precinct 1125 - Election Day	84	61	1,047	159	1	0	13	145
Precinct 1125 - Vote By Mail	257	166	1,047	466	-3	1	45	423
Precinct 1126 - Election Day	117	59	922	191	0	0	15	176
Precinct 1126 - Vote By Mail	229	150	922	400	-1	0	22	379
Precinct 1127 - Election Day	120	68	920	200	0	0	12	188
Precinct 1127 - Vote By Mail	233	121	920	382	0	0	28	354
Precinct 1128 - Election Day	83	55	838	154	0	0	16	138
Precinct 1128 - Vote By Mail	208	124	838	362	0	1	29	332
Precinct 1129 - Election Day	126	80	980	227	1	0	20	206
Precinct 1129 - Vote By Mail	257	124	980	416	5	0	30	381
Precinct 1131 - Election Day	73	47	797	132	0	0	12	120
Precinct 1131 - Vote By Mail	207	146	797	371	-1	0	19	353
Precinct 1132 - Election Day	95	65	969	179	2	0	17	160
Precinct 1132 - Vote By Mail	265	129	969	427	0	0	33	394
Precinct 1133 - Election Day	93	59	863	161	1	0	8	152
Precinct 1133 - Vote By Mail	241	138	863	410	0	0	31	379
Precinct 1134 - Election Day	107	47	759	170	2	0	14	154
Precinct 1134 - Vote By Mail	193	108	759	318	-1	0	18	301
Precinct 1135 - Election Day	55	25	540	87	1	0	6	80
Precinct 1135 - Vote By Mail	184	87	540	295	0	1	23	271
Precinct 1136 - Election Day	77	59	829	144	0	0	8	136
Precinct 1136 - Vote By Mail	273	105	829	412	1	1	32	378
Precinct 1141 - Election Day	131	81	1,041	223	0	0	11	212
Precinct 1141 - Vote By Mail	295	169	1,041	484	0	0	20	464
Precinct 1142 - Election Day	107	54	861	175	0	0	14	161
Precinct 1142 - Vote By Mail	244	115	861	393	0	0	34	359
Precinct 1143 - Election Day	141	77	1,034	229	1	0	10	218
Precinct 1143 - Vote By Mail	300	109	1,034	440	4	0	27	409
Precinct 1144 - Election Day	124	70	907	205	1	0	10	194
Precinct 1144 - Vote By Mail	244	118	907	387	-1	0	26	362
Precinct 1145 - Election Day	114	67	888	189	0	0	8	181
Precinct 1145 - Vote By Mail	307	119	888	461	0	0	35	426
Precinct 1146 - Election Day	122	58	1,011	186	0	0	6	180
Precinct 1146 - Vote By Mail	292	130	1,011	454	2	0	30	422
Precinct 1147 - Election Day	132	67	877	210	1	0	10	199
Precinct 1147 - Vote By Mail	275	88	877	396	1	0	32	363
Precinct 1148 - Election Day	129	52	962	196	0	0	15	181
Precinct 1148 - Vote By Mail	277	131	962	444	0	0	36	408
Precinct 1149 - Election Day	135	59	907	210	2	1	13	194
Precinct 1149 - Vote By Mail	265	118	907	407	-8	0	32	383
Precinct 1152 - Election Day	121	58	864	198	0	0	19	179
Precinct 1152 - Vote By Mail	242	118	864	388	0	0	28	360
Precinct 1153 - Election Day	117	76	951	210	0	0	17	193
Precinct 1153 - Vote By Mail	258	128	951	415	-1	0	30	386
Precinct 7001 - Election Day	119	42	776	176	2	0	13	161
Precinct 7001 - Vote By Mail	282	128	776	429	3	0	16	410
Precinct 7002 - Election Day	115	49	706	176	0	0	12	164
Precinct 7002 - Vote By Mail	235	78	706	332	-3	0	22	313
Precinct 7003 - Election Day	159	64	884	238	0	0	15	223
Precinct 7003 - Vote By Mail	349	126	884	498	5	0	18	475
Precinct 7004 - Election Day	156	70	881	241	1	0	14	226
Precinct 7004 - Vote By Mail	349	123	881	496	1	0	23	472
Precinct 7005 - Election Day	167	73	847	253	0	0	13	240
Precinct 7005 - Vote By Mail	323	129	847	480	-1	1	28	452
Precinct 7006 - Election Day	179	64	917	254	1	0	10	243
Precinct 7006 - Vote By Mail	309	103	917	442	1	0	29	412
Precinct 7007 - Election Day	179	95	949	283	0	0	9	274
Precinct 7007 - Vote By Mail	349	139	949	516	2	0	26	488
Precinct 7008 - Election Day	168	84	932	264	1	0	11	252
Precinct 7008 - Vote By Mail	350	162	932	546	5	0	29	512
Precinct 7009 - Election Day	134	37	905	185	0	0	14	171
Precinct 7009 - Vote By Mail	349	135	905	513	1	0	28	484
Precinct 7011 - Election Day	116	71	985	204	0	0	17	187
Precinct 7011 - Vote By Mail	194	81	985	294	0	0	19	275
Precinct 7012 - Election Day	211	90	1,109	313	0	0	12	301
Precinct 7012 - Vote By Mail	419	146	1,109	594	4	1	24	565
Precinct 7013 - Election Day	188	69	956	267	0	0	10	257
Precinct 7013 - Vote By Mail	333	133	956	501	4	0	31	466
Precinct 7014 - Election Day	248	106	1,460	367	0	0	13	354
Precinct 7014 - Vote By Mail	546	220	1,460	802	3	0	33	766
Precinct 7015 MB - Vote By Mail	35	6	95	44	0	0	3	41
Precinct 7016 - Election Day	95	61	918	171	0	0	15	156
Precinct 7016 - Vote By Mail	158	92	918	280	0	0	30	250
Precinct 7017 - Election Day	78	57	754	149	0	0	14	135
Precinct 7017 - Vote By Mail	150	86	754	252	2	0	14	236
Precinct 7018 - Election Day	86	55	977	155	0	0	14	141
Precinct 7018 - Vote By Mail	266	145	977	448	-1	0	38	411
Precinct 7019 - Election Day	111	60	899	182	0	0	11	171
Precinct 7019 - Vote By Mail	281	100	899	413	0	1	31	381
Precinct 7021 - Election Day	117	55	947	184	1	0	11	172
Precinct 7021 - Vote By Mail	201	83	947	305	0	0	21	284
Precinct 7022 - Election Day	124	73	945	215	0	1	17	197
Precinct 7022 - Vote By Mail	205	119	945	352	0	0	28	324
Precinct 7023 - Election Day	106	63	928	178	-1	0	10	169
Precinct 7023 - Vote By Mail	243	127	928	400	0	0	30	370
Precinct 7024 - Election Day	32	34	414	70	0	0	4	66
Precinct 7024 - Vote By Mail	36	37	414	78	0	0	5	73
Precinct 7025 - Election Day	37	38	477	85	0	0	10	75
Precinct 7025 - Vote By Mail	72	47	477	128	-1	0	10	119
Precinct 7026 - Election Day	90	50	1,011	149	0	0	9	140
Precinct 7026 - Vote By Mail	259	167	1,011	455	1	0	28	426
Precinct 7027 - Election Day	113	64	869	195	0	0	18	177
Precinct 7027 - Vote By Mail	218	101	869	353	-1	0	35	319
Precinct 7028 - Election Day	125	73	850	213	-1	0	16	198
Precinct 7028 - Vote By Mail	173	90	850	282	0	0	19	263
Precinct 7029 - Election Day	102	65	901	184	1	0	16	167
Precinct 7029 - Vote By Mail	155	81	901	251	1	0	14	236
Precinct 7030 - Election Day	78	37	759	119	0	0	4	115
Precinct 7030 - Vote By Mail	233	97	759	357	0	0	27	330
Precinct 7031 - Election Day	51	30	641	91	0	0	10	81
Precinct 7031 - Vote By Mail	186	101	641	309	-2	0	24	287
Precinct 7032 - Election Day	105	47	904	173	-1	0	22	152
Precinct 7032 - Vote By Mail	180	101	904	316	2	0	33	281
Precinct 7033 - Election Day	110	63	798	191	3	0	15	173
Precinct 7033 - Vote By Mail	144	96	798	247	-1	1	7	240
Precinct 7034 - Election Day	118	63	958	197	0	0	16	181
Precinct 7034 - Vote By Mail	104	80	958	201	2	0	15	184
Precinct 7035 - Election Day	62	50	606	122	0	0	10	112
Precinct 7035 - Vote By Mail	168	79	606	262	0	0	15	247
Precinct 7036 - Election Day	59	50	921	117	0	0	8	109
Precinct 7036 - Vote By Mail	201	118	921	342	2	0	21	319
Precinct 7037 - Election Day	62	63	735	135	-4	0	14	125
Precinct 7037 - Vote By Mail	52	35	735	98	-1	0	12	87
Precinct 7038 - Election Day	70	52	911	135	0	0	13	122
Precinct 7038 - Vote By Mail	210	119	911	351	-2	1	23	329
Precinct 7039 - Election Day	105	66	784	178	0	0	7	171
Precinct 7039 - Vote By Mail	185	95	784	306	3	0	23	280
Precinct 7041 MB - Vote By Mail	23	8	61	33	0	0	2	31
Precinct 7042 - Election Day	68	43	639	118	0	0	7	111
Precinct 7042 - Vote By Mail	160	78	639	258	-1	0	21	238
Precinct 7043 - Election Day	111	52	957	176	0	0	13	163
Precinct 7043 - Vote By Mail	227	147	957	404	0	0	30	374
Precinct 7044 - Election Day	84	66	827	167	1	0	16	150
Precinct 7044 - Vote By Mail	117	62	827	193	-1	0	15	179
Precinct 7045 - Election Day	63	45	779	120	0	0	12	108
Precinct 7045 - Vote By Mail	201	118	779	344	3	0	22	319
Precinct 7046 - Election Day	52	36	402	94	0	0	6	88
Precinct 7046 - Vote By Mail	103	56	402	175	3	0	13	159
Precinct 7047 - Election Day	51	58	823	119	0	0	10	109
Precinct 7047 - Vote By Mail	254	107	823	388	1	0	26	361
Precinct 7048 - Election Day	70	67	858	150	4	0	9	137
Precinct 7048 - Vote By Mail	192	99	858	318	1	0	26	291
Precinct 7049 - Election Day	109	54	792	173	-1	1	10	163
Precinct 7049 - Vote By Mail	178	107	792	305	2	0	18	285
Precinct 7051 - Election Day	68	29	861	114	1	0	16	97
Precinct 7051 - Vote By Mail	223	122	861	380	1	0	34	345
Precinct 7052 - Election Day	97	57	852	161	1	0	6	154
Precinct 7052 - Vote By Mail	267	110	852	402	0	0	25	377
Precinct 7053 - Election Day	58	35	548	102	1	0	8	93
Precinct 7053 - Vote By Mail	181	82	548	278	0	0	15	263
Precinct 7054 - Election Day	106	98	1,073	215	1	0	10	204
Precinct 7054 - Vote By Mail	233	150	1,073	410	3	0	24	383
Precinct 7055 - Election Day	117	59	808	190	0	0	14	176
Precinct 7055 - Vote By Mail	301	115	808	440	0	0	24	416
Precinct 7101 MB - Vote By Mail	85	27	155	120	1	0	7	112
Precinct 7201 - Election Day	130	95	936	245	1	0	19	225
Precinct 7201 - Vote By Mail	324	157	936	518	2	0	35	481
Precinct 7202 - Election Day	126	90	850	227	-1	0	12	216
Precinct 7202 - Vote By Mail	251	148	850	431	4	0	28	399
Precinct 7203 - Election Day	168	112	921	291	3	1	7	280
Precinct 7203 - Vote By Mail	269	129	921	423	-1	0	26	398
Precinct 7204 - Election Day	127	91	918	233	0	0	15	218
Precinct 7204 - Vote By Mail	306	196	918	531	3	0	26	502
Precinct 7205 - Election Day	138	91	875	251	1	0	21	229
Precinct 7205 - Vote By Mail	292	173	875	485	0	1	19	465
Precinct 7206 - Election Day	87	42	378	135	1	0	5	129
Precinct 7206 - Vote By Mail	125	57	378	191	2	0	7	182
Precinct 7207 - Election Day	114	67	812	196	-2	0	17	181
Precinct 7207 - Vote By Mail	246	154	812	434	6	0	28	400
Precinct 7208 - Election Day	69	33	600	111	-1	0	10	102
Precinct 7208 - Vote By Mail	194	104	600	328	-1	1	30	298
Precinct 7209 - Election Day	62	41	626	107	0	0	4	103
Precinct 7209 - Vote By Mail	207	171	626	423	2	0	43	378
Precinct 7301 - Election Day	132	73	1,016	228	0	0	23	205
Precinct 7301 - Vote By Mail	266	128	1,016	435	1	0	40	394
Precinct 7302 - Election Day	118	53	814	188	0	1	16	171
Precinct 7302 - Vote By Mail	258	153	814	458	2	0	45	411
Precinct 7303 - Election Day	164	102	1,042	281	0	0	15	266
Precinct 7303 - Vote By Mail	308	140	1,042	482	2	1	31	448
Precinct 7304 - Election Day	160	101	1,002	278	0	1	16	261
Precinct 7304 - Vote By Mail	252	206	1,002	493	1	0	34	458
