Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	256,166	97,515	500,516	372,848	282	168	18,717	353,681
All Precincts - None	90,391	30,991	500,516	127,886	68	49	6,387	121,382
All Precincts - None	165,775	66,524	500,516	244,962	214	119	12,330	232,299
Precinct 1101 - None	92	24	553	126	0	0	10	116
Precinct 1101 - None	194	63	553	266	0	0	9	257
Precinct 1102 - None	190	67	995	266	0	0	9	257
Precinct 1102 - None	323	138	995	480	-2	0	21	461
Precinct 1103 - None	177	58	951	246	1	0	10	235
Precinct 1103 - None	291	141	951	445	-1	0	14	432
Precinct 1104/1105 - None	170	67	993	249	-1	0	13	237
Precinct 1104/1105 - None	311	87	993	414	-2	0	18	398
Precinct 1106 - None	126	55	765	191	0	0	10	181
Precinct 1106 - None	230	97	765	343	-1	0	17	327
Precinct 1107 - None	121	35	746	163	0	0	7	156
Precinct 1107 - None	217	86	746	336	5	1	27	303
Precinct 1108 - None	172	51	909	232	-1	0	10	223
Precinct 1108 - None	296	115	909	438	-1	0	28	411
Precinct 1109 - None	113	41	798	166	0	1	11	154
Precinct 1109 - None	236	110	798	365	-2	0	21	346
Precinct 1111 - None	149	42	1,002	205	0	0	14	191
Precinct 1111 - None	287	146	1,002	460	-3	0	30	433
Precinct 1112 - None	109	30	769	151	2	0	10	139
Precinct 1112 - None	223	101	769	344	-1	0	21	324
Precinct 1113 - None	97	29	746	135	0	0	9	126
Precinct 1113 - None	221	115	746	360	0	0	24	336
Precinct 1114 - None	161	51	957	226	-2	0	16	212
Precinct 1114 - None	301	82	957	404	0	1	20	383
Precinct 1115 - None	133	34	895	174	0	0	7	167
Precinct 1115 - None	248	107	895	371	-3	0	19	355
Precinct 1116 - None	165	46	895	225	1	0	13	211
Precinct 1116 - None	261	95	895	376	-2	0	22	356
Precinct 1117 - None	125	50	858	185	0	0	10	175
Precinct 1117 - None	249	91	858	357	1	0	16	340
Precinct 1118 - None	159	47	1,043	213	0	0	7	206
Precinct 1118 - None	322	131	1,043	476	-3	0	26	453
Precinct 1119 - None	116	41	791	165	0	0	8	157
Precinct 1119 - None	275	99	791	386	0	0	12	374
Precinct 1121 - None	100	51	691	160	0	0	9	151
Precinct 1121 - None	193	91	691	313	-1	0	30	284
Precinct 1122 - None	72	36	632	110	0	0	2	108
Precinct 1122 - None	188	106	632	310	-1	0	17	294
Precinct 1123 - None	141	31	915	179	0	0	7	172
Precinct 1123 - None	248	91	915	364	-1	0	26	339
Precinct 1124 - None	104	41	819	152	0	0	7	145
Precinct 1124 - None	208	83	819	302	-2	0	13	291
Precinct 1125 - None	111	40	1,047	159	1	1	6	151
Precinct 1125 - None	313	129	1,047	466	0	1	23	442
Precinct 1126 - None	138	43	922	191	0	0	10	181
Precinct 1126 - None	272	113	922	400	-2	0	17	385
Precinct 1127 - None	141	50	920	200	0	0	9	191
Precinct 1127 - None	245	122	920	382	-2	0	17	367
Precinct 1128 - None	107	37	838	154	0	0	10	144
Precinct 1128 - None	258	84	838	362	0	0	20	342
Precinct 1129 - None	148	63	980	227	1	0	15	211
Precinct 1129 - None	275	115	980	416	2	1	23	390
Precinct 1131 - None	104	23	797	132	0	0	5	127
Precinct 1131 - None	242	109	797	371	0	0	20	351
Precinct 1132 - None	131	38	969	179	2	0	8	169
Precinct 1132 - None	283	123	969	427	-1	0	22	406
Precinct 1133 - None	115	31	863	161	1	0	14	146
Precinct 1133 - None	287	99	863	410	0	0	24	386
Precinct 1134 - None	123	35	759	170	2	0	10	158
Precinct 1134 - None	188	112	759	318	-3	1	20	300
Precinct 1135 - None	59	21	540	87	1	0	6	80
Precinct 1135 - None	185	89	540	295	1	0	20	274
Precinct 1136 - None	105	32	829	144	0	0	7	137
Precinct 1136 - None	287	99	829	412	1	0	25	386
Precinct 1141 - None	164	44	1,041	223	3	0	12	208
Precinct 1141 - None	352	117	1,041	484	-1	0	16	469
Precinct 1142 - None	135	34	861	175	-1	0	7	169
Precinct 1142 - None	288	86	861	393	-2	0	21	374
Precinct 1143 - None	177	46	1,034	229	1	0	5	223
Precinct 1143 - None	320	100	1,034	440	1	0	19	420
Precinct 1144 - None	152	43	907	205	2	0	8	195
Precinct 1144 - None	266	99	907	387	0	0	22	365
Precinct 1145 - None	135	41	888	189	1	0	12	176
Precinct 1145 - None	325	119	888	461	-3	0	20	444
Precinct 1146 - None	151	30	1,011	186	-1	0	6	181
Precinct 1146 - None	307	122	1,011	454	0	1	24	429
Precinct 1147 - None	139	56	877	210	4	0	11	195
Precinct 1147 - None	284	93	877	396	2	0	17	377
Precinct 1148 - None	143	41	962	196	1	0	11	184
Precinct 1148 - None	312	111	962	444	0	1	20	423
Precinct 1149 - None	153	46	907	210	1	0	10	199
Precinct 1149 - None	267	115	907	407	-6	0	31	382
Precinct 1152 - None	141	47	864	198	-1	0	11	188
Precinct 1152 - None	273	103	864	388	0	0	12	376
Precinct 1153 - None	137	59	951	210	0	0	14	196
Precinct 1153 - None	282	113	951	415	-1	1	20	395
Precinct 7001 - None	127	37	776	176	0	0	12	164
Precinct 7001 - None	309	99	776	429	0	0	21	408
Precinct 7002 - None	129	37	706	176	1	0	9	166
Precinct 7002 - None	235	77	706	332	1	1	18	312
Precinct 7003 - None	163	61	884	238	0	0	14	224
Precinct 7003 - None	367	117	884	498	0	1	13	484
Precinct 7004 - None	179	56	881	241	1	0	5	235
Precinct 7004 - None	352	127	881	496	1	0	16	479
Precinct 7005 - None	188	54	847	253	1	1	9	242
Precinct 7005 - None	348	110	847	480	-1	0	23	458
Precinct 7006 - None	208	40	917	254	1	0	5	248
Precinct 7006 - None	335	89	917	442	1	0	17	424
Precinct 7007 - None	218	59	949	283	0	0	6	277
Precinct 7007 - None	371	121	949	516	-1	1	24	492
Precinct 7008 - None	195	63	932	264	-1	0	7	258
