Subtotal Area	PHIL TING	KEITH BOGDON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
BART District 9	15,445	1,616	23,689	17,984	3	2	918	17,061
Supervisorial District 1	26,814	4,141	42,612	32,618	6	10	1,647	30,955
Supervisorial District 2	26,482	6,042	43,478	34,842	0	3	2,315	32,524
Supervisorial District 4	24,895	4,977	42,953	31,699	8	10	1,809	29,872
Supervisorial District 5	9,178	713	13,279	10,406	0	1	514	9,891
Supervisorial District 7	23,763	4,827	39,263	30,133	29	6	1,508	28,590
Supervisorial District 8	228	43	408	285	0	0	14	271
Supervisorial District 10	115	22	273	146	0	0	9	137
Supervisorial District 11	14,329	2,473	27,187	17,892	1	7	1,082	16,802
Excelsior	9,106	1,730	17,331	11,520	1	4	679	10,836
Ingleside	6,468	961	12,118	7,928	2	3	494	7,429
Inner Sunset	5,555	517	7,935	6,390	0	1	317	6,072
Lake Merced	4,629	973	8,390	5,918	1	1	314	5,602
Laurel Heights/Anza Vista	6,689	894	10,097	8,010	0	1	426	7,583
Marina Pacific Heights	18,202	4,498	30,661	24,427	0	2	1,725	22,700
Richmond	23,380	3,686	37,322	28,503	5	9	1,423	27,066
Sea Cliff/Presidio Heights	5,128	1,067	8,050	6,587	1	1	390	6,195
Sunset	24,505	4,938	42,363	31,246	8	10	1,785	29,443
Visitation Valley	115	22	273	146	0	0	9	137
West of Twin Peaks	17,176	3,570	27,625	21,829	26	5	1,052	20,746
Western Addition	4,851	382	7,288	5,517	0	0	284	5,233
