Subtotal Area	PHIL TING	KEITH BOGDON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9126 - None	190	34	1,015	245	0	0	21	224
Precinct 9126 - None	421	83	1,015	533	0	0	29	504
Precinct 9127 - None	219	35	960	269	0	0	15	254
Precinct 9127 - None	410	66	960	498	0	0	22	476
Precinct 9128 - None	206	29	828	248	0	0	13	235
Precinct 9128 - None	338	59	828	412	0	0	15	397
Precinct 9129 - None	205	26	741	243	0	0	12	231
Precinct 9129 - None	298	36	741	348	0	0	14	334
Precinct 9131 - None	162	15	759	193	0	0	16	177
Precinct 9131 - None	333	61	759	403	0	0	9	394
Precinct 9132 - None	207	25	837	248	0	0	16	232
Precinct 9132 - None	327	30	837	371	0	0	14	357
Precinct 9133 - None	236	19	1,021	271	0	0	16	255
Precinct 9133 - None	429	61	1,021	503	0	0	13	490
Precinct 9134 - None	172	17	893	210	0	0	21	189
Precinct 9134 - None	392	53	893	469	0	0	24	445
Precinct 9135 - None	164	38	808	215	0	0	13	202
Precinct 9135 - None	285	88	808	389	0	0	16	373
Precinct 9136 - None	213	23	929	253	0	0	17	236
Precinct 9136 - None	366	56	929	439	0	0	17	422
Precinct 9137 - None	198	49	1,006	260	0	0	13	247
Precinct 9137 - None	381	63	1,006	467	0	0	23	444
Precinct 9138 - None	186	24	943	226	1	0	15	210
Precinct 9138 - None	383	72	943	477	1	0	21	455
Precinct 9139 - None	193	38	975	243	0	0	12	231
Precinct 9139 - None	401	90	975	510	0	0	19	491
Precinct 9141 - None	207	34	953	252	0	0	11	241
Precinct 9141 - None	384	72	953	477	0	0	21	456
Precinct 9142 - None	229	22	966	276	0	0	25	251
Precinct 9142 - None	400	36	966	459	0	0	23	436
Precinct 9143 - None	205	31	920	251	0	0	15	236
Precinct 9143 - None	367	69	920	463	0	1	26	436
Precinct 9144 - None	248	32	962	293	0	0	13	280
Precinct 9144 - None	389	65	962	482	0	2	26	454
Precinct 9145 - None	204	32	861	249	1	0	12	236
Precinct 9145 - None	359	53	861	423	0	0	11	412
Precinct 9146 - None	205	26	885	245	0	0	14	231
Precinct 9146 - None	394	46	885	464	0	0	24	440
Precinct 9147 - None	233	20	971	281	0	0	28	253
Precinct 9147 - None	423	50	971	492	0	1	18	473
Precinct 9148 - None	276	38	1,034	325	0	0	11	314
Precinct 9148 - None	441	55	1,034	513	0	0	17	496
Precinct 9149 - None	228	22	948	264	0	0	14	250
Precinct 9149 - None	407	54	948	478	0	0	17	461
Precinct 9151 - None	191	25	872	227	0	0	11	216
Precinct 9151 - None	351	51	872	418	0	0	16	402
Precinct 9152 - None	233	22	721	270	0	0	15	255
Precinct 9152 - None	238	26	721	279	0	0	15	264
Precinct 9201 - None	251	33	1,004	300	0	0	16	284
Precinct 9201 - None	403	54	1,004	475	0	0	18	457
Precinct 9202 - None	231	41	971	294	0	0	22	272
Precinct 9202 - None	358	52	971	426	0	0	16	410
Precinct 9203 - None	143	74	1,002	239	0	0	22	217
Precinct 9203 - None	367	137	1,002	536	0	0	32	504
Precinct 9204 - None	176	70	873	273	0	0	27	246
Precinct 9204 - None	265	103	873	393	0	0	25	368
Precinct 9205 - None	149	32	728	208	0	0	27	181
Precinct 9205 - None	300	57	728	376	0	0	19	357
Precinct 9206 - None	151	72	931	249	0	0	26	223
Precinct 9206 - None	321	128	931	479	0	0	30	449
Precinct 9207 - None	165	68	981	262	0	0	29	233
Precinct 9207 - None	344	115	981	502	0	0	43	459
Precinct 9208 - None	205	53	1,002	287	0	0	29	258
Precinct 9208 - None	358	102	1,002	491	0	0	31	460
Precinct 9209 - None	165	57	711	245	0	0	23	222
Precinct 9209 - None	238	70	711	327	0	0	19	308
Precinct 9211 - None	175	34	889	234	0	0	25	209
Precinct 9211 - None	319	83	889	432	0	0	30	402
Precinct 9212 - None	176	40	803	234	0	0	18	216
Precinct 9212 - None	297	80	803	400	0	0	23	377
