Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	227,250	118,815	500,516	372,848	282	169	26,332	346,065
All Precincts - Election Day	76,308	42,065	500,516	127,886	68	72	9,373	118,373
All Precincts - Vote By Mail	150,942	76,750	500,516	244,962	214	97	16,959	227,692
Precinct 1101 - Election Day	80	40	553	126	0	0	6	120
Precinct 1101 - Vote By Mail	189	64	553	266	0	0	13	253
Precinct 1102 - Election Day	156	98	995	266	0	0	12	254
Precinct 1102 - Vote By Mail	264	185	995	480	-2	0	33	449
Precinct 1103 - Election Day	160	72	951	246	1	0	13	232
Precinct 1103 - Vote By Mail	286	137	951	445	-1	1	22	423
Precinct 1104/1105 - Election Day	144	87	993	249	-1	0	19	231
Precinct 1104/1105 - Vote By Mail	284	111	993	414	-2	0	21	395
Precinct 1106 - Election Day	109	67	765	191	0	0	15	176
Precinct 1106 - Vote By Mail	220	106	765	343	-1	0	18	326
Precinct 1107 - Election Day	86	62	746	163	0	0	15	148
Precinct 1107 - Vote By Mail	201	100	746	336	5	0	30	301
Precinct 1108 - Election Day	139	76	909	232	-1	0	18	215
Precinct 1108 - Vote By Mail	283	121	909	438	-1	0	35	404
Precinct 1109 - Election Day	91	65	798	166	0	0	10	156
Precinct 1109 - Vote By Mail	235	103	798	365	-2	0	29	338
Precinct 1111 - Election Day	128	59	1,002	205	0	0	18	187
Precinct 1111 - Vote By Mail	318	109	1,002	460	-3	0	36	427
Precinct 1112 - Election Day	96	43	769	151	2	0	10	139
Precinct 1112 - Vote By Mail	217	88	769	344	-1	1	39	305
Precinct 1113 - Election Day	78	43	746	135	0	0	14	121
Precinct 1113 - Vote By Mail	243	97	746	360	0	0	20	340
Precinct 1114 - Election Day	138	61	957	226	-2	1	28	199
Precinct 1114 - Vote By Mail	240	131	957	404	0	0	33	371
Precinct 1115 - Election Day	106	59	895	174	0	0	9	165
Precinct 1115 - Vote By Mail	249	94	895	371	-3	0	31	343
Precinct 1116 - Election Day	129	74	895	225	1	0	21	203
Precinct 1116 - Vote By Mail	234	112	895	376	-2	0	32	346
Precinct 1117 - Election Day	98	70	858	185	0	0	17	168
Precinct 1117 - Vote By Mail	225	103	858	357	1	0	28	328
