Subtotal Area	JEFF ADACHI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7009 - None	141	905	185	0	0	39	0	146	5
Precinct 7009 - None	407	905	513	2	0	96	0	415	8
Precinct 7011 - None	157	985	204	0	0	45	0	159	2
Precinct 7011 - None	228	985	294	1	1	63	0	229	1
Precinct 7012 - None	252	1,109	313	0	0	57	0	256	4
Precinct 7012 - None	453	1,109	594	12	0	121	0	461	8
Precinct 7013 - None	196	956	267	1	0	67	0	199	3
Precinct 7013 - None	398	956	501	6	0	92	0	403	5
Precinct 7014 - None	272	1,460	367	2	0	89	0	276	4
Precinct 7014 - None	634	1,460	802	9	0	154	0	639	5
Precinct 7015 MB - None	36	95	44	0	0	7	0	37	1
Precinct 7016 - None	117	918	171	4	0	45	0	122	5
Precinct 7016 - None	223	918	280	0	0	53	0	227	4
Precinct 7017 - None	103	754	149	-1	0	42	0	108	5
Precinct 7017 - None	195	754	252	4	0	49	0	199	4
Precinct 7018 - None	122	977	155	0	0	32	0	123	1
Precinct 7018 - None	349	977	448	4	0	92	0	352	3
Precinct 7019 - None	133	899	182	1	0	43	0	138	5
Precinct 7019 - None	333	899	413	3	0	75	0	335	2
Precinct 7021 - None	138	947	184	1	0	39	0	144	6
Precinct 7021 - None	244	947	305	1	0	54	0	250	6
Precinct 7022 - None	163	945	215	1	0	48	0	166	3
Precinct 7022 - None	297	945	352	1	0	50	0	301	4
Precinct 7023 - None	140	928	178	0	0	36	0	142	2
Precinct 7023 - None	315	928	400	5	0	73	0	322	7
Precinct 7024 - None	49	414	70	0	0	17	0	53	4
Precinct 7024 - None	65	414	78	1	0	11	0	66	1
Precinct 7025 - None	61	477	85	0	0	21	0	64	3
Precinct 7025 - None	102	477	128	0	0	23	0	105	3
Precinct 7026 - None	119	1,011	149	0	1	27	0	121	2
Precinct 7026 - None	372	1,011	455	3	0	72	0	380	8
Precinct 7027 - None	144	869	195	0	0	45	0	150	6
Precinct 7027 - None	289	869	353	-1	0	60	0	294	5
Precinct 7028 - None	172	850	213	-2	0	38	0	177	5
Precinct 7028 - None	235	850	282	4	0	38	0	240	5
Precinct 7029 - None	132	901	184	0	0	50	0	134	2
Precinct 7029 - None	201	901	251	1	0	43	0	207	6
Precinct 7030 - None	82	759	119	6	0	30	0	83	1
Precinct 7030 - None	268	759	357	3	0	83	0	271	3
Precinct 7031 - None	69	641	91	1	0	21	0	69	0
Precinct 7031 - None	251	641	309	0	0	53	0	256	5
Precinct 7032 - None	118	904	173	1	0	47	0	125	7
Precinct 7032 - None	260	904	316	7	0	42	0	267	7
Precinct 7033 - None	149	798	191	0	0	38	0	153	4
Precinct 7033 - None	214	798	247	1	0	30	0	216	2
Precinct 7034 - None	140	958	197	0	0	52	0	145	5
Precinct 7034 - None	167	958	201	2	0	30	0	169	2
Precinct 7035 - None	93	606	122	0	0	27	0	95	2
Precinct 7035 - None	218	606	262	3	0	33	0	226	8
Precinct 7036 - None	91	921	117	0	0	25	0	92	1
Precinct 7036 - None	255	921	342	4	0	74	0	264	9
Precinct 7037 - None	90	735	135	-2	0	42	0	95	5
Precinct 7037 - None	80	735	98	-3	0	17	0	84	4
Precinct 7038 - None	89	911	135	0	0	43	0	92	3
Precinct 7038 - None	259	911	351	-2	0	85	0	268	9
Precinct 7039 - None	129	784	178	-1	0	46	0	133	4
Precinct 7039 - None	223	784	306	3	0	71	0	232	9
Precinct 7041 MB - None	26	61	33	1	0	6	0	26	0
Precinct 7042 - None	90	639	118	1	0	24	0	93	3
Precinct 7042 - None	197	639	258	1	0	59	0	198	1
Precinct 7043 - None	141	957	176	2	0	32	0	142	1
Precinct 7043 - None	311	957	404	2	0	86	0	316	5
Precinct 7044 - None	122	827	167	1	0	41	0	125	3
Precinct 7044 - None	145	827	193	0	0	42	0	151	6
Precinct 7045 - None	85	779	120	0	0	35	0	85	0
Precinct 7045 - None	261	779	344	9	0	65	0	270	9
Precinct 7046 - None	73	402	94	1	0	20	0	73	0
Precinct 7046 - None	128	402	175	0	0	44	0	131	3
Precinct 7047 - None	98	823	119	1	0	17	0	101	3
Precinct 7047 - None	322	823	388	2	0	61	0	325	3
Precinct 7048 - None	111	858	150	8	0	28	0	114	3
Precinct 7048 - None	257	858	318	3	0	50	0	265	8
Precinct 7049 - None	125	792	173	0	0	46	0	127	2
Precinct 7049 - None	227	792	305	6	0	67	0	232	5
Precinct 7051 - None	90	861	114	0	0	23	0	91	1
Precinct 7051 - None	292	861	380	3	0	74	0	303	11
Precinct 7052 - None	110	852	161	1	0	46	0	114	4
Precinct 7052 - None	304	852	402	3	0	88	0	311	7
Precinct 7053 - None	76	548	102	0	0	25	0	77	1
Precinct 7053 - None	206	548	278	4	0	63	0	211	5
Precinct 7054 - None	175	1,073	215	0	0	37	0	178	3
Precinct 7054 - None	331	1,073	410	3	0	65	0	342	11
Precinct 7055 - None	143	808	190	0	0	46	0	144	1
Precinct 7055 - None	337	808	440	7	0	91	0	342	5
Precinct 7101 MB - None	102	155	120	1	0	15	0	104	2
Precinct 7201 - None	176	936	245	1	0	66	0	178	2
Precinct 7201 - None	392	936	518	2	0	119	0	397	5
Precinct 7202 - None	161	850	227	0	0	62	0	165	4
Precinct 7202 - None	317	850	431	6	0	105	0	320	3
Precinct 7203 - None	203	921	291	3	0	81	0	207	4
Precinct 7203 - None	321	921	423	2	0	97	0	324	3
Precinct 7204 - None	161	918	233	1	0	71	0	161	0
Precinct 7204 - None	415	918	531	8	1	103	0	419	4
Precinct 7205 - None	166	875	251	3	0	80	0	168	2
Precinct 7205 - None	350	875	485	5	1	121	0	358	8
Precinct 7206 - None	101	378	135	1	0	33	0	101	0
Precinct 7206 - None	149	378	191	2	0	40	0	149	0
Precinct 7207 - None	147	812	196	3	0	45	0	148	1
Precinct 7207 - None	319	812	434	9	0	103	0	322	3
Precinct 7208 - None	77	600	111	-1	0	34	0	78	1
Precinct 7208 - None	258	600	328	4	0	65	0	259	1
Precinct 7209 - None	83	626	107	0	0	21	0	86	3
Precinct 7209 - None	335	626	423	5	0	82	0	336	1
Precinct 7301 - None	164	1,016	228	-1	0	60	0	169	5
Precinct 7301 - None	344	1,016	435	6	0	80	0	349	5
Precinct 7302 - None	142	814	188	0	0	46	0	142	0
Precinct 7302 - None	339	814	458	8	0	110	0	340	1
Precinct 7303 - None	200	1,042	281	0	0	81	0	200	0
Precinct 7303 - None	377	1,042	482	11	0	91	0	380	3
Precinct 7304 - None	201	1,002	278	3	0	70	0	205	4
Precinct 7304 - None	363	1,002	493	8	0	110	0	375	12
Precinct 7305 - None	189	871	240	1	0	46	0	193	4
Precinct 7305 - None	321	871	460	17	0	117	0	326	5
Precinct 7306 - None	233	1,056	317	0	0	83	0	234	1
