Subtotal Area	JEFF ADACHI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7636 - None	178	938	251	1	0	69	0	181	3
Precinct 7636 - None	353	938	465	6	0	102	0	357	4
Precinct 7637 - None	127	809	193	0	0	64	0	129	2
Precinct 7637 - None	306	809	404	7	0	86	0	311	5
Precinct 7638 - None	196	1,467	295	1	0	95	0	199	3
Precinct 7638 - None	639	1,467	871	24	0	202	0	645	6
Precinct 7639 - None	161	1,011	242	3	0	75	0	164	3
Precinct 7639 - None	408	1,011	559	9	0	141	0	409	1
Precinct 7641 - None	150	972	205	0	0	52	0	153	3
Precinct 7641 - None	412	972	549	9	1	122	0	417	5
Precinct 7642 - None	112	937	153	0	0	39	0	114	2
Precinct 7642 - None	255	937	394	7	0	129	0	258	3
Precinct 7643 - None	129	920	169	2	0	36	0	131	2
Precinct 7643 - None	399	920	507	3	0	104	0	400	1
Precinct 7644 - None	244	1,175	330	0	0	84	0	246	2
Precinct 7644 - None	439	1,175	554	7	0	108	0	439	0
Precinct 7645 - None	80	640	120	1	0	35	0	84	4
Precinct 7645 - None	274	640	377	8	0	93	0	276	2
Precinct 7646 - None	200	1,100	267	0	0	63	0	204	4
Precinct 7646 - None	446	1,100	592	9	0	134	0	449	3
Precinct 7647 - None	156	1,075	205	-2	0	44	0	163	7
Precinct 7647 - None	232	1,075	283	1	0	46	0	236	4
Precinct 7648 MB - None	0	1	0	0	0	0	0	0	0
Precinct 7649 - None	131	891	178	2	0	42	0	134	3
Precinct 7649 - None	316	891	395	4	0	71	0	320	4
Precinct 7651 - None	116	677	166	1	1	46	0	118	2
Precinct 7651 - None	248	677	351	13	0	86	0	252	4
Precinct 7652 - None	99	628	135	0	0	34	0	101	2
Precinct 7652 - None	227	628	301	9	0	60	0	232	5
Precinct 7653 - None	218	1,280	300	5	0	74	0	221	3
Precinct 7653 - None	485	1,280	673	7	0	172	0	494	9
Precinct 7701 - None	221	1,064	296	0	0	71	0	225	4
Precinct 7701 - None	445	1,064	597	8	0	134	0	455	10
Precinct 7702 - None	126	748	180	3	0	48	0	129	3
Precinct 7702 - None	314	748	415	9	0	84	0	322	8
Precinct 7703 MB - None	65	171	79	5	1	8	0	65	0
Precinct 7704 - None	196	1,008	257	1	0	52	0	204	8
Precinct 7704 - None	414	1,008	557	6	0	127	0	424	10
Precinct 7705 - None	117	568	149	-2	0	31	0	120	3
Precinct 7705 - None	262	568	335	2	0	61	0	272	10
Precinct 7706 - None	198	840	252	1	0	48	0	203	5
Precinct 7706 - None	345	840	467	5	0	99	0	363	18
Precinct 7707 - None	193	857	241	0	0	43	0	198	5
Precinct 7707 - None	376	857	495	12	0	101	0	382	6
Precinct 7708 - None	154	871	205	2	0	48	0	155	1
Precinct 7708 - None	427	871	540	7	0	98	0	435	8
Precinct 7709 - None	81	391	102	0	0	21	0	81	0
Precinct 7709 - None	185	391	222	1	0	35	0	186	1
Precinct 7711 - None	151	766	198	9	0	38	0	151	0
Precinct 7711 - None	319	766	422	8	0	90	0	324	5
Precinct 7712 - None	118	529	149	1	0	26	0	122	4
Precinct 7712 - None	240	529	296	1	0	53	0	242	2
Precinct 7801 - None	207	1,001	264	2	0	51	0	211	4
Precinct 7801 - None	459	1,001	596	8	0	124	0	464	5
Precinct 7802 - None	175	788	230	0	0	55	0	175	0
Precinct 7802 - None	354	788	458	3	0	93	0	362	8
Precinct 7803 - None	142	828	174	0	0	31	0	143	1
Precinct 7803 - None	450	828	552	7	0	92	0	453	3
Precinct 7804 - None	202	893	257	1	0	49	0	207	5
Precinct 7804 - None	419	893	533	8	0	97	0	428	9
Precinct 7805 - None	183	825	228	0	0	41	0	187	4
Precinct 7805 - None	391	825	484	7	0	83	0	394	3
Precinct 7806 - None	170	716	208	17	0	20	0	171	1
Precinct 7806 - None	340	716	407	3	0	62	0	342	2
Precinct 7807 - None	234	844	276	0	0	39	0	237	3
Precinct 7807 - None	340	844	417	3	0	68	0	346	6
Precinct 7808 - None	167	655	211	5	0	36	0	170	3
Precinct 7808 - None	259	655	333	7	0	63	0	263	4
Precinct 7809 - None	177	781	238	3	0	56	0	179	2
Precinct 7809 - None	335	781	405	7	0	63	0	335	0
Precinct 7811 - None	206	783	249	2	0	40	0	207	1
Precinct 7811 - None	334	783	404	11	0	59	0	334	0
Precinct 7812 - None	202	877	257	0	0	53	0	204	2
Precinct 7812 - None	365	877	454	4	0	81	0	369	4
Precinct 7813 - None	241	1,064	308	4	0	60	0	244	3
Precinct 7813 - None	475	1,064	585	13	0	95	0	477	2
Precinct 7814 - None	168	936	228	1	0	54	0	173	5
Precinct 7814 - None	294	936	341	2	1	41	0	297	3
Precinct 7815 - None	187	954	238	-1	0	50	0	189	2
Precinct 7815 - None	457	954	573	11	0	99	0	463	6
Precinct 7816 - None	189	865	236	0	0	45	0	191	2
Precinct 7816 - None	423	865	531	4	0	98	0	429	6
Precinct 7817 - None	220	823	277	2	0	53	0	222	2
Precinct 7817 - None	362	823	439	3	0	71	0	365	3
Precinct 7818 - None	194	860	234	1	0	38	0	195	1
Precinct 7818 - None	371	860	452	9	0	69	0	374	3
Precinct 7819 - None	157	793	191	0	0	32	0	159	2
Precinct 7819 - None	335	793	420	7	0	75	0	338	3
Precinct 7821 - None	196	985	248	2	0	46	0	200	4
Precinct 7821 - None	510	985	630	10	0	104	0	516	6
Precinct 7822 - None	230	908	275	0	0	45	0	230	0
Precinct 7822 - None	389	908	480	4	0	82	0	394	5
Precinct 7823 - None	219	879	270	26	0	25	0	219	0
Precinct 7823 - None	404	879	501	6	0	87	0	408	4
Precinct 7824 - None	189	768	247	1	0	57	0	189	0
Precinct 7824 - None	302	768	383	7	0	63	0	313	11
Precinct 7825 - None	156	597	191	0	0	33	0	158	2
Precinct 7825 - None	239	597	302	3	0	59	0	240	1
Precinct 7826 - None	204	684	258	6	0	47	0	205	1
Precinct 7826 - None	253	684	319	5	0	59	0	255	2
Precinct 7827 - None	212	831	261	0	0	46	0	215	3
Precinct 7827 - None	286	831	361	7	0	64	0	290	4
Precinct 7828 - None	208	1,018	261	1	0	50	0	210	2
Precinct 7828 - None	447	1,018	549	4	0	91	0	454	7
Precinct 7829 - None	192	907	237	1	0	39	0	197	5
Precinct 7829 - None	432	907	557	7	0	107	0	443	11
Precinct 7831 - None	196	882	233	-16	0	49	0	200	4
Precinct 7831 - None	434	882	544	19	0	86	0	439	5
Precinct 7832 - None	142	780	188	16	0	30	0	142	0
Precinct 7832 - None	381	780	488	4	0	99	0	385	4
Precinct 7833 - None	177	747	230	7	0	45	0	178	1
Precinct 7833 - None	325	747	412	-2	0	81	0	333	8
Precinct 7834 - None	223	867	277	0	0	52	0	225	2
Precinct 7834 - None	353	867	439	8	0	77	0	354	1
Precinct 7835 - None	166	847	211	0	0	42	0	169	3
Precinct 7835 - None	411	847	505	9	0	78	0	418	7
Precinct 7836 - None	195	1,023	260	0	0	63	0	197	2
Precinct 7836 - None	510	1,023	623	9	0	97	0	517	7
Precinct 7837 - None	211	911	260	1	0	48	0	211	0
Precinct 7837 - None	398	911	509	9	0	100	0	400	2
Precinct 7838 - None	195	926	239	0	0	42	0	197	2
Precinct 7838 - None	452	926	546	9	0	82	0	455	3
Precinct 7839 - None	154	842	205	0	0	47	0	158	4
Precinct 7839 - None	401	842	515	1	0	111	0	403	2
Precinct 7841 - None	227	937	291	1	0	63	0	227	0
Precinct 7841 - None	418	937	526	12	0	93	0	421	3
Precinct 7842 - None	225	903	283	0	0	55	0	228	3
Precinct 7842 - None	349	903	434	4	0	78	0	352	3
Precinct 7843 - None	179	767	232	0	0	51	0	181	2
Precinct 7843 - None	305	767	380	1	0	71	0	308	3
Precinct 7844 - None	156	663	196	2	0	31	0	163	7
Precinct 7844 - None	260	663	329	6	0	61	0	262	2
Precinct 7845 - None	188	849	241	16	0	37	0	188	0
Precinct 7845 - None	395	849	469	2	0	69	0	398	3
Precinct 7846 - None	200	904	262	0	0	60	0	202	2
Precinct 7846 - None	406	904	509	10	0	89	0	410	4
Precinct 7847 - None	207	929	261	1	0	52	0	208	1
Precinct 7847 - None	415	929	529	1	0	109	0	419	4
Precinct 7848 - None	178	834	233	0	0	55	0	178	0
Precinct 7848 - None	387	834	491	3	0	97	0	391	4
Precinct 7849 - None	207	929	264	1	0	55	0	208	1
Precinct 7849 - None	417	929	522	8	1	87	0	426	9
Precinct 7851 - None	100	513	136	0	0	36	0	100	0
Precinct 7851 - None	239	513	298	0	0	56	0	242	3
Precinct 7852 - None	113	647	143	0	0	26	0	117	4
Precinct 7852 - None	314	647	394	1	0	71	0	322	8
Precinct 7853 - None	171	850	214	11	0	30	0	173	2
Precinct 7853 - None	377	850	479	12	0	87	0	380	3
Precinct 7854 - None	188	894	248	0	0	58	0	190	2
Precinct 7854 - None	402	894	500	11	0	83	0	406	4
Precinct 7855 - None	235	986	301	2	0	61	0	238	3
Precinct 7855 - None	410	986	522	5	0	104	0	413	3
Precinct 7856 - None	216	800	265	0	0	44	0	221	5
Precinct 7856 - None	345	800	425	5	0	71	0	349	4
Precinct 7857 - None	201	933	276	1	0	71	0	204	3
Precinct 7857 - None	409	933	517	3	0	101	0	413	4
Precinct 7858 - None	189	775	245	2	0	52	0	191	2
Precinct 7858 - None	326	775	394	5	0	59	0	330	4
Precinct 7859 - None	191	891	250	1	0	55	0	194	3
Precinct 7859 - None	419	891	513	3	0	86	0	424	5
Precinct 7861 - None	182	859	217	0	0	33	0	184	2
Precinct 7861 - None	401	859	510	9	0	95	0	406	5
Precinct 7862 - None	244	866	302	2	1	52	0	247	3
Precinct 7862 - None	381	866	472	12	0	75	0	385	4
Precinct 7863 - None	245	907	311	0	0	60	0	251	6
Precinct 7863 - None	354	907	440	4	0	75	0	361	7
Precinct 7864 - None	191	807	232	0	0	40	0	192	1
Precinct 7864 - None	340	807	427	5	0	78	0	344	4
Precinct 7865 - None	182	823	241	0	0	58	0	183	1
Precinct 7865 - None	356	823	463	7	0	92	0	364	8
Precinct 7866 - None	168	836	209	0	0	40	0	169	1
Precinct 7866 - None	382	836	491	6	0	95	0	390	8
Precinct 7867 - None	203	955	266	2	0	57	0	207	4
Precinct 7867 - None	412	955	512	8	0	85	0	419	7
Precinct 7868 - None	203	881	242	-1	0	38	0	205	2
Precinct 7868 - None	370	881	449	5	0	69	0	375	5
Precinct 7869 - None	197	867	239	1	0	39	0	199	2
Precinct 7869 - None	377	867	489	4	0	103	0	382	5
Precinct 7871 - None	213	900	259	1	0	43	0	215	2
Precinct 7871 - None	422	900	502	4	0	69	0	429	7
Precinct 7872 - None	210	862	288	23	0	52	0	213	3
Precinct 7872 - None	372	862	472	8	0	88	0	376	4
Precinct 7873 - None	222	861	257	4	0	25	0	228	6
Precinct 7873 - None	410	861	502	4	0	84	0	414	4
Precinct 7874 - None	111	477	137	2	0	19	0	116	5
Precinct 7874 - None	203	477	256	4	0	48	0	204	1
Precinct 7875 - None	142	623	180	0	0	36	0	144	2
Precinct 7875 - None	230	623	285	0	0	51	0	234	4
Precinct 7876 - None	111	498	154	11	0	32	0	111	0
Precinct 7876 - None	223	498	269	2	0	41	0	226	3
Precinct 7901 - None	100	522	136	1	1	33	0	101	1
Precinct 7901 - None	165	522	198	1	0	30	0	167	2
Precinct 7902 - None	206	968	258	0	0	49	0	209	3
Precinct 7902 - None	318	968	401	5	0	72	0	324	6
Precinct 7903 - None	148	840	201	0	0	52	0	149	1
Precinct 7903 - None	276	840	350	2	0	68	0	280	4
Precinct 7904 - None	166	877	212	2	0	41	0	169	3
Precinct 7904 - None	320	877	403	3	1	74	0	325	5
Precinct 7905 - None	199	851	254	0	0	51	0	203	4
Precinct 7905 - None	327	851	409	8	0	67	0	334	7
Precinct 7906 - None	197	787	245	2	0	45	0	198	1
Precinct 7906 - None	272	787	335	4	1	54	0	276	4
Precinct 7907 - None	219	950	278	0	0	58	0	220	1
Precinct 7907 - None	354	950	425	6	0	61	0	358	4
Precinct 7908 - None	216	949	284	0	0	64	0	220	4
Precinct 7908 - None	335	949	408	5	0	63	0	340	5
Precinct 7909 - None	205	733	251	0	0	42	0	209	4
Precinct 7909 - None	254	733	303	1	0	43	0	259	5
Precinct 7911 - None	200	860	244	-1	0	39	0	206	6
Precinct 7911 - None	324	860	395	2	0	65	0	328	4
Precinct 7912 - None	224	1,065	291	-1	0	64	0	228	4
Precinct 7912 - None	363	1,065	463	9	0	87	0	367	4
Precinct 7913 - None	253	913	312	5	0	54	0	253	0
Precinct 7913 - None	321	913	378	8	0	49	0	321	0
Precinct 7914 - None	210	883	278	-1	0	65	0	214	4
Precinct 7914 - None	344	883	425	7	0	72	0	346	2
Precinct 7915 - None	226	831	266	1	0	39	0	226	0
Precinct 7915 - None	294	831	351	4	0	50	0	297	3
Precinct 7916 - None	219	888	284	5	0	56	0	223	4
Precinct 7916 - None	352	888	421	8	0	60	0	353	1
Precinct 7917 - None	247	1,015	315	3	0	56	0	256	9
Precinct 7917 - None	355	1,015	428	5	0	65	0	358	3
Precinct 7918 - None	189	836	253	3	0	53	0	197	8
Precinct 7918 - None	315	836	379	7	0	54	0	318	3
Precinct 7919 - None	238	895	309	2	0	64	0	243	5
Precinct 7919 - None	306	895	376	5	0	60	0	311	5
Precinct 7921 - None	167	917	232	3	1	58	0	170	3
Precinct 7921 - None	286	917	366	3	0	73	0	290	4
Precinct 7922 - None	203	831	250	1	0	44	0	205	2
Precinct 7922 - None	323	831	383	1	0	55	0	327	4
Precinct 7923 - None	222	885	262	0	0	39	0	223	1
Precinct 7923 - None	330	885	403	4	0	65	0	334	4
Precinct 7924 - None	185	842	238	1	0	49	0	188	3
Precinct 7924 - None	314	842	382	3	0	58	0	321	7
Precinct 7925 - None	120	567	156	0	0	36	0	120	0
Precinct 7925 - None	227	567	293	2	0	60	0	231	4
Precinct 7926 - None	191	795	229	0	0	36	0	193	2
Precinct 7926 - None	321	795	390	3	0	65	0	322	1
Precinct 7927 - None	190	747	241	1	0	46	0	194	4
Precinct 7927 - None	316	747	392	4	0	68	0	320	4
Precinct 7928 - None	238	931	284	1	1	40	0	242	4
Precinct 7928 - None	391	931	489	6	0	85	0	398	7
Precinct 7929 - None	208	864	248	0	0	39	0	209	1
Precinct 7929 - None	425	864	509	3	0	75	0	431	6
Precinct 7931 - None	176	738	219	0	0	40	0	179	3
Precinct 7931 - None	335	738	408	3	0	70	0	335	0
Precinct 7932 - None	127	551	157	1	0	27	0	129	2
Precinct 7932 - None	241	551	285	5	0	34	0	246	5
Precinct 7933 MB - None	2	6	4	0	0	2	0	2	0
Precinct 7934 - None	192	890	250	3	0	54	0	193	1
Precinct 7934 - None	402	890	472	4	0	64	0	404	2
Precinct 7935 - None	254	970	305	0	0	49	0	256	2
Precinct 7935 - None	443	970	519	8	0	61	0	450	7
Precinct 7936 - None	243	856	287	1	0	39	0	247	4
Precinct 7936 - None	365	856	428	3	0	58	0	367	2
Precinct 7937 - None	221	886	267	3	0	41	0	223	2
Precinct 7937 - None	353	886	435	7	1	64	0	363	10
Precinct 7938 - None	173	788	213	1	0	36	0	176	3
Precinct 7938 - None	277	788	337	4	0	54	0	279	2
Precinct 7939 - None	219	688	254	0	0	33	0	221	2
Precinct 7939 - None	262	688	326	5	0	58	0	263	1
Precinct 7941 - None	177	751	218	-2	0	41	0	179	2
Precinct 7941 - None	279	751	348	5	0	55	0	288	9
Precinct 7942 - None	206	914	259	0	0	49	0	210	4
Precinct 7942 - None	322	914	412	3	0	78	0	331	9
Precinct 7943 - None	189	872	258	6	0	58	0	194	5
Precinct 7943 - None	344	872	439	4	0	87	0	348	4
Precinct 7944 - None	207	801	243	0	0	33	0	210	3
Precinct 7944 - None	327	801	381	5	0	45	0	331	4
Precinct 7945 - None	143	915	186	0	0	41	0	145	2
Precinct 7945 - None	340	915	414	3	0	69	0	342	2
Precinct 7946 - None	145	945	183	0	0	34	0	149	4
Precinct 7946 - None	339	945	451	8	0	97	0	346	7
Precinct 7947 - None	132	946	182	0	0	49	0	133	1
Precinct 7947 - None	352	946	430	5	1	69	0	355	3
Precinct 7948 - None	163	928	210	0	0	39	0	171	8
Precinct 7948 - None	319	928	422	-4	0	99	0	327	8
Precinct 7949 - None	65	569	100	0	0	32	0	68	3
Precinct 7949 - None	210	569	292	3	0	74	0	215	5
Precinct 7951 - None	118	854	166	2	0	46	0	118	0
Precinct 7951 - None	311	854	425	7	0	97	0	321	10
Precinct 7952 - None	108	866	167	0	0	55	0	112	4
Precinct 7952 - None	288	866	359	5	0	56	0	298	10
Precinct 7953 - None	131	824	186	15	0	38	0	133	2
Precinct 7953 - None	307	824	402	5	0	82	0	315	8
Precinct 7955 - None	143	902	199	4	0	48	0	147	4
Precinct 7955 - None	331	902	435	6	0	91	0	338	7
Precinct 7956 - None	97	823	136	-2	0	39	0	99	2
Precinct 7956 - None	278	823	353	4	0	68	0	281	3
Precinct 7957 - None	112	646	147	-2	0	31	0	118	6
Precinct 7957 - None	246	646	298	1	0	44	0	253	7
Precinct 7958 MB - None	118	290	141	3	0	14	0	124	6
Precinct 7959 - None	121	727	160	4	0	35	0	121	0
Precinct 7959 - None	260	727	326	5	0	55	0	266	6
Precinct 9001 MB - None	119	273	142	1	0	21	0	120	1
Precinct 9101 - None	195	888	260	1	0	63	0	196	1
Precinct 9101 - None	350	888	438	11	0	75	0	352	2
Precinct 9102 - None	196	985	257	0	0	53	0	204	8
Precinct 9102 - None	378	985	471	8	0	80	0	383	5
Precinct 9103 - None	218	954	273	4	1	47	0	221	3
Precinct 9103 - None	346	954	431	12	0	69	0	350	4
Precinct 9104 - None	182	988	239	0	0	50	0	189	7
Precinct 9104 - None	378	988	465	2	0	80	0	383	5
Precinct 9105 - None	180	919	247	2	0	61	0	184	4
Precinct 9105 - None	382	919	488	3	0	95	0	390	8
Precinct 9106 - None	212	937	268	3	0	51	0	214	2
Precinct 9106 - None	383	937	497	7	0	104	0	386	3
Precinct 9107 - None	177	849	219	1	0	38	0	180	3
Precinct 9107 - None	295	849	372	3	0	70	0	299	4
Precinct 9108 - None	201	790	247	0	0	44	0	203	2
Precinct 9108 - None	300	790	373	10	0	59	0	304	4
Precinct 9109 - None	188	884	263	1	0	71	0	191	3
Precinct 9109 - None	332	884	428	5	0	84	0	339	7
Precinct 9111 - None	178	779	229	0	0	50	0	179	1
Precinct 9111 - None	272	779	346	5	0	65	0	276	4
Precinct 9112 - None	218	976	284	-1	0	64	0	221	3
Precinct 9112 - None	354	976	467	12	0	98	0	357	3
Precinct 9113 - None	238	999	311	2	0	70	0	239	1
Precinct 9113 - None	396	999	505	13	0	90	0	402	6
Precinct 9114 - None	198	877	263	0	0	63	0	200	2
Precinct 9114 - None	324	877	405	5	0	72	0	328	4
Precinct 9115 - None	198	911	258	3	0	56	0	199	1
Precinct 9115 - None	336	911	429	4	1	79	0	345	9
Precinct 9116 - None	226	944	281	2	0	48	0	231	5
Precinct 9116 - None	357	944	473	12	0	93	0	368	11
Precinct 9117 - None	174	783	222	0	0	47	0	175	1
Precinct 9117 - None	310	783	398	3	0	77	0	318	8
Precinct 9118 - None	206	974	286	-1	0	80	0	207	1
Precinct 9118 - None	314	974	426	9	0	99	0	318	4
Precinct 9119 - None	160	891	237	0	0	73	0	164	4
Precinct 9119 - None	344	891	447	14	0	84	0	349	5
Precinct 9121 - None	193	930	256	-1	0	59	0	198	5
Precinct 9121 - None	360	930	434	6	0	64	0	364	4
Precinct 9122 - None	152	953	210	1	0	55	0	154	2
Precinct 9122 - None	340	953	454	11	0	98	0	345	5
Precinct 9123 - None	175	858	232	0	0	49	0	183	8
Precinct 9123 - None	330	858	418	10	0	71	0	337	7
Precinct 9124 - None	150	874	202	0	0	47	0	155	5
Precinct 9124 - None	322	874	438	7	0	104	0	327	5
Precinct 9125 - None	170	861	210	1	0	38	0	171	1
Precinct 9125 - None	338	861	437	11	0	78	0	348	10
Precinct 9126 - None	191	1,015	245	-2	0	54	0	193	2
Precinct 9126 - None	410	1,015	533	7	0	105	0	421	11
Precinct 9127 - None	205	960	269	-1	0	63	0	207	2
Precinct 9127 - None	384	960	498	10	1	96	0	391	7
Precinct 9128 - None	198	828	248	-1	0	49	0	200	2
Precinct 9128 - None	310	828	412	7	0	91	0	314	4
Precinct 9129 - None	184	741	243	1	0	52	0	190	6
Precinct 9129 - None	280	741	348	3	0	56	0	289	9
Precinct 9131 - None	132	759	193	13	0	45	0	135	3
Precinct 9131 - None	311	759	403	6	0	82	0	315	4
Precinct 9132 - None	179	837	248	0	0	64	0	184	5
Precinct 9132 - None	291	837	371	4	0	71	0	296	5
Precinct 9133 - None	216	1,021	271	1	0	52	0	218	2
Precinct 9133 - None	401	1,021	503	7	0	90	0	406	5
Precinct 9134 - None	141	893	210	0	0	67	0	143	2
Precinct 9134 - None	361	893	469	12	0	93	0	364	3
Precinct 9135 - None	155	808	215	1	0	57	0	157	2
Precinct 9135 - None	277	808	389	10	0	94	0	285	8
Precinct 9136 - None	190	929	253	2	0	58	0	193	3
Precinct 9136 - None	355	929	439	10	0	65	0	364	9
Precinct 9137 - None	195	1,006	260	0	0	59	0	201	6
Precinct 9137 - None	356	1,006	467	6	0	99	0	362	6
Precinct 9138 - None	174	943	226	3	0	48	0	175	1
Precinct 9138 - None	376	943	477	3	0	93	0	381	5
Precinct 9139 - None	174	975	243	3	0	65	0	175	1
Precinct 9139 - None	395	975	510	10	0	98	0	402	7
Precinct 9141 - None	191	953	252	-1	0	62	0	191	0
Precinct 9141 - None	374	953	477	10	0	85	0	382	8
Precinct 9142 - None	231	966	276	0	0	44	0	232	1
Precinct 9142 - None	358	966	459	4	0	89	0	366	8
Precinct 9143 - None	193	920	251	13	0	43	0	195	2
Precinct 9143 - None	351	920	463	11	0	98	0	354	3
Precinct 9144 - None	229	962	293	1	0	59	0	233	4
Precinct 9144 - None	374	962	482	13	0	85	0	384	10
Precinct 9145 - None	204	861	249	1	0	41	0	207	3
Precinct 9145 - None	328	861	423	8	0	81	0	334	6
Precinct 9146 - None	188	885	245	0	0	54	0	191	3
Precinct 9146 - None	372	885	464	10	0	77	0	377	5
Precinct 9147 - None	214	971	281	0	0	63	0	218	4
Precinct 9147 - None	395	971	492	4	0	89	0	399	4
Precinct 9148 - None	258	1,034	325	8	0	56	0	261	3
Precinct 9148 - None	395	1,034	513	10	0	98	0	405	10
Precinct 9149 - None	203	948	264	0	0	57	0	207	4
Precinct 9149 - None	384	948	478	10	0	73	0	395	11
Precinct 9151 - None	179	872	227	0	0	42	0	185	6
Precinct 9151 - None	329	872	418	9	0	76	0	333	4
Precinct 9152 - None	214	721	270	-3	0	58	0	215	1
Precinct 9152 - None	230	721	279	4	0	42	0	233	3
Precinct 9201 - None	223	1,004	300	0	0	74	0	226	3
Precinct 9201 - None	375	1,004	475	3	0	89	0	383	8
Precinct 9202 - None	211	971	294	6	0	71	0	217	6
Precinct 9202 - None	329	971	426	1	1	87	0	337	8
Precinct 9203 - None	151	1,002	239	-1	0	87	0	153	2
Precinct 9203 - None	365	1,002	536	12	0	152	0	372	7
Precinct 9204 - None	174	873	273	17	0	81	0	175	1
Precinct 9204 - None	275	873	393	4	0	106	0	283	8
Precinct 9205 - None	141	728	208	-1	0	67	0	142	1
Precinct 9205 - None	272	728	376	9	0	91	0	276	4
Precinct 9206 - None	159	931	249	3	0	86	0	160	1
Precinct 9206 - None	323	931	479	9	1	142	0	327	4
Precinct 9207 - None	160	981	262	1	0	90	0	171	11
Precinct 9207 - None	338	981	502	11	0	144	0	347	9
Precinct 9208 - None	196	1,002	287	0	0	88	0	199	3
Precinct 9208 - None	358	1,002	491	8	0	123	0	360	2
Precinct 9209 - None	166	711	245	1	0	75	0	169	3
Precinct 9209 - None	240	711	327	8	0	76	0	243	3
Precinct 9211 - None	155	889	234	0	0	79	0	155	0
Precinct 9211 - None	291	889	432	5	0	130	0	297	6
Precinct 9212 - None	167	803	234	0	0	66	0	168	1
Precinct 9212 - None	281	803	400	8	0	107	0	285	4
Precinct 9213 - None	196	951	264	1	0	67	0	196	0
Precinct 9213 - None	348	951	508	14	0	142	0	352	4
Precinct 9214 - None	107	640	166	0	0	55	0	111	4
Precinct 9214 - None	252	640	334	2	0	77	0	255	3
Precinct 9215 - None	124	652	194	3	0	65	0	126	2
Precinct 9215 - None	220	652	327	5	0	98	0	224	4
Precinct 9216 - None	164	845	246	0	0	80	0	166	2
Precinct 9216 - None	271	845	379	3	0	99	0	277	6
Precinct 9217 - None	138	698	194	0	0	54	0	140	2
Precinct 9217 - None	244	698	349	6	0	91	0	252	8
Precinct 9218 - None	170	841	249	1	0	76	0	172	2
Precinct 9218 - None	295	841	412	8	0	106	0	298	3
Precinct 9219 - None	175	802	242	-2	0	67	0	177	2
Precinct 9219 - None	294	802	399	9	0	93	0	297	3
Precinct 9221 - None	104	651	145	0	0	41	0	104	0
Precinct 9221 - None	293	651	399	4	0	99	0	296	3
Precinct 9222 - None	158	883	249	11	0	80	0	158	0
Precinct 9222 - None	322	883	449	9	0	114	0	326	4
Precinct 9223 - None	117	638	160	0	0	42	0	118	1
Precinct 9223 - None	231	638	338	7	0	98	0	233	2
Precinct 9224 - None	180	960	263	2	0	78	0	183	3
Precinct 9224 - None	352	960	506	18	0	129	0	359	7
Precinct 9225 - None	194	958	299	0	0	102	0	197	3
Precinct 9225 - None	327	958	469	5	0	131	0	333	6
Precinct 9226 - None	195	926	271	1	0	73	0	197	2
Precinct 9226 - None	343	926	486	8	0	129	0	349	6
Precinct 9227 - None	138	738	188	1	0	48	0	139	1
Precinct 9227 - None	311	738	404	8	1	82	0	313	2
Precinct 9228 - None	133	747	189	0	0	54	0	135	2
Precinct 9228 - None	311	747	424	4	1	99	0	320	9
Precinct 9229 - None	122	598	162	0	0	39	0	123	1
Precinct 9229 - None	237	598	316	4	0	72	0	240	3
Precinct 9231 - None	237	953	313	4	0	65	0	244	7
Precinct 9231 - None	376	953	488	3	0	106	0	379	3
Precinct 9232 - None	147	735	212	0	1	63	0	148	1
Precinct 9232 - None	317	735	396	2	0	70	0	324	7
Precinct 9233 - None	152	793	209	0	0	56	0	153	1
Precinct 9233 - None	318	793	434	6	0	106	0	322	4
Precinct 9234 - None	133	746	187	0	0	54	0	133	0
Precinct 9234 - None	322	746	438	13	0	101	0	324	2
Precinct 9235 - None	189	884	239	0	0	50	0	189	0
Precinct 9235 - None	354	884	488	7	0	124	0	357	3
Precinct 9236 - None	142	683	201	0	0	57	0	144	2
Precinct 9236 - None	263	683	358	8	0	84	0	266	3
Precinct 9237 - None	151	936	229	5	0	71	0	153	2
Precinct 9237 - None	398	936	539	4	1	132	0	402	4
Precinct 9238 - None	154	842	230	21	0	55	0	154	0
Precinct 9238 - None	323	842	456	5	0	121	0	330	7
Precinct 9239 - None	137	881	200	7	0	54	0	139	2
Precinct 9239 - None	348	881	499	9	0	139	0	351	3
Precinct 9241 - None	176	1,005	255	2	0	76	0	177	1
Precinct 9241 - None	442	1,005	578	11	0	123	0	444	2
Precinct 9242 - None	187	972	277	2	0	84	0	191	4
Precinct 9242 - None	379	972	513	9	0	122	0	382	3
Precinct 9243 - None	138	594	193	0	0	54	0	139	1
Precinct 9243 - None	242	594	307	0	0	63	0	244	2
Precinct 9244 - None	188	903	255	1	0	64	0	190	2
Precinct 9244 - None	361	903	485	6	0	114	0	365	4
Precinct 9245 - None	149	742	209	1	0	57	0	151	2
Precinct 9245 - None	289	742	375	7	1	76	0	291	2
Precinct 9246 - None	180	929	257	0	0	76	0	181	1
Precinct 9246 - None	379	929	528	10	0	137	0	381	2
Precinct 9247 - None	190	927	264	1	0	70	0	193	3
Precinct 9247 - None	384	927	515	6	0	120	0	389	5
