Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7009 - None	55	101	905	185	0	1	27	157	1
Precinct 7009 - None	119	294	905	513	0	0	99	414	1
Precinct 7011 - None	58	109	985	204	0	3	32	169	2
Precinct 7011 - None	70	165	985	294	0	0	56	238	3
Precinct 7012 - None	83	167	1,109	313	0	0	62	251	1
Precinct 7012 - None	154	309	1,109	594	0	3	121	470	7
Precinct 7013 - None	81	105	956	267	0	0	79	188	2
Precinct 7013 - None	141	249	956	501	0	3	107	391	1
Precinct 7014 - None	105	174	1,460	367	0	1	86	280	1
Precinct 7014 - None	185	428	1,460	802	0	3	185	614	1
Precinct 7015 MB - None	9	26	95	44	0	0	9	35	0
Precinct 7016 - None	46	103	918	171	0	2	20	149	0
Precinct 7016 - None	63	141	918	280	0	5	65	210	6
Precinct 7017 - None	41	69	754	149	0	1	35	113	3
Precinct 7017 - None	50	164	754	252	0	0	36	216	2
Precinct 7018 - None	26	96	977	155	0	1	30	124	2
Precinct 7018 - None	131	216	977	448	0	1	96	351	4
Precinct 7019 - None	37	112	899	182	0	1	30	151	2
Precinct 7019 - None	85	248	899	413	0	3	73	337	4
Precinct 7021 - None	45	104	947	184	0	1	28	155	6
Precinct 7021 - None	76	185	947	305	0	4	38	263	2
Precinct 7022 - None	42	124	945	215	0	5	44	166	0
Precinct 7022 - None	82	214	945	352	0	2	50	300	4
Precinct 7023 - None	41	107	928	178	0	1	28	149	1
Precinct 7023 - None	68	258	928	400	0	6	64	330	4
Precinct 7024 - None	15	36	414	70	0	2	16	52	1
Precinct 7024 - None	25	37	414	78	0	0	15	63	1
Precinct 7025 - None	15	54	477	85	0	1	15	69	0
Precinct 7025 - None	29	81	477	128	0	0	16	112	2
Precinct 7026 - None	36	75	1,011	149	0	0	36	113	2
Precinct 7026 - None	118	236	1,011	455	0	4	92	359	5
Precinct 7027 - None	41	118	869	195	0	2	33	160	1
Precinct 7027 - None	99	195	869	353	0	2	54	297	3
Precinct 7028 - None	41	146	850	213	0	1	24	188	1
Precinct 7028 - None	47	186	850	282	0	0	47	235	2
Precinct 7029 - None	38	101	901	184	0	0	42	142	3
Precinct 7029 - None	52	161	901	251	0	3	34	214	1
Precinct 7030 - None	39	49	759	119	0	0	30	89	1
Precinct 7030 - None	110	161	759	357	0	5	77	275	4
Precinct 7031 - None	24	45	641	91	0	1	19	71	2
Precinct 7031 - None	83	171	641	309	0	0	53	256	2
Precinct 7032 - None	32	107	904	173	1	1	32	139	0
Precinct 7032 - None	79	199	904	316	0	3	34	279	1
Precinct 7033 - None	45	110	798	191	0	1	32	158	3
Precinct 7033 - None	72	141	798	247	0	3	31	213	0
Precinct 7034 - None	49	96	958	197	0	1	49	147	2
Precinct 7034 - None	46	120	958	201	0	2	28	171	5
Precinct 7035 - None	33	73	606	122	0	0	16	106	0
Precinct 7035 - None	66	153	606	262	0	2	38	222	3
Precinct 7036 - None	37	66	921	117	0	1	13	103	0
Precinct 7036 - None	124	140	921	342	0	2	74	266	2
Precinct 7037 - None	35	57	735	135	0	1	38	96	4
Precinct 7037 - None	23	52	735	98	0	1	20	77	2
