Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7632 - None	138	309	1,124	561	0	0	110	451	4
Precinct 7633 - None	38	63	741	137	0	0	35	102	1
Precinct 7633 - None	94	181	741	392	0	2	112	278	3
Precinct 7634 - None	52	89	900	195	0	2	51	142	1
Precinct 7634 - None	132	190	900	421	0	3	93	325	3
Precinct 7635 - None	37	77	840	158	0	3	41	114	0
Precinct 7635 - None	93	197	840	382	0	2	86	294	4
Precinct 7636 - None	60	110	938	251	0	0	81	170	0
Precinct 7636 - None	134	208	938	465	0	2	119	344	2
Precinct 7637 - None	61	70	809	193	0	1	59	133	2
Precinct 7637 - None	116	179	809	404	0	0	109	295	0
Precinct 7638 - None	96	106	1,467	295	0	0	93	202	0
Precinct 7638 - None	273	361	1,467	871	1	2	231	637	3
Precinct 7639 - None	63	97	1,011	242	0	1	80	161	1
Precinct 7639 - None	169	250	1,011	559	0	1	137	421	2
Precinct 7641 - None	61	87	972	205	0	2	53	150	2
Precinct 7641 - None	164	260	972	549	0	1	123	425	1
Precinct 7642 - None	44	69	937	153	0	0	39	114	1
Precinct 7642 - None	109	149	937	394	0	0	134	260	2
Precinct 7643 - None	33	88	920	169	0	1	43	125	4
Precinct 7643 - None	143	264	920	507	0	3	94	410	3
Precinct 7644 - None	92	149	1,175	330	0	1	87	242	1
Precinct 7644 - None	136	286	1,175	554	0	2	129	423	1
Precinct 7645 - None	36	56	640	120	0	0	26	94	2
Precinct 7645 - None	119	138	640	377	0	1	118	258	1
Precinct 7646 - None	68	114	1,100	267	0	1	82	184	2
Precinct 7646 - None	128	322	1,100	592	0	1	138	453	3
Precinct 7647 - None	67	94	1,075	205	0	1	41	163	2
Precinct 7647 - None	62	157	1,075	283	0	5	56	222	3
Precinct 7648 MB - None	0	0	1	0	0	0	0	0	0
Precinct 7649 - None	50	82	891	178	0	0	44	134	2
Precinct 7649 - None	107	194	891	395	0	3	88	304	3
Precinct 7651 - None	43	58	677	166	1	2	60	103	2
Precinct 7651 - None	113	132	677	351	0	1	100	250	5
Precinct 7652 - None	45	49	628	135	0	0	40	95	1
Precinct 7652 - None	81	141	628	301	0	1	78	222	0
Precinct 7653 - None	79	130	1,280	300	0	1	88	211	2
Precinct 7653 - None	190	294	1,280	673	0	3	183	487	3
Precinct 7701 - None	81	160	1,064	296	0	1	53	242	1
Precinct 7701 - None	136	315	1,064	597	0	1	144	452	1
Precinct 7702 - None	52	87	748	180	0	1	39	140	1
Precinct 7702 - None	96	214	748	415	0	6	95	314	4
Precinct 7703 MB - None	20	34	171	79	0	3	22	54	0
Precinct 7704 - None	82	119	1,008	257	0	0	55	202	1
Precinct 7704 - None	155	285	1,008	557	0	4	112	441	1
Precinct 7705 - None	54	70	568	149	0	0	25	124	0
Precinct 7705 - None	112	155	568	335	0	3	63	269	2
Precinct 7706 - None	65	152	840	252	0	0	34	218	1
Precinct 7706 - None	132	243	840	467	0	0	89	378	3
Precinct 7707 - None	71	129	857	241	1	0	39	201	1
Precinct 7707 - None	120	271	857	495	0	0	102	393	2
Precinct 7708 - None	56	108	871	205	0	0	40	165	1
Precinct 7708 - None	131	317	871	540	0	2	86	452	4
Precinct 7709 - None	27	58	391	102	0	0	17	85	0
Precinct 7709 - None	52	132	391	222	0	1	37	184	0
Precinct 7711 - None	46	112	766	198	0	0	40	158	0
Precinct 7711 - None	104	225	766	422	0	3	87	332	3
Precinct 7712 - None	34	90	529	149	0	0	25	124	0
Precinct 7712 - None	65	187	529	296	0	1	41	254	2
Precinct 7801 - None	85	121	1,001	264	1	0	56	207	1
Precinct 7801 - None	160	317	1,001	596	0	1	116	479	2
Precinct 7802 - None	53	119	788	230	0	0	57	173	1
Precinct 7802 - None	116	231	788	458	0	3	105	350	3
Precinct 7803 - None	32	99	828	174	0	2	40	132	1
Precinct 7803 - None	149	285	828	552	0	1	116	435	1
Precinct 7804 - None	51	140	893	257	0	1	65	191	0
Precinct 7804 - None	130	292	893	533	0	0	108	425	3
Precinct 7805 - None	40	142	825	228	0	0	46	182	0
Precinct 7805 - None	114	280	825	484	0	3	86	395	1
Precinct 7806 - None	39	123	716	208	2	0	41	165	3
Precinct 7806 - None	101	229	716	407	0	3	72	332	2
Precinct 7807 - None	74	159	844	276	0	0	42	234	1
Precinct 7807 - None	84	243	844	417	0	0	89	328	1
Precinct 7808 - None	40	126	655	211	0	1	44	166	0
Precinct 7808 - None	59	199	655	333	0	1	72	260	2
Precinct 7809 - None	52	132	781	238	0	1	51	186	2
Precinct 7809 - None	77	235	781	405	0	3	87	315	3
Precinct 7811 - None	57	136	783	249	0	2	54	193	0
Precinct 7811 - None	76	238	783	404	0	2	85	317	3
Precinct 7812 - None	70	134	877	257	0	1	51	205	1
Precinct 7812 - None	100	250	877	454	0	1	100	353	3
Precinct 7813 - None	59	176	1,064	308	1	2	68	237	2
Precinct 7813 - None	109	357	1,064	585	0	0	118	467	1
Precinct 7814 - None	56	120	936	228	0	1	49	178	2
Precinct 7814 - None	86	200	936	341	0	2	51	288	2
Precinct 7815 - None	52	139	954	238	0	0	45	193	2
Precinct 7815 - None	126	338	954	573	0	1	105	467	3
Precinct 7816 - None	47	133	865	236	0	1	52	183	3
Precinct 7816 - None	112	305	865	531	1	3	106	421	4
Precinct 7817 - None	58	162	823	277	0	0	57	220	0
Precinct 7817 - None	79	268	823	439	0	2	89	348	1
Precinct 7818 - None	52	130	860	234	0	0	49	185	3
Precinct 7818 - None	99	261	860	452	2	1	88	361	1
Precinct 7819 - None	44	104	793	191	0	2	41	148	0
Precinct 7819 - None	118	218	793	420	0	3	79	338	2
Precinct 7821 - None	48	141	985	248	0	0	59	189	0
Precinct 7821 - None	143	362	985	630	0	4	116	510	5
Precinct 7822 - None	60	168	908	275	0	1	46	228	0
Precinct 7822 - None	107	279	908	480	0	0	91	389	3
Precinct 7823 - None	45	169	879	270	6	0	49	215	1
Precinct 7823 - None	99	289	879	501	0	4	108	389	1
Precinct 7824 - None	62	130	768	247	0	2	53	192	0
Precinct 7824 - None	84	209	768	383	0	3	82	298	5
Precinct 7825 - None	41	109	597	191	0	0	40	151	1
Precinct 7825 - None	58	190	597	302	0	1	53	248	0
Precinct 7826 - None	63	149	684	258	0	0	46	212	0
Precinct 7826 - None	66	183	684	319	0	1	68	250	1
Precinct 7827 - None	59	149	831	261	0	1	51	209	1
Precinct 7827 - None	71	205	831	361	0	0	82	279	3
Precinct 7828 - None	68	142	1,018	261	0	1	50	210	0
Precinct 7828 - None	135	305	1,018	549	0	2	106	441	1
Precinct 7829 - None	73	115	907	237	1	0	47	189	1
Precinct 7829 - None	122	313	907	557	0	3	113	441	6
Precinct 7831 - None	51	139	882	233	0	0	41	192	2
Precinct 7831 - None	126	314	882	544	0	4	97	443	3
Precinct 7832 - None	45	106	780	188	0	0	34	154	3
Precinct 7832 - None	104	285	780	488	0	0	99	389	0
Precinct 7833 - None	50	124	747	230	0	0	55	175	1
Precinct 7833 - None	73	249	747	412	0	1	87	324	2
Precinct 7834 - None	57	171	867	277	0	0	48	229	1
Precinct 7834 - None	82	275	867	439	0	2	80	357	0
Precinct 7835 - None	49	109	847	211	0	0	51	160	2
Precinct 7835 - None	112	297	847	505	1	4	88	412	3
Precinct 7836 - None	70	130	1,023	260	0	3	57	200	0
Precinct 7836 - None	148	351	1,023	623	0	2	120	501	2
Precinct 7837 - None	54	153	911	260	0	1	51	208	1
Precinct 7837 - None	118	271	911	509	2	4	112	391	2
Precinct 7838 - None	64	141	926	239	0	0	33	206	1
Precinct 7838 - None	127	303	926	546	0	2	113	431	1
Precinct 7839 - None	57	102	842	205	0	1	45	159	0
Precinct 7839 - None	137	264	842	515	0	1	108	406	5
Precinct 7841 - None	61	160	937	291	0	0	70	221	0
Precinct 7841 - None	116	311	937	526	0	2	95	429	2
Precinct 7842 - None	64	156	903	283	0	0	62	221	1
Precinct 7842 - None	94	251	903	434	0	1	87	346	1
Precinct 7843 - None	47	139	767	232	0	0	45	187	1
Precinct 7843 - None	71	233	767	380	0	0	73	307	3
Precinct 7844 - None	47	113	663	196	0	0	35	161	1
Precinct 7844 - None	55	198	663	329	0	1	71	257	4
Precinct 7845 - None	66	122	849	241	0	0	51	190	2
Precinct 7845 - None	99	264	849	469	0	1	98	370	7
Precinct 7846 - None	69	126	904	262	0	0	67	195	0
Precinct 7846 - None	123	275	904	509	0	3	105	401	3
Precinct 7847 - None	71	132	929	261	0	0	57	204	1
Precinct 7847 - None	115	313	929	529	0	1	100	428	0
Precinct 7848 - None	59	125	834	233	0	0	49	184	0
Precinct 7848 - None	118	266	834	491	0	1	104	386	2
Precinct 7849 - None	45	154	929	264	0	0	63	201	2
Precinct 7849 - None	131	285	929	522	0	0	105	417	1
Precinct 7851 - None	39	69	513	136	0	0	28	108	0
Precinct 7851 - None	84	157	513	298	0	1	54	243	2
Precinct 7852 - None	43	75	647	143	0	0	24	119	1
Precinct 7852 - None	90	223	647	394	0	1	78	315	2
Precinct 7853 - None	57	122	850	214	0	0	32	182	3
Precinct 7853 - None	108	271	850	479	0	3	92	384	5
Precinct 7854 - None	55	142	894	248	0	1	49	198	1
Precinct 7854 - None	127	263	894	500	0	1	104	395	5
Precinct 7855 - None	67	165	986	301	0	1	66	234	2
Precinct 7855 - None	127	273	986	522	0	4	117	401	1
Precinct 7856 - None	55	163	800	265	0	1	46	218	0
Precinct 7856 - None	87	266	800	425	0	2	68	355	2
Precinct 7857 - None	60	155	933	276	0	0	60	216	1
Precinct 7857 - None	108	296	933	517	0	3	108	406	2
Precinct 7858 - None	44	156	775	245	0	1	43	201	1
Precinct 7858 - None	80	242	775	394	0	1	68	325	3
Precinct 7859 - None	76	125	891	250	0	1	48	201	0
Precinct 7859 - None	135	265	891	513	0	3	107	403	3
Precinct 7861 - None	57	114	859	217	0	0	44	173	2
Precinct 7861 - None	133	269	859	510	0	0	107	403	1
Precinct 7862 - None	75	178	866	302	0	1	47	254	1
Precinct 7862 - None	110	269	866	472	0	1	90	381	2
Precinct 7863 - None	66	178	907	311	0	0	64	247	3
Precinct 7863 - None	100	259	907	440	0	3	75	362	3
Precinct 7864 - None	50	145	807	232	0	0	35	197	2
Precinct 7864 - None	106	238	807	427	0	1	80	346	2
Precinct 7865 - None	48	145	823	241	0	1	45	195	2
Precinct 7865 - None	98	261	823	463	0	0	101	362	3
Precinct 7866 - None	55	117	836	209	0	1	34	174	2
Precinct 7866 - None	143	245	836	491	0	3	97	391	3
Precinct 7867 - None	63	150	955	266	0	1	49	216	3
Precinct 7867 - None	139	276	955	512	0	1	91	420	5
Precinct 7868 - None	54	136	881	242	0	3	49	190	0
Precinct 7868 - None	123	258	881	449	1	4	62	382	1
Precinct 7869 - None	45	136	867	239	0	1	55	183	2
Precinct 7869 - None	117	268	867	489	0	0	102	387	2
Precinct 7871 - None	59	152	900	259	0	0	46	213	2
Precinct 7871 - None	132	278	900	502	2	0	88	412	2
Precinct 7872 - None	68	152	862	288	0	1	63	224	4
Precinct 7872 - None	114	265	862	472	0	1	87	384	5
Precinct 7873 - None	50	168	861	257	0	1	37	219	1
Precinct 7873 - None	128	286	861	502	0	1	85	416	2
Precinct 7874 - None	35	80	477	137	0	0	20	117	2
Precinct 7874 - None	55	137	477	256	1	4	58	193	1
Precinct 7875 - None	46	94	623	180	0	0	38	142	2
Precinct 7875 - None	50	171	623	285	0	1	62	222	1
Precinct 7876 - None	31	74	498	154	10	0	39	105	0
Precinct 7876 - None	55	151	498	269	0	1	61	207	1
Precinct 7901 - None	33	72	522	136	0	3	27	106	1
Precinct 7901 - None	53	100	522	198	0	3	38	157	4
Precinct 7902 - None	66	132	968	258	0	1	58	199	1
Precinct 7902 - None	84	233	968	401	0	2	81	318	1
Precinct 7903 - None	46	97	840	201	0	1	56	144	1
Precinct 7903 - None	87	192	840	350	0	2	68	280	1
Precinct 7904 - None	49	114	877	212	0	3	42	167	4
Precinct 7904 - None	100	202	877	403	0	0	100	303	1
Precinct 7905 - None	51	139	851	254	0	0	62	192	2
Precinct 7905 - None	78	239	851	409	1	3	86	319	2
Precinct 7906 - None	46	137	787	245	0	1	60	184	1
Precinct 7906 - None	71	183	787	335	0	0	76	259	5
Precinct 7907 - None	50	161	950	278	0	1	64	213	2
Precinct 7907 - None	83	252	950	425	0	2	87	336	1
Precinct 7908 - None	75	134	949	284	0	3	70	211	2
Precinct 7908 - None	102	208	949	408	0	2	92	314	4
Precinct 7909 - None	47	150	733	251	0	1	50	200	3
Precinct 7909 - None	50	198	733	303	0	2	52	249	1
Precinct 7911 - None	73	117	860	244	0	1	48	195	5
Precinct 7911 - None	100	223	860	395	0	0	71	324	1
Precinct 7912 - None	69	155	1,065	291	0	2	64	225	1
Precinct 7912 - None	100	263	1,065	463	0	0	96	367	4
Precinct 7913 - None	61	201	913	312	0	1	46	265	3
Precinct 7913 - None	79	225	913	378	0	0	69	309	5
Precinct 7914 - None	59	157	883	278	0	0	57	221	5
Precinct 7914 - None	73	266	883	425	0	6	77	342	3
Precinct 7915 - None	53	158	831	266	0	2	51	213	2
Precinct 7915 - None	83	203	831	351	0	1	61	289	3
Precinct 7916 - None	58	170	888	284	0	1	54	229	1
Precinct 7916 - None	95	253	888	421	0	2	70	349	1
Precinct 7917 - None	75	187	1,015	315	0	1	51	263	1
Precinct 7917 - None	80	269	1,015	428	0	3	73	352	3
Precinct 7918 - None	48	147	836	253	0	1	54	198	3
Precinct 7918 - None	77	228	836	379	0	1	71	307	2
Precinct 7919 - None	70	178	895	309	0	4	57	248	0
Precinct 7919 - None	74	232	895	376	0	0	68	308	2
Precinct 7921 - None	63	133	917	232	0	2	32	198	2
Precinct 7921 - None	88	203	917	366	0	2	72	292	1
Precinct 7922 - None	46	154	831	250	0	0	48	202	2
Precinct 7922 - None	74	242	831	383	0	0	66	317	1
Precinct 7923 - None	46	170	885	262	0	1	44	217	1
Precinct 7923 - None	85	258	885	403	0	1	59	343	0
Precinct 7924 - None	40	146	842	238	0	1	50	187	1
Precinct 7924 - None	78	239	842	382	0	3	60	319	2
Precinct 7925 - None	39	86	567	156	0	0	29	127	2
Precinct 7925 - None	58	178	567	293	0	1	55	237	1
Precinct 7926 - None	37	149	795	229	0	1	41	187	1
Precinct 7926 - None	90	229	795	390	0	1	68	321	2
Precinct 7927 - None	53	142	747	241	0	0	42	199	4
Precinct 7927 - None	65	249	747	392	0	0	77	315	1
Precinct 7928 - None	47	187	931	284	0	0	49	235	1
Precinct 7928 - None	94	313	931	489	0	5	75	409	2
Precinct 7929 - None	56	151	864	248	0	2	38	208	1
Precinct 7929 - None	98	313	864	509	1	2	94	412	1
Precinct 7931 - None	45	129	738	219	0	0	42	177	3
Precinct 7931 - None	74	273	738	408	0	2	56	350	3
Precinct 7932 - None	30	100	551	157	1	0	26	130	0
Precinct 7932 - None	62	162	551	285	0	1	59	225	1
Precinct 7933 MB - None	0	2	6	4	0	0	2	2	0
Precinct 7934 - None	53	144	890	250	0	1	50	199	2
Precinct 7934 - None	85	318	890	472	0	3	63	406	3
Precinct 7935 - None	42	205	970	305	0	1	57	247	0
Precinct 7935 - None	107	298	970	519	0	1	111	407	2
Precinct 7936 - None	53	189	856	287	0	2	42	243	1
Precinct 7936 - None	75	274	856	428	0	1	73	354	5
Precinct 7937 - None	46	164	886	267	0	3	49	215	5
Precinct 7937 - None	69	275	886	435	0	3	86	346	2
Precinct 7938 - None	47	132	788	213	0	0	34	179	0
Precinct 7938 - None	57	226	788	337	0	0	53	284	1
Precinct 7939 - None	45	173	688	254	0	0	36	218	0
Precinct 7939 - None	69	189	688	326	0	2	63	261	3
Precinct 7941 - None	41	130	751	218	0	1	42	175	4
Precinct 7941 - None	60	218	751	348	0	0	68	280	2
Precinct 7942 - None	67	147	914	259	1	2	36	220	6
Precinct 7942 - None	106	236	914	412	0	2	67	343	1
Precinct 7943 - None	75	133	872	258	4	1	45	208	0
Precinct 7943 - None	118	240	872	439	0	2	78	359	1
Precinct 7944 - None	41	163	801	243	0	2	34	207	3
Precinct 7944 - None	69	245	801	381	0	1	62	318	4
Precinct 7945 - None	41	106	915	186	0	1	38	147	0
Precinct 7945 - None	93	262	915	414	0	2	54	358	3
Precinct 7946 - None	50	102	945	183	0	0	29	154	2
Precinct 7946 - None	127	230	945	451	0	3	88	360	3
Precinct 7947 - None	51	93	946	182	0	2	36	144	0
Precinct 7947 - None	131	193	946	430	0	2	102	326	2
Precinct 7948 - None	56	116	928	210	0	0	36	174	2
Precinct 7948 - None	110	219	928	422	0	3	89	330	1
Precinct 7949 - None	34	42	569	100	0	0	22	78	2
Precinct 7949 - None	81	140	569	292	0	1	68	223	2
Precinct 7951 - None	32	94	854	166	0	1	39	126	0
Precinct 7951 - None	126	179	854	425	0	1	108	316	11
Precinct 7952 - None	60	71	866	167	0	0	34	133	2
Precinct 7952 - None	103	171	866	359	0	3	78	278	4
Precinct 7953 - None	54	87	824	186	2	1	39	144	3
Precinct 7953 - None	109	206	824	402	0	0	81	321	6
Precinct 7955 - None	38	115	902	199	0	4	42	153	0
Precinct 7955 - None	127	222	902	435	0	3	76	356	7
Precinct 7956 - None	30	72	823	136	0	0	33	103	1
Precinct 7956 - None	108	160	823	353	0	5	76	272	4
Precinct 7957 - None	28	90	646	147	0	1	24	122	4
Precinct 7957 - None	63	185	646	298	0	1	49	248	0
Precinct 7958 MB - None	37	79	290	141	0	0	22	119	3
Precinct 7959 - None	35	89	727	160	0	0	36	124	0
Precinct 7959 - None	78	182	727	326	0	2	60	264	4
Precinct 9001 MB - None	41	80	273	142	0	1	16	125	4
Precinct 9101 - None	68	141	888	260	0	0	51	209	0
Precinct 9101 - None	120	213	888	438	0	5	98	335	2
Precinct 9102 - None	69	135	985	257	0	1	51	205	1
Precinct 9102 - None	128	268	985	471	0	1	72	398	2
Precinct 9103 - None	85	122	954	273	0	1	59	213	6
Precinct 9103 - None	112	208	954	431	0	0	108	323	3
Precinct 9104 - None	60	120	988	239	0	1	56	182	2
Precinct 9104 - None	123	236	988	465	0	0	103	362	3
Precinct 9105 - None	67	125	919	247	0	0	53	194	2
Precinct 9105 - None	153	241	919	488	0	1	91	396	2
Precinct 9106 - None	82	136	937	268	1	0	48	219	1
Precinct 9106 - None	135	255	937	497	0	1	106	390	0
Precinct 9107 - None	49	127	849	219	0	0	41	178	2
Precinct 9107 - None	96	193	849	372	0	1	80	291	2
Precinct 9108 - None	62	145	790	247	0	2	38	207	0
Precinct 9108 - None	72	220	790	373	1	0	78	294	2
Precinct 9109 - None	71	122	884	263	0	0	68	195	2
Precinct 9109 - None	99	232	884	428	0	0	95	333	2
Precinct 9111 - None	55	119	779	229	0	2	51	176	2
Precinct 9111 - None	83	175	779	346	0	2	85	259	1
Precinct 9112 - None	69	145	976	284	0	0	67	217	3
Precinct 9112 - None	121	236	976	467	0	2	106	359	2
Precinct 9113 - None	87	163	999	311	0	1	59	251	1
Precinct 9113 - None	145	260	999	505	0	0	99	406	1
Precinct 9114 - None	76	128	877	263	0	1	57	205	1
Precinct 9114 - None	110	208	877	405	0	1	86	318	0
Precinct 9115 - None	51	144	911	258	0	0	62	196	1
Precinct 9115 - None	88	246	911	429	0	2	90	337	3
Precinct 9116 - None	86	137	944	281	1	0	51	229	6
Precinct 9116 - None	91	248	944	473	0	2	129	342	3
Precinct 9117 - None	54	126	783	222	0	1	41	180	0
Precinct 9117 - None	108	210	783	398	0	3	76	319	1
Precinct 9118 - None	69	149	974	286	0	0	67	219	1
Precinct 9118 - None	98	221	974	426	0	4	100	322	3
Precinct 9119 - None	60	108	891	237	0	0	66	171	3
Precinct 9119 - None	122	230	891	447	0	4	88	355	3
Precinct 9121 - None	67	132	930	256	0	1	52	203	4
Precinct 9121 - None	100	236	930	434	0	0	94	340	4
Precinct 9122 - None	47	106	953	210	0	0	57	153	0
Precinct 9122 - None	113	211	953	454	0	1	128	325	1
Precinct 9123 - None	62	120	858	232	0	2	44	186	4
Precinct 9123 - None	129	204	858	418	0	1	81	336	3
Precinct 9124 - None	52	103	874	202	0	1	41	160	5
Precinct 9124 - None	122	207	874	438	0	1	105	332	3
Precinct 9125 - None	52	103	861	210	0	0	54	156	1
Precinct 9125 - None	105	224	861	437	0	1	105	331	2
Precinct 9126 - None	51	130	1,015	245	0	0	63	182	1
Precinct 9126 - None	142	259	1,015	533	0	1	126	406	5
Precinct 9127 - None	68	139	960	269	0	1	59	209	2
Precinct 9127 - None	142	236	960	498	0	0	119	379	1
Precinct 9128 - None	74	113	828	248	0	1	58	189	2
Precinct 9128 - None	109	215	828	412	0	2	83	327	3
Precinct 9129 - None	62	125	741	243	0	2	54	187	0
Precinct 9129 - None	103	170	741	348	0	1	72	275	2
Precinct 9131 - None	55	92	759	193	0	0	45	148	1
Precinct 9131 - None	99	217	759	403	0	1	86	316	0
Precinct 9132 - None	49	138	837	248	0	1	57	190	3
Precinct 9132 - None	82	204	837	371	0	0	83	288	2
Precinct 9133 - None	63	166	1,021	271	0	1	41	229	0
Precinct 9133 - None	117	279	1,021	503	0	6	96	401	5
Precinct 9134 - None	54	104	893	210	0	2	50	158	0
Precinct 9134 - None	124	224	893	469	0	0	117	352	4
Precinct 9135 - None	62	108	808	215	0	1	44	170	0
Precinct 9135 - None	119	180	808	389	0	1	89	299	0
Precinct 9136 - None	68	118	929	253	0	0	65	188	2
Precinct 9136 - None	105	227	929	439	0	2	103	334	2
Precinct 9137 - None	83	122	1,006	260	0	0	52	208	3
Precinct 9137 - None	120	241	1,006	467	0	3	99	365	4
Precinct 9138 - None	66	110	943	226	1	1	48	176	0
Precinct 9138 - None	143	253	943	477	1	1	73	402	6
Precinct 9139 - None	66	122	975	243	0	1	53	189	1
Precinct 9139 - None	164	236	975	510	0	2	105	403	3
Precinct 9141 - None	68	128	953	252	0	1	53	198	2
Precinct 9141 - None	127	246	953	477	0	2	99	376	3
Precinct 9142 - None	70	147	966	276	0	0	58	218	1
Precinct 9142 - None	96	277	966	459	0	0	85	374	1
Precinct 9143 - None	66	133	920	251	0	0	51	200	1
Precinct 9143 - None	116	226	920	463	0	4	116	343	1
Precinct 9144 - None	90	149	962	293	0	0	53	240	1
Precinct 9144 - None	122	264	962	482	0	2	93	387	1
Precinct 9145 - None	73	132	861	249	1	2	38	208	3
Precinct 9145 - None	119	216	861	423	0	3	84	336	1
Precinct 9146 - None	60	118	885	245	0	1	65	179	1
Precinct 9146 - None	89	279	885	464	0	1	92	371	3
Precinct 9147 - None	76	133	971	281	0	0	72	209	0
Precinct 9147 - None	120	265	971	492	0	2	100	390	5
Precinct 9148 - None	86	175	1,034	325	0	0	62	263	2
Precinct 9148 - None	129	278	1,034	513	0	1	103	409	2
Precinct 9149 - None	54	157	948	264	0	0	53	211	0
Precinct 9149 - None	102	268	948	478	0	1	103	374	4
Precinct 9151 - None	64	118	872	227	0	0	43	184	2
Precinct 9151 - None	123	205	872	418	0	1	87	330	2
Precinct 9152 - None	76	140	721	270	0	1	53	216	0
Precinct 9152 - None	75	139	721	279	0	1	62	216	2
Precinct 9201 - None	78	166	1,004	300	0	1	54	245	1
Precinct 9201 - None	113	263	1,004	475	0	1	95	379	3
Precinct 9202 - None	84	139	971	294	0	0	68	226	3
Precinct 9202 - None	112	207	971	426	0	1	102	323	4
Precinct 9203 - None	72	82	1,002	239	0	0	85	154	0
Precinct 9203 - None	192	194	1,002	536	0	0	148	388	2
Precinct 9204 - None	108	80	873	273	0	3	82	188	0
Precinct 9204 - None	154	123	873	393	0	0	111	282	5
Precinct 9205 - None	72	73	728	208	0	1	62	145	0
Precinct 9205 - None	115	159	728	376	0	0	99	277	3
Precinct 9206 - None	90	88	931	249	0	0	70	179	1
Precinct 9206 - None	173	167	931	479	0	0	139	340	0
Precinct 9207 - None	92	85	981	262	0	0	85	177	0
Precinct 9207 - None	144	208	981	502	0	1	148	353	1
Precinct 9208 - None	96	97	1,002	287	0	2	91	194	1
Precinct 9208 - None	158	192	1,002	491	0	1	138	352	2
Precinct 9209 - None	86	91	711	245	0	0	68	177	0
Precinct 9209 - None	85	135	711	327	0	6	97	224	4
Precinct 9211 - None	71	89	889	234	0	0	74	160	0
Precinct 9211 - None	156	171	889	432	0	0	105	327	0
Precinct 9212 - None	79	85	803	234	0	0	70	164	0
Precinct 9212 - None	116	176	803	400	0	0	105	295	3
Precinct 9213 - None	96	109	951	264	0	2	57	205	0
Precinct 9213 - None	155	213	951	508	0	1	138	369	1
Precinct 9214 - None	58	64	640	166	0	0	44	122	0
Precinct 9214 - None	95	156	640	334	0	0	80	254	3
Precinct 9215 - None	72	77	652	194	0	0	44	150	1
Precinct 9215 - None	114	119	652	327	0	1	93	233	0
Precinct 9216 - None	68	109	845	246	0	0	68	178	1
Precinct 9216 - None	135	145	845	379	0	1	98	280	0
Precinct 9217 - None	52	84	698	194	0	0	56	138	2
Precinct 9217 - None	104	134	698	349	0	2	106	241	3
Precinct 9218 - None	76	102	841	249	0	2	69	178	0
Precinct 9218 - None	127	159	841	412	0	0	124	288	2
Precinct 9219 - None	63	114	802	242	0	2	62	178	1
Precinct 9219 - None	118	184	802	399	0	0	97	302	0
Precinct 9221 - None	71	44	651	145	0	2	28	115	0
Precinct 9221 - None	191	110	651	399	0	3	95	301	0
Precinct 9222 - None	90	84	883	249	0	0	75	174	0
Precinct 9222 - None	180	142	883	449	0	3	123	323	1
Precinct 9223 - None	61	53	638	160	0	0	45	115	1
Precinct 9223 - None	122	112	638	338	0	3	97	238	4
Precinct 9224 - None	109	82	960	263	0	0	71	192	1
Precinct 9224 - None	161	211	960	506	0	2	130	374	2
Precinct 9225 - None	90	117	958	299	0	0	91	208	1
Precinct 9225 - None	138	189	958	469	0	3	138	328	1
Precinct 9226 - None	91	98	926	271	0	2	78	191	2
Precinct 9226 - None	158	194	926	486	0	3	128	355	3
Precinct 9227 - None	61	84	738	188	0	0	43	145	0
Precinct 9227 - None	147	177	738	404	0	1	79	324	0
Precinct 9228 - None	82	65	747	189	0	1	39	149	2
Precinct 9228 - None	172	166	747	424	0	2	81	341	3
Precinct 9229 - None	61	61	598	162	0	0	38	124	2
Precinct 9229 - None	109	138	598	316	0	0	69	247	0
Precinct 9231 - None	77	158	953	313	0	1	76	236	1
Precinct 9231 - None	143	222	953	488	0	0	120	368	3
Precinct 9232 - None	83	83	735	212	0	0	46	166	0
Precinct 9232 - None	152	162	735	396	0	2	77	317	3
Precinct 9233 - None	99	61	793	209	0	0	49	160	0
Precinct 9233 - None	160	151	793	434	0	1	120	313	2
Precinct 9234 - None	60	82	746	187	0	0	44	143	1
Precinct 9234 - None	141	195	746	438	0	2	100	336	0
Precinct 9235 - None	100	88	884	239	0	0	51	188	0
Precinct 9235 - None	210	141	884	488	0	0	137	351	0
Precinct 9236 - None	78	80	683	201	0	0	43	158	0
Precinct 9236 - None	117	146	683	358	0	1	93	264	1
Precinct 9237 - None	79	76	936	229	0	0	73	156	1
Precinct 9237 - None	199	198	936	539	0	1	139	399	2
Precinct 9238 - None	71	85	842	230	0	0	74	156	0
Precinct 9238 - None	175	170	842	456	0	4	106	346	1
Precinct 9239 - None	74	65	881	200	0	0	61	139	0
Precinct 9239 - None	160	204	881	499	0	2	131	366	2
Precinct 9241 - None	89	83	1,005	255	0	2	81	172	0
Precinct 9241 - None	205	229	1,005	578	0	2	141	435	1
Precinct 9242 - None	92	114	972	277	0	0	71	206	0
Precinct 9242 - None	170	208	972	513	0	1	132	380	2
Precinct 9243 - None	63	76	594	193	0	1	51	141	2
Precinct 9243 - None	95	131	594	307	0	0	81	226	0
Precinct 9244 - None	68	113	903	255	0	1	73	181	0
Precinct 9244 - None	142	195	903	485	0	0	147	338	1
