Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	148,219	91,024	500,516	372,848	106	238	133,261	239,243
All Precincts - Election Day	51,080	31,499	500,516	127,886	80	65	45,162	82,579
All Precincts - Vote By Mail	97,139	59,525	500,516	244,962	26	173	88,099	156,664
Precinct 1101 - Election Day	52	34	553	126	0	0	40	86
Precinct 1101 - Vote By Mail	111	67	553	266	0	0	88	178
Precinct 1102 - Election Day	105	86	995	266	0	0	75	191
Precinct 1102 - Vote By Mail	199	125	995	480	0	0	156	324
Precinct 1103 - Election Day	101	61	951	246	1	0	83	162
Precinct 1103 - Vote By Mail	175	113	951	445	0	1	156	288
Precinct 1104/1105 - Election Day	104	65	993	249	0	0	80	169
Precinct 1104/1105 - Vote By Mail	183	107	993	414	0	0	124	290
Precinct 1106 - Election Day	75	44	765	191	0	1	71	119
Precinct 1106 - Vote By Mail	123	99	765	343	0	0	121	222
Precinct 1107 - Election Day	68	40	746	163	0	0	55	108
Precinct 1107 - Vote By Mail	133	78	746	336	0	0	125	211
Precinct 1108 - Election Day	80	49	909	232	0	0	103	129
Precinct 1108 - Vote By Mail	177	99	909	438	0	0	162	276
Precinct 1109 - Election Day	62	45	798	166	0	0	59	107
Precinct 1109 - Vote By Mail	163	78	798	365	0	0	124	241
Precinct 1111 - Election Day	94	51	1,002	205	0	0	60	145
Precinct 1111 - Vote By Mail	195	103	1,002	460	0	0	162	298
Precinct 1112 - Election Day	74	35	769	151	0	1	41	109
Precinct 1112 - Vote By Mail	145	84	769	344	0	0	115	229
Precinct 1113 - Election Day	48	36	746	135	0	0	51	84
Precinct 1113 - Vote By Mail	158	84	746	360	0	0	118	242
Precinct 1114 - Election Day	94	50	957	226	0	0	82	144
Precinct 1114 - Vote By Mail	159	124	957	404	0	0	121	283
Precinct 1115 - Election Day	52	60	895	174	0	0	62	112
Precinct 1115 - Vote By Mail	139	93	895	371	0	1	138	232
Precinct 1116 - Election Day	92	47	895	225	0	0	86	139
Precinct 1116 - Vote By Mail	167	93	895	376	0	2	114	260
Precinct 1117 - Election Day	85	41	858	185	0	0	59	126
Precinct 1117 - Vote By Mail	151	83	858	357	0	0	123	234
Precinct 1118 - Election Day	83	65	1,043	213	0	1	64	148
Precinct 1118 - Vote By Mail	219	114	1,043	476	0	0	143	333
Precinct 1119 - Election Day	57	46	791	165	0	0	62	103
Precinct 1119 - Vote By Mail	163	93	791	386	0	0	130	256
Precinct 1121 - Election Day	60	46	691	160	0	0	54	106
Precinct 1121 - Vote By Mail	115	71	691	313	0	0	127	186
Precinct 1122 - Election Day	49	26	632	110	0	0	35	75
Precinct 1122 - Vote By Mail	125	69	632	310	0	1	115	194
Precinct 1123 - Election Day	76	56	915	179	0	0	47	132
Precinct 1123 - Vote By Mail	138	104	915	364	0	0	122	242
Precinct 1124 - Election Day	63	48	819	152	0	0	41	111
Precinct 1124 - Vote By Mail	139	86	819	302	0	1	76	225
Precinct 1125 - Election Day	65	43	1,047	159	0	0	51	108
Precinct 1125 - Vote By Mail	227	103	1,047	466	0	0	136	330
Precinct 1126 - Election Day	96	55	922	191	0	0	40	151
Precinct 1126 - Vote By Mail	200	91	922	400	0	2	107	291
Precinct 1127 - Election Day	96	37	920	200	0	1	66	133
Precinct 1127 - Vote By Mail	176	91	920	382	0	0	115	267
Precinct 1128 - Election Day	57	48	838	154	0	0	49	105
Precinct 1128 - Vote By Mail	153	92	838	362	0	0	117	245
Precinct 1129 - Election Day	95	60	980	227	0	0	72	155
Precinct 1129 - Vote By Mail	210	89	980	416	0	0	117	299
Precinct 1131 - Election Day	63	29	797	132	0	0	40	92
Precinct 1131 - Vote By Mail	160	79	797	371	0	0	132	239
Precinct 1132 - Election Day	75	39	969	179	0	1	64	114
Precinct 1132 - Vote By Mail	206	79	969	427	0	0	142	285
Precinct 1133 - Election Day	71	33	863	161	0	0	57	104
Precinct 1133 - Vote By Mail	172	92	863	410	0	0	146	264
Precinct 1134 - Election Day	72	51	759	170	0	0	47	123
Precinct 1134 - Vote By Mail	128	70	759	318	0	0	120	198
Precinct 1135 - Election Day	37	19	540	87	0	0	31	56
Precinct 1135 - Vote By Mail	130	64	540	295	0	0	101	194
Precinct 1136 - Election Day	66	37	829	144	0	0	41	103
Precinct 1136 - Vote By Mail	173	100	829	412	0	0	139	273
Precinct 1141 - Election Day	91	60	1,041	223	0	0	72	151
Precinct 1141 - Vote By Mail	235	116	1,041	484	0	0	133	351
Precinct 1142 - Election Day	75	53	861	175	0	0	47	128
Precinct 1142 - Vote By Mail	170	92	861	393	0	0	131	262
Precinct 1143 - Election Day	106	63	1,034	229	0	2	58	169
Precinct 1143 - Vote By Mail	189	117	1,034	440	0	0	134	306
Precinct 1144 - Election Day	97	61	907	205	0	1	46	158
Precinct 1144 - Vote By Mail	169	119	907	387	0	0	99	288
Precinct 1145 - Election Day	72	53	888	189	0	0	64	125
Precinct 1145 - Vote By Mail	196	113	888	461	0	0	152	309
Precinct 1146 - Election Day	85	47	1,011	186	0	0	54	132
Precinct 1146 - Vote By Mail	206	115	1,011	454	0	0	133	321
Precinct 1147 - Election Day	87	61	877	210	0	0	62	148
Precinct 1147 - Vote By Mail	175	120	877	396	0	1	100	295
Precinct 1148 - Election Day	95	49	962	196	0	0	52	144
Precinct 1148 - Vote By Mail	209	106	962	444	0	0	129	315
Precinct 1149 - Election Day	93	55	907	210	0	0	62	148
Precinct 1149 - Vote By Mail	180	107	907	407	0	0	120	287
Precinct 1152 - Election Day	81	55	864	198	0	0	62	136
Precinct 1152 - Vote By Mail	190	92	864	388	0	1	105	282
Precinct 1153 - Election Day	87	52	951	210	0	1	70	139
Precinct 1153 - Vote By Mail	162	111	951	415	0	0	142	273
Precinct 7001 - Election Day	67	46	776	176	2	0	61	113
Precinct 7001 - Vote By Mail	150	129	776	429	0	1	149	279
Precinct 7002 - Election Day	64	54	706	176	0	0	58	118
Precinct 7002 - Vote By Mail	109	109	706	332	0	0	114	218
Precinct 7003 - Election Day	93	58	884	238	0	0	87	151
Precinct 7003 - Vote By Mail	168	130	884	498	0	1	199	298
Precinct 7004 - Election Day	96	54	881	241	1	0	90	150
Precinct 7004 - Vote By Mail	192	146	881	496	0	0	158	338
Precinct 7005 - Election Day	80	79	847	253	0	0	94	159
Precinct 7005 - Vote By Mail	163	141	847	480	0	1	175	304
Precinct 7006 - Election Day	74	80	917	254	0	0	100	154
Precinct 7006 - Vote By Mail	164	147	917	442	0	1	130	311
Precinct 7007 - Election Day	118	81	949	283	0	0	84	199
Precinct 7007 - Vote By Mail	186	148	949	516	0	0	182	334
Precinct 7008 - Election Day	115	59	932	264	1	0	89	174
Precinct 7008 - Vote By Mail	218	112	932	546	1	0	215	330
Precinct 7009 - Election Day	70	53	905	185	0	0	62	123
Precinct 7009 - Vote By Mail	185	158	905	513	0	0	170	343
Precinct 7011 - Election Day	79	61	985	204	0	0	64	140
Precinct 7011 - Vote By Mail	130	66	985	294	0	0	98	196
Precinct 7012 - Election Day	126	76	1,109	313	0	1	110	202
Precinct 7012 - Vote By Mail	251	146	1,109	594	0	3	194	397
Precinct 7013 - Election Day	97	68	956	267	0	0	102	165
Precinct 7013 - Vote By Mail	201	141	956	501	0	0	159	342
Precinct 7014 - Election Day	159	75	1,460	367	0	0	133	234
Precinct 7014 - Vote By Mail	304	231	1,460	802	0	1	266	535
Precinct 7015 MB - Vote By Mail	12	17	95	44	0	0	15	29
Precinct 7016 - Election Day	81	43	918	171	0	0	47	124
Precinct 7016 - Vote By Mail	110	75	918	280	0	0	95	185
Precinct 7017 - Election Day	45	40	754	149	0	0	64	85
Precinct 7017 - Vote By Mail	94	69	754	252	0	1	88	163
Precinct 7018 - Election Day	63	37	977	155	0	0	55	100
Precinct 7018 - Vote By Mail	201	92	977	448	0	0	155	293
Precinct 7019 - Election Day	79	52	899	182	0	0	51	131
Precinct 7019 - Vote By Mail	179	95	899	413	0	0	139	274
Precinct 7021 - Election Day	78	51	947	184	0	1	54	129
Precinct 7021 - Vote By Mail	129	70	947	305	0	0	106	199
Precinct 7022 - Election Day	92	53	945	215	0	0	70	145
Precinct 7022 - Vote By Mail	159	97	945	352	0	0	96	256
Precinct 7023 - Election Day	86	37	928	178	0	0	55	123
Precinct 7023 - Vote By Mail	167	99	928	400	0	0	134	266
Precinct 7024 - Election Day	30	16	414	70	0	0	24	46
Precinct 7024 - Vote By Mail	40	14	414	78	0	0	24	54
Precinct 7025 - Election Day	36	20	477	85	0	1	28	56
Precinct 7025 - Vote By Mail	48	41	477	128	0	1	38	89
Precinct 7026 - Election Day	71	32	1,011	149	0	0	46	103
Precinct 7026 - Vote By Mail	214	79	1,011	455	0	0	162	293
Precinct 7027 - Election Day	84	44	869	195	0	0	67	128
Precinct 7027 - Vote By Mail	152	90	869	353	0	1	110	242
Precinct 7028 - Election Day	84	62	850	213	0	0	67	146
Precinct 7028 - Vote By Mail	111	87	850	282	0	0	84	198
Precinct 7029 - Election Day	76	46	901	184	0	0	62	122
Precinct 7029 - Vote By Mail	111	64	901	251	0	0	76	175
Precinct 7030 - Election Day	47	33	759	119	0	0	39	80
Precinct 7030 - Vote By Mail	161	89	759	357	0	0	107	250
Precinct 7031 - Election Day	40	16	641	91	0	0	35	56
Precinct 7031 - Vote By Mail	170	55	641	309	0	1	83	225
Precinct 7032 - Election Day	79	38	904	173	1	0	55	117
Precinct 7032 - Vote By Mail	153	73	904	316	0	0	90	226
Precinct 7033 - Election Day	81	49	798	191	0	0	61	130
Precinct 7033 - Vote By Mail	123	58	798	247	0	1	65	181
Precinct 7034 - Election Day	77	52	958	197	0	0	68	129
Precinct 7034 - Vote By Mail	90	42	958	201	0	0	69	132
Precinct 7035 - Election Day	52	30	606	122	0	0	40	82
Precinct 7035 - Vote By Mail	111	73	606	262	0	0	78	184
Precinct 7036 - Election Day	54	35	921	117	0	0	28	89
Precinct 7036 - Vote By Mail	181	56	921	342	0	0	105	237
Precinct 7037 - Election Day	44	32	735	135	0	0	59	76
Precinct 7037 - Vote By Mail	41	26	735	98	0	0	31	67
Precinct 7038 - Election Day	59	30	911	135	0	0	46	89
Precinct 7038 - Vote By Mail	181	70	911	351	0	0	100	251
Precinct 7039 - Election Day	77	46	784	178	0	0	55	123
Precinct 7039 - Vote By Mail	138	68	784	306	0	0	100	206
Precinct 7041 MB - Vote By Mail	8	11	61	33	0	0	14	19
Precinct 7042 - Election Day	62	28	639	118	0	0	28	90
Precinct 7042 - Vote By Mail	117	53	639	258	0	0	88	170
Precinct 7043 - Election Day	79	57	957	176	0	0	40	136
Precinct 7043 - Vote By Mail	174	79	957	404	0	0	151	253
Precinct 7044 - Election Day	78	38	827	167	0	1	50	116
Precinct 7044 - Vote By Mail	77	42	827	193	0	0	74	119
Precinct 7045 - Election Day	40	26	779	120	0	0	54	66
Precinct 7045 - Vote By Mail	141	66	779	344	0	0	137	207
Precinct 7046 - Election Day	44	19	402	94	0	0	31	63
Precinct 7046 - Vote By Mail	67	46	402	175	0	0	62	113
Precinct 7047 - Election Day	50	28	823	119	0	0	41	78
Precinct 7047 - Vote By Mail	199	54	823	388	0	0	135	253
Precinct 7048 - Election Day	68	29	858	150	3	0	50	97
Precinct 7048 - Vote By Mail	153	63	858	318	0	0	102	216
