Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	86,130	260,118	500,516	372,848	942	294	25,364	346,248
All Precincts - Election Day	28,453	90,066	500,516	127,886	135	103	9,129	118,519
All Precincts - Vote By Mail	57,677	170,052	500,516	244,962	807	191	16,235	227,729
Precinct 1101 - Election Day	39	78	553	126	0	0	9	117
Precinct 1101 - Vote By Mail	61	193	553	266	1	0	11	254
Precinct 1102 - Election Day	56	192	995	266	0	0	18	248
Precinct 1102 - Vote By Mail	114	337	995	480	-1	0	30	451
Precinct 1103 - Election Day	66	167	951	246	1	0	12	233
Precinct 1103 - Vote By Mail	118	305	951	445	0	0	22	423
Precinct 1104/1105 - Election Day	65	167	993	249	0	0	17	232
Precinct 1104/1105 - Vote By Mail	115	274	993	414	-2	0	27	389
Precinct 1106 - Election Day	60	119	765	191	-1	0	13	179
Precinct 1106 - Vote By Mail	95	218	765	343	1	0	29	313
Precinct 1107 - Election Day	32	120	746	163	1	0	10	152
Precinct 1107 - Vote By Mail	82	223	746	336	3	0	28	305
Precinct 1108 - Election Day	64	148	909	232	-1	0	21	212
Precinct 1108 - Vote By Mail	125	281	909	438	-1	0	33	406
Precinct 1109 - Election Day	45	106	798	166	0	0	15	151
Precinct 1109 - Vote By Mail	103	237	798	365	1	0	24	340
Precinct 1111 - Election Day	50	139	1,002	205	0	0	16	189
Precinct 1111 - Vote By Mail	124	297	1,002	460	-1	1	39	421
Precinct 1112 - Election Day	42	96	769	151	0	0	13	138
Precinct 1112 - Vote By Mail	103	203	769	344	0	0	38	306
Precinct 1113 - Election Day	32	89	746	135	2	0	12	121
Precinct 1113 - Vote By Mail	102	237	746	360	0	0	21	339
Precinct 1114 - Election Day	50	143	957	226	0	0	33	193
Precinct 1114 - Vote By Mail	109	272	957	404	2	1	20	381
Precinct 1115 - Election Day	42	121	895	174	1	0	10	163
Precinct 1115 - Vote By Mail	115	241	895	371	-2	0	17	356
Precinct 1116 - Election Day	53	147	895	225	0	0	25	200
Precinct 1116 - Vote By Mail	93	248	895	376	2	0	33	341
Precinct 1117 - Election Day	43	122	858	185	1	0	19	165
Precinct 1117 - Vote By Mail	108	231	858	357	1	0	17	339
Precinct 1118 - Election Day	44	160	1,043	213	-2	0	11	204
Precinct 1118 - Vote By Mail	147	308	1,043	476	-3	0	24	455
Precinct 1119 - Election Day	50	104	791	165	0	0	11	154
Precinct 1119 - Vote By Mail	81	271	791	386	1	0	33	352
Precinct 1121 - Election Day	37	112	691	160	0	0	11	149
Precinct 1121 - Vote By Mail	92	185	691	313	4	2	30	277
Precinct 1122 - Election Day	27	74	632	110	0	0	9	101
Precinct 1122 - Vote By Mail	89	200	632	310	0	0	21	289
Precinct 1123 - Election Day	47	118	915	179	0	0	14	165
Precinct 1123 - Vote By Mail	115	208	915	364	0	0	41	323
Precinct 1124 - Election Day	36	102	819	152	-1	2	13	138
Precinct 1124 - Vote By Mail	71	215	819	302	-2	0	18	286
Precinct 1125 - Election Day	47	101	1,047	159	1	0	10	148
Precinct 1125 - Vote By Mail	142	292	1,047	466	-3	0	35	434
Precinct 1126 - Election Day	51	126	922	191	0	0	14	177
Precinct 1126 - Vote By Mail	113	259	922	400	-1	0	29	372
Precinct 1127 - Election Day	74	114	920	200	0	0	12	188
Precinct 1127 - Vote By Mail	134	218	920	382	0	2	28	352
Precinct 1128 - Election Day	40	97	838	154	0	0	17	137
Precinct 1128 - Vote By Mail	98	230	838	362	0	0	34	328
Precinct 1129 - Election Day	61	139	980	227	1	1	25	200
Precinct 1129 - Vote By Mail	133	251	980	416	5	1	26	384
Precinct 1131 - Election Day	38	79	797	132	0	0	15	117
Precinct 1131 - Vote By Mail	112	240	797	371	-1	0	20	352
Precinct 1132 - Election Day	52	112	969	179	2	0	13	164
Precinct 1132 - Vote By Mail	127	263	969	427	0	0	37	390
Precinct 1133 - Election Day	50	94	863	161	1	0	16	144
Precinct 1133 - Vote By Mail	135	243	863	410	0	0	32	378
Precinct 1134 - Election Day	42	113	759	170	2	0	13	155
Precinct 1134 - Vote By Mail	90	203	759	318	-1	0	26	293
Precinct 1135 - Election Day	22	59	540	87	1	0	5	81
Precinct 1135 - Vote By Mail	93	180	540	295	0	0	22	273
Precinct 1136 - Election Day	40	92	829	144	0	0	12	132
Precinct 1136 - Vote By Mail	127	250	829	412	1	0	34	377
Precinct 1141 - Election Day	64	142	1,041	223	0	0	17	206
Precinct 1141 - Vote By Mail	162	293	1,041	484	0	1	28	455
Precinct 1142 - Election Day	38	127	861	175	0	0	10	165
Precinct 1142 - Vote By Mail	98	260	861	393	0	0	35	358
Precinct 1143 - Election Day	51	167	1,034	229	1	0	10	218
Precinct 1143 - Vote By Mail	107	297	1,034	440	4	0	32	404
Precinct 1144 - Election Day	43	148	907	205	1	0	13	191
Precinct 1144 - Vote By Mail	93	274	907	387	-1	1	20	367
Precinct 1145 - Election Day	45	131	888	189	0	0	13	176
Precinct 1145 - Vote By Mail	128	301	888	461	0	1	31	429
Precinct 1146 - Election Day	56	122	1,011	186	0	0	8	178
Precinct 1146 - Vote By Mail	151	275	1,011	454	2	0	26	426
Precinct 1147 - Election Day	51	146	877	210	1	0	12	197
Precinct 1147 - Vote By Mail	110	257	877	396	1	0	28	367
Precinct 1148 - Election Day	50	130	962	196	0	0	16	180
Precinct 1148 - Vote By Mail	129	282	962	444	0	0	33	411
Precinct 1149 - Election Day	53	139	907	210	2	0	16	192
Precinct 1149 - Vote By Mail	110	280	907	407	-8	0	25	390
Precinct 1152 - Election Day	62	121	864	198	0	0	15	183
Precinct 1152 - Vote By Mail	123	241	864	388	0	0	24	364
Precinct 1153 - Election Day	55	130	951	210	0	1	24	185
Precinct 1153 - Vote By Mail	119	263	951	415	-1	1	33	382
Precinct 7001 - Election Day	31	128	776	176	2	1	14	159
Precinct 7001 - Vote By Mail	63	344	776	429	3	0	19	407
Precinct 7002 - Election Day	36	129	706	176	0	0	11	165
Precinct 7002 - Vote By Mail	63	254	706	332	-3	0	18	317
Precinct 7003 - Election Day	48	174	884	238	0	0	16	222
Precinct 7003 - Vote By Mail	92	382	884	498	5	0	19	474
Precinct 7004 - Election Day	48	180	881	241	1	0	12	228
Precinct 7004 - Vote By Mail	94	381	881	496	1	1	19	475
Precinct 7005 - Election Day	43	199	847	253	0	0	11	242
Precinct 7005 - Vote By Mail	85	374	847	480	-1	1	21	459
Precinct 7006 - Election Day	50	195	917	254	1	0	8	245
Precinct 7006 - Vote By Mail	72	344	917	442	1	0	25	416
Precinct 7007 - Election Day	45	224	949	283	0	1	13	269
Precinct 7007 - Vote By Mail	115	377	949	516	2	0	22	492
Precinct 7008 - Election Day	36	223	932	264	1	0	4	259
Precinct 7008 - Vote By Mail	109	411	932	546	5	0	21	520
Precinct 7009 - Election Day	23	146	905	185	0	1	15	169
Precinct 7009 - Vote By Mail	92	402	905	513	1	0	18	494
Precinct 7011 - Election Day	45	140	985	204	0	0	19	185
Precinct 7011 - Vote By Mail	66	211	985	294	0	0	17	277
Precinct 7012 - Election Day	62	241	1,109	313	0	0	10	303
Precinct 7012 - Vote By Mail	129	440	1,109	594	4	0	21	569
Precinct 7013 - Election Day	55	196	956	267	0	0	16	251
Precinct 7013 - Vote By Mail	67	400	956	501	4	1	29	467
Precinct 7014 - Election Day	72	280	1,460	367	0	0	15	352
Precinct 7014 - Vote By Mail	114	643	1,460	802	3	0	42	757
Precinct 7015 MB - Vote By Mail	10	31	95	44	0	0	3	41
Precinct 7016 - Election Day	44	108	918	171	0	0	19	152
Precinct 7016 - Vote By Mail	64	194	918	280	0	0	22	258
Precinct 7017 - Election Day	34	99	754	149	0	0	16	133
Precinct 7017 - Vote By Mail	54	176	754	252	2	0	20	230
Precinct 7018 - Election Day	39	98	977	155	0	0	18	137
Precinct 7018 - Vote By Mail	119	288	977	448	-1	1	41	407
Precinct 7019 - Election Day	40	131	899	182	0	0	11	171
Precinct 7019 - Vote By Mail	94	280	899	413	0	0	39	374
Precinct 7021 - Election Day	37	130	947	184	1	0	16	167
Precinct 7021 - Vote By Mail	75	209	947	305	0	0	21	284
Precinct 7022 - Election Day	55	145	945	215	0	1	14	200
Precinct 7022 - Vote By Mail	78	237	945	352	0	0	37	315
Precinct 7023 - Election Day	57	112	928	178	-1	0	10	169
Precinct 7023 - Vote By Mail	104	262	928	400	0	0	34	366
Precinct 7024 - Election Day	16	50	414	70	0	0	4	66
Precinct 7024 - Vote By Mail	25	48	414	78	0	0	5	73
Precinct 7025 - Election Day	25	47	477	85	0	0	13	72
Precinct 7025 - Vote By Mail	32	88	477	128	-1	0	9	120
Precinct 7026 - Election Day	50	86	1,011	149	0	0	13	136
Precinct 7026 - Vote By Mail	151	266	1,011	455	1	0	37	417
Precinct 7027 - Election Day	41	129	869	195	0	0	25	170
Precinct 7027 - Vote By Mail	91	229	869	353	-1	0	34	320
Precinct 7028 - Election Day	47	146	850	213	-1	0	21	193
Precinct 7028 - Vote By Mail	82	182	850	282	0	0	18	264
Precinct 7029 - Election Day	35	127	901	184	1	0	21	162
Precinct 7029 - Vote By Mail	53	178	901	251	1	0	19	231
Precinct 7030 - Election Day	45	66	759	119	0	0	8	111
Precinct 7030 - Vote By Mail	114	216	759	357	0	0	27	330
Precinct 7031 - Election Day	25	55	641	91	0	0	11	80
Precinct 7031 - Vote By Mail	86	200	641	309	-2	0	25	286
Precinct 7032 - Election Day	28	128	904	173	-1	1	17	156
Precinct 7032 - Vote By Mail	90	193	904	316	2	0	31	283
