Subtotal Area	CRISTINA OSMEÑA	JACKIE SPEIER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 9729 - Vote By Mail	93	336	800	442	0	0	13	429
Precinct 9731 - Election Day	31	124	556	167	0	0	12	155
Precinct 9731 - Vote By Mail	59	208	556	282	0	0	15	267
Precinct 9733 MB - Vote By Mail	17	170	235	191	0	0	4	187
Precinct 9734 - Election Day	33	116	603	154	0	0	5	149
Precinct 9734 - Vote By Mail	64	267	603	341	0	0	10	331
Precinct 9735 - Election Day	38	149	809	206	0	0	19	187
Precinct 9735 - Vote By Mail	75	358	809	449	0	0	16	433
Precinct 9736 - Election Day	25	140	713	173	0	0	8	165
Precinct 9736 - Vote By Mail	40	359	713	410	0	0	11	399
Precinct 9737 - Election Day	22	173	818	208	0	1	12	195
Precinct 9737 - Vote By Mail	57	404	818	476	0	0	15	461
Precinct 9738 - Election Day	30	140	848	185	0	0	15	170
Precinct 9738 - Vote By Mail	62	329	848	404	0	0	13	391
Precinct 9739 - Election Day	16	192	828	220	0	0	12	208
Precinct 9739 - Vote By Mail	48	275	828	335	0	0	12	323
Precinct 9741 - Election Day	9	215	552	232	0	1	7	224
Precinct 9741 - Vote By Mail	7	94	552	105	0	0	4	101
Precinct 9742 - Election Day	41	127	677	180	4	0	8	168
Precinct 9742 - Vote By Mail	57	223	677	289	0	0	9	280
Precinct 9743 - Election Day	33	251	1,163	310	0	0	26	284
Precinct 9743 - Vote By Mail	68	418	1,163	501	0	0	15	486
Precinct 9744 - Election Day	36	196	911	247	1	0	14	232
Precinct 9744 - Vote By Mail	62	320	911	391	0	0	9	382
Precinct 9745 - Election Day	39	223	991	282	0	0	20	262
Precinct 9745 - Vote By Mail	41	297	991	346	0	0	8	338
Precinct 9746 - Election Day	51	175	884	232	0	0	6	226
Precinct 9746 - Vote By Mail	89	350	884	452	0	0	13	439
Precinct 9747 - Election Day	27	209	973	246	0	0	10	236
Precinct 9747 - Vote By Mail	68	379	973	470	0	1	22	447
Precinct 9748 - Election Day	37	187	931	229	0	0	5	224
Precinct 9748 - Vote By Mail	79	373	931	475	1	0	22	452
Precinct 9749 - Election Day	24	173	913	225	2	0	26	197
Precinct 9749 - Vote By Mail	55	301	913	384	0	0	28	356
Precinct 9751 - Election Day	40	193	1,016	253	0	0	20	233
Precinct 9751 - Vote By Mail	75	424	1,016	523	0	0	24	499
Precinct 9752 - Election Day	34	130	710	175	3	0	8	164
Precinct 9752 - Vote By Mail	72	312	710	392	0	0	8	384
Precinct 9753 - Election Day	16	162	756	186	0	0	8	178
Precinct 9753 - Vote By Mail	42	332	756	388	0	0	14	374
Precinct 9754 - Election Day	6	38	707	47	0	0	3	44
Precinct 9754 - Vote By Mail	34	334	707	377	0	0	9	368
Precinct 9755 - Election Day	16	145	582	172	0	0	11	161
Precinct 9755 - Vote By Mail	30	241	582	285	2	0	12	271
Precinct 9756 - Election Day	25	154	941	185	0	0	6	179
Precinct 9756 - Vote By Mail	79	363	941	477	0	0	35	442
Precinct 9801 - Election Day	19	80	408	104	0	0	5	99
Precinct 9801 - Vote By Mail	19	156	408	181	0	0	6	175
Congressional District 14	6,487	31,632	56,946	40,357	19	8	2,211	38,119
Assembly District 19	6,487	31,632	56,946	40,357	19	8	2,211	38,119
BART District 8	5,813	27,795	50,054	35,574	16	8	1,942	33,608
