Subtotal Area	LAWRENCE "STARK" DAGESSE	RAFAEL MANDELMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 7846 - Vote By Mail	26	409	904	509	10	1	61	0	437	2
Precinct 7847 - Election Day	31	190	929	261	1	1	38	0	221	0
Precinct 7847 - Vote By Mail	27	431	929	529	1	0	69	0	459	1
Precinct 7848 - Election Day	12	181	834	233	0	0	40	0	193	0
Precinct 7848 - Vote By Mail	34	393	834	491	3	0	60	0	428	1
Precinct 7849 - Election Day	16	215	929	264	1	0	32	0	231	0
Precinct 7849 - Vote By Mail	40	416	929	522	8	3	54	0	457	1
Precinct 7851 - Election Day	11	93	513	136	0	0	30	0	106	2
Precinct 7851 - Vote By Mail	16	243	513	298	0	0	39	0	259	0
Precinct 7852 - Election Day	13	106	647	143	0	0	21	0	122	3
Precinct 7852 - Vote By Mail	33	315	647	394	1	0	42	0	351	3
Precinct 7853 - Election Day	21	156	850	214	11	0	25	0	178	1
Precinct 7853 - Vote By Mail	43	369	850	479	12	1	50	0	416	4
Precinct 7854 - Election Day	20	185	894	248	0	0	42	0	206	1
Precinct 7854 - Vote By Mail	32	394	894	500	11	0	60	0	429	3
Precinct 7855 - Election Day	27	216	986	301	2	0	54	0	245	2
Precinct 7855 - Vote By Mail	34	411	986	522	5	0	69	0	448	3
Precinct 7856 - Election Day	19	204	800	265	0	0	41	0	224	1
Precinct 7856 - Vote By Mail	27	358	800	425	5	0	34	0	386	1
Precinct 7857 - Election Day	22	197	933	276	1	1	51	0	223	4
Precinct 7857 - Vote By Mail	37	410	933	517	3	0	64	0	450	3
Precinct 7858 - Election Day	16	183	775	245	2	0	43	0	200	1
Precinct 7858 - Vote By Mail	30	321	775	394	5	1	35	0	353	2
Precinct 7859 - Election Day	21	183	891	250	1	0	43	0	206	2
Precinct 7859 - Vote By Mail	27	424	891	513	3	1	58	0	451	0
Precinct 7861 - Election Day	18	169	859	217	0	0	28	0	189	2
Precinct 7861 - Vote By Mail	36	403	859	510	9	1	60	0	440	1
Precinct 7862 - Election Day	24	233	866	302	2	0	43	0	257	0
Precinct 7862 - Vote By Mail	32	375	866	472	12	1	50	0	409	2
Precinct 7863 - Election Day	31	228	907	311	0	0	50	0	261	2
Precinct 7863 - Vote By Mail	21	363	907	440	4	1	47	0	388	4
Precinct 7864 - Election Day	22	180	807	232	0	0	29	0	203	1
Precinct 7864 - Vote By Mail	38	332	807	427	5	1	48	0	373	3
Precinct 7865 - Election Day	22	161	823	241	0	1	55	0	185	2
Precinct 7865 - Vote By Mail	36	361	823	463	7	0	58	0	398	1
Precinct 7866 - Election Day	13	165	836	209	0	0	31	0	178	0
Precinct 7866 - Vote By Mail	41	377	836	491	6	0	61	0	424	6
Precinct 7867 - Election Day	15	209	955	266	2	1	39	0	224	0
Precinct 7867 - Vote By Mail	33	415	955	512	8	1	50	0	453	5
Precinct 7868 - Election Day	17	185	881	242	-1	1	39	0	203	1
Precinct 7868 - Vote By Mail	31	357	881	449	5	0	48	0	396	8
Precinct 7869 - Election Day	13	196	867	239	1	0	27	0	211	2
Precinct 7869 - Vote By Mail	36	407	867	489	4	0	41	0	444	1
Precinct 7871 - Election Day	18	209	900	259	1	0	31	0	227	0
Precinct 7871 - Vote By Mail	28	413	900	502	4	0	51	0	447	6
Precinct 7872 - Election Day	23	203	862	288	23	0	37	0	228	2
Precinct 7872 - Vote By Mail	32	384	862	472	8	0	46	0	418	2
Precinct 7873 - Election Day	14	215	861	257	4	0	24	0	229	0
Precinct 7873 - Vote By Mail	24	426	861	502	4	1	43	0	454	4
Precinct 7874 - Election Day	15	103	477	137	2	0	14	0	121	3
Precinct 7874 - Vote By Mail	18	206	477	256	4	0	28	0	224	0
Precinct 7875 - Election Day	16	129	623	180	0	1	31	0	148	3
Precinct 7875 - Vote By Mail	25	213	623	285	0	2	42	0	241	3
Precinct 7876 - Election Day	11	95	498	154	11	0	36	0	107	1
Precinct 7876 - Vote By Mail	19	213	498	269	2	0	34	0	233	1
Precinct 9801 - Election Day	16	72	408	104	4	0	12	0	88	0
Precinct 9801 - Vote By Mail	13	140	408	181	4	0	23	0	154	1
Congressional District 12	3,525	38,080	57,714	48,347	575	37	5,898	0	41,837	232
Congressional District 14	29	212	408	285	8	0	35	0	242	1
Assembly District 17	3,525	38,080	57,714	48,347	575	37	5,898	0	41,837	232
Assembly District 19	29	212	408	285	8	0	35	0	242	1
BART District 9	3,554	38,292	58,122	48,632	583	37	5,933	0	42,079	233
Supervisorial District 8	3,554	38,292	58,122	48,632	583	37	5,933	0	42,079	233
Diamond Heights	381	4,219	6,473	5,357	53	5	658	0	4,641	41
Excelsior	29	212	408	285	8	0	35	0	242	1
Mission	562	5,935	9,626	7,594	78	5	979	0	6,532	35
Noe Valley	1,070	11,286	16,964	14,420	158	11	1,833	0	12,418	62
South of Bernal Heights	216	2,482	3,690	3,105	50	4	333	0	2,718	20
Upper Market/Eureka Valley	1,158	12,871	18,966	16,190	193	10	1,888	0	14,099	70
Western Addition	138	1,287	1,995	1,681	43	2	207	0	1,429	4
