Subtotal Area	ED HERNANDEZ	ELENI KOUNALAKIS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7014 - None	142	193	1,460	367	0	0	32	335
Precinct 7014 - None	286	442	1,460	802	0	1	73	728
Precinct 7015 MB - None	19	18	95	44	0	0	7	37
Precinct 7016 - None	75	73	918	171	0	1	22	148
Precinct 7016 - None	123	113	918	280	0	0	44	236
Precinct 7017 - None	57	72	754	149	0	0	20	129
Precinct 7017 - None	91	137	754	252	0	0	24	228
Precinct 7018 - None	75	57	977	155	0	0	23	132
Precinct 7018 - None	190	192	977	448	0	1	65	382
Precinct 7019 - None	78	81	899	182	0	1	22	159
Precinct 7019 - None	162	204	899	413	0	0	47	366
Precinct 7021 - None	82	73	947	184	0	2	27	155
Precinct 7021 - None	129	129	947	305	0	0	47	258
Precinct 7022 - None	99	85	945	215	0	0	31	184
Precinct 7022 - None	142	168	945	352	0	0	42	310
Precinct 7023 - None	84	72	928	178	0	0	22	156
Precinct 7023 - None	149	197	928	400	0	1	53	346
Precinct 7024 - None	24	34	414	70	0	0	12	58
Precinct 7024 - None	30	40	414	78	0	0	8	70
Precinct 7025 - None	38	37	477	85	0	0	10	75
Precinct 7025 - None	61	54	477	128	0	0	13	115
Precinct 7026 - None	66	66	1,011	149	0	0	17	132
Precinct 7026 - None	188	190	1,011	455	0	0	77	378
Precinct 7027 - None	90	76	869	195	0	0	29	166
Precinct 7027 - None	137	163	869	353	0	1	52	300
Precinct 7028 - None	89	98	850	213	0	0	26	187
Precinct 7028 - None	121	131	850	282	0	0	30	252
Precinct 7029 - None	78	74	901	184	0	0	32	152
Precinct 7029 - None	107	126	901	251	0	0	18	233
Precinct 7030 - None	55	44	759	119	0	0	20	99
Precinct 7030 - None	136	153	759	357	0	2	66	289
Precinct 7031 - None	28	53	641	91	0	0	10	81
Precinct 7031 - None	121	147	641	309	0	0	41	268
Precinct 7032 - None	76	65	904	173	1	0	31	141
Precinct 7032 - None	142	127	904	316	0	1	46	269
Precinct 7033 - None	90	81	798	191	0	0	20	171
Precinct 7033 - None	111	108	798	247	0	0	28	219
Precinct 7034 - None	92	69	958	197	0	1	35	161
Precinct 7034 - None	69	102	958	201	0	2	28	171
Precinct 7035 - None	52	65	606	122	0	0	5	117
Precinct 7035 - None	86	154	606	262	0	1	21	240
Precinct 7036 - None	54	47	921	117	0	0	16	101
Precinct 7036 - None	148	144	921	342	0	1	49	292
Precinct 7037 - None	60	55	735	135	0	0	20	115
Precinct 7037 - None	36	47	735	98	0	0	15	83
Precinct 7038 - None	65	51	911	135	0	0	19	116
Precinct 7038 - None	158	145	911	351	0	1	47	303
Precinct 7039 - None	85	68	784	178	0	0	25	153
Precinct 7039 - None	127	141	784	306	0	0	38	268
