Subtotal Area	ED HERNANDEZ	ELENI KOUNALAKIS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7653 - None	92	175	1,280	300	0	1	32	267
Precinct 7653 - None	223	366	1,280	673	0	0	84	589
Precinct 7701 - None	138	121	1,064	296	0	1	36	259
Precinct 7701 - None	236	277	1,064	597	0	0	84	513
Precinct 7702 - None	76	87	748	180	0	0	17	163
Precinct 7702 - None	160	196	748	415	0	0	59	356
Precinct 7703 MB - None	34	32	171	79	0	1	12	66
Precinct 7704 - None	111	107	1,008	257	0	0	39	218
Precinct 7704 - None	220	279	1,008	557	0	1	57	499
Precinct 7705 - None	50	82	568	149	0	0	17	132
Precinct 7705 - None	119	175	568	335	0	0	41	294
Precinct 7706 - None	121	109	840	252	0	0	22	230
Precinct 7706 - None	186	227	840	467	0	0	54	413
Precinct 7707 - None	106	108	857	241	1	0	26	214
Precinct 7707 - None	217	201	857	495	0	0	77	418
Precinct 7708 - None	94	87	871	205	0	0	24	181
Precinct 7708 - None	193	291	871	540	0	0	56	484
Precinct 7709 - None	53	37	391	102	0	0	12	90
Precinct 7709 - None	104	96	391	222	0	0	22	200
Precinct 7711 - None	88	86	766	198	0	0	24	174
Precinct 7711 - None	167	199	766	422	0	0	56	366
Precinct 7712 - None	69	66	529	149	0	0	14	135
Precinct 7712 - None	119	154	529	296	0	0	23	273
Precinct 7801 - None	108	139	1,001	264	1	0	16	247
Precinct 7801 - None	226	320	1,001	596	0	0	50	546
Precinct 7802 - None	93	113	788	230	0	0	24	206
Precinct 7802 - None	155	253	788	458	0	0	50	408
Precinct 7803 - None	62	91	828	174	0	0	21	153
Precinct 7803 - None	219	293	828	552	0	0	40	512
Precinct 7804 - None	93	135	893	257	0	0	29	228
Precinct 7804 - None	207	272	893	533	0	0	54	479
Precinct 7805 - None	93	114	825	228	0	0	21	207
Precinct 7805 - None	183	262	825	484	0	1	38	445
Precinct 7806 - None	87	100	716	208	2	0	19	187
Precinct 7806 - None	185	180	716	407	0	2	40	365
Precinct 7807 - None	121	130	844	276	0	0	25	251
Precinct 7807 - None	169	209	844	417	0	0	39	378
Precinct 7808 - None	82	116	655	211	0	0	13	198
Precinct 7808 - None	142	153	655	333	0	1	37	295
Precinct 7809 - None	100	112	781	238	0	1	25	212
Precinct 7809 - None	138	236	781	405	0	0	31	374
Precinct 7811 - None	112	117	783	249	0	0	20	229
Precinct 7811 - None	164	208	783	404	0	0	32	372
Precinct 7812 - None	112	112	877	257	0	1	32	224
Precinct 7812 - None	177	228	877	454	0	1	48	405
Precinct 7813 - None	134	148	1,064	308	1	0	25	282
Precinct 7813 - None	227	293	1,064	585	0	1	64	520
Precinct 7814 - None	117	83	936	228	0	2	26	200
Precinct 7814 - None	177	141	936	341	0	1	22	318
Precinct 7815 - None	89	131	954	238	0	0	18	220
Precinct 7815 - None	227	302	954	573	0	0	44	529
Precinct 7816 - None	104	112	865	236	0	0	20	216
Precinct 7816 - None	176	311	865	531	1	0	43	487
Precinct 7817 - None	122	132	823	277	0	0	23	254
Precinct 7817 - None	179	236	823	439	0	1	23	415
Precinct 7818 - None	95	124	860	234	0	0	15	219
Precinct 7818 - None	177	227	860	452	2	0	46	404
Precinct 7819 - None	90	87	793	191	0	0	14	177
Precinct 7819 - None	188	189	793	420	0	0	43	377
Precinct 7821 - None	111	117	985	248	0	0	20	228
Precinct 7821 - None	243	326	985	630	0	1	60	569
Precinct 7822 - None	124	140	908	275	0	0	11	264
Precinct 7822 - None	188	252	908	480	0	1	39	440
Precinct 7823 - None	113	135	879	270	6	0	16	248
Precinct 7823 - None	184	271	879	501	0	0	46	455
Precinct 7824 - None	94	131	768	247	0	1	21	225
Precinct 7824 - None	152	180	768	383	0	0	51	332
Precinct 7825 - None	80	95	597	191	0	0	16	175
Precinct 7825 - None	122	152	597	302	0	0	28	274
Precinct 7826 - None	107	128	684	258	0	0	23	235
Precinct 7826 - None	138	150	684	319	0	0	31	288
Precinct 7827 - None	125	115	831	261	0	0	21	240
Precinct 7827 - None	193	135	831	361	0	0	33	328
Precinct 7828 - None	113	130	1,018	261	0	0	18	243
Precinct 7828 - None	221	277	1,018	549	0	2	49	498
Precinct 7829 - None	97	122	907	237	1	0	17	219
Precinct 7829 - None	188	322	907	557	0	1	46	510
Precinct 7831 - None	102	113	882	233	0	0	18	215
Precinct 7831 - None	197	301	882	544	0	0	46	498
Precinct 7832 - None	78	97	780	188	0	0	13	175
Precinct 7832 - None	168	277	780	488	0	0	43	445
Precinct 7833 - None	122	87	747	230	0	0	21	209
Precinct 7833 - None	190	178	747	412	0	0	44	368
Precinct 7834 - None	133	117	867	277	0	0	27	250
Precinct 7834 - None	206	196	867	439	0	0	37	402
Precinct 7835 - None	91	102	847	211	0	0	18	193
Precinct 7835 - None	177	284	847	505	1	0	43	461
Precinct 7836 - None	115	124	1,023	260	0	0	21	239
Precinct 7836 - None	232	347	1,023	623	0	0	44	579
Precinct 7837 - None	100	139	911	260	0	1	20	239
Precinct 7837 - None	174	265	911	509	2	0	68	439
Precinct 7838 - None	108	114	926	239	0	0	17	222
Precinct 7838 - None	210	267	926	546	0	1	68	477
Precinct 7839 - None	79	108	842	205	0	0	18	187
Precinct 7839 - None	199	269	842	515	0	1	46	468
Precinct 7841 - None	138	134	937	291	0	0	19	272
Precinct 7841 - None	203	281	937	526	0	0	42	484
Precinct 7842 - None	135	116	903	283	0	1	31	251
Precinct 7842 - None	179	202	903	434	0	0	53	381
Precinct 7843 - None	113	96	767	232	0	1	22	209
Precinct 7843 - None	175	176	767	380	0	0	29	351
Precinct 7844 - None	106	69	663	196	0	0	21	175
Precinct 7844 - None	131	156	663	329	0	0	42	287
Precinct 7845 - None	100	113	849	241	0	0	28	213
Precinct 7845 - None	167	256	849	469	0	0	46	423
Precinct 7846 - None	101	127	904	262	0	0	34	228
Precinct 7846 - None	198	256	904	509	0	0	55	454
Precinct 7847 - None	115	119	929	261	0	0	27	234
Precinct 7847 - None	215	252	929	529	0	0	62	467
Precinct 7848 - None	83	124	834	233	0	0	26	207
Precinct 7848 - None	204	234	834	491	0	1	52	438
Precinct 7849 - None	124	114	929	264	0	1	25	238
Precinct 7849 - None	203	257	929	522	0	0	62	460
Precinct 7851 - None	60	55	513	136	0	0	21	115
Precinct 7851 - None	115	140	513	298	0	0	43	255
Precinct 7852 - None	53	83	647	143	0	1	6	136
Precinct 7852 - None	151	204	647	394	0	0	39	355
Precinct 7853 - None	82	116	850	214	0	0	16	198
Precinct 7853 - None	181	255	850	479	0	0	43	436
Precinct 7854 - None	99	125	894	248	0	0	24	224
Precinct 7854 - None	226	232	894	500	0	0	42	458
Precinct 7855 - None	124	151	986	301	0	0	26	275
Precinct 7855 - None	188	269	986	522	0	0	65	457
Precinct 7856 - None	140	111	800	265	0	0	14	251
Precinct 7856 - None	170	213	800	425	0	0	42	383
Precinct 7857 - None	127	121	933	276	0	0	28	248
Precinct 7857 - None	236	221	933	517	0	0	60	457
Precinct 7858 - None	137	82	775	245	0	0	26	219
Precinct 7858 - None	175	178	775	394	0	0	41	353
Precinct 7859 - None	116	112	891	250	0	0	22	228
Precinct 7859 - None	187	280	891	513	0	0	46	467
Precinct 7861 - None	96	103	859	217	0	0	18	199
Precinct 7861 - None	195	265	859	510	0	0	50	460
Precinct 7862 - None	131	142	866	302	0	0	29	273
Precinct 7862 - None	188	242	866	472	0	0	42	430
Precinct 7863 - None	135	143	907	311	0	0	33	278
Precinct 7863 - None	187	197	907	440	0	0	56	384
Precinct 7864 - None	100	116	807	232	0	0	16	216
Precinct 7864 - None	191	199	807	427	0	0	37	390
Precinct 7865 - None	97	121	823	241	0	0	23	218
Precinct 7865 - None	192	225	823	463	0	0	46	417
Precinct 7866 - None	83	106	836	209	0	0	20	189
Precinct 7866 - None	182	247	836	491	0	0	62	429
Precinct 7867 - None	129	103	955	266	0	0	34	232
Precinct 7867 - None	218	238	955	512	0	0	56	456
Precinct 7868 - None	101	120	881	242	0	0	21	221
Precinct 7868 - None	152	252	881	449	1	1	43	404
Precinct 7869 - None	103	112	867	239	0	0	24	215
Precinct 7869 - None	201	245	867	489	0	0	43	446
Precinct 7871 - None	111	124	900	259	0	0	24	235
Precinct 7871 - None	204	264	900	502	2	0	32	468
Precinct 7872 - None	129	132	862	288	0	0	27	261
Precinct 7872 - None	175	246	862	472	0	0	51	421
Precinct 7873 - None	109	125	861	257	0	0	23	234
Precinct 7873 - None	225	229	861	502	0	0	48	454
Precinct 7874 - None	61	61	477	137	0	1	14	122
Precinct 7874 - None	106	116	477	256	1	0	33	222
Precinct 7875 - None	86	77	623	180	0	0	17	163
Precinct 7875 - None	121	109	623	285	0	3	52	230
Precinct 7876 - None	59	69	498	154	10	0	16	128
Precinct 7876 - None	99	145	498	269	0	2	23	244
Precinct 7901 - None	56	55	522	136	0	1	24	111
Precinct 7901 - None	108	70	522	198	0	0	20	178
Precinct 7902 - None	146	87	968	258	0	0	25	233
Precinct 7902 - None	203	162	968	401	0	1	35	365
Precinct 7903 - None	113	63	840	201	0	0	25	176
Precinct 7903 - None	176	134	840	350	0	4	36	310
Precinct 7904 - None	111	81	877	212	0	1	19	192
Precinct 7904 - None	206	148	877	403	0	0	49	354
Precinct 7905 - None	124	99	851	254	0	0	31	223
Precinct 7905 - None	184	183	851	409	1	0	41	367
Precinct 7906 - None	119	96	787	245	0	0	30	215
Precinct 7906 - None	166	137	787	335	0	0	32	303
Precinct 7907 - None	151	95	950	278	0	0	32	246
Precinct 7907 - None	212	177	950	425	0	0	36	389
Precinct 7908 - None	151	82	949	284	0	1	50	233
Precinct 7908 - None	209	136	949	408	0	0	63	345
Precinct 7909 - None	144	85	733	251	0	0	22	229
Precinct 7909 - None	149	121	733	303	0	0	33	270
Precinct 7911 - None	135	93	860	244	0	1	15	228
Precinct 7911 - None	180	180	860	395	0	1	34	360
Precinct 7912 - None	145	112	1,065	291	0	1	33	257
Precinct 7912 - None	214	189	1,065	463	0	1	59	403
Precinct 7913 - None	168	114	913	312	0	1	29	282
Precinct 7913 - None	183	153	913	378	0	0	42	336
Precinct 7914 - None	164	88	883	278	0	2	24	252
Precinct 7914 - None	213	169	883	425	0	3	40	382
Precinct 7915 - None	151	97	831	266	0	0	18	248
Precinct 7915 - None	183	140	831	351	0	1	27	323
Precinct 7916 - None	159	96	888	284	0	0	29	255
Precinct 7916 - None	220	171	888	421	0	0	30	391
Precinct 7917 - None	194	100	1,015	315	0	0	21	294
Precinct 7917 - None	252	141	1,015	428	0	2	33	393
Precinct 7918 - None	135	91	836	253	0	0	27	226
Precinct 7918 - None	180	164	836	379	0	1	34	344
Precinct 7919 - None	195	87	895	309	0	2	25	282
Precinct 7919 - None	207	128	895	376	0	2	39	335
Precinct 7921 - None	127	77	917	232	0	1	27	204
Precinct 7921 - None	195	128	917	366	0	0	43	323
Precinct 7922 - None	151	78	831	250	0	0	21	229
Precinct 7922 - None	211	143	831	383	0	0	29	354
Precinct 7923 - None	156	83	885	262	0	0	23	239
Precinct 7923 - None	218	154	885	403	0	0	31	372
Precinct 7924 - None	139	76	842	238	0	1	22	215
Precinct 7924 - None	220	139	842	382	0	0	23	359
Precinct 7925 - None	100	49	567	156	0	0	7	149
Precinct 7925 - None	146	116	567	293	0	0	31	262
Precinct 7926 - None	97	109	795	229	0	1	22	206
Precinct 7926 - None	182	162	795	390	0	0	46	344
Precinct 7927 - None	131	91	747	241	0	0	19	222
Precinct 7927 - None	180	171	747	392	0	0	41	351
Precinct 7928 - None	159	100	931	284	0	0	25	259
Precinct 7928 - None	220	216	931	489	0	0	53	436
Precinct 7929 - None	142	85	864	248	0	0	21	227
Precinct 7929 - None	246	215	864	509	1	1	46	461
Precinct 7931 - None	97	92	738	219	0	0	30	189
Precinct 7931 - None	161	202	738	408	0	0	45	363
Precinct 7932 - None	79	61	551	157	1	0	16	140
Precinct 7932 - None	126	137	551	285	0	0	22	263
Precinct 7933 MB - None	1	2	6	4	0	0	1	3
Precinct 7934 - None	130	92	890	250	0	0	28	222
Precinct 7934 - None	230	202	890	472	0	0	40	432
Precinct 7935 - None	139	134	970	305	0	0	32	273
Precinct 7935 - None	211	242	970	519	0	0	66	453
Precinct 7936 - None	144	108	856	287	0	0	35	252
Precinct 7936 - None	190	206	856	428	0	0	32	396
Precinct 7937 - None	124	109	886	267	0	0	34	233
Precinct 7937 - None	191	196	886	435	0	0	48	387
Precinct 7938 - None	120	68	788	213	0	0	25	188
Precinct 7938 - None	173	137	788	337	0	0	27	310
Precinct 7939 - None	118	115	688	254	0	0	21	233
Precinct 7939 - None	151	147	688	326	0	0	28	298
Precinct 7941 - None	104	92	751	218	0	0	22	196
Precinct 7941 - None	176	134	751	348	0	1	37	310
Precinct 7942 - None	145	92	914	259	1	0	21	237
Precinct 7942 - None	192	177	914	412	0	1	42	369
Precinct 7943 - None	133	97	872	258	4	0	24	230
Precinct 7943 - None	188	190	872	439	0	2	59	378
Precinct 7944 - None	133	87	801	243	0	0	23	220
Precinct 7944 - None	183	170	801	381	0	1	27	353
Precinct 7945 - None	92	68	915	186	0	0	26	160
Precinct 7945 - None	173	196	915	414	0	1	44	369
Precinct 7946 - None	92	69	945	183	0	0	22	161
Precinct 7946 - None	202	184	945	451	0	0	65	386
Precinct 7947 - None	90	57	946	182	0	2	33	147
Precinct 7947 - None	208	152	946	430	0	0	70	360
Precinct 7948 - None	106	80	928	210	0	0	24	186
Precinct 7948 - None	196	176	928	422	0	0	50	372
Precinct 7949 - None	49	35	569	100	0	0	16	84
Precinct 7949 - None	124	123	569	292	0	1	44	247
Precinct 7951 - None	79	63	854	166	0	0	24	142
Precinct 7951 - None	181	164	854	425	0	0	80	345
Precinct 7952 - None	75	65	866	167	0	0	27	140
Precinct 7952 - None	188	127	866	359	0	0	44	315
Precinct 7953 - None	88	75	824	186	2	0	21	163
Precinct 7953 - None	178	172	824	402	0	0	52	350
Precinct 7955 - None	101	64	902	199	0	0	34	165
Precinct 7955 - None	185	179	902	435	0	0	71	364
Precinct 7956 - None	66	41	823	136	0	1	28	107
Precinct 7956 - None	172	124	823	353	0	2	55	296
Precinct 7957 - None	60	66	646	147	0	1	20	126
Precinct 7957 - None	127	138	646	298	0	0	33	265
Precinct 7958 MB - None	54	59	290	141	0	0	28	113
Precinct 7959 - None	86	57	727	160	0	0	17	143
Precinct 7959 - None	143	148	727	326	0	2	33	291
Precinct 9001 MB - None	55	69	273	142	0	0	18	124
Precinct 9101 - None	95	139	888	260	0	0	26	234
Precinct 9101 - None	148	231	888	438	0	1	58	379
Precinct 9102 - None	97	120	985	257	0	0	40	217
Precinct 9102 - None	192	225	985	471	0	0	54	417
Precinct 9103 - None	101	144	954	273	0	0	28	245
Precinct 9103 - None	152	207	954	431	0	0	72	359
Precinct 9104 - None	110	101	988	239	0	0	28	211
Precinct 9104 - None	196	204	988	465	0	0	65	400
Precinct 9105 - None	117	97	919	247	0	0	33	214
Precinct 9105 - None	189	220	919	488	0	0	79	409
Precinct 9106 - None	105	138	937	268	1	1	23	243
Precinct 9106 - None	182	236	937	497	0	0	79	418
Precinct 9107 - None	110	84	849	219	0	1	24	194
Precinct 9107 - None	143	175	849	372	0	0	54	318
Precinct 9108 - None	126	96	790	247	0	0	25	222
Precinct 9108 - None	165	167	790	373	1	0	40	332
Precinct 9109 - None	125	103	884	263	0	0	35	228
Precinct 9109 - None	151	222	884	428	0	0	55	373
Precinct 9111 - None	90	113	779	229	0	0	26	203
Precinct 9111 - None	138	154	779	346	0	0	54	292
Precinct 9112 - None	116	127	976	284	0	1	40	243
Precinct 9112 - None	216	182	976	467	0	1	68	398
Precinct 9113 - None	136	147	999	311	0	0	28	283
Precinct 9113 - None	196	238	999	505	0	0	71	434
Precinct 9114 - None	120	118	877	263	0	0	25	238
Precinct 9114 - None	170	181	877	405	0	0	54	351
Precinct 9115 - None	123	109	911	258	0	0	26	232
Precinct 9115 - None	201	169	911	429	0	0	59	370
Precinct 9116 - None	144	115	944	281	1	1	20	259
Precinct 9116 - None	190	217	944	473	0	0	66	407
Precinct 9117 - None	89	112	783	222	0	0	21	201
Precinct 9117 - None	154	186	783	398	0	0	58	340
Precinct 9118 - None	118	135	974	286	0	0	33	253
Precinct 9118 - None	162	183	974	426	0	1	80	345
Precinct 9119 - None	99	101	891	237	0	0	37	200
Precinct 9119 - None	177	213	891	447	0	0	57	390
Precinct 9121 - None	113	103	930	256	0	0	40	216
Precinct 9121 - None	166	211	930	434	0	0	57	377
Precinct 9122 - None	86	85	953	210	0	0	39	171
Precinct 9122 - None	185	204	953	454	0	1	64	389
Precinct 9123 - None	97	108	858	232	0	0	27	205
Precinct 9123 - None	163	193	858	418	0	0	62	356
Precinct 9124 - None	78	100	874	202	0	1	23	178
Precinct 9124 - None	163	191	874	438	0	0	84	354
Precinct 9125 - None	89	93	861	210	0	0	28	182
Precinct 9125 - None	168	206	861	437	0	0	63	374
Precinct 9126 - None	101	107	1,015	245	0	0	37	208
Precinct 9126 - None	202	238	1,015	533	0	0	93	440
Precinct 9127 - None	115	116	960	269	0	0	38	231
Precinct 9127 - None	181	243	960	498	0	0	74	424
Precinct 9128 - None	119	109	828	248	0	0	20	228
Precinct 9128 - None	149	206	828	412	0	0	57	355
Precinct 9129 - None	114	102	741	243	0	0	27	216
Precinct 9129 - None	135	167	741	348	0	0	46	302
Precinct 9131 - None	78	94	759	193	0	0	21	172
Precinct 9131 - None	171	163	759	403	0	0	69	334
Precinct 9132 - None	98	113	837	248	0	1	36	211
Precinct 9132 - None	159	169	837	371	0	2	41	328
Precinct 9133 - None	116	125	1,021	271	0	1	29	241
Precinct 9133 - None	220	219	1,021	503	0	0	64	439
Precinct 9134 - None	84	95	893	210	0	0	31	179
Precinct 9134 - None	174	236	893	469	0	0	59	410
Precinct 9135 - None	89	91	808	215	0	0	35	180
Precinct 9135 - None	130	188	808	389	0	0	71	318
Precinct 9136 - None	111	113	929	253	0	0	29	224
Precinct 9136 - None	167	201	929	439	0	0	71	368
Precinct 9137 - None	106	117	1,006	260	0	0	37	223
Precinct 9137 - None	185	213	1,006	467	0	0	69	398
Precinct 9138 - None	79	108	943	226	1	0	38	187
Precinct 9138 - None	180	228	943	477	1	0	68	408
Precinct 9139 - None	109	102	975	243	0	0	32	211
Precinct 9139 - None	193	233	975	510	0	0	84	426
Precinct 9141 - None	111	103	953	252	0	0	38	214
Precinct 9141 - None	189	218	953	477	0	0	70	407
Precinct 9142 - None	128	118	966	276	0	0	30	246
Precinct 9142 - None	194	211	966	459	0	1	53	405
Precinct 9143 - None	116	100	920	251	0	0	35	216
Precinct 9143 - None	199	193	920	463	0	0	71	392
Precinct 9144 - None	118	141	962	293	0	0	34	259
Precinct 9144 - None	180	232	962	482	0	0	70	412
Precinct 9145 - None	103	119	861	249	1	0	26	222
Precinct 9145 - None	155	211	861	423	0	0	57	366
Precinct 9146 - None	106	106	885	245	0	0	33	212
Precinct 9146 - None	192	208	885	464	0	0	64	400
Precinct 9147 - None	125	109	971	281	0	0	47	234
Precinct 9147 - None	205	237	971	492	0	0	50	442
Precinct 9148 - None	125	167	1,034	325	0	0	33	292
Precinct 9148 - None	181	277	1,034	513	0	0	55	458
Precinct 9149 - None	107	133	948	264	0	0	24	240
Precinct 9149 - None	174	250	948	478	0	0	54	424
Precinct 9151 - None	98	108	872	227	0	0	21	206
Precinct 9151 - None	179	191	872	418	0	0	48	370
Precinct 9152 - None	113	139	721	270	0	0	18	252
Precinct 9152 - None	99	159	721	279	0	0	21	258
Precinct 9201 - None	115	159	1,004	300	0	0	26	274
Precinct 9201 - None	188	239	1,004	475	0	0	48	427
Precinct 9202 - None	112	150	971	294	0	0	32	262
Precinct 9202 - None	146	241	971	426	0	0	39	387
Precinct 9203 - None	78	118	1,002	239	0	0	43	196
Precinct 9203 - None	151	289	1,002	536	0	0	96	440
Precinct 9204 - None	93	134	873	273	0	0	46	227
Precinct 9204 - None	131	206	873	393	0	0	56	337
Precinct 9205 - None	82	94	728	208	0	0	32	176
Precinct 9205 - None	140	195	728	376	0	1	40	335
Precinct 9206 - None	85	121	931	249	0	0	43	206
Precinct 9206 - None	158	240	931	479	0	1	80	398
Precinct 9207 - None	94	125	981	262	0	0	43	219
Precinct 9207 - None	143	275	981	502	0	0	84	418
Precinct 9208 - None	106	147	1,002	287	0	0	34	253
Precinct 9208 - None	158	261	1,002	491	0	2	70	419
Precinct 9209 - None	89	128	711	245	0	0	28	217
Precinct 9209 - None	91	189	711	327	0	0	47	280
Precinct 9211 - None	75	123	889	234	0	0	36	198
Precinct 9211 - None	120	247	889	432	0	0	65	367
Precinct 9212 - None	91	114	803	234	0	0	29	205
Precinct 9212 - None	138	205	803	400	0	0	57	343
Precinct 9213 - None	100	136	951	264	0	0	28	236
Precinct 9213 - None	160	266	951	508	0	0	82	426
Precinct 9214 - None	55	88	640	166	0	0	23	143
Precinct 9214 - None	117	183	640	334	0	0	34	300
Precinct 9215 - None	73	94	652	194	0	0	27	167
Precinct 9215 - None	111	165	652	327	0	0	51	276
Precinct 9216 - None	86	133	845	246	0	0	27	219
Precinct 9216 - None	132	193	845	379	0	0	54	325
Precinct 9217 - None	72	92	698	194	0	0	30	164
Precinct 9217 - None	108	187	698	349	0	0	54	295
Precinct 9218 - None	88	129	841	249	0	0	32	217
Precinct 9218 - None	113	219	841	412	0	0	80	332
Precinct 9219 - None	81	128	802	242	0	0	33	209
Precinct 9219 - None	153	197	802	399	0	0	49	350
Precinct 9221 - None	45	83	651	145	0	0	17	128
Precinct 9221 - None	116	213	651	399	0	1	69	329
Precinct 9222 - None	87	123	883	249	0	0	39	210
Precinct 9222 - None	145	236	883	449	0	0	68	381
Precinct 9223 - None	64	75	638	160	0	0	21	139
Precinct 9223 - None	103	179	638	338	0	0	56	282
Precinct 9224 - None	90	131	960	263	0	0	42	221
Precinct 9224 - None	155	275	960	506	0	0	76	430
Precinct 9225 - None	90	164	958	299	0	0	45	254
Precinct 9225 - None	157	255	958	469	0	0	57	412
Precinct 9226 - None	95	128	926	271	0	0	48	223
Precinct 9226 - None	158	260	926	486	0	0	68	418
Precinct 9227 - None	66	96	738	188	0	0	26	162
Precinct 9227 - None	140	199	738	404	0	0	65	339
Precinct 9228 - None	60	103	747	189	0	0	26	163
Precinct 9228 - None	137	217	747	424	0	0	70	354
Precinct 9229 - None	71	68	598	162	0	0	23	139
Precinct 9229 - None	101	172	598	316	0	1	42	273
Precinct 9231 - None	136	147	953	313	0	0	30	283
Precinct 9231 - None	172	250	953	488	0	0	66	422
Precinct 9232 - None	90	94	735	212	0	1	27	184
Precinct 9232 - None	176	175	735	396	0	1	44	351
Precinct 9233 - None	85	99	793	209	0	0	25	184
Precinct 9233 - None	124	246	793	434	0	0	64	370
Precinct 9234 - None	65	101	746	187	0	0	21	166
Precinct 9234 - None	134	244	746	438	0	1	59	378
Precinct 9235 - None	98	118	884	239	0	0	23	216
Precinct 9235 - None	150	274	884	488	0	1	63	424
Precinct 9236 - None	61	117	683	201	0	0	23	178
Precinct 9236 - None	126	186	683	358	0	0	46	312
Precinct 9237 - None	85	115	936	229	0	0	29	200
Precinct 9237 - None	184	294	936	539	0	2	59	478
Precinct 9238 - None	82	124	842	230	0	0	24	206
Precinct 9238 - None	141	257	842	456	0	0	58	398
Precinct 9239 - None	81	89	881	200	0	0	30	170
Precinct 9239 - None	154	263	881	499	0	0	82	417
Precinct 9241 - None	99	120	1,005	255	0	0	36	219
Precinct 9241 - None	211	302	1,005	578	0	1	64	513
Precinct 9242 - None	105	142	972	277	0	0	30	247
Precinct 9242 - None	177	276	972	513	0	0	60	453
Precinct 9243 - None	80	87	594	193	0	0	26	167
Precinct 9243 - None	108	164	594	307	0	0	35	272
Precinct 9244 - None	107	112	903	255	0	0	36	219
Precinct 9244 - None	173	256	903	485	0	1	55	429
Precinct 9245 - None	66	119	742	209	0	1	23	185
Precinct 9245 - None	119	209	742	375	0	1	46	328
Precinct 9246 - None	85	145	929	257	0	0	27	230
Precinct 9246 - None	168	304	929	528	0	0	56	472
Precinct 9247 - None	106	124	927	264	0	1	33	230
Precinct 9247 - None	179	278	927	515	0	0	58	457
Precinct 9248 - None	97	133	907	258	0	0	28	230
Precinct 9248 - None	164	271	907	487	0	0	52	435
Precinct 9249 - None	113	135	917	271	0	0	23	248
Precinct 9249 - None	160	269	917	495	0	1	65	429
Precinct 9251 - None	112	143	995	287	0	0	32	255
Precinct 9251 - None	171	276	995	530	0	0	83	447
Precinct 9252 - None	95	96	944	219	0	1	27	191
Precinct 9252 - None	194	289	944	550	0	1	66	483
Precinct 9253 - None	58	100	772	187	0	0	29	158
Precinct 9253 - None	138	196	772	397	0	1	62	334
Precinct 9254 - None	91	119	935	230	0	0	20	210
Precinct 9254 - None	172	313	935	538	0	0	53	485
Precinct 9255 - None	66	98	553	183	0	0	19	164
Precinct 9255 - None	91	149	553	263	0	0	23	240
Precinct 9256 - None	55	64	474	130	0	0	11	119
Precinct 9256 - None	94	110	474	233	0	0	29	204
Precinct 9257 MB - None	110	104	321	235	0	0	21	214
Precinct 9258 - None	79	97	712	193	0	0	17	176
Precinct 9258 - None	132	179	712	373	0	1	61	311
Precinct 9401 - None	137	127	1,012	293	0	0	29	264
Precinct 9401 - None	212	210	1,012	484	0	0	62	422
Precinct 9402 - None	126	120	977	290	0	0	44	246
Precinct 9402 - None	186	210	977	458	0	0	62	396
Precinct 9403 - None	114	98	897	240	0	0	28	212
Precinct 9403 - None	153	191	897	419	0	0	75	344
Precinct 9404 - None	75	89	930	200	0	0	36	164
Precinct 9404 - None	181	213	930	462	0	1	67	394
Precinct 9405 - None	94	83	786	210	0	0	33	177
Precinct 9405 - None	142	166	786	364	0	0	56	308
Precinct 9406 - None	114	88	868	244	0	0	42	202
Precinct 9406 - None	180	183	868	421	0	0	58	363
Precinct 9407 - None	111	113	889	253	0	0	29	224
Precinct 9407 - None	176	173	889	409	0	1	59	349
Precinct 9408 - None	126	105	886	265	0	0	34	231
Precinct 9408 - None	172	195	886	415	0	0	48	367
Precinct 9409 - None	98	88	590	201	0	0	15	186
Precinct 9409 - None	115	98	590	252	0	0	39	213
Precinct 9411 - None	126	117	956	271	0	1	27	243
Precinct 9411 - None	190	196	956	431	0	0	45	386
Precinct 9412 - None	98	115	848	245	0	2	30	213
Precinct 9412 - None	146	162	848	380	0	0	72	308
Precinct 9413 - None	90	104	894	229	0	0	35	194
Precinct 9413 - None	167	199	894	461	0	1	94	366
Precinct 9414 - None	104	88	916	216	0	0	24	192
Precinct 9414 - None	193	213	916	463	0	0	57	406
Precinct 9415 - None	83	74	784	187	0	0	30	157
Precinct 9415 - None	162	157	784	392	0	0	73	319
Precinct 9416 - None	125	124	1,008	282	1	0	32	249
Precinct 9416 - None	202	212	1,008	480	1	0	65	414
Precinct 9417 - None	75	73	752	175	0	0	27	148
Precinct 9417 - None	162	167	752	402	0	0	73	329
Precinct 9418 - None	81	92	790	211	0	0	38	173
Precinct 9418 - None	126	169	790	376	0	0	81	295
Precinct 9419 - None	77	103	924	222	0	0	42	180
Precinct 9419 - None	178	199	924	468	0	0	91	377
Precinct 9421 - None	91	106	906	238	0	0	41	197
Precinct 9421 - None	152	185	906	446	0	0	109	337
Precinct 9422 - None	100	135	1,056	283	0	0	48	235
Precinct 9422 - None	205	219	1,056	513	0	0	89	424
Precinct 9423 - None	97	96	889	219	0	0	26	193
Precinct 9423 - None	178	205	889	440	0	0	57	383
Precinct 9424 - None	103	87	952	224	0	0	34	190
Precinct 9424 - None	210	209	952	496	0	0	77	419
Precinct 9425 - None	83	84	933	199	0	0	32	167
Precinct 9425 - None	187	193	933	465	0	0	85	380
Precinct 9426 - None	83	81	823	198	0	2	32	164
