Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	186,758	137,592	500,516	372,848	282	147	48,069	324,350
All Precincts - Election Day	64,854	45,483	500,516	127,886	68	47	17,434	110,337
All Precincts - Vote By Mail	121,904	92,109	500,516	244,962	214	100	30,635	214,013
Precinct 1101 - Election Day	72	38	553	126	0	0	16	110
Precinct 1101 - Vote By Mail	149	91	553	266	0	0	26	240
Precinct 1102 - Election Day	121	121	995	266	0	0	24	242
Precinct 1102 - Vote By Mail	213	208	995	480	-2	1	60	421
Precinct 1103 - Election Day	122	95	951	246	1	0	28	217
Precinct 1103 - Vote By Mail	238	165	951	445	-1	0	43	403
Precinct 1104/1105 - Election Day	131	87	993	249	-1	0	32	218
Precinct 1104/1105 - Vote By Mail	244	125	993	414	-2	1	46	369
Precinct 1106 - Election Day	91	74	765	191	0	1	25	165
Precinct 1106 - Vote By Mail	158	156	765	343	-1	0	30	314
Precinct 1107 - Election Day	83	53	746	163	0	0	27	136
Precinct 1107 - Vote By Mail	173	111	746	336	5	0	47	284
Precinct 1108 - Election Day	126	69	909	232	-1	0	38	195
Precinct 1108 - Vote By Mail	208	170	909	438	-1	0	61	378
Precinct 1109 - Election Day	88	59	798	166	0	0	19	147
Precinct 1109 - Vote By Mail	196	124	798	365	-2	0	47	320
Precinct 1111 - Election Day	113	63	1,002	205	0	1	28	176
Precinct 1111 - Vote By Mail	253	157	1,002	460	-3	0	53	410
Precinct 1112 - Election Day	88	49	769	151	2	0	12	137
Precinct 1112 - Vote By Mail	175	112	769	344	-1	0	58	287
Precinct 1113 - Election Day	77	38	746	135	0	0	20	115
Precinct 1113 - Vote By Mail	175	137	746	360	0	0	48	312
Precinct 1114 - Election Day	116	64	957	226	-2	0	48	180
Precinct 1114 - Vote By Mail	224	138	957	404	0	0	42	362
Precinct 1115 - Election Day	109	45	895	174	0	0	20	154
Precinct 1115 - Vote By Mail	193	122	895	371	-3	0	59	315
Precinct 1116 - Election Day	127	54	895	225	1	0	43	181
Precinct 1116 - Vote By Mail	201	118	895	376	-2	0	59	319
Precinct 1117 - Election Day	102	50	858	185	0	1	32	152
Precinct 1117 - Vote By Mail	203	103	858	357	1	0	50	306
Precinct 1118 - Election Day	117	72	1,043	213	0	0	24	189
Precinct 1118 - Vote By Mail	240	185	1,043	476	-3	0	54	425
Precinct 1119 - Election Day	84	52	791	165	0	0	29	136
Precinct 1119 - Vote By Mail	224	130	791	386	0	0	32	354
Precinct 1121 - Election Day	76	58	691	160	0	0	26	134
Precinct 1121 - Vote By Mail	163	102	691	313	-1	0	49	265
Precinct 1122 - Election Day	58	34	632	110	0	0	18	92
Precinct 1122 - Vote By Mail	166	104	632	310	-1	0	41	270
Precinct 1123 - Election Day	105	60	915	179	0	0	14	165
Precinct 1123 - Vote By Mail	174	124	915	364	-1	0	67	298
Precinct 1124 - Election Day	81	48	819	152	0	0	23	129
Precinct 1124 - Vote By Mail	177	96	819	302	-2	0	31	273
Precinct 1125 - Election Day	79	53	1,047	159	1	0	26	132
Precinct 1125 - Vote By Mail	229	187	1,047	466	0	0	50	416
Precinct 1126 - Election Day	100	73	922	191	0	0	18	173
Precinct 1126 - Vote By Mail	215	143	922	400	-2	0	44	358
Precinct 1127 - Election Day	106	68	920	200	0	0	26	174
Precinct 1127 - Vote By Mail	183	148	920	382	-2	0	53	331
Precinct 1128 - Election Day	89	42	838	154	0	0	23	131
Precinct 1128 - Vote By Mail	182	128	838	362	0	0	52	310
Precinct 1129 - Election Day	109	84	980	227	1	1	32	193
Precinct 1129 - Vote By Mail	234	132	980	416	2	0	48	366
Precinct 1131 - Election Day	71	33	797	132	0	0	28	104
Precinct 1131 - Vote By Mail	178	166	797	371	0	1	26	344
Precinct 1132 - Election Day	98	48	969	179	2	0	31	146
Precinct 1132 - Vote By Mail	233	141	969	427	-1	0	54	374
Precinct 1133 - Election Day	91	50	863	161	1	0	19	141
Precinct 1133 - Vote By Mail	212	142	863	410	0	0	56	354
Precinct 1134 - Election Day	85	50	759	170	2	0	33	135
Precinct 1134 - Vote By Mail	164	109	759	318	-3	0	48	273
Precinct 1135 - Election Day	31	34	540	87	1	0	21	65
Precinct 1135 - Vote By Mail	159	95	540	295	1	0	40	254
Precinct 1136 - Election Day	68	59	829	144	0	0	17	127
Precinct 1136 - Vote By Mail	215	146	829	412	1	0	50	361
Precinct 1141 - Election Day	124	63	1,041	223	3	0	33	187
Precinct 1141 - Vote By Mail	283	150	1,041	484	-1	1	51	433
Precinct 1142 - Election Day	97	55	861	175	-1	0	24	152
Precinct 1142 - Vote By Mail	199	136	861	393	-2	0	60	335
Precinct 1143 - Election Day	138	68	1,034	229	1	0	22	206
Precinct 1143 - Vote By Mail	250	133	1,034	440	1	1	55	383
Precinct 1144 - Election Day	107	73	907	205	2	0	23	180
Precinct 1144 - Vote By Mail	221	120	907	387	0	0	46	341
Precinct 1145 - Election Day	99	57	888	189	1	0	32	156
Precinct 1145 - Vote By Mail	234	165	888	461	-3	0	65	399
Precinct 1146 - Election Day	120	42	1,011	186	-1	0	25	162
Precinct 1146 - Vote By Mail	244	162	1,011	454	0	0	48	406
Precinct 1147 - Election Day	101	78	877	210	4	0	27	179
Precinct 1147 - Vote By Mail	208	128	877	396	2	1	57	336
Precinct 1148 - Election Day	104	64	962	196	1	0	27	168
Precinct 1148 - Vote By Mail	242	147	962	444	0	0	55	389
Precinct 1149 - Election Day	109	74	907	210	1	0	26	183
Precinct 1149 - Vote By Mail	231	122	907	407	-6	0	60	353
Precinct 1152 - Election Day	104	62	864	198	-1	0	33	166
Precinct 1152 - Vote By Mail	195	151	864	388	0	0	42	346
Precinct 1153 - Election Day	107	64	951	210	0	0	39	171
Precinct 1153 - Vote By Mail	219	144	951	415	-1	0	53	363
Precinct 7001 - Election Day	90	66	776	176	0	0	20	156
Precinct 7001 - Vote By Mail	210	182	776	429	0	0	37	392
Precinct 7002 - Election Day	99	50	706	176	1	0	26	149
Precinct 7002 - Vote By Mail	191	111	706	332	1	0	29	302
Precinct 7003 - Election Day	108	101	884	238	0	0	29	209
Precinct 7003 - Vote By Mail	258	187	884	498	0	0	53	445
Precinct 7004 - Election Day	117	95	881	241	1	0	28	212
Precinct 7004 - Vote By Mail	264	183	881	496	1	0	48	447
Precinct 7005 - Election Day	147	86	847	253	1	0	19	233
Precinct 7005 - Vote By Mail	248	183	847	480	-1	0	50	431
Precinct 7006 - Election Day	142	85	917	254	1	0	26	227
