Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	281,389	72,163	500,516	372,848	942	124	18,230	353,552
All Precincts - Election Day	100,088	21,472	500,516	127,886	135	36	6,155	121,560
All Precincts - Vote By Mail	181,301	50,691	500,516	244,962	807	88	12,075	231,992
Precinct 1101 - Election Day	98	21	553	126	0	0	7	119
Precinct 1101 - Vote By Mail	180	74	553	266	1	0	11	254
Precinct 1102 - Election Day	190	65	995	266	0	1	10	255
Precinct 1102 - Vote By Mail	322	132	995	480	-1	0	27	454
Precinct 1103 - Election Day	181	50	951	246	1	0	14	231
Precinct 1103 - Vote By Mail	293	131	951	445	0	1	20	424
Precinct 1104/1105 - Election Day	185	53	993	249	0	0	11	238
Precinct 1104/1105 - Vote By Mail	287	107	993	414	-2	0	22	394
Precinct 1106 - Election Day	134	49	765	191	-1	0	9	183
Precinct 1106 - Vote By Mail	205	119	765	343	1	0	18	324
Precinct 1107 - Election Day	123	30	746	163	1	0	9	153
Precinct 1107 - Vote By Mail	218	95	746	336	3	0	20	313
Precinct 1108 - Election Day	178	38	909	232	-1	0	17	216
Precinct 1108 - Vote By Mail	295	119	909	438	-1	0	25	414
Precinct 1109 - Election Day	116	41	798	166	0	0	9	157
Precinct 1109 - Vote By Mail	232	115	798	365	1	0	17	347
Precinct 1111 - Election Day	149	37	1,002	205	0	0	19	186
Precinct 1111 - Vote By Mail	276	153	1,002	460	-1	0	32	429
Precinct 1112 - Election Day	118	25	769	151	0	0	8	143
Precinct 1112 - Vote By Mail	205	110	769	344	0	1	28	315
Precinct 1113 - Election Day	97	31	746	135	2	0	5	128
Precinct 1113 - Vote By Mail	217	128	746	360	0	0	15	345
Precinct 1114 - Election Day	162	40	957	226	0	0	24	202
Precinct 1114 - Vote By Mail	279	107	957	404	2	0	16	386
Precinct 1115 - Election Day	137	30	895	174	1	0	6	167
Precinct 1115 - Vote By Mail	235	125	895	371	-2	1	12	360
Precinct 1116 - Election Day	180	23	895	225	0	0	22	203
Precinct 1116 - Vote By Mail	240	108	895	376	2	1	25	348
Precinct 1117 - Election Day	134	37	858	185	1	0	13	171
Precinct 1117 - Vote By Mail	243	100	858	357	1	0	13	343
Precinct 1118 - Election Day	170	37	1,043	213	-2	0	8	207
Precinct 1118 - Vote By Mail	300	160	1,043	476	-3	0	19	460
Precinct 1119 - Election Day	130	25	791	165	0	0	10	155
Precinct 1119 - Vote By Mail	273	86	791	386	1	0	26	359
Precinct 1121 - Election Day	98	53	691	160	0	0	9	151
Precinct 1121 - Vote By Mail	191	102	691	313	4	0	16	293
Precinct 1122 - Election Day	70	32	632	110	0	0	8	102
Precinct 1122 - Vote By Mail	175	119	632	310	0	0	16	294
Precinct 1123 - Election Day	138	29	915	179	0	0	12	167
Precinct 1123 - Vote By Mail	217	109	915	364	0	0	38	326
Precinct 1124 - Election Day	114	29	819	152	-1	0	10	143
Precinct 1124 - Vote By Mail	180	106	819	302	-2	0	18	286
Precinct 1125 - Election Day	111	36	1,047	159	1	0	11	147
Precinct 1125 - Vote By Mail	293	144	1,047	466	-3	0	32	437
Precinct 1126 - Election Day	138	39	922	191	0	0	14	177
Precinct 1126 - Vote By Mail	261	126	922	400	-1	0	14	387
Precinct 1127 - Election Day	132	53	920	200	0	0	15	185
Precinct 1127 - Vote By Mail	225	134	920	382	0	0	23	359
Precinct 1128 - Election Day	114	30	838	154	0	0	10	144
Precinct 1128 - Vote By Mail	224	110	838	362	0	0	28	334
Precinct 1129 - Election Day	153	53	980	227	1	1	19	206
Precinct 1129 - Vote By Mail	261	127	980	416	5	0	23	388
Precinct 1131 - Election Day	102	22	797	132	0	0	8	124
Precinct 1131 - Vote By Mail	217	135	797	371	-1	0	20	352
Precinct 1132 - Election Day	135	32	969	179	2	0	10	167
Precinct 1132 - Vote By Mail	279	117	969	427	0	0	31	396
Precinct 1133 - Election Day	113	40	863	161	1	0	7	153
Precinct 1133 - Vote By Mail	244	145	863	410	0	0	21	389
Precinct 1134 - Election Day	123	33	759	170	2	0	12	156
Precinct 1134 - Vote By Mail	171	131	759	318	-1	0	17	302
Precinct 1135 - Election Day	62	22	540	87	1	0	2	84
Precinct 1135 - Vote By Mail	161	114	540	295	0	0	20	275
Precinct 1136 - Election Day	108	30	829	144	0	0	6	138
Precinct 1136 - Vote By Mail	274	111	829	412	1	0	26	385
Precinct 1141 - Election Day	154	57	1,041	223	0	0	12	211
Precinct 1141 - Vote By Mail	330	135	1,041	484	0	0	19	465
Precinct 1142 - Election Day	133	33	861	175	0	0	9	166
Precinct 1142 - Vote By Mail	267	101	861	393	0	0	25	368
Precinct 1143 - Election Day	187	34	1,034	229	1	0	7	221
Precinct 1143 - Vote By Mail	295	117	1,034	440	4	2	22	412
Precinct 1144 - Election Day	151	43	907	205	1	0	10	194
Precinct 1144 - Vote By Mail	250	120	907	387	-1	0	18	370
Precinct 1145 - Election Day	146	33	888	189	0	0	10	179
Precinct 1145 - Vote By Mail	323	109	888	461	0	3	26	432
Precinct 1146 - Election Day	142	38	1,011	186	0	0	6	180
Precinct 1146 - Vote By Mail	304	125	1,011	454	2	0	23	429
Precinct 1147 - Election Day	156	41	877	210	1	0	12	197
Precinct 1147 - Vote By Mail	273	96	877	396	1	0	26	369
Precinct 1148 - Election Day	133	50	962	196	0	0	13	183
Precinct 1148 - Vote By Mail	264	159	962	444	0	0	21	423
Precinct 1149 - Election Day	152	46	907	210	2	0	10	198
Precinct 1149 - Vote By Mail	281	110	907	407	-8	0	24	391
Precinct 1152 - Election Day	140	40	864	198	0	0	18	180
Precinct 1152 - Vote By Mail	260	105	864	388	0	0	23	365
Precinct 1153 - Election Day	142	53	951	210	0	0	15	195
Precinct 1153 - Vote By Mail	278	112	951	415	-1	0	26	390
Precinct 7001 - Election Day	149	16	776	176	2	0	9	165
Precinct 7001 - Vote By Mail	344	62	776	429	3	0	20	406
Precinct 7002 - Election Day	146	20	706	176	0	0	10	166
Precinct 7002 - Vote By Mail	269	52	706	332	-3	0	14	321
Precinct 7003 - Election Day	196	32	884	238	0	0	10	228
Precinct 7003 - Vote By Mail	419	59	884	498	5	0	15	478
Precinct 7004 - Election Day	198	33	881	241	1	0	9	231
Precinct 7004 - Vote By Mail	419	64	881	496	1	0	12	483
Precinct 7005 - Election Day	215	28	847	253	0	0	10	243
Precinct 7005 - Vote By Mail	413	57	847	480	-1	0	11	470
Precinct 7006 - Election Day	217	30	917	254	1	0	6	247
Precinct 7006 - Vote By Mail	368	58	917	442	1	0	15	426
Precinct 7007 - Election Day	245	34	949	283	0	0	4	279
Precinct 7007 - Vote By Mail	420	75	949	516	2	0	19	495
Precinct 7008 - Election Day	230	30	932	264	1	0	3	260
Precinct 7008 - Vote By Mail	456	66	932	546	5	0	19	522
Precinct 7009 - Election Day	155	21	905	185	0	0	9	176
Precinct 7009 - Vote By Mail	406	92	905	513	1	0	14	498
Precinct 7011 - Election Day	172	16	985	204	0	0	16	188
Precinct 7011 - Vote By Mail	242	42	985	294	0	0	10	284
Precinct 7012 - Election Day	251	58	1,109	313	0	0	4	309
Precinct 7012 - Vote By Mail	483	83	1,109	594	4	1	23	566
Precinct 7013 - Election Day	221	41	956	267	0	0	5	262
Precinct 7013 - Vote By Mail	417	61	956	501	4	0	19	478
Precinct 7014 - Election Day	307	53	1,460	367	0	0	7	360
Precinct 7014 - Vote By Mail	662	110	1,460	802	3	0	27	772
