Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	288,146	60,276	500,516	372,848	282	290	23,854	348,422
All Precincts - None	100,152	18,934	500,516	127,886	68	107	8,625	119,086
All Precincts - None	187,994	41,342	500,516	244,962	214	183	15,229	229,336
Precinct 1101 - None	100	20	553	126	0	0	6	120
Precinct 1101 - None	190	62	553	266	0	0	14	252
Precinct 1102 - None	211	44	995	266	0	1	10	255
Precinct 1102 - None	334	110	995	480	-2	0	38	444
Precinct 1103 - None	184	45	951	246	1	0	16	229
Precinct 1103 - None	306	117	951	445	-1	0	23	423
Precinct 1104/1105 - None	171	59	993	249	-1	0	20	230
Precinct 1104/1105 - None	291	107	993	414	-2	0	18	398
Precinct 1106 - None	132	45	765	191	0	1	13	177
Precinct 1106 - None	244	85	765	343	-1	1	14	329
Precinct 1107 - None	123	22	746	163	0	0	18	145
Precinct 1107 - None	213	93	746	336	5	0	25	306
Precinct 1108 - None	163	49	909	232	-1	0	21	212
Precinct 1108 - None	311	94	909	438	-1	0	34	405
Precinct 1109 - None	118	40	798	166	0	0	8	158
Precinct 1109 - None	250	91	798	365	-2	0	26	341
Precinct 1111 - None	148	38	1,002	205	0	0	19	186
Precinct 1111 - None	304	133	1,002	460	-3	1	25	437
Precinct 1112 - None	102	36	769	151	2	0	11	138
Precinct 1112 - None	228	88	769	344	-1	0	29	316
Precinct 1113 - None	101	16	746	135	0	0	18	117
Precinct 1113 - None	234	105	746	360	0	0	21	339
Precinct 1114 - None	169	37	957	226	-2	0	22	206
Precinct 1114 - None	288	87	957	404	0	0	29	375
Precinct 1115 - None	128	36	895	174	0	0	10	164
Precinct 1115 - None	237	113	895	371	-3	0	24	350
Precinct 1116 - None	159	38	895	225	1	1	26	197
Precinct 1116 - None	257	92	895	376	-2	2	27	349
Precinct 1117 - None	131	40	858	185	0	0	14	171
Precinct 1117 - None	260	74	858	357	1	0	22	334
