Subtotal Area	ASALE CHANDLER	UZURI PEASE-GREENE	TONY KELLY	SHAMANN WALTON	THEO ELLINGTON	GLORIA BERRY	NEO VEAVEA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts - Total	799	1,304	5,643	9,550	4,800	954	30	41,862	26,459	202	152	2,936	0	23,169	89
All Precincts - Election Day	333	355	1,774	2,929	1,541	348	16	41,862	8,716	43	56	1,280	0	7,337	41
All Precincts - Vote By Mail	466	949	3,869	6,621	3,259	606	14	41,862	17,743	159	96	1,656	0	15,832	48
Precinct 7001 - Election Day	4	2	42	56	26	10	0	776	176	2	0	34	0	140	0
Precinct 7001 - Vote By Mail	3	17	106	145	74	15	0	776	429	6	2	60	0	361	1
Precinct 7002 - Election Day	6	6	49	57	19	8	0	706	176	1	0	28	0	147	2
Precinct 7002 - Vote By Mail	8	13	92	113	48	7	0	706	332	6	0	45	0	281	0
Precinct 7003 - Election Day	8	8	80	61	44	6	0	884	238	4	0	27	0	207	0
Precinct 7003 - Vote By Mail	3	17	156	163	90	10	0	884	498	8	2	49	0	439	0
Precinct 7004 - Election Day	5	12	84	62	38	2	0	881	241	5	0	31	0	205	2
Precinct 7004 - Vote By Mail	4	21	149	183	84	10	0	881	496	3	0	40	0	453	2
Precinct 7005 - Election Day	4	10	95	56	47	4	0	847	253	0	1	36	0	216	0
Precinct 7005 - Vote By Mail	7	14	146	170	97	4	0	847	480	2	2	36	0	440	2
Precinct 7006 - Election Day	12	11	105	51	27	4	0	917	254	2	0	42	0	210	0
Precinct 7006 - Vote By Mail	5	17	153	148	62	16	0	917	442	2	1	38	0	401	0
Precinct 7007 - Election Day	5	23	82	83	45	9	0	949	283	1	4	31	0	247	0
Precinct 7007 - Vote By Mail	9	28	175	166	78	10	0	949	516	6	3	40	0	467	1
Precinct 7008 - Election Day	2	8	83	92	49	2	0	932	264	1	0	26	0	237	1
Precinct 7008 - Vote By Mail	9	25	153	178	106	13	0	932	546	7	1	54	0	484	0
Precinct 7009 - Election Day	3	14	64	48	26	3	0	905	185	0	0	27	0	158	0
Precinct 7009 - Vote By Mail	8	37	190	146	64	13	0	905	513	2	3	50	0	458	0
Precinct 7011 - Election Day	1	30	41	71	29	7	0	985	204	0	2	23	0	179	0
Precinct 7011 - Vote By Mail	7	30	72	108	40	12	0	985	294	1	2	22	0	269	0
Precinct 7012 - Election Day	11	17	99	78	69	7	0	1,109	313	0	0	32	0	281	0
Precinct 7012 - Vote By Mail	3	28	162	184	131	17	0	1,109	594	12	3	52	0	527	2
Precinct 7013 - Election Day	2	15	61	64	54	6	0	956	267	1	0	61	0	205	3
Precinct 7013 - Vote By Mail	9	25	121	164	107	14	0	956	501	6	1	52	0	442	2
Precinct 7014 - Election Day	9	16	56	106	102	18	0	1,460	367	2	2	55	0	308	1
Precinct 7014 - Vote By Mail	10	27	152	286	193	25	0	1,460	802	9	4	95	0	694	1
Precinct 7015 MB - Vote By Mail	0	1	18	11	6	3	0	95	44	0	0	5	0	39	0
Precinct 7016 - Election Day	12	9	25	54	37	5	0	918	171	4	1	23	0	143	1
Precinct 7016 - Vote By Mail	13	21	55	83	51	19	0	918	280	0	3	34	0	243	1
Precinct 7017 - Election Day	9	3	12	72	19	8	3	754	149	-1	1	22	0	127	1
Precinct 7017 - Vote By Mail	7	4	35	131	48	8	0	754	252	4	2	13	0	233	0
Precinct 7018 - Election Day	9	2	36	51	21	9	0	977	155	0	1	25	0	129	1
Precinct 7018 - Vote By Mail	10	40	86	181	72	11	0	977	448	4	4	40	0	400	0
Precinct 7019 - Election Day	6	7	27	64	41	6	0	899	182	1	2	27	0	152	1
Precinct 7019 - Vote By Mail	5	15	79	170	86	13	0	899	413	3	3	39	0	368	0
Precinct 7021 - Election Day	2	1	31	78	36	5	0	947	184	1	4	23	0	156	3
Precinct 7021 - Vote By Mail	10	10	57	130	62	10	0	947	305	1	3	22	0	279	0
Precinct 7022 - Election Day	12	2	20	98	45	9	0	945	215	1	4	24	0	186	0
Precinct 7022 - Vote By Mail	11	14	53	158	84	11	0	945	352	1	2	16	0	333	2
Precinct 7023 - Election Day	3	5	22	80	41	13	0	928	178	0	2	12	0	164	0
Precinct 7023 - Vote By Mail	9	9	55	203	75	11	0	928	400	5	2	29	0	364	2
Precinct 7024 - Election Day	3	7	2	31	12	1	3	414	70	0	1	10	0	59	0
Precinct 7024 - Vote By Mail	3	8	3	30	19	3	0	414	78	1	3	8	0	66	0
Precinct 7025 - Election Day	5	2	10	36	14	2	0	477	85	0	0	14	0	71	2
Precinct 7025 - Vote By Mail	12	4	21	42	39	5	0	477	128	0	2	3	0	123	0
Precinct 7026 - Election Day	4	6	30	44	28	6	0	1,011	149	0	1	30	0	118	0
Precinct 7026 - Vote By Mail	10	47	89	183	54	16	0	1,011	455	3	3	49	0	400	1
Precinct 7027 - Election Day	7	7	24	84	34	9	0	869	195	0	1	28	0	166	1
Precinct 7027 - Vote By Mail	15	17	63	159	50	13	0	869	353	-1	5	30	0	319	2
Precinct 7028 - Election Day	5	4	33	102	42	8	0	850	213	-2	5	15	0	195	1
Precinct 7028 - Vote By Mail	10	11	36	146	49	8	0	850	282	4	2	15	0	261	1
Precinct 7029 - Election Day	7	4	21	90	31	6	0	901	184	0	0	24	0	160	1
Precinct 7029 - Vote By Mail	6	5	34	139	40	8	0	901	251	1	1	15	0	234	2
Precinct 7030 - Election Day	6	7	27	37	15	4	0	759	119	6	0	17	0	96	0
Precinct 7030 - Vote By Mail	8	23	95	102	50	23	0	759	357	3	1	52	0	301	0
Precinct 7031 - Election Day	4	2	11	33	23	3	0	641	91	1	3	11	0	76	0
Precinct 7031 - Vote By Mail	13	25	49	117	77	7	0	641	309	0	1	19	0	289	1
Precinct 7032 - Election Day	15	5	19	64	28	12	1	904	173	1	0	28	0	144	0
Precinct 7032 - Vote By Mail	18	11	41	141	69	11	0	904	316	7	0	18	0	291	0
Precinct 7033 - Election Day	8	7	27	83	34	15	0	798	191	0	1	15	0	175	1
Precinct 7033 - Vote By Mail	6	8	35	110	51	21	0	798	247	1	0	13	0	233	2
Precinct 7034 - Election Day	14	4	13	99	22	7	1	958	197	0	1	36	0	160	0
Precinct 7034 - Vote By Mail	10	7	15	116	31	8	0	958	201	2	1	10	0	188	1
Precinct 7035 - Election Day	4	3	7	41	35	9	0	606	122	0	2	21	0	99	0
Precinct 7035 - Vote By Mail	10	11	23	93	96	10	1	606	262	3	0	14	0	245	1
Precinct 7036 - Election Day	5	7	13	45	14	7	0	921	117	0	1	23	0	93	2
Precinct 7036 - Vote By Mail	17	22	49	125	54	16	0	921	342	4	4	49	0	285	2
Precinct 7037 - Election Day	8	4	26	36	24	4	5	735	135	-2	0	29	0	108	1
Precinct 7037 - Vote By Mail	5	6	19	37	11	5	0	735	98	-3	2	15	0	84	1
Precinct 7038 - Election Day	6	5	23	44	18	12	0	911	135	0	1	25	0	109	1
Precinct 7038 - Vote By Mail	15	24	71	117	64	26	1	911	351	-2	3	31	0	319	1
Precinct 7039 - Election Day	11	7	36	55	33	4	0	784	178	-1	1	31	0	147	1
Precinct 7039 - Vote By Mail	12	13	58	102	69	13	1	784	306	3	0	35	0	268	0
Precinct 7041 MB - Vote By Mail	2	6	10	5	4	1	0	61	33	1	0	4	0	28	0
Precinct 7042 - Election Day	4	3	31	36	14	7	0	639	118	1	1	20	0	96	1
Precinct 7042 - Vote By Mail	9	17	58	92	44	12	0	639	258	1	1	23	0	233	1
Precinct 7043 - Election Day	10	7	36	54	25	16	0	957	176	2	1	25	0	148	0
Precinct 7043 - Vote By Mail	14	18	62	162	77	19	0	957	404	2	6	44	0	352	0
Precinct 7044 - Election Day	17	6	11	81	22	10	0	827	167	1	4	15	0	147	0
Precinct 7044 - Vote By Mail	11	22	31	74	37	6	1	827	193	0	1	9	0	183	1
Precinct 7045 - Election Day	3	4	23	30	24	5	0	779	120	0	0	30	0	90	1
Precinct 7045 - Vote By Mail	10	34	67	99	80	7	0	779	344	9	1	36	0	298	1
Precinct 7046 - Election Day	3	4	19	26	21	4	0	402	94	1	1	15	0	77	0
Precinct 7046 - Vote By Mail	3	7	34	73	28	9	0	402	175	0	0	21	0	154	0
Precinct 7047 - Election Day	4	3	25	44	12	11	0	823	119	1	1	14	0	103	4
Precinct 7047 - Vote By Mail	10	29	108	124	61	14	1	823	388	2	2	35	0	349	2
Precinct 7048 - Election Day	12	6	20	55	17	5	2	858	150	8	0	24	0	118	1
Precinct 7048 - Vote By Mail	6	20	62	143	44	9	3	858	318	3	3	23	0	289	2
Precinct 7049 - Election Day	13	13	26	46	33	8	0	792	173	0	2	28	0	143	4
Precinct 7049 - Vote By Mail	8	17	61	111	45	10	0	792	305	6	1	45	0	253	1
Precinct 7051 - Election Day	1	3	39	29	18	2	0	861	114	0	0	22	0	92	0
Precinct 7051 - Vote By Mail	18	28	118	112	54	11	0	861	380	3	6	28	0	343	2
Precinct 7052 - Election Day	5	6	28	46	40	6	1	852	161	1	0	28	0	132	0
Precinct 7052 - Vote By Mail	13	30	77	143	77	14	2	852	402	3	0	43	0	356	0
Precinct 7053 - Election Day	6	3	10	38	18	6	0	548	102	0	0	21	0	81	0
Precinct 7053 - Vote By Mail	11	11	25	115	58	16	0	548	278	4	0	36	0	238	2
Precinct 7054 - Election Day	9	7	28	81	40	10	0	1,073	215	0	4	34	0	177	2
Precinct 7054 - Vote By Mail	13	25	71	170	72	16	0	1,073	410	3	2	34	0	371	4
Precinct 7055 - Election Day	9	8	41	56	32	8	0	808	190	0	0	35	0	155	1
Precinct 7055 - Vote By Mail	12	22	103	153	73	10	0	808	440	7	1	58	0	374	1
Precinct 9001 MB - Vote By Mail	6	8	16	65	24	7	4	273	142	1	1	10	0	130	0
Congressional District 12	793	1,296	5,627	9,484	4,774	947	26	41,589	26,313	201	151	2,925	0	23,036	89
Congressional District 14	6	8	16	66	26	7	4	273	146	1	1	11	0	133	0
Assembly District 17	793	1,296	5,627	9,484	4,774	947	26	41,589	26,313	201	151	2,925	0	23,036	89
Assembly District 19	6	8	16	66	26	7	4	273	146	1	1	11	0	133	0
BART District 7	461	591	2,145	5,308	2,579	550	10	22,513	13,285	87	96	1,411	0	11,691	47
BART District 8	188	289	965	1,609	818	196	20	8,589	4,782	36	29	605	0	4,112	27
BART District 9	150	424	2,533	2,633	1,403	208	0	10,760	8,392	79	27	920	0	7,366	15
Supervisorial District 10	799	1,304	5,643	9,550	4,800	954	30	41,862	26,459	202	152	2,936	0	23,169	89
Bayview/Hunters Point	430	513	1,718	4,650	2,133	475	13	19,908	11,266	70	86	1,140	0	9,970	38
Mission	7	19	148	201	100	25	0	776	605	8	2	94	0	501	1
Portola	15	26	100	133	63	20	0	700	411	3	2	47	0	359	2
Potrero Hill	171	482	2,764	3,047	1,754	245	0	12,339	9,689	88	32	1,085	0	8,484	21
Visitation Valley	176	264	913	1,519	750	189	17	8,139	4,488	33	30	570	0	3,855	27
