Subtotal Area	CARMEN CHU	PAUL BELLAR	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 1152 - Election Day	108	56	864	198	2	0	31	0	165	1
Precinct 1152 - Vote By Mail	288	68	864	388	2	2	27	0	357	1
Precinct 1153 - Election Day	120	51	951	210	1	0	37	0	172	1
Precinct 1153 - Vote By Mail	297	79	951	415	2	3	34	0	376	0
Precinct 7001 - Election Day	90	48	776	176	2	0	35	0	139	1
Precinct 7001 - Vote By Mail	247	118	776	429	6	1	57	0	365	0
Precinct 7002 - Election Day	97	47	706	176	1	0	30	0	145	1
Precinct 7002 - Vote By Mail	164	102	706	332	6	0	59	0	267	1
Precinct 7003 - Election Day	120	71	884	238	4	1	42	0	191	0
Precinct 7003 - Vote By Mail	323	108	884	498	8	2	56	0	432	1
Precinct 7004 - Election Day	127	63	881	241	5	0	43	0	193	3
Precinct 7004 - Vote By Mail	306	127	881	496	3	1	59	0	433	0
Precinct 7005 - Election Day	129	74	847	253	0	1	49	0	203	0
Precinct 7005 - Vote By Mail	315	100	847	480	2	0	63	0	415	0
Precinct 7006 - Election Day	83	126	917	254	2	0	43	0	209	0
Precinct 7006 - Vote By Mail	229	157	917	442	2	0	49	0	391	5
Precinct 7007 - Election Day	145	87	949	283	1	0	50	0	232	0
Precinct 7007 - Vote By Mail	309	121	949	516	6	1	78	0	431	1
Precinct 7008 - Election Day	149	55	932	264	1	0	57	0	206	2
Precinct 7008 - Vote By Mail	346	109	932	546	7	0	81	0	458	3
Precinct 7009 - Election Day	96	63	905	185	0	0	25	0	160	1
Precinct 7009 - Vote By Mail	303	134	905	513	2	0	74	0	437	0
Precinct 7011 - Election Day	119	50	985	204	0	0	33	0	171	2
Precinct 7011 - Vote By Mail	189	66	985	294	1	1	36	0	256	1
Precinct 7012 - Election Day	176	93	1,109	313	0	0	44	0	269	0
Precinct 7012 - Vote By Mail	372	138	1,109	594	12	1	70	0	511	1
Precinct 7013 - Election Day	143	62	956	267	1	0	59	0	207	2
Precinct 7013 - Vote By Mail	311	107	956	501	6	1	75	0	419	1
Precinct 7014 - Election Day	206	80	1,460	367	2	0	77	0	288	2
Precinct 7014 - Vote By Mail	485	184	1,460	802	9	0	122	0	671	2
Precinct 7015 MB - Vote By Mail	27	13	95	44	0	0	4	0	40	0
Precinct 7016 - Election Day	88	51	918	171	4	0	27	0	140	1
Precinct 7016 - Vote By Mail	203	46	918	280	0	0	30	0	250	1
Precinct 7017 - Election Day	82	37	754	149	-1	0	29	0	121	2
Precinct 7017 - Vote By Mail	183	43	754	252	4	0	22	0	226	0
Precinct 7018 - Election Day	85	43	977	155	0	0	26	0	129	1
Precinct 7018 - Vote By Mail	338	75	977	448	4	2	29	0	413	0
Precinct 7019 - Election Day	119	40	899	182	1	1	20	0	160	1
Precinct 7019 - Vote By Mail	296	80	899	413	3	1	32	0	377	1
Precinct 7021 - Election Day	102	51	947	184	1	0	25	0	158	5
Precinct 7021 - Vote By Mail	195	68	947	305	1	0	39	0	265	2
Precinct 7022 - Election Day	135	51	945	215	1	0	28	0	186	0
Precinct 7022 - Vote By Mail	261	62	945	352	1	0	28	0	323	0
Precinct 7023 - Election Day	112	41	928	178	0	0	24	0	154	1
Precinct 7023 - Vote By Mail	277	72	928	400	5	1	43	0	351	2
Precinct 7024 - Election Day	43	13	414	70	0	0	14	0	56	0
Precinct 7024 - Vote By Mail	50	22	414	78	1	0	5	0	72	0
Precinct 7025 - Election Day	49	22	477	85	0	0	13	0	72	1
Precinct 7025 - Vote By Mail	82	31	477	128	0	0	10	0	118	5
Precinct 7026 - Election Day	97	34	1,011	149	0	0	18	0	131	0
Precinct 7026 - Vote By Mail	356	64	1,011	455	3	0	31	0	421	1
Precinct 7027 - Election Day	112	47	869	195	0	0	34	0	161	2
Precinct 7027 - Vote By Mail	261	65	869	353	-1	0	28	0	326	0
Precinct 7028 - Election Day	135	48	850	213	-2	0	31	0	184	1
Precinct 7028 - Vote By Mail	207	44	850	282	4	0	24	0	254	3
Precinct 7029 - Election Day	97	48	901	184	0	0	38	0	146	1
Precinct 7029 - Vote By Mail	155	66	901	251	1	0	27	0	223	2
Precinct 7030 - Election Day	72	29	759	119	6	0	12	0	101	0
Precinct 7030 - Vote By Mail	263	66	759	357	3	0	25	0	329	0
Precinct 7031 - Election Day	58	19	641	91	1	0	12	0	78	1
Precinct 7031 - Vote By Mail	231	59	641	309	0	0	19	0	290	0
Precinct 7032 - Election Day	99	49	904	173	1	0	23	0	149	1
Precinct 7032 - Vote By Mail	203	78	904	316	7	1	27	0	281	0
Precinct 7033 - Election Day	108	55	798	191	0	1	25	0	165	2
Precinct 7033 - Vote By Mail	173	44	798	247	1	0	27	0	219	2
Precinct 7034 - Election Day	105	52	958	197	0	0	39	0	158	1
Precinct 7034 - Vote By Mail	143	42	958	201	2	0	12	0	187	2
Precinct 7035 - Election Day	69	36	606	122	0	0	17	0	105	0
Precinct 7035 - Vote By Mail	177	60	606	262	3	0	22	0	237	0
Precinct 7036 - Election Day	75	27	921	117	0	1	12	0	104	2
Precinct 7036 - Vote By Mail	253	60	921	342	4	0	23	0	315	2
Precinct 7037 - Election Day	68	34	735	135	-2	1	33	0	103	1
Precinct 7037 - Vote By Mail	64	20	735	98	-3	0	15	0	86	2
Precinct 7038 - Election Day	75	37	911	135	0	0	21	0	114	2
Precinct 7038 - Vote By Mail	265	60	911	351	-2	0	26	0	327	2
Precinct 7039 - Election Day	109	46	784	178	-1	0	22	0	157	2
Precinct 7039 - Vote By Mail	215	56	784	306	3	0	31	0	272	1
Precinct 7041 MB - Vote By Mail	17	12	61	33	1	0	3	0	29	0
Precinct 7042 - Election Day	65	37	639	118	1	0	13	0	104	2
Precinct 7042 - Vote By Mail	185	46	639	258	1	0	26	0	231	0
Precinct 7043 - Election Day	103	56	957	176	2	0	14	0	160	1
Precinct 7043 - Vote By Mail	293	70	957	404	2	0	37	0	365	2
Precinct 7044 - Election Day	89	48	827	167	1	1	27	0	138	1
Precinct 7044 - Vote By Mail	122	52	827	193	0	2	15	0	176	2
Precinct 7045 - Election Day	64	35	779	120	0	0	21	0	99	0
Precinct 7045 - Vote By Mail	256	57	779	344	9	1	20	0	314	1
Precinct 7046 - Election Day	62	18	402	94	1	0	12	0	81	1
Precinct 7046 - Vote By Mail	129	34	402	175	0	0	11	0	164	1
Precinct 7047 - Election Day	69	34	823	119	1	0	10	0	108	5
Precinct 7047 - Vote By Mail	284	64	823	388	2	1	35	0	350	2
Precinct 7048 - Election Day	103	25	858	150	8	1	12	0	129	1
Precinct 7048 - Vote By Mail	238	52	858	318	3	0	21	0	294	4
Precinct 7049 - Election Day	105	46	792	173	0	0	21	0	152	1
Precinct 7049 - Vote By Mail	226	47	792	305	6	0	25	0	274	1
Precinct 7051 - Election Day	73	27	861	114	0	0	14	0	100	0
Precinct 7051 - Vote By Mail	287	68	861	380	3	0	21	0	356	1
Precinct 7052 - Election Day	98	32	852	161	1	0	29	0	131	1
Precinct 7052 - Vote By Mail	307	61	852	402	3	0	30	0	369	1
Precinct 7053 - Election Day	63	19	548	102	0	0	20	0	82	0
Precinct 7053 - Vote By Mail	202	42	548	278	4	1	29	0	244	0
Precinct 7054 - Election Day	124	59	1,073	215	0	3	28	0	184	1
Precinct 7054 - Vote By Mail	264	103	1,073	410	3	3	30	0	374	7
Precinct 7055 - Election Day	105	46	808	190	0	0	39	0	151	0
Precinct 7055 - Vote By Mail	267	102	808	440	7	1	62	0	370	1
Precinct 7101 MB - Vote By Mail	81	27	155	120	1	0	11	0	108	0
Precinct 7201 - Election Day	142	34	936	245	1	1	66	0	177	1
