Subtotal Area	MALIA COHEN	MARK BURNS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7705 - None	254	63	568	335	0	0	18	317
Precinct 7706 - None	196	36	840	252	0	0	20	232
Precinct 7706 - None	346	86	840	467	0	0	35	432
Precinct 7707 - None	193	31	857	241	1	0	16	224
Precinct 7707 - None	397	59	857	495	0	0	39	456
Precinct 7708 - None	164	25	871	205	0	0	16	189
Precinct 7708 - None	426	75	871	540	0	0	39	501
Precinct 7709 - None	79	15	391	102	0	0	8	94
Precinct 7709 - None	186	27	391	222	0	0	9	213
Precinct 7711 - None	163	18	766	198	0	0	17	181
Precinct 7711 - None	354	40	766	422	0	0	28	394
Precinct 7712 - None	125	15	529	149	0	0	9	140
Precinct 7712 - None	247	37	529	296	0	0	12	284
Precinct 7801 - None	226	17	1,001	264	1	0	20	243
Precinct 7801 - None	509	47	1,001	596	0	0	40	556
Precinct 7802 - None	193	12	788	230	0	0	25	205
Precinct 7802 - None	385	37	788	458	0	0	36	422
Precinct 7803 - None	145	12	828	174	0	0	17	157
Precinct 7803 - None	466	50	828	552	0	0	36	516
Precinct 7804 - None	226	8	893	257	0	0	23	234
Precinct 7804 - None	459	35	893	533	0	0	39	494
Precinct 7805 - None	204	4	825	228	0	0	20	208
Precinct 7805 - None	415	41	825	484	0	0	28	456
Precinct 7806 - None	185	11	716	208	2	0	10	196
Precinct 7806 - None	352	24	716	407	0	0	31	376
Precinct 7807 - None	244	11	844	276	0	0	21	255
Precinct 7807 - None	368	15	844	417	0	0	34	383
Precinct 7808 - None	183	6	655	211	0	0	22	189
Precinct 7808 - None	289	17	655	333	0	0	27	306
Precinct 7809 - None	211	14	781	238	0	0	13	225
Precinct 7809 - None	359	25	781	405	0	0	21	384
Precinct 7811 - None	214	17	783	249	0	0	18	231
Precinct 7811 - None	360	22	783	404	0	0	22	382
Precinct 7812 - None	210	24	877	257	0	0	23	234
Precinct 7812 - None	402	17	877	454	0	0	35	419
Precinct 7813 - None	270	12	1,064	308	1	0	25	282
Precinct 7813 - None	524	29	1,064	585	0	0	32	553
Precinct 7814 - None	182	20	936	228	0	0	26	202
Precinct 7814 - None	295	24	936	341	0	1	21	319
Precinct 7815 - None	204	11	954	238	0	0	23	215
Precinct 7815 - None	505	28	954	573	0	0	40	533
Precinct 7816 - None	207	11	865	236	0	0	18	218
Precinct 7816 - None	482	22	865	531	1	0	26	504
Precinct 7817 - None	235	15	823	277	0	1	26	250
Precinct 7817 - None	399	16	823	439	0	0	24	415
Precinct 7818 - None	208	9	860	234	0	0	17	217
Precinct 7818 - None	396	18	860	452	2	0	36	414
Precinct 7819 - None	166	15	793	191	0	0	10	181
Precinct 7819 - None	359	31	793	420	0	0	30	390
Precinct 7821 - None	212	13	985	248	0	0	23	225
Precinct 7821 - None	539	46	985	630	0	0	45	585
Precinct 7822 - None	242	15	908	275	0	0	18	257
Precinct 7822 - None	417	31	908	480	0	0	32	448
Precinct 7823 - None	245	6	879	270	6	0	13	251
Precinct 7823 - None	441	28	879	501	0	0	32	469
Precinct 7824 - None	211	13	768	247	0	0	23	224
Precinct 7824 - None	322	26	768	383	0	0	35	348
Precinct 7825 - None	166	13	597	191	0	0	12	179
Precinct 7825 - None	270	14	597	302	0	0	18	284
Precinct 7826 - None	230	11	684	258	0	0	17	241
Precinct 7826 - None	270	17	684	319	0	0	32	287
Precinct 7827 - None	236	7	831	261	0	0	18	243
Precinct 7827 - None	308	24	831	361	0	0	29	332
Precinct 7828 - None	220	23	1,018	261	0	0	18	243
Precinct 7828 - None	468	45	1,018	549	0	0	36	513
Precinct 7829 - None	192	16	907	237	1	0	28	208
Precinct 7829 - None	483	53	907	557	0	0	21	536
Precinct 7831 - None	211	12	882	233	0	0	10	223
Precinct 7831 - None	479	29	882	544	0	0	36	508
Precinct 7832 - None	166	9	780	188	0	0	13	175
Precinct 7832 - None	434	29	780	488	0	0	25	463
Precinct 7833 - None	197	9	747	230	0	0	24	206
Precinct 7833 - None	355	24	747	412	0	0	33	379
Precinct 7834 - None	238	16	867	277	0	0	23	254
Precinct 7834 - None	394	13	867	439	0	0	32	407
Precinct 7835 - None	172	17	847	211	0	0	22	189
Precinct 7835 - None	433	42	847	505	1	1	28	475
Precinct 7836 - None	221	19	1,023	260	0	0	20	240
Precinct 7836 - None	526	54	1,023	623	0	0	43	580
Precinct 7837 - None	235	17	911	260	0	0	8	252
Precinct 7837 - None	431	36	911	509	2	0	40	467
Precinct 7838 - None	205	15	926	239	0	0	19	220
Precinct 7838 - None	468	37	926	546	0	0	41	505
Precinct 7839 - None	167	12	842	205	0	0	26	179
Precinct 7839 - None	435	43	842	515	0	0	37	478
Precinct 7841 - None	254	15	937	291	0	0	22	269
Precinct 7841 - None	456	27	937	526	0	0	43	483
Precinct 7842 - None	245	15	903	283	0	0	23	260
Precinct 7842 - None	367	31	903	434	0	0	36	398
Precinct 7843 - None	199	10	767	232	0	0	23	209
Precinct 7843 - None	334	25	767	380	0	0	21	359
Precinct 7844 - None	165	15	663	196	0	0	16	180
Precinct 7844 - None	279	27	663	329	0	0	23	306
Precinct 7845 - None	193	17	849	241	0	0	31	210
Precinct 7845 - None	409	30	849	469	0	0	30	439
Precinct 7846 - None	212	26	904	262	0	0	24	238
Precinct 7846 - None	419	51	904	509	0	0	39	470
Precinct 7847 - None	215	23	929	261	0	0	23	238
Precinct 7847 - None	442	26	929	529	0	0	61	468
Precinct 7848 - None	196	21	834	233	0	0	16	217
Precinct 7848 - None	421	37	834	491	0	0	33	458
Precinct 7849 - None	226	15	929	264	0	0	23	241
Precinct 7849 - None	440	39	929	522	0	0	43	479
Precinct 7851 - None	107	15	513	136	0	0	14	122
Precinct 7851 - None	241	33	513	298	0	0	24	274
Precinct 7852 - None	113	17	647	143	0	0	13	130
Precinct 7852 - None	323	47	647	394	0	0	24	370
Precinct 7853 - None	186	19	850	214	0	0	9	205
Precinct 7853 - None	407	44	850	479	0	1	27	451
Precinct 7854 - None	208	16	894	248	0	0	24	224
Precinct 7854 - None	417	34	894	500	0	0	49	451
Precinct 7855 - None	257	15	986	301	0	0	29	272
Precinct 7855 - None	429	46	986	522	0	0	47	475
Precinct 7856 - None	237	11	800	265	0	0	17	248
Precinct 7856 - None	365	25	800	425	0	0	35	390
Precinct 7857 - None	239	13	933	276	0	0	24	252
Precinct 7857 - None	438	33	933	517	0	0	46	471
Precinct 7858 - None	206	21	775	245	0	0	18	227
Precinct 7858 - None	339	24	775	394	0	0	31	363
Precinct 7859 - None	212	19	891	250	0	0	19	231
Precinct 7859 - None	437	52	891	513	0	0	24	489
Precinct 7861 - None	175	20	859	217	0	0	22	195
Precinct 7861 - None	433	40	859	510	0	0	37	473
Precinct 7862 - None	254	20	866	302	0	0	28	274
Precinct 7862 - None	399	35	866	472	0	0	38	434
Precinct 7863 - None	261	20	907	311	0	0	30	281
Precinct 7863 - None	378	27	907	440	0	0	35	405
Precinct 7864 - None	197	14	807	232	0	0	21	211
Precinct 7864 - None	372	40	807	427	0	0	15	412
Precinct 7865 - None	204	14	823	241	0	0	23	218
Precinct 7865 - None	389	51	823	463	0	0	23	440
Precinct 7866 - None	157	32	836	209	0	0	20	189
Precinct 7866 - None	387	75	836	491	0	0	29	462
Precinct 7867 - None	220	22	955	266	0	0	24	242
Precinct 7867 - None	410	58	955	512	0	0	44	468
Precinct 7868 - None	211	17	881	242	0	0	14	228
Precinct 7868 - None	376	48	881	449	1	0	24	424
Precinct 7869 - None	204	19	867	239	0	0	16	223
Precinct 7869 - None	420	38	867	489	0	0	31	458
Precinct 7871 - None	222	18	900	259	0	0	19	240
Precinct 7871 - None	436	40	900	502	2	0	24	476
Precinct 7872 - None	250	16	862	288	0	0	22	266
Precinct 7872 - None	404	30	862	472	0	0	38	434
Precinct 7873 - None	227	18	861	257	0	0	12	245
Precinct 7873 - None	440	25	861	502	0	0	37	465
Precinct 7874 - None	115	11	477	137	0	0	11	126
Precinct 7874 - None	217	16	477	256	1	0	22	233
Precinct 7875 - None	142	20	623	180	0	0	18	162
Precinct 7875 - None	222	30	623	285	0	0	33	252
Precinct 7876 - None	115	8	498	154	10	0	21	123
Precinct 7876 - None	234	13	498	269	0	0	22	247
Precinct 7901 - None	108	6	522	136	0	1	21	114
Precinct 7901 - None	163	13	522	198	0	0	22	176
Precinct 7902 - None	210	25	968	258	0	0	23	235
Precinct 7902 - None	347	31	968	401	0	0	23	378
Precinct 7903 - None	160	17	840	201	0	0	24	177
Precinct 7903 - None	293	26	840	350	0	0	31	319
Precinct 7904 - None	177	14	877	212	0	0	21	191
Precinct 7904 - None	338	35	877	403	0	0	30	373
Precinct 7905 - None	212	23	851	254	0	0	19	235
Precinct 7905 - None	342	37	851	409	1	0	29	379
Precinct 7906 - None	217	9	787	245	0	0	19	226
Precinct 7906 - None	300	17	787	335	0	0	18	317
Precinct 7907 - None	228	22	950	278	0	0	28	250
Precinct 7907 - None	376	15	950	425	0	0	34	391
Precinct 7908 - None	223	29	949	284	0	0	32	252
Precinct 7908 - None	327	31	949	408	0	0	50	358
Precinct 7909 - None	223	11	733	251	0	0	17	234
Precinct 7909 - None	270	16	733	303	0	1	16	286
Precinct 7911 - None	208	18	860	244	0	0	18	226
Precinct 7911 - None	352	21	860	395	0	0	22	373
Precinct 7912 - None	244	17	1,065	291	0	0	30	261
Precinct 7912 - None	412	20	1,065	463	0	0	31	432
Precinct 7913 - None	270	20	913	312	0	0	22	290
Precinct 7913 - None	322	28	913	378	0	0	28	350
Precinct 7914 - None	239	12	883	278	0	0	27	251
Precinct 7914 - None	361	27	883	425	0	0	37	388
Precinct 7915 - None	241	11	831	266	0	0	14	252
Precinct 7915 - None	308	21	831	351	0	0	22	329
Precinct 7916 - None	245	17	888	284	0	0	22	262
Precinct 7916 - None	369	27	888	421	0	0	25	396
Precinct 7917 - None	268	20	1,015	315	0	0	27	288
Precinct 7917 - None	385	26	1,015	428	0	0	17	411
Precinct 7918 - None	218	9	836	253	0	0	26	227
Precinct 7918 - None	343	18	836	379	0	0	18	361
Precinct 7919 - None	275	16	895	309	0	0	18	291
Precinct 7919 - None	328	24	895	376	0	0	24	352
Precinct 7921 - None	190	18	917	232	0	0	24	208
Precinct 7921 - None	300	42	917	366	0	0	24	342
Precinct 7922 - None	227	8	831	250	0	0	15	235
Precinct 7922 - None	335	27	831	383	0	0	21	362
Precinct 7923 - None	227	21	885	262	0	0	14	248
Precinct 7923 - None	349	28	885	403	0	0	26	377
Precinct 7924 - None	209	11	842	238	0	0	18	220
Precinct 7924 - None	326	37	842	382	0	0	19	363
Precinct 7925 - None	139	9	567	156	0	0	8	148
Precinct 7925 - None	260	15	567	293	0	1	17	275
Precinct 7926 - None	195	21	795	229	0	0	13	216
Precinct 7926 - None	338	23	795	390	0	0	29	361
Precinct 7927 - None	213	16	747	241	0	0	12	229
Precinct 7927 - None	341	22	747	392	0	0	29	363
Precinct 7928 - None	258	10	931	284	0	0	16	268
Precinct 7928 - None	430	37	931	489	0	0	22	467
Precinct 7929 - None	209	16	864	248	0	0	23	225
Precinct 7929 - None	449	24	864	509	1	0	35	473
Precinct 7931 - None	192	8	738	219	0	0	19	200
Precinct 7931 - None	364	21	738	408	0	0	23	385
Precinct 7932 - None	133	9	551	157	1	0	14	142
Precinct 7932 - None	246	23	551	285	0	0	16	269
Precinct 7933 MB - None	4	0	6	4	0	0	0	4
Precinct 7934 - None	209	14	890	250	0	0	27	223
Precinct 7934 - None	416	23	890	472	0	0	33	439
Precinct 7935 - None	267	14	970	305	0	0	24	281
Precinct 7935 - None	446	33	970	519	0	1	39	479
Precinct 7936 - None	252	12	856	287	0	0	23	264
Precinct 7936 - None	370	30	856	428	0	0	28	400
Precinct 7937 - None	230	11	886	267	0	0	26	241
Precinct 7937 - None	377	27	886	435	0	0	31	404
Precinct 7938 - None	181	16	788	213	0	0	16	197
Precinct 7938 - None	289	22	788	337	0	0	26	311
Precinct 7939 - None	232	12	688	254	0	1	9	244
Precinct 7939 - None	288	14	688	326	0	0	24	302
Precinct 7941 - None	192	12	751	218	0	0	14	204
Precinct 7941 - None	305	19	751	348	0	0	24	324
Precinct 7942 - None	221	24	914	259	1	0	13	245
Precinct 7942 - None	341	35	914	412	0	1	35	376
Precinct 7943 - None	207	23	872	258	4	0	24	230
Precinct 7943 - None	343	58	872	439	0	0	38	401
Precinct 7944 - None	222	7	801	243	0	0	14	229
Precinct 7944 - None	334	26	801	381	0	0	21	360
Precinct 7945 - None	161	13	915	186	0	0	12	174
Precinct 7945 - None	350	39	915	414	0	0	25	389
Precinct 7946 - None	140	21	945	183	0	0	22	161
Precinct 7946 - None	325	85	945	451	0	0	41	410
Precinct 7947 - None	135	19	946	182	0	0	28	154
Precinct 7947 - None	304	68	946	430	0	0	58	372
Precinct 7948 - None	171	22	928	210	0	0	17	193
Precinct 7948 - None	304	71	928	422	0	0	47	375
Precinct 7949 - None	71	20	569	100	0	0	9	91
Precinct 7949 - None	193	66	569	292	0	1	32	259
Precinct 7951 - None	129	22	854	166	0	0	15	151
Precinct 7951 - None	288	101	854	425	0	0	36	389
Precinct 7952 - None	114	35	866	167	0	0	18	149
Precinct 7952 - None	266	66	866	359	0	0	27	332
Precinct 7953 - None	138	25	824	186	2	0	21	163
Precinct 7953 - None	273	94	824	402	0	0	35	367
Precinct 7955 - None	144	36	902	199	0	1	18	180
Precinct 7955 - None	309	85	902	435	0	0	41	394
Precinct 7956 - None	89	25	823	136	0	0	22	114
Precinct 7956 - None	239	80	823	353	0	0	34	319
Precinct 7957 - None	118	17	646	147	0	0	12	135
Precinct 7957 - None	243	41	646	298	0	0	14	284
Precinct 7958 MB - None	98	31	290	141	0	0	12	129
Precinct 7959 - None	142	8	727	160	0	0	10	150
Precinct 7959 - None	287	16	727	326	0	0	23	303
Precinct 9001 MB - None	113	23	273	142	0	0	6	136
Precinct 9101 - None	198	36	888	260	0	0	26	234
Precinct 9101 - None	311	84	888	438	0	0	43	395
Precinct 9102 - None	190	41	985	257	0	0	26	231
Precinct 9102 - None	344	93	985	471	0	0	34	437
Precinct 9103 - None	200	48	954	273	0	0	25	248
Precinct 9103 - None	320	62	954	431	0	0	49	382
Precinct 9104 - None	177	33	988	239	0	0	29	210
Precinct 9104 - None	349	75	988	465	0	0	41	424
Precinct 9105 - None	189	32	919	247	0	0	26	221
Precinct 9105 - None	367	70	919	488	0	0	51	437
Precinct 9106 - None	214	33	937	268	1	0	20	247
Precinct 9106 - None	364	74	937	497	0	0	59	438
Precinct 9107 - None	170	33	849	219	0	0	16	203
Precinct 9107 - None	276	61	849	372	0	0	35	337
Precinct 9108 - None	203	27	790	247	0	0	17	230
Precinct 9108 - None	296	48	790	373	1	0	28	344
Precinct 9109 - None	199	37	884	263	0	0	27	236
Precinct 9109 - None	346	42	884	428	0	0	40	388
Precinct 9111 - None	183	27	779	229	0	0	19	210
Precinct 9111 - None	261	53	779	346	0	0	32	314
Precinct 9112 - None	230	33	976	284	0	0	21	263
Precinct 9112 - None	374	52	976	467	0	0	41	426
Precinct 9113 - None	243	40	999	311	0	0	28	283
Precinct 9113 - None	393	75	999	505	0	0	37	468
Precinct 9114 - None	213	26	877	263	0	0	24	239
Precinct 9114 - None	307	67	877	405	0	0	31	374
Precinct 9115 - None	219	21	911	258	0	0	18	240
Precinct 9115 - None	340	48	911	429	0	0	41	388
Precinct 9116 - None	233	35	944	281	1	0	12	268
Precinct 9116 - None	372	58	944	473	0	0	43	430
Precinct 9117 - None	175	30	783	222	0	0	17	205
Precinct 9117 - None	307	62	783	398	0	0	29	369
Precinct 9118 - None	207	48	974	286	0	0	31	255
Precinct 9118 - None	306	72	974	426	0	0	48	378
Precinct 9119 - None	176	32	891	237	0	0	29	208
Precinct 9119 - None	329	77	891	447	0	0	41	406
Precinct 9121 - None	190	44	930	256	0	0	22	234
Precinct 9121 - None	331	61	930	434	0	0	42	392
Precinct 9122 - None	168	24	953	210	0	0	18	192
Precinct 9122 - None	330	90	953	454	0	0	34	420
Precinct 9123 - None	175	40	858	232	0	0	17	215
Precinct 9123 - None	306	79	858	418	0	0	33	385
Precinct 9124 - None	167	27	874	202	0	0	8	194
Precinct 9124 - None	304	87	874	438	0	0	47	391
Precinct 9125 - None	170	23	861	210	0	0	17	193
Precinct 9125 - None	338	52	861	437	0	0	47	390
Precinct 9126 - None	189	34	1,015	245	0	0	22	223
Precinct 9126 - None	378	104	1,015	533	0	0	51	482
Precinct 9127 - None	203	37	960	269	0	0	29	240
Precinct 9127 - None	380	69	960	498	0	0	49	449
Precinct 9128 - None	200	30	828	248	0	0	18	230
Precinct 9128 - None	314	74	828	412	0	0	24	388
Precinct 9129 - None	190	31	741	243	0	0	22	221
Precinct 9129 - None	276	46	741	348	0	0	26	322
Precinct 9131 - None	154	22	759	193	0	0	17	176
Precinct 9131 - None	322	58	759	403	0	0	23	380
Precinct 9132 - None	199	27	837	248	0	0	22	226
Precinct 9132 - None	309	38	837	371	0	0	24	347
Precinct 9133 - None	222	26	1,021	271	0	0	23	248
Precinct 9133 - None	393	69	1,021	503	0	0	41	462
Precinct 9134 - None	161	19	893	210	0	0	30	180
Precinct 9134 - None	375	58	893	469	0	0	36	433
Precinct 9135 - None	155	33	808	215	0	0	27	188
Precinct 9135 - None	274	83	808	389	0	0	32	357
Precinct 9136 - None	207	23	929	253	0	0	23	230
Precinct 9136 - None	340	61	929	439	0	0	38	401
Precinct 9137 - None	190	47	1,006	260	0	0	23	237
Precinct 9137 - None	359	77	1,006	467	0	0	31	436
Precinct 9138 - None	170	26	943	226	1	0	29	196
Precinct 9138 - None	355	87	943	477	1	0	34	442
Precinct 9139 - None	186	38	975	243	0	0	19	224
Precinct 9139 - None	343	120	975	510	0	0	47	463
Precinct 9141 - None	181	40	953	252	0	0	31	221
Precinct 9141 - None	348	79	953	477	0	0	50	427
Precinct 9142 - None	210	31	966	276	0	0	35	241
Precinct 9142 - None	380	47	966	459	0	0	32	427
Precinct 9143 - None	189	32	920	251	0	0	30	221
Precinct 9143 - None	328	83	920	463	0	0	52	411
Precinct 9144 - None	239	32	962	293	0	0	22	271
Precinct 9144 - None	351	86	962	482	0	0	45	437
Precinct 9145 - None	188	33	861	249	1	0	27	221
Precinct 9145 - None	327	65	861	423	0	0	31	392
Precinct 9146 - None	197	26	885	245	0	0	22	223
Precinct 9146 - None	386	45	885	464	0	0	33	431
Precinct 9147 - None	220	23	971	281	0	0	38	243
Precinct 9147 - None	391	59	971	492	0	0	42	450
Precinct 9148 - None	270	36	1,034	325	0	0	19	306
Precinct 9148 - None	411	59	1,034	513	0	0	43	470
Precinct 9149 - None	225	21	948	264	0	0	18	246
Precinct 9149 - None	401	50	948	478	0	0	27	451
Precinct 9151 - None	187	25	872	227	0	0	15	212
Precinct 9151 - None	327	59	872	418	0	0	32	386
Precinct 9152 - None	234	17	721	270	0	0	19	251
Precinct 9152 - None	234	32	721	279	0	0	13	266
Precinct 9201 - None	255	32	1,004	300	0	0	13	287
Precinct 9201 - None	395	56	1,004	475	0	1	23	451
Precinct 9202 - None	233	37	971	294	0	0	24	270
Precinct 9202 - None	346	47	971	426	0	0	33	393
Precinct 9203 - None	143	65	1,002	239	0	0	31	208
Precinct 9203 - None	349	138	1,002	536	0	0	49	487
Precinct 9204 - None	171	66	873	273	0	0	36	237
Precinct 9204 - None	246	119	873	393	0	0	28	365
Precinct 9205 - None	148	37	728	208	0	0	23	185
Precinct 9205 - None	284	58	728	376	0	0	34	342
Precinct 9206 - None	145	76	931	249	0	0	28	221
Precinct 9206 - None	296	131	931	479	0	0	52	427
Precinct 9207 - None	162	65	981	262	0	0	35	227
Precinct 9207 - None	317	122	981	502	0	0	63	439
Precinct 9208 - None	192	61	1,002	287	0	0	34	253
Precinct 9208 - None	338	105	1,002	491	0	0	48	443
Precinct 9209 - None	167	49	711	245	0	0	29	216
Precinct 9209 - None	219	75	711	327	0	0	33	294
Precinct 9211 - None	173	37	889	234	0	0	24	210
Precinct 9211 - None	305	81	889	432	0	0	46	386
Precinct 9212 - None	172	39	803	234	0	0	23	211
Precinct 9212 - None	293	74	803	400	0	0	33	367
Precinct 9213 - None	193	45	951	264	0	0	26	238
Precinct 9213 - None	366	84	951	508	0	0	58	450
Precinct 9214 - None	105	41	640	166	0	0	20	146
Precinct 9214 - None	226	80	640	334	0	0	28	306
Precinct 9215 - None	117	52	652	194	0	0	25	169
Precinct 9215 - None	223	66	652	327	0	0	38	289
Precinct 9216 - None	179	43	845	246	0	1	23	222
Precinct 9216 - None	263	78	845	379	0	0	38	341
Precinct 9217 - None	132	42	698	194	0	0	20	174
Precinct 9217 - None	225	77	698	349	0	0	47	302
Precinct 9218 - None	176	53	841	249	0	0	20	229
Precinct 9218 - None	268	99	841	412	0	0	45	367
Precinct 9219 - None	185	35	802	242	0	0	22	220
Precinct 9219 - None	304	66	802	399	0	0	29	370
Precinct 9221 - None	97	32	651	145	0	0	16	129
Precinct 9221 - None	256	106	651	399	0	0	37	362
Precinct 9222 - None	166	45	883	249	0	0	38	211
Precinct 9222 - None	309	98	883	449	0	0	42	407
Precinct 9223 - None	111	32	638	160	0	0	17	143
Precinct 9223 - None	227	77	638	338	0	0	34	304
Precinct 9224 - None	164	68	960	263	0	0	31	232
Precinct 9224 - None	341	118	960	506	0	0	47	459
Precinct 9225 - None	212	58	958	299	0	0	29	270
Precinct 9225 - None	348	78	958	469	0	0	43	426
Precinct 9226 - None	179	60	926	271	0	0	32	239
Precinct 9226 - None	356	89	926	486	0	0	41	445
Precinct 9227 - None	130	38	738	188	0	0	20	168
Precinct 9227 - None	276	89	738	404	0	0	39	365
Precinct 9228 - None	131	36	747	189	0	0	22	167
Precinct 9228 - None	303	89	747	424	0	0	32	392
Precinct 9229 - None	107	32	598	162	0	0	23	139
Precinct 9229 - None	227	65	598	316	0	0	24	292
Precinct 9231 - None	261	25	953	313	0	0	27	286
Precinct 9231 - None	386	55	953	488	0	0	47	441
Precinct 9232 - None	158	34	735	212	0	0	20	192
Precinct 9232 - None	297	68	735	396	0	0	31	365
Precinct 9233 - None	151	36	793	209	0	0	22	187
Precinct 9233 - None	282	97	793	434	0	0	55	379
Precinct 9234 - None	141	28	746	187	0	0	18	169
Precinct 9234 - None	323	88	746	438	0	0	27	411
Precinct 9235 - None	166	50	884	239	0	0	23	216
Precinct 9235 - None	325	115	884	488	0	0	48	440
Precinct 9236 - None	142	38	683	201	0	0	21	180
Precinct 9236 - None	269	49	683	358	0	0	40	318
Precinct 9237 - None	162	39	936	229	0	0	28	201
Precinct 9237 - None	408	74	936	539	0	0	57	482
Precinct 9238 - None	155	41	842	230	0	0	34	196
Precinct 9238 - None	305	111	842	456	0	0	40	416
Precinct 9239 - None	137	37	881	200	0	0	26	174
Precinct 9239 - None	360	97	881	499	0	0	42	457
Precinct 9241 - None	179	45	1,005	255	0	0	31	224
Precinct 9241 - None	439	90	1,005	578	0	0	49	529
Precinct 9242 - None	200	50	972	277	0	0	27	250
Precinct 9242 - None	394	83	972	513	0	1	35	477
Precinct 9243 - None	134	31	594	193	0	0	28	165
Precinct 9243 - None	249	38	594	307	0	0	20	287
Precinct 9244 - None	207	26	903	255	0	0	22	233
Precinct 9244 - None	393	44	903	485	0	0	48	437
Precinct 9245 - None	158	36	742	209	0	0	15	194
Precinct 9245 - None	303	39	742	375	0	0	33	342
Precinct 9246 - None	202	28	929	257	0	0	27	230
Precinct 9246 - None	397	86	929	528	0	0	45	483
Precinct 9247 - None	206	36	927	264	0	1	21	242
Precinct 9247 - None	410	74	927	515	0	0	31	484
Precinct 9248 - None	209	28	907	258	0	0	21	237
Precinct 9248 - None	396	56	907	487	0	0	35	452
Precinct 9249 - None	218	31	917	271	0	0	22	249
Precinct 9249 - None	374	85	917	495	0	1	35	459
Precinct 9251 - None	219	32	995	287	0	0	36	251
Precinct 9251 - None	405	77	995	530	0	0	48	482
Precinct 9252 - None	171	28	944	219	0	0	20	199
Precinct 9252 - None	430	86	944	550	0	0	34	516
Precinct 9253 - None	132	38	772	187	0	0	17	170
Precinct 9253 - None	283	73	772	397	0	0	41	356
Precinct 9254 - None	185	24	935	230	0	0	21	209
Precinct 9254 - None	437	70	935	538	0	0	31	507
Precinct 9255 - None	143	20	553	183	0	0	20	163
Precinct 9255 - None	215	28	553	263	0	0	20	243
Precinct 9256 - None	114	10	474	130	0	0	6	124
Precinct 9256 - None	189	27	474	233	0	0	17	216
Precinct 9257 MB - None	211	15	321	235	0	0	9	226
Precinct 9258 - None	161	18	712	193	0	0	14	179
Precinct 9258 - None	287	58	712	373	0	0	28	345
Precinct 9401 - None	246	24	1,012	293	0	0	23	270
Precinct 9401 - None	394	52	1,012	484	0	0	38	446
Precinct 9402 - None	222	27	977	290	0	0	41	249
Precinct 9402 - None	354	58	977	458	0	0	46	412
Precinct 9403 - None	191	28	897	240	0	0	21	219
Precinct 9403 - None	305	71	897	419	0	0	43	376
Precinct 9404 - None	145	25	930	200	0	0	30	170
Precinct 9404 - None	347	76	930	462	0	0	39	423
Precinct 9405 - None	151	43	786	210	0	0	16	194
Precinct 9405 - None	264	71	786	364	0	0	29	335
Precinct 9406 - None	173	43	868	244	0	0	28	216
Precinct 9406 - None	330	61	868	421	0	1	29	391
Precinct 9407 - None	193	39	889	253	0	0	21	232
Precinct 9407 - None	316	55	889	409	0	0	38	371
Precinct 9408 - None	218	24	886	265	0	0	23	242
Precinct 9408 - None	329	49	886	415	0	0	37	378
Precinct 9409 - None	179	11	590	201	0	0	11	190
Precinct 9409 - None	194	30	590	252	0	0	28	224
Precinct 9411 - None	230	21	956	271	0	0	20	251
Precinct 9411 - None	356	44	956	431	0	0	31	400
Precinct 9412 - None	196	29	848	245	0	0	20	225
Precinct 9412 - None	278	55	848	380	0	0	47	333
Precinct 9413 - None	174	32	894	229	0	0	23	206
Precinct 9413 - None	335	87	894	461	0	0	39	422
Precinct 9414 - None	159	41	916	216	0	0	16	200
Precinct 9414 - None	345	72	916	463	0	0	46	417
Precinct 9415 - None	134	34	784	187	0	0	19	168
Precinct 9415 - None	273	80	784	392	0	0	39	353
Precinct 9416 - None	221	37	1,008	282	1	0	23	258
Precinct 9416 - None	366	64	1,008	480	1	0	49	430
Precinct 9417 - None	130	25	752	175	0	0	20	155
Precinct 9417 - None	282	82	752	402	0	0	38	364
Precinct 9418 - None	148	32	790	211	0	0	31	180
Precinct 9418 - None	234	88	790	376	0	0	54	322
Precinct 9419 - None	149	50	924	222	0	1	22	199
Precinct 9419 - None	292	123	924	468	0	0	53	415
Precinct 9421 - None	170	38	906	238	0	0	30	208
Precinct 9421 - None	296	96	906	446	0	0	54	392
Precinct 9422 - None	201	47	1,056	283	0	0	35	248
Precinct 9422 - None	355	109	1,056	513	0	0	49	464
Precinct 9423 - None	163	29	889	219	0	0	27	192
Precinct 9423 - None	344	59	889	440	0	0	37	403
Precinct 9424 - None	162	34	952	224	0	0	28	196
Precinct 9424 - None	348	101	952	496	0	0	47	449
Precinct 9425 - None	154	27	933	199	0	0	18	181
Precinct 9425 - None	302	101	933	465	0	1	61	403
Precinct 9426 - None	145	31	823	198	0	0	22	176
Precinct 9426 - None	254	95	823	408	0	0	59	349
Precinct 9427 - None	137	37	948	210	0	0	36	174
Precinct 9427 - None	279	118	948	447	0	0	50	397
Precinct 9428 - None	129	32	961	183	0	0	22	161
Precinct 9428 - None	369	110	961	518	0	0	39	479
Precinct 9429 - None	149	53	899	228	1	0	25	202
Precinct 9429 - None	308	90	899	432	0	0	34	398
Precinct 9431 - None	169	37	973	235	0	0	29	206
Precinct 9431 - None	319	106	973	464	0	0	39	425
Precinct 9432 - None	160	27	945	214	0	0	27	187
Precinct 9432 - None	326	84	945	468	0	0	58	410
