Subtotal Area	MALIA COHEN	MARK BURNS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7014 - None	307	36	1,460	367	0	0	24	343
Precinct 7014 - None	692	62	1,460	802	0	0	48	754
Precinct 7015 MB - None	35	3	95	44	0	0	6	38
Precinct 7016 - None	133	17	918	171	0	0	21	150
Precinct 7016 - None	214	31	918	280	0	0	35	245
Precinct 7017 - None	129	13	754	149	0	0	7	142
Precinct 7017 - None	225	15	754	252	0	0	12	240
Precinct 7018 - None	118	24	977	155	0	0	13	142
Precinct 7018 - None	339	68	977	448	0	0	41	407
Precinct 7019 - None	158	9	899	182	0	0	15	167
Precinct 7019 - None	328	61	899	413	0	0	24	389
Precinct 7021 - None	141	22	947	184	0	0	21	163
Precinct 7021 - None	237	32	947	305	0	0	36	269
Precinct 7022 - None	184	13	945	215	0	0	18	197
Precinct 7022 - None	278	44	945	352	0	0	30	322
Precinct 7023 - None	155	13	928	178	0	0	10	168
Precinct 7023 - None	326	44	928	400	0	1	29	370
Precinct 7024 - None	60	3	414	70	0	0	7	63
Precinct 7024 - None	59	14	414	78	0	0	5	73
Precinct 7025 - None	70	6	477	85	0	0	9	76
Precinct 7025 - None	108	13	477	128	0	0	7	121
Precinct 7026 - None	111	25	1,011	149	0	0	13	136
Precinct 7026 - None	332	80	1,011	455	0	0	43	412
Precinct 7027 - None	157	20	869	195	0	0	18	177
Precinct 7027 - None	268	63	869	353	0	1	21	331
Precinct 7028 - None	185	13	850	213	0	0	15	198
Precinct 7028 - None	241	21	850	282	0	0	20	262
Precinct 7029 - None	150	17	901	184	0	0	17	167
Precinct 7029 - None	212	31	901	251	0	0	8	243
Precinct 7030 - None	76	31	759	119	0	0	12	107
Precinct 7030 - None	218	95	759	357	0	1	43	313
Precinct 7031 - None	75	9	641	91	0	0	7	84
Precinct 7031 - None	225	54	641	309	0	0	30	279
Precinct 7032 - None	136	19	904	173	1	0	17	155
Precinct 7032 - None	252	39	904	316	0	0	25	291
Precinct 7033 - None	160	15	798	191	0	0	16	175
Precinct 7033 - None	200	29	798	247	0	0	18	229
Precinct 7034 - None	157	16	958	197	0	0	24	173
Precinct 7034 - None	169	15	958	201	0	0	17	184
Precinct 7035 - None	109	7	606	122	0	0	6	116
Precinct 7035 - None	216	32	606	262	0	0	14	248
Precinct 7036 - None	96	11	921	117	0	0	10	107
Precinct 7036 - None	242	82	921	342	0	0	18	324
Precinct 7037 - None	104	8	735	135	0	0	23	112
Precinct 7037 - None	73	14	735	98	0	0	11	87
Precinct 7038 - None	102	17	911	135	0	0	16	119
Precinct 7038 - None	236	80	911	351	0	0	35	316
Precinct 7039 - None	130	32	784	178	0	0	16	162
Precinct 7039 - None	221	72	784	306	0	0	13	293
Precinct 7041 MB - None	24	7	61	33	0	0	2	31
Precinct 7042 - None	90	21	639	118	0	0	7	111
Precinct 7042 - None	199	39	639	258	0	0	20	238
Precinct 7043 - None	146	15	957	176	0	0	15	161
Precinct 7043 - None	317	53	957	404	0	0	34	370
Precinct 7044 - None	137	13	827	167	0	0	17	150
Precinct 7044 - None	143	37	827	193	0	0	13	180
Precinct 7045 - None	82	16	779	120	0	0	22	98
Precinct 7045 - None	220	85	779	344	0	0	39	305
Precinct 7046 - None	76	9	402	94	0	0	9	85
Precinct 7046 - None	120	38	402	175	0	0	17	158
Precinct 7047 - None	95	17	823	119	0	0	7	112
Precinct 7047 - None	292	59	823	388	0	0	37	351
Precinct 7048 - None	121	10	858	150	3	0	16	131
Precinct 7048 - None	236	61	858	318	0	0	21	297
Precinct 7049 - None	120	29	792	173	0	0	24	149
Precinct 7049 - None	184	81	792	305	0	0	40	265
Precinct 7051 - None	85	13	861	114	0	0	16	98
Precinct 7051 - None	244	85	861	380	0	0	51	329
