Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7703 MB - None	6	63	171	79	0	1	9	69
Precinct 7704 - None	50	193	1,008	257	0	0	14	243
Precinct 7704 - None	103	430	1,008	557	0	0	24	533
Precinct 7705 - None	22	114	568	149	0	0	13	136
Precinct 7705 - None	55	271	568	335	0	0	9	326
Precinct 7706 - None	34	206	840	252	0	0	12	240
Precinct 7706 - None	74	371	840	467	0	0	22	445
Precinct 7707 - None	34	197	857	241	1	0	9	231
Precinct 7707 - None	59	417	857	495	0	0	19	476
Precinct 7708 - None	29	163	871	205	0	0	13	192
Precinct 7708 - None	71	449	871	540	0	0	20	520
Precinct 7709 - None	16	82	391	102	0	0	4	98
Precinct 7709 - None	29	188	391	222	0	0	5	217
Precinct 7711 - None	21	166	766	198	0	0	11	187
Precinct 7711 - None	39	364	766	422	0	0	19	403
Precinct 7712 - None	15	131	529	149	0	0	3	146
Precinct 7712 - None	34	258	529	296	0	0	4	292
Precinct 7801 - None	16	241	1,001	264	1	0	6	257
Precinct 7801 - None	46	539	1,001	596	0	0	11	585
Precinct 7802 - None	12	207	788	230	0	0	11	219
Precinct 7802 - None	30	411	788	458	0	0	17	441
Precinct 7803 - None	11	157	828	174	0	0	6	168
Precinct 7803 - None	44	492	828	552	0	0	16	536
Precinct 7804 - None	10	240	893	257	0	0	7	250
Precinct 7804 - None	30	486	893	533	0	0	17	516
Precinct 7805 - None	5	212	825	228	0	0	11	217
Precinct 7805 - None	30	438	825	484	0	0	16	468
Precinct 7806 - None	11	192	716	208	2	0	3	203
Precinct 7806 - None	19	372	716	407	0	0	16	391
Precinct 7807 - None	7	260	844	276	0	0	9	267
Precinct 7807 - None	13	391	844	417	0	1	12	404
Precinct 7808 - None	11	191	655	211	0	0	9	202
Precinct 7808 - None	14	312	655	333	0	0	7	326
Precinct 7809 - None	13	215	781	238	0	0	10	228
Precinct 7809 - None	15	379	781	405	0	0	11	394
Precinct 7811 - None	16	229	783	249	0	0	4	245
Precinct 7811 - None	24	372	783	404	0	0	8	396
Precinct 7812 - None	22	219	877	257	0	0	16	241
Precinct 7812 - None	20	414	877	454	0	0	20	434
Precinct 7813 - None	13	287	1,064	308	1	0	7	300
Precinct 7813 - None	22	543	1,064	585	0	0	20	565
Precinct 7814 - None	20	191	936	228	0	0	17	211
Precinct 7814 - None	26	300	936	341	0	1	14	326
Precinct 7815 - None	13	218	954	238	0	0	7	231
Precinct 7815 - None	28	532	954	573	0	0	13	560
Precinct 7816 - None	10	215	865	236	0	0	11	225
Precinct 7816 - None	20	496	865	531	1	0	14	516
Precinct 7817 - None	7	256	823	277	0	0	14	263
Precinct 7817 - None	15	410	823	439	0	0	14	425
Precinct 7818 - None	6	217	860	234	0	0	11	223
Precinct 7818 - None	12	427	860	452	2	0	11	439
Precinct 7819 - None	15	168	793	191	0	0	8	183
Precinct 7819 - None	28	382	793	420	0	0	10	410
Precinct 7821 - None	14	221	985	248	0	0	13	235
Precinct 7821 - None	38	579	985	630	0	0	13	617
Precinct 7822 - None	20	249	908	275	0	0	6	269
Precinct 7822 - None	30	432	908	480	0	0	18	462
Precinct 7823 - None	5	253	879	270	6	0	6	258
Precinct 7823 - None	25	460	879	501	0	0	16	485
Precinct 7824 - None	13	227	768	247	0	0	7	240
Precinct 7824 - None	22	342	768	383	0	0	19	364
Precinct 7825 - None	15	168	597	191	0	0	8	183
Precinct 7825 - None	14	283	597	302	0	0	5	297
Precinct 7826 - None	11	237	684	258	0	0	10	248
Precinct 7826 - None	15	293	684	319	0	0	11	308
Precinct 7827 - None	12	241	831	261	0	0	8	253
Precinct 7827 - None	27	323	831	361	0	0	11	350
Precinct 7828 - None	21	233	1,018	261	0	0	7	254
Precinct 7828 - None	36	491	1,018	549	0	0	22	527
Precinct 7829 - None	19	207	907	237	1	1	9	226
Precinct 7829 - None	46	497	907	557	0	0	14	543
Precinct 7831 - None	12	215	882	233	0	0	6	227
Precinct 7831 - None	27	507	882	544	0	0	10	534
Precinct 7832 - None	9	175	780	188	0	0	4	184
Precinct 7832 - None	27	447	780	488	0	0	14	474
Precinct 7833 - None	9	208	747	230	0	1	12	217
Precinct 7833 - None	20	378	747	412	0	0	14	398
Precinct 7834 - None	17	246	867	277	0	0	14	263
Precinct 7834 - None	12	414	867	439	0	0	13	426
Precinct 7835 - None	19	184	847	211	0	0	8	203
Precinct 7835 - None	44	448	847	505	1	0	12	492
Precinct 7836 - None	20	227	1,023	260	0	0	13	247
Precinct 7836 - None	56	545	1,023	623	0	0	22	601
Precinct 7837 - None	17	239	911	260	0	0	4	256
Precinct 7837 - None	42	446	911	509	2	0	19	488
Precinct 7838 - None	13	217	926	239	0	0	9	230
Precinct 7838 - None	33	497	926	546	0	0	16	530
Precinct 7839 - None	13	183	842	205	0	0	9	196
Precinct 7839 - None	37	462	842	515	0	0	16	499
Precinct 7841 - None	14	265	937	291	0	0	12	279
Precinct 7841 - None	23	487	937	526	0	0	16	510
Precinct 7842 - None	14	258	903	283	0	0	11	272
Precinct 7842 - None	26	393	903	434	0	0	15	419
Precinct 7843 - None	9	213	767	232	0	0	10	222
Precinct 7843 - None	20	351	767	380	0	0	9	371
Precinct 7844 - None	11	176	663	196	0	0	9	187
Precinct 7844 - None	22	299	663	329	0	0	8	321
Precinct 7845 - None	23	207	849	241	0	0	11	230
Precinct 7845 - None	22	435	849	469	0	0	12	457
Precinct 7846 - None	24	230	904	262	0	0	8	254
Precinct 7846 - None	51	439	904	509	0	0	19	490
Precinct 7847 - None	24	226	929	261	0	0	11	250
Precinct 7847 - None	24	479	929	529	0	0	26	503
Precinct 7848 - None	23	200	834	233	0	0	10	223
Precinct 7848 - None	25	454	834	491	0	0	12	479
Precinct 7849 - None	13	241	929	264	0	0	10	254
Precinct 7849 - None	29	477	929	522	0	0	16	506
Precinct 7851 - None	22	109	513	136	0	0	5	131
Precinct 7851 - None	36	245	513	298	0	0	17	281
Precinct 7852 - None	18	120	647	143	0	0	5	138
Precinct 7852 - None	41	337	647	394	0	0	16	378
Precinct 7853 - None	16	190	850	214	0	0	8	206
Precinct 7853 - None	39	424	850	479	0	0	16	463
Precinct 7854 - None	18	219	894	248	0	0	11	237
Precinct 7854 - None	30	438	894	500	0	0	32	468
Precinct 7855 - None	14	274	986	301	0	0	13	288
Precinct 7855 - None	41	460	986	522	0	0	21	501
Precinct 7856 - None	10	250	800	265	0	0	5	260
Precinct 7856 - None	22	383	800	425	0	0	20	405
Precinct 7857 - None	8	258	933	276	0	0	10	266
Precinct 7857 - None	35	458	933	517	0	0	24	493
Precinct 7858 - None	15	220	775	245	0	0	10	235
Precinct 7858 - None	16	360	775	394	0	0	18	376
Precinct 7859 - None	11	231	891	250	0	0	8	242
Precinct 7859 - None	41	456	891	513	0	0	16	497
Precinct 7861 - None	20	187	859	217	0	0	10	207
Precinct 7861 - None	43	451	859	510	0	0	16	494
Precinct 7862 - None	19	272	866	302	0	0	11	291
Precinct 7862 - None	38	423	866	472	0	0	11	461
Precinct 7863 - None	20	278	907	311	0	0	13	298
Precinct 7863 - None	25	399	907	440	0	0	16	424
Precinct 7864 - None	12	211	807	232	0	0	9	223
Precinct 7864 - None	32	387	807	427	0	0	8	419
Precinct 7865 - None	16	215	823	241	0	0	10	231
Precinct 7865 - None	37	414	823	463	0	0	12	451
Precinct 7866 - None	31	169	836	209	0	0	9	200
Precinct 7866 - None	85	387	836	491	0	1	18	472
Precinct 7867 - None	21	226	955	266	0	0	19	247
Precinct 7867 - None	53	441	955	512	0	0	18	494
Precinct 7868 - None	18	219	881	242	0	0	5	237
Precinct 7868 - None	46	387	881	449	1	0	15	433
Precinct 7869 - None	13	220	867	239	0	0	6	233
Precinct 7869 - None	30	448	867	489	0	0	11	478
Precinct 7871 - None	18	230	900	259	0	0	11	248
Precinct 7871 - None	32	455	900	502	2	0	13	487
Precinct 7872 - None	12	261	862	288	0	0	15	273
Precinct 7872 - None	28	422	862	472	0	0	22	450
Precinct 7873 - None	15	238	861	257	0	0	4	253
Precinct 7873 - None	28	459	861	502	0	0	15	487
Precinct 7874 - None	16	114	477	137	0	0	7	130
Precinct 7874 - None	17	228	477	256	1	0	10	245
Precinct 7875 - None	20	151	623	180	0	0	9	171
Precinct 7875 - None	28	240	623	285	0	0	17	268
Precinct 7876 - None	8	124	498	154	10	0	12	132
Precinct 7876 - None	4	253	498	269	0	0	12	257
Precinct 7901 - None	10	115	522	136	0	1	10	125
Precinct 7901 - None	10	176	522	198	0	0	12	186
Precinct 7902 - None	21	228	968	258	0	0	9	249
Precinct 7902 - None	27	359	968	401	0	0	15	386
Precinct 7903 - None	14	174	840	201	0	0	13	188
Precinct 7903 - None	24	310	840	350	0	0	16	334
Precinct 7904 - None	16	186	877	212	0	0	10	202
Precinct 7904 - None	29	355	877	403	0	0	19	384
Precinct 7905 - None	20	229	851	254	0	0	5	249
Precinct 7905 - None	34	360	851	409	1	0	14	394
Precinct 7906 - None	9	229	787	245	0	0	7	238
Precinct 7906 - None	20	304	787	335	0	0	11	324
Precinct 7907 - None	16	248	950	278	0	0	14	264
Precinct 7907 - None	20	387	950	425	0	1	17	407
Precinct 7908 - None	22	242	949	284	0	1	19	264
Precinct 7908 - None	31	347	949	408	0	0	30	378
Precinct 7909 - None	12	229	733	251	0	0	10	241
Precinct 7909 - None	11	286	733	303	0	0	6	297
Precinct 7911 - None	16	221	860	244	0	0	7	237
Precinct 7911 - None	20	358	860	395	0	0	17	378
Precinct 7912 - None	14	257	1,065	291	0	0	20	271
Precinct 7912 - None	21	423	1,065	463	0	0	19	444
Precinct 7913 - None	22	278	913	312	0	0	12	300
Precinct 7913 - None	24	341	913	378	0	0	13	365
Precinct 7914 - None	9	255	883	278	0	0	14	264
Precinct 7914 - None	20	390	883	425	0	0	15	410
Precinct 7915 - None	11	247	831	266	0	0	8	258
Precinct 7915 - None	18	323	831	351	0	1	9	341
Precinct 7916 - None	18	258	888	284	0	0	8	276
Precinct 7916 - None	26	392	888	421	0	0	3	418
Precinct 7917 - None	12	289	1,015	315	0	0	14	301
Precinct 7917 - None	25	396	1,015	428	0	0	7	421
Precinct 7918 - None	5	229	836	253	0	0	19	234
Precinct 7918 - None	16	356	836	379	0	0	7	372
Precinct 7919 - None	14	285	895	309	0	0	10	299
Precinct 7919 - None	18	348	895	376	0	0	10	366
Precinct 7921 - None	12	203	917	232	0	0	17	215
Precinct 7921 - None	37	316	917	366	0	0	13	353
Precinct 7922 - None	5	236	831	250	0	0	9	241
Precinct 7922 - None	21	349	831	383	0	0	13	370
Precinct 7923 - None	17	239	885	262	0	0	6	256
Precinct 7923 - None	20	368	885	403	0	0	15	388
Precinct 7924 - None	7	220	842	238	0	0	11	227
Precinct 7924 - None	38	331	842	382	0	0	13	369
Precinct 7925 - None	6	147	567	156	0	0	3	153
Precinct 7925 - None	16	268	567	293	0	0	9	284
Precinct 7926 - None	14	209	795	229	0	0	6	223
Precinct 7926 - None	18	364	795	390	0	0	8	382
Precinct 7927 - None	12	218	747	241	0	0	11	230
Precinct 7927 - None	20	362	747	392	0	0	10	382
Precinct 7928 - None	7	272	931	284	0	0	5	279
Precinct 7928 - None	33	444	931	489	0	0	12	477
Precinct 7929 - None	10	229	864	248	0	0	9	239
Precinct 7929 - None	23	467	864	509	1	0	18	490
Precinct 7931 - None	8	205	738	219	0	0	6	213
Precinct 7931 - None	17	376	738	408	0	0	15	393
Precinct 7932 - None	10	136	551	157	1	0	10	146
Precinct 7932 - None	20	256	551	285	0	0	9	276
Precinct 7933 MB - None	0	4	6	4	0	0	0	4
Precinct 7934 - None	11	228	890	250	0	0	11	239
Precinct 7934 - None	21	435	890	472	0	0	16	456
Precinct 7935 - None	17	281	970	305	0	0	7	298
Precinct 7935 - None	26	478	970	519	0	0	15	504
Precinct 7936 - None	14	261	856	287	0	0	12	275
Precinct 7936 - None	18	398	856	428	0	0	12	416
Precinct 7937 - None	12	241	886	267	0	0	14	253
Precinct 7937 - None	29	388	886	435	0	0	18	417
Precinct 7938 - None	17	188	788	213	0	0	8	205
Precinct 7938 - None	21	303	788	337	0	0	13	324
Precinct 7939 - None	10	240	688	254	0	0	4	250
Precinct 7939 - None	14	297	688	326	0	1	14	311
Precinct 7941 - None	9	202	751	218	0	0	7	211
Precinct 7941 - None	14	323	751	348	0	0	11	337
Precinct 7942 - None	22	225	914	259	1	0	11	247
Precinct 7942 - None	40	351	914	412	0	0	21	391
Precinct 7943 - None	20	224	872	258	4	0	10	244
Precinct 7943 - None	50	366	872	439	0	0	23	416
Precinct 7944 - None	7	229	801	243	0	0	7	236
Precinct 7944 - None	24	349	801	381	0	1	7	373
Precinct 7945 - None	14	161	915	186	0	0	11	175
Precinct 7945 - None	39	355	915	414	0	0	20	394
Precinct 7946 - None	23	145	945	183	0	0	15	168
Precinct 7946 - None	75	343	945	451	0	0	33	418
Precinct 7947 - None	22	142	946	182	0	0	18	164
Precinct 7947 - None	71	313	946	430	0	0	46	384
Precinct 7948 - None	21	179	928	210	0	0	10	200
Precinct 7948 - None	67	318	928	422	0	1	36	385
Precinct 7949 - None	21	71	569	100	0	0	8	92
Precinct 7949 - None	70	195	569	292	0	1	26	265
Precinct 7951 - None	21	131	854	166	0	0	14	152
Precinct 7951 - None	115	285	854	425	0	0	25	400
Precinct 7952 - None	35	121	866	167	0	0	11	156
Precinct 7952 - None	50	280	866	359	0	0	29	330
Precinct 7953 - None	28	145	824	186	2	0	11	173
Precinct 7953 - None	84	289	824	402	0	0	29	373
Precinct 7955 - None	34	150	902	199	0	1	14	184
Precinct 7955 - None	86	315	902	435	0	0	34	401
Precinct 7956 - None	28	94	823	136	0	0	14	122
Precinct 7956 - None	87	240	823	353	0	0	26	327
Precinct 7957 - None	15	120	646	147	0	0	12	135
Precinct 7957 - None	41	243	646	298	0	0	14	284
Precinct 7958 MB - None	26	103	290	141	0	1	11	129
Precinct 7959 - None	10	144	727	160	0	0	6	154
Precinct 7959 - None	17	295	727	326	0	0	14	312
Precinct 9001 MB - None	21	115	273	142	0	0	6	136
Precinct 9101 - None	38	214	888	260	0	0	8	252
Precinct 9101 - None	87	325	888	438	0	0	26	412
Precinct 9102 - None	49	197	985	257	0	0	11	246
Precinct 9102 - None	89	357	985	471	0	1	24	446
Precinct 9103 - None	53	206	954	273	0	0	14	259
Precinct 9103 - None	65	329	954	431	0	0	37	394
Precinct 9104 - None	32	189	988	239	0	0	18	221
Precinct 9104 - None	79	359	988	465	0	0	27	438
Precinct 9105 - None	35	197	919	247	0	0	15	232
Precinct 9105 - None	68	384	919	488	0	0	36	452
Precinct 9106 - None	34	218	937	268	1	0	15	252
Precinct 9106 - None	65	404	937	497	0	0	28	469
Precinct 9107 - None	33	178	849	219	0	0	8	211
Precinct 9107 - None	59	294	849	372	0	0	19	353
Precinct 9108 - None	25	211	790	247	0	0	11	236
Precinct 9108 - None	50	300	790	373	1	0	22	350
Precinct 9109 - None	38	211	884	263	0	0	14	249
Precinct 9109 - None	42	357	884	428	0	0	29	399
Precinct 9111 - None	29	189	779	229	0	0	11	218
Precinct 9111 - None	52	269	779	346	0	0	25	321
Precinct 9112 - None	35	230	976	284	0	0	19	265
Precinct 9112 - None	50	388	976	467	0	0	29	438
Precinct 9113 - None	40	259	999	311	0	0	12	299
Precinct 9113 - None	66	408	999	505	0	0	31	474
Precinct 9114 - None	25	226	877	263	0	0	12	251
Precinct 9114 - None	55	329	877	405	0	0	21	384
Precinct 9115 - None	22	216	911	258	0	0	20	238
Precinct 9115 - None	48	356	911	429	0	0	25	404
Precinct 9116 - None	43	227	944	281	1	0	10	270
Precinct 9116 - None	59	391	944	473	0	0	23	450
Precinct 9117 - None	33	182	783	222	0	0	7	215
Precinct 9117 - None	56	317	783	398	0	0	25	373
Precinct 9118 - None	45	223	974	286	0	0	18	268
Precinct 9118 - None	74	317	974	426	0	0	35	391
Precinct 9119 - None	36	183	891	237	0	0	18	219
Precinct 9119 - None	79	343	891	447	0	0	25	422
Precinct 9121 - None	47	198	930	256	0	0	11	245
Precinct 9121 - None	66	341	930	434	0	0	27	407
Precinct 9122 - None	28	166	953	210	0	0	16	194
Precinct 9122 - None	90	338	953	454	0	0	26	428
Precinct 9123 - None	47	171	858	232	0	0	14	218
Precinct 9123 - None	81	316	858	418	0	0	21	397
Precinct 9124 - None	23	168	874	202	0	1	10	191
Precinct 9124 - None	88	316	874	438	0	0	34	404
Precinct 9125 - None	22	173	861	210	0	0	15	195
Precinct 9125 - None	60	349	861	437	0	0	28	409
Precinct 9126 - None	39	191	1,015	245	0	0	15	230
Precinct 9126 - None	96	395	1,015	533	0	0	42	491
Precinct 9127 - None	34	214	960	269	0	0	21	248
Precinct 9127 - None	74	392	960	498	0	1	31	466
Precinct 9128 - None	28	210	828	248	0	0	10	238
Precinct 9128 - None	78	320	828	412	0	0	14	398
Precinct 9129 - None	31	200	741	243	0	0	12	231
Precinct 9129 - None	44	284	741	348	0	0	20	328
Precinct 9131 - None	24	156	759	193	0	0	13	180
Precinct 9131 - None	65	325	759	403	0	0	13	390
Precinct 9132 - None	24	214	837	248	0	0	10	238
Precinct 9132 - None	39	313	837	371	0	0	19	352
Precinct 9133 - None	25	234	1,021	271	0	0	12	259
Precinct 9133 - None	64	413	1,021	503	0	0	26	477
Precinct 9134 - None	23	170	893	210	0	0	17	193
Precinct 9134 - None	58	385	893	469	0	0	26	443
Precinct 9135 - None	40	160	808	215	0	0	15	200
Precinct 9135 - None	87	281	808	389	0	0	21	368
Precinct 9136 - None	22	215	929	253	0	0	16	237
Precinct 9136 - None	60	348	929	439	0	0	31	408
Precinct 9137 - None	55	190	1,006	260	0	0	15	245
Precinct 9137 - None	80	365	1,006	467	0	0	22	445
Precinct 9138 - None	29	180	943	226	1	0	16	209
Precinct 9138 - None	88	366	943	477	1	0	22	454
Precinct 9139 - None	43	187	975	243	0	0	13	230
Precinct 9139 - None	117	360	975	510	0	0	33	477
Precinct 9141 - None	39	194	953	252	0	0	19	233
Precinct 9141 - None	81	363	953	477	0	0	33	444
Precinct 9142 - None	27	230	966	276	0	0	19	257
Precinct 9142 - None	53	383	966	459	0	0	23	436
Precinct 9143 - None	32	202	920	251	0	0	17	234
Precinct 9143 - None	87	344	920	463	0	1	31	431
Precinct 9144 - None	41	239	962	293	0	0	13	280
Precinct 9144 - None	79	376	962	482	0	0	27	455
Precinct 9145 - None	31	198	861	249	1	0	19	229
Precinct 9145 - None	56	354	861	423	0	1	12	410
Precinct 9146 - None	30	198	885	245	0	0	17	228
Precinct 9146 - None	45	401	885	464	0	0	18	446
Precinct 9147 - None	24	227	971	281	0	0	30	251
Precinct 9147 - None	59	414	971	492	0	0	19	473
Precinct 9148 - None	33	280	1,034	325	0	0	12	313
Precinct 9148 - None	45	448	1,034	513	0	0	20	493
Precinct 9149 - None	22	229	948	264	0	0	13	251
Precinct 9149 - None	54	411	948	478	0	0	13	465
Precinct 9151 - None	25	194	872	227	0	0	8	219
Precinct 9151 - None	52	355	872	418	0	0	11	407
Precinct 9152 - None	24	234	721	270	0	0	12	258
Precinct 9152 - None	25	245	721	279	0	0	9	270
Precinct 9201 - None	30	265	1,004	300	0	0	5	295
Precinct 9201 - None	51	409	1,004	475	0	0	15	460
Precinct 9202 - None	41	240	971	294	0	0	13	281
Precinct 9202 - None	54	355	971	426	0	0	17	409
Precinct 9203 - None	69	153	1,002	239	0	0	17	222
Precinct 9203 - None	134	371	1,002	536	0	0	31	505
Precinct 9204 - None	76	175	873	273	0	0	22	251
Precinct 9204 - None	107	264	873	393	0	0	22	371
Precinct 9205 - None	38	158	728	208	0	0	12	196
Precinct 9205 - None	43	314	728	376	0	1	18	357
Precinct 9206 - None	69	166	931	249	0	0	14	235
Precinct 9206 - None	130	324	931	479	0	0	25	454
Precinct 9207 - None	62	181	981	262	0	0	19	243
Precinct 9207 - None	113	353	981	502	0	0	36	466
Precinct 9208 - None	70	202	1,002	287	0	0	15	272
Precinct 9208 - None	91	368	1,002	491	0	0	32	459
Precinct 9209 - None	54	177	711	245	0	0	14	231
Precinct 9209 - None	77	232	711	327	0	0	18	309
Precinct 9211 - None	34	185	889	234	0	0	15	219
Precinct 9211 - None	76	331	889	432	0	0	25	407
Precinct 9212 - None	36	181	803	234	0	0	17	217
Precinct 9212 - None	64	316	803	400	0	0	20	380
Precinct 9213 - None	38	207	951	264	0	0	19	245
Precinct 9213 - None	85	396	951	508	0	0	27	481
Precinct 9214 - None	40	116	640	166	0	0	10	156
Precinct 9214 - None	80	239	640	334	0	0	15	319
Precinct 9215 - None	57	123	652	194	0	0	14	180
Precinct 9215 - None	60	249	652	327	0	0	18	309
Precinct 9216 - None	42	191	845	246	0	0	13	233
Precinct 9216 - None	66	287	845	379	0	0	26	353
Precinct 9217 - None	42	139	698	194	0	0	13	181
Precinct 9217 - None	69	251	698	349	0	0	29	320
Precinct 9218 - None	56	180	841	249	0	0	13	236
Precinct 9218 - None	95	289	841	412	0	0	28	384
Precinct 9219 - None	35	191	802	242	0	0	16	226
Precinct 9219 - None	63	322	802	399	0	1	13	385
Precinct 9221 - None	32	105	651	145	0	0	8	137
Precinct 9221 - None	108	271	651	399	0	0	20	379
Precinct 9222 - None	41	181	883	249	0	0	27	222
Precinct 9222 - None	104	325	883	449	0	0	20	429
Precinct 9223 - None	33	117	638	160	0	0	10	150
Precinct 9223 - None	71	246	638	338	0	0	21	317
Precinct 9224 - None	66	177	960	263	0	0	20	243
Precinct 9224 - None	104	370	960	506	0	0	32	474
Precinct 9225 - None	59	225	958	299	0	0	15	284
Precinct 9225 - None	81	361	958	469	0	0	27	442
Precinct 9226 - None	56	192	926	271	0	0	23	248
Precinct 9226 - None	88	370	926	486	0	0	28	458
Precinct 9227 - None	38	141	738	188	0	0	9	179
Precinct 9227 - None	94	293	738	404	0	0	17	387
Precinct 9228 - None	37	139	747	189	0	0	13	176
Precinct 9228 - None	90	310	747	424	0	0	24	400
Precinct 9229 - None	30	123	598	162	0	0	9	153
Precinct 9229 - None	59	243	598	316	0	0	14	302
Precinct 9231 - None	28	274	953	313	0	0	11	302
Precinct 9231 - None	55	403	953	488	0	0	30	458
Precinct 9232 - None	34	163	735	212	0	0	15	197
Precinct 9232 - None	58	323	735	396	0	0	15	381
Precinct 9233 - None	41	155	793	209	0	0	13	196
Precinct 9233 - None	95	309	793	434	0	0	30	404
Precinct 9234 - None	28	146	746	187	0	0	13	174
Precinct 9234 - None	87	335	746	438	0	0	16	422
Precinct 9235 - None	44	185	884	239	0	0	10	229
Precinct 9235 - None	115	350	884	488	0	0	23	465
Precinct 9236 - None	41	152	683	201	0	0	8	193
Precinct 9236 - None	49	286	683	358	0	0	23	335
Precinct 9237 - None	42	172	936	229	0	0	15	214
Precinct 9237 - None	81	423	936	539	0	0	35	504
Precinct 9238 - None	48	164	842	230	0	0	18	212
Precinct 9238 - None	103	323	842	456	0	0	30	426
Precinct 9239 - None	43	144	881	200	0	0	13	187
Precinct 9239 - None	93	381	881	499	0	0	25	474
Precinct 9241 - None	43	192	1,005	255	0	0	20	235
Precinct 9241 - None	82	471	1,005	578	0	1	24	553
Precinct 9242 - None	52	207	972	277	0	0	18	259
Precinct 9242 - None	75	418	972	513	0	0	20	493
Precinct 9243 - None	32	149	594	193	0	0	12	181
Precinct 9243 - None	34	261	594	307	0	0	12	295
Precinct 9244 - None	26	219	903	255	0	0	10	245
Precinct 9244 - None	39	418	903	485	0	0	28	457
Precinct 9245 - None	27	172	742	209	0	0	10	199
Precinct 9245 - None	38	315	742	375	0	0	22	353
Precinct 9246 - None	37	206	929	257	0	0	14	243
Precinct 9246 - None	77	426	929	528	0	0	25	503
Precinct 9247 - None	38	211	927	264	0	0	15	249
Precinct 9247 - None	79	424	927	515	0	0	12	503
Precinct 9248 - None	30	219	907	258	0	0	9	249
Precinct 9248 - None	60	407	907	487	0	0	20	467
Precinct 9249 - None	30	224	917	271	0	0	17	254
Precinct 9249 - None	79	391	917	495	0	0	25	470
Precinct 9251 - None	35	232	995	287	0	0	20	267
Precinct 9251 - None	77	428	995	530	0	0	25	505
Precinct 9252 - None	31	174	944	219	0	1	13	205
Precinct 9252 - None	89	431	944	550	0	0	30	520
Precinct 9253 - None	36	135	772	187	0	0	16	171
Precinct 9253 - None	74	306	772	397	0	0	17	380
Precinct 9254 - None	25	195	935	230	0	0	10	220
Precinct 9254 - None	55	461	935	538	0	0	22	516
Precinct 9255 - None	21	149	553	183	0	0	13	170
Precinct 9255 - None	21	228	553	263	0	0	14	249
Precinct 9256 - None	9	116	474	130	0	0	5	125
Precinct 9256 - None	20	206	474	233	0	0	7	226
Precinct 9257 MB - None	13	215	321	235	0	0	7	228
Precinct 9258 - None	17	169	712	193	0	0	7	186
Precinct 9258 - None	54	302	712	373	0	0	17	356
Precinct 9401 - None	23	253	1,012	293	0	0	17	276
Precinct 9401 - None	52	408	1,012	484	0	0	24	460
Precinct 9402 - None	29	235	977	290	0	0	26	264
Precinct 9402 - None	61	364	977	458	0	0	33	425
Precinct 9403 - None	37	191	897	240	0	0	12	228
Precinct 9403 - None	71	319	897	419	0	0	29	390
Precinct 9404 - None	21	157	930	200	0	0	22	178
Precinct 9404 - None	88	341	930	462	0	0	33	429
Precinct 9405 - None	47	154	786	210	0	0	9	201
Precinct 9405 - None	62	274	786	364	0	0	28	336
Precinct 9406 - None	49	181	868	244	0	0	14	230
Precinct 9406 - None	62	333	868	421	0	0	26	395
Precinct 9407 - None	38	203	889	253	0	0	12	241
Precinct 9407 - None	54	330	889	409	0	0	25	384
Precinct 9408 - None	34	216	886	265	0	0	15	250
Precinct 9408 - None	40	351	886	415	0	0	24	391
Precinct 9409 - None	14	181	590	201	0	0	6	195
Precinct 9409 - None	29	209	590	252	0	0	14	238
Precinct 9411 - None	20	239	956	271	0	0	12	259
Precinct 9411 - None	43	370	956	431	0	0	18	413
Precinct 9412 - None	29	200	848	245	0	0	16	229
Precinct 9412 - None	61	281	848	380	0	0	38	342
Precinct 9413 - None	31	181	894	229	0	0	17	212
Precinct 9413 - None	81	344	894	461	0	0	36	425
Precinct 9414 - None	39	167	916	216	0	0	10	206
Precinct 9414 - None	73	358	916	463	0	0	32	431
Precinct 9415 - None	35	138	784	187	0	0	14	173
Precinct 9415 - None	82	283	784	392	0	0	27	365
Precinct 9416 - None	41	222	1,008	282	1	0	18	263
Precinct 9416 - None	55	386	1,008	480	1	0	38	441
Precinct 9417 - None	31	128	752	175	0	0	16	159
Precinct 9417 - None	75	293	752	402	0	0	34	368
Precinct 9418 - None	36	151	790	211	0	0	24	187
Precinct 9418 - None	96	238	790	376	0	0	42	334
Precinct 9419 - None	55	147	924	222	0	1	19	202
Precinct 9419 - None	126	306	924	468	0	0	36	432
Precinct 9421 - None	44	174	906	238	0	0	20	218
Precinct 9421 - None	90	306	906	446	0	0	50	396
Precinct 9422 - None	56	205	1,056	283	0	0	22	261
Precinct 9422 - None	122	357	1,056	513	0	0	34	479
Precinct 9423 - None	33	169	889	219	0	0	17	202
Precinct 9423 - None	64	345	889	440	0	0	31	409
Precinct 9424 - None	36	166	952	224	0	1	21	202
Precinct 9424 - None	107	347	952	496	0	0	42	454
Precinct 9425 - None	26	156	933	199	0	0	17	182
Precinct 9425 - None	108	305	933	465	0	1	51	413
Precinct 9426 - None	28	151	823	198	0	0	19	179
Precinct 9426 - None	90	265	823	408	0	0	53	355
Precinct 9427 - None	44	141	948	210	0	0	25	185
Precinct 9427 - None	120	283	948	447	0	0	44	403
Precinct 9428 - None	33	135	961	183	0	0	15	168
Precinct 9428 - None	100	384	961	518	0	0	34	484
Precinct 9429 - None	54	156	899	228	1	0	17	210
