Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
Precinct 7014 - None	25	324	1,460	367	0	0	18	349
Precinct 7014 - None	46	733	1,460	802	0	0	23	779
Precinct 7015 MB - None	1	41	95	44	0	0	2	42
Precinct 7016 - None	20	134	918	171	0	0	17	154
Precinct 7016 - None	48	205	918	280	0	0	27	253
Precinct 7017 - None	17	121	754	149	0	0	11	138
Precinct 7017 - None	10	230	754	252	0	0	12	240
Precinct 7018 - None	25	118	977	155	0	0	12	143
Precinct 7018 - None	72	331	977	448	0	0	45	403
Precinct 7019 - None	9	157	899	182	0	0	16	166
Precinct 7019 - None	62	333	899	413	0	0	18	395
Precinct 7021 - None	18	150	947	184	0	1	15	168
Precinct 7021 - None	30	255	947	305	0	1	19	285
Precinct 7022 - None	16	181	945	215	0	1	17	197
Precinct 7022 - None	37	298	945	352	0	0	17	335
Precinct 7023 - None	12	159	928	178	0	0	7	171
Precinct 7023 - None	47	327	928	400	0	2	24	374
Precinct 7024 - None	6	54	414	70	0	1	9	60
Precinct 7024 - None	12	61	414	78	0	0	5	73
Precinct 7025 - None	4	73	477	85	0	0	8	77
Precinct 7025 - None	14	110	477	128	0	0	4	124
Precinct 7026 - None	22	114	1,011	149	0	0	13	136
Precinct 7026 - None	84	328	1,011	455	0	0	43	412
Precinct 7027 - None	19	158	869	195	0	0	18	177
Precinct 7027 - None	63	269	869	353	0	0	21	332
Precinct 7028 - None	16	180	850	213	0	0	17	196
Precinct 7028 - None	16	259	850	282	0	0	7	275
Precinct 7029 - None	15	148	901	184	0	0	21	163
Precinct 7029 - None	31	214	901	251	0	0	6	245
Precinct 7030 - None	29	79	759	119	0	0	11	108
Precinct 7030 - None	94	227	759	357	0	0	36	321
Precinct 7031 - None	8	73	641	91	0	0	10	81
Precinct 7031 - None	47	236	641	309	0	0	26	283
Precinct 7032 - None	16	135	904	173	1	0	21	151
Precinct 7032 - None	42	248	904	316	0	0	26	290
Precinct 7033 - None	18	157	798	191	0	0	16	175
Precinct 7033 - None	19	214	798	247	0	0	14	233
Precinct 7034 - None	24	148	958	197	0	0	25	172
Precinct 7034 - None	18	165	958	201	0	0	18	183
Precinct 7035 - None	10	106	606	122	0	0	6	116
Precinct 7035 - None	30	221	606	262	0	0	11	251
Precinct 7036 - None	12	98	921	117	0	0	7	110
Precinct 7036 - None	83	241	921	342	0	0	18	324
Precinct 7037 - None	10	99	735	135	0	0	26	109
Precinct 7037 - None	20	66	735	98	0	1	11	86
Precinct 7038 - None	20	103	911	135	0	0	12	123
Precinct 7038 - None	83	234	911	351	0	0	34	317
Precinct 7039 - None	28	135	784	178	0	0	15	163
Precinct 7039 - None	75	213	784	306	0	0	18	288
Precinct 7041 MB - None	9	22	61	33	0	0	2	31
Precinct 7042 - None	17	97	639	118	0	0	4	114
Precinct 7042 - None	42	202	639	258	0	0	14	244
Precinct 7043 - None	14	149	957	176	0	0	13	163
Precinct 7043 - None	44	326	957	404	0	0	34	370
Precinct 7044 - None	20	126	827	167	0	0	21	146
Precinct 7044 - None	40	142	827	193	0	0	11	182
Precinct 7045 - None	22	85	779	120	0	0	13	107
Precinct 7045 - None	82	225	779	344	0	0	37	307
Precinct 7046 - None	9	79	402	94	0	0	6	88
Precinct 7046 - None	38	124	402	175	0	0	13	162
Precinct 7047 - None	12	96	823	119	0	0	11	108
Precinct 7047 - None	69	286	823	388	0	0	33	355
Precinct 7048 - None	15	116	858	150	3	0	16	131
Precinct 7048 - None	72	224	858	318	0	0	22	296
Precinct 7049 - None	32	119	792	173	0	0	22	151
Precinct 7049 - None	77	184	792	305	0	2	42	261
Precinct 7051 - None	15	82	861	114	0	0	17	97
Precinct 7051 - None	85	239	861	380	0	0	56	324
Precinct 7052 - None	22	125	852	161	0	0	14	147
Precinct 7052 - None	77	286	852	402	0	0	39	363
Precinct 7053 - None	12	82	548	102	0	0	8	94
Precinct 7053 - None	57	209	548	278	0	0	12	266
Precinct 7054 - None	20	186	1,073	215	0	0	9	206
Precinct 7054 - None	53	331	1,073	410	0	0	26	384
Precinct 7055 - None	9	171	808	190	0	0	10	180
Precinct 7055 - None	56	358	808	440	0	0	26	414
Precinct 7101 MB - None	3	113	155	120	1	0	3	116
Precinct 7201 - None	34	198	936	245	0	0	13	232
Precinct 7201 - None	87	408	936	518	0	0	23	495
Precinct 7202 - None	35	185	850	227	0	0	7	220
Precinct 7202 - None	104	311	850	431	0	0	16	415
Precinct 7203 - None	29	251	921	291	1	1	9	280
Precinct 7203 - None	49	360	921	423	0	0	14	409
Precinct 7204 - None	39	179	918	233	0	0	15	218
Precinct 7204 - None	74	442	918	531	0	0	15	516
Precinct 7205 - None	40	194	875	251	0	0	17	234
Precinct 7205 - None	93	378	875	485	0	0	14	471
Precinct 7206 - None	11	119	378	135	0	0	5	130
Precinct 7206 - None	27	159	378	191	0	0	5	186
Precinct 7207 - None	22	164	812	196	0	0	10	186
Precinct 7207 - None	47	360	812	434	0	0	27	407
