Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	202,728	149,499	500,516	372,848	282	232	20,107	352,227
All Precincts - Election Day	71,761	49,202	500,516	127,886	68	61	6,794	120,963
All Precincts - Vote By Mail	130,967	100,297	500,516	244,962	214	171	13,313	231,264
Precinct 1101 - Election Day	76	42	553	126	0	0	8	118
Precinct 1101 - Vote By Mail	163	100	553	266	0	0	3	263
Precinct 1102 - Election Day	153	106	995	266	0	1	6	259
Precinct 1102 - Vote By Mail	277	186	995	480	-2	0	19	463
Precinct 1103 - Election Day	147	90	951	246	1	0	8	237
Precinct 1103 - Vote By Mail	253	179	951	445	-1	0	14	432
Precinct 1104/1105 - Election Day	142	95	993	249	-1	0	13	237
Precinct 1104/1105 - Vote By Mail	267	132	993	414	-2	1	16	399
Precinct 1106 - Election Day	110	70	765	191	0	0	11	180
Precinct 1106 - Vote By Mail	182	150	765	343	-1	0	12	332
Precinct 1107 - Election Day	90	68	746	163	0	0	5	158
Precinct 1107 - Vote By Mail	186	126	746	336	5	0	19	312
Precinct 1108 - Election Day	131	94	909	232	-1	0	8	225
Precinct 1108 - Vote By Mail	251	167	909	438	-1	0	21	418
Precinct 1109 - Election Day	97	62	798	166	0	0	7	159
Precinct 1109 - Vote By Mail	208	142	798	365	-2	0	17	350
Precinct 1111 - Election Day	126	69	1,002	205	0	0	10	195
Precinct 1111 - Vote By Mail	283	144	1,002	460	-3	0	36	427
Precinct 1112 - Election Day	83	58	769	151	2	0	8	141
Precinct 1112 - Vote By Mail	206	118	769	344	-1	0	21	324
Precinct 1113 - Election Day	79	48	746	135	0	0	8	127
Precinct 1113 - Vote By Mail	188	148	746	360	0	0	24	336
Precinct 1114 - Election Day	130	82	957	226	-2	0	16	212
Precinct 1114 - Vote By Mail	235	155	957	404	0	0	14	390
Precinct 1115 - Election Day	112	51	895	174	0	0	11	163
Precinct 1115 - Vote By Mail	206	142	895	371	-3	0	26	348
Precinct 1116 - Election Day	133	77	895	225	1	0	14	210
Precinct 1116 - Vote By Mail	205	156	895	376	-2	0	17	361
Precinct 1117 - Election Day	105	70	858	185	0	1	9	175
Precinct 1117 - Vote By Mail	205	134	858	357	1	0	17	339
Precinct 1118 - Election Day	127	80	1,043	213	0	0	6	207
Precinct 1118 - Vote By Mail	280	176	1,043	476	-3	1	22	456
Precinct 1119 - Election Day	101	60	791	165	0	0	4	161
Precinct 1119 - Vote By Mail	232	142	791	386	0	0	12	374
Precinct 1121 - Election Day	87	61	691	160	0	0	12	148
Precinct 1121 - Vote By Mail	176	108	691	313	-1	1	29	284
Precinct 1122 - Election Day	62	45	632	110	0	0	3	107
Precinct 1122 - Vote By Mail	176	112	632	310	-1	1	22	288
Precinct 1123 - Election Day	107	67	915	179	0	0	5	174
Precinct 1123 - Vote By Mail	209	131	915	364	-1	0	25	340
Precinct 1124 - Election Day	88	58	819	152	0	0	6	146
Precinct 1124 - Vote By Mail	193	102	819	302	-2	0	9	295
Precinct 1125 - Election Day	85	70	1,047	159	1	0	3	155
Precinct 1125 - Vote By Mail	256	194	1,047	466	0	0	16	450
Precinct 1126 - Election Day	110	71	922	191	0	0	10	181
Precinct 1126 - Vote By Mail	229	159	922	400	-2	0	14	388
Precinct 1127 - Election Day	106	81	920	200	0	0	13	187
Precinct 1127 - Vote By Mail	234	131	920	382	-2	1	18	365
Precinct 1128 - Election Day	92	54	838	154	0	0	8	146
Precinct 1128 - Vote By Mail	188	158	838	362	0	0	16	346
Precinct 1129 - Election Day	116	92	980	227	1	0	18	208
Precinct 1129 - Vote By Mail	222	172	980	416	2	0	20	394
Precinct 1131 - Election Day	64	62	797	132	0	0	6	126
Precinct 1131 - Vote By Mail	190	163	797	371	0	0	18	353
Precinct 1132 - Election Day	88	78	969	179	2	1	10	166
Precinct 1132 - Vote By Mail	228	175	969	427	-1	0	25	403
Precinct 1133 - Election Day	101	51	863	161	1	0	8	152
Precinct 1133 - Vote By Mail	195	195	863	410	0	0	20	390
Precinct 1134 - Election Day	97	61	759	170	2	0	10	158
Precinct 1134 - Vote By Mail	175	123	759	318	-3	0	23	298
Precinct 1135 - Election Day	50	32	540	87	1	0	4	82
Precinct 1135 - Vote By Mail	164	105	540	295	1	0	25	269
Precinct 1136 - Election Day	68	70	829	144	0	0	6	138
Precinct 1136 - Vote By Mail	218	174	829	412	1	0	19	392
