Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	151,865	47,175	495,050	206,340	0	60	7,240	199,040
All Precincts - None	46,079	11,446	495,050	59,414	0	19	1,870	57,525
All Precincts - None	105,786	35,729	495,050	146,926	0	41	5,370	141,515
Precinct 1101 - None	37	14	557	54	0	0	3	51
Precinct 1101 - None	115	47	557	166	0	0	4	162
Precinct 1101	152	61	557	220	0	0	7	213
Precinct 1102 - None	106	36	994	145	0	0	3	142
Precinct 1102 - None	190	112	994	304	0	0	2	302
Precinct 1102	296	148	994	449	0	0	5	444
Precinct 1103 - None	91	18	962	111	0	0	2	109
Precinct 1103 - None	192	83	962	283	0	0	8	275
Precinct 1103	283	101	962	394	0	0	10	384
Precinct 1104/1105 - None	74	28	1,012	109	0	0	7	102
Precinct 1104/1105 - None	198	63	1,012	271	0	0	10	261
Precinct 1104/1105	272	91	1,012	380	0	0	17	363
Precinct 1106/1107 - None	121	40	1,505	168	0	0	7	161
Precinct 1106/1107 - None	272	151	1,505	435	0	1	11	423
Precinct 1106/1107	393	191	1,505	603	0	1	18	584
Precinct 1108 - None	77	16	908	95	0	0	2	93
Precinct 1108 - None	189	66	908	272	0	0	17	255
Precinct 1108	266	82	908	367	0	0	19	348
Precinct 1109 - None	72	18	805	93	0	0	3	90
Precinct 1109 - None	146	72	805	233	0	0	15	218
Precinct 1109	218	90	805	326	0	0	18	308
Precinct 1111 - None	80	24	1,025	106	0	0	2	104
Precinct 1111 - None	181	109	1,025	303	0	0	13	290
Precinct 1111	261	133	1,025	409	0	0	15	394
Precinct 1112 - None	50	12	770	65	0	0	3	62
Precinct 1112 - None	153	61	770	217	0	0	3	214
Precinct 1112	203	73	770	282	0	0	6	276
Precinct 1114/1113 - None	101	24	1,741	129	0	0	4	125
Precinct 1114/1113 - None	353	135	1,741	501	0	1	12	488
Precinct 1114/1113	454	159	1,741	630	0	1	16	613
Precinct 1115/1116 - None	121	37	1,838	165	0	0	7	158
Precinct 1115/1116 - None	306	147	1,838	467	0	0	14	453
Precinct 1115/1116	427	184	1,838	632	0	0	21	611
Precinct 1117/1123 - None	119	30	1,771	155	0	0	6	149
Precinct 1117/1123 - None	280	145	1,771	443	0	0	18	425
Precinct 1117/1123	399	175	1,771	598	0	0	24	574
Precinct 1118 - None	74	24	1,057	99	0	0	1	98
Precinct 1118 - None	207	101	1,057	319	0	0	11	308
Precinct 1118	281	125	1,057	418	0	0	12	406
