Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	135,702	64,883	495,050	206,307	0	49	5,673	200,585
All Precincts - Election Day	40,886	16,897	495,050	59,414	0	13	1,618	57,783
All Precincts - Vote By Mail	94,816	47,986	495,050	146,893	0	36	4,055	142,802
Precinct 1101 - Election Day	36	16	557	54	0	0	2	52
Precinct 1101 - Vote By Mail	111	54	557	166	0	0	1	165
Precinct 1101	147	70	557	220	0	0	3	217
Precinct 1102 - Election Day	102	38	994	145	0	0	5	140
Precinct 1102 - Vote By Mail	185	116	994	304	0	0	3	301
Precinct 1102	287	154	994	449	0	0	8	441
Precinct 1103 - Election Day	80	29	962	111	0	0	2	109
Precinct 1103 - Vote By Mail	166	111	962	283	0	1	5	277
Precinct 1103	246	140	962	394	0	1	7	386
Precinct 1104/1105 - Election Day	59	42	1,012	109	0	0	8	101
Precinct 1104/1105 - Vote By Mail	183	80	1,012	271	0	0	8	263
Precinct 1104/1105	242	122	1,012	380	0	0	16	364
Precinct 1106/1107 - Election Day	93	68	1,505	168	0	0	7	161
Precinct 1106/1107 - Vote By Mail	257	168	1,505	435	0	0	10	425
Precinct 1106/1107	350	236	1,505	603	0	0	17	586
Precinct 1108 - Election Day	64	30	908	95	0	0	1	94
Precinct 1108 - Vote By Mail	163	92	908	272	0	0	17	255
Precinct 1108	227	122	908	367	0	0	18	349
Precinct 1109 - Election Day	61	26	805	93	0	0	6	87
Precinct 1109 - Vote By Mail	143	78	805	233	0	0	12	221
Precinct 1109	204	104	805	326	0	0	18	308
Precinct 1111 - Election Day	63	40	1,025	106	0	0	3	103
Precinct 1111 - Vote By Mail	172	119	1,025	303	0	0	12	291
Precinct 1111	235	159	1,025	409	0	0	15	394
Precinct 1112 - Election Day	46	17	770	65	0	0	2	63
Precinct 1112 - Vote By Mail	138	74	770	217	0	0	5	212
Precinct 1112	184	91	770	282	0	0	7	275
Precinct 1114/1113 - Election Day	82	42	1,741	129	0	0	5	124
Precinct 1114/1113 - Vote By Mail	304	176	1,741	501	0	2	19	480
Precinct 1114/1113	386	218	1,741	630	0	2	24	604
Precinct 1115/1116 - Election Day	104	52	1,838	165	0	0	9	156
Precinct 1115/1116 - Vote By Mail	284	172	1,838	467	0	0	11	456
Precinct 1115/1116	388	224	1,838	632	0	0	20	612
Precinct 1117/1123 - Election Day	79	69	1,771	155	0	0	7	148
Precinct 1117/1123 - Vote By Mail	231	193	1,771	443	0	1	18	424
Precinct 1117/1123	310	262	1,771	598	0	1	25	572
Precinct 1118 - Election Day	65	34	1,057	99	0	0	0	99
Precinct 1118 - Vote By Mail	190	118	1,057	319	0	1	10	308
Precinct 1118	255	152	1,057	418	0	1	10	407
Precinct 1119 - Election Day	41	22	771	66	0	0	3	63
Precinct 1119 - Vote By Mail	146	75	771	226	0	0	5	221
Precinct 1119	187	97	771	292	0	0	8	284
Precinct 1122 - Election Day	29	18	638	48	0	0	1	47
Precinct 1122 - Vote By Mail	108	72	638	188	0	0	8	180
Precinct 1122	137	90	638	236	0	0	9	227
Precinct 1124 - Election Day	35	27	812	64	0	0	2	62
Precinct 1124 - Vote By Mail	108	76	812	188	0	0	4	184
Precinct 1124	143	103	812	252	0	0	6	246
Precinct 1125 - Election Day	33	15	1,064	48	0	0	0	48
Precinct 1125 - Vote By Mail	143	120	1,064	271	0	0	8	263
Precinct 1125	176	135	1,064	319	0	0	8	311
Precinct 1126/1121 - Election Day	79	41	1,676	121	0	0	1	120
Precinct 1126/1121 - Vote By Mail	261	170	1,676	442	0	0	11	431
Precinct 1126/1121	340	211	1,676	563	0	0	12	551
Precinct 1127/1128 - Election Day	91	59	1,827	157	0	0	7	150
Precinct 1127/1128 - Vote By Mail	250	217	1,827	488	0	0	21	467
Precinct 1127/1128	341	276	1,827	645	0	0	28	617
Precinct 1129 - Election Day	45	35	1,018	85	0	0	5	80
Precinct 1129 - Vote By Mail	143	99	1,018	253	0	0	11	242
Precinct 1129	188	134	1,018	338	0	0	16	322
Precinct 1131 - Election Day	33	14	836	49	0	0	2	47
Precinct 1131 - Vote By Mail	125	95	836	226	0	0	6	220
Precinct 1131	158	109	836	275	0	0	8	267
Precinct 1132 - Election Day	28	19	1,010	47	0	0	0	47
Precinct 1132 - Vote By Mail	182	115	1,010	312	0	0	15	297
Precinct 1132	210	134	1,010	359	0	0	15	344
Precinct 1133 - Election Day	27	21	857	49	0	0	1	48
Precinct 1133 - Vote By Mail	132	119	857	255	0	0	4	251
Precinct 1133	159	140	857	304	0	0	5	299
Precinct 1134 - Election Day	44	22	762	70	0	0	4	66
Precinct 1134 - Vote By Mail	122	86	762	215	0	0	7	208
Precinct 1134	166	108	762	285	0	0	11	274
Precinct 1135 - Election Day	27	15	554	46	0	0	4	42
Precinct 1135 - Vote By Mail	114	73	554	195	0	0	8	187
Precinct 1135	141	88	554	241	0	0	12	229
Precinct 1136 - Election Day	25	24	847	53	0	1	3	49
Precinct 1136 - Vote By Mail	143	98	847	248	0	0	7	241
Precinct 1136	168	122	847	301	0	1	10	290
Precinct 1141 - Election Day	59	40	1,042	103	0	0	4	99
Precinct 1141 - Vote By Mail	201	97	1,042	306	0	0	8	298
Precinct 1141	260	137	1,042	409	0	0	12	397
Precinct 1143 - Election Day	84	25	1,024	109	0	0	0	109
Precinct 1143 - Vote By Mail	128	117	1,024	254	0	0	9	245
Precinct 1143	212	142	1,024	363	0	0	9	354
Precinct 1144/1142 - Election Day	113	57	1,804	177	0	0	7	170
Precinct 1144/1142 - Vote By Mail	317	181	1,804	513	0	0	15	498
Precinct 1144/1142	430	238	1,804	690	0	0	22	668
Precinct 1145 - Election Day	59	24	894	83	0	0	0	83
Precinct 1145 - Vote By Mail	197	92	894	297	0	0	8	289
Precinct 1145	256	116	894	380	0	0	8	372
Precinct 1146 - Election Day	46	34	1,008	83	0	0	3	80
Precinct 1146 - Vote By Mail	164	98	1,008	275	0	0	13	262
Precinct 1146	210	132	1,008	358	0	0	16	342
Precinct 1147 - Election Day	55	32	868	89	0	0	2	87
Precinct 1147 - Vote By Mail	139	90	868	235	0	0	6	229
Precinct 1147	194	122	868	324	0	0	8	316
Precinct 1148 - Election Day	64	29	1,002	100	0	0	7	93
Precinct 1148 - Vote By Mail	141	118	1,002	268	0	0	9	259
Precinct 1148	205	147	1,002	368	0	0	16	352
Precinct 1149 - Election Day	55	32	911	90	0	0	3	87
Precinct 1149 - Vote By Mail	131	100	911	237	0	0	6	231
Precinct 1149	186	132	911	327	0	0	9	318
Precinct 1152/1153 - Election Day	93	58	1,815	155	0	0	4	151
Precinct 1152/1153 - Vote By Mail	300	179	1,815	499	0	1	19	479
Precinct 1152/1153	393	237	1,815	654	0	1	23	630
Precinct 7001 - Election Day	49	10	752	59	0	0	0	59
Precinct 7001 - Vote By Mail	168	58	752	231	0	0	5	226
Precinct 7001	217	68	752	290	0	0	5	285
Precinct 7002 - Election Day	50	10	659	61	0	0	1	60
Precinct 7002 - Vote By Mail	96	54	659	151	0	0	1	150
Precinct 7002	146	64	659	212	0	0	2	210
Precinct 7003/7004 - Election Day	177	55	1,755	233	0	0	1	232
Precinct 7003/7004 - Vote By Mail	457	143	1,755	606	0	0	6	600
Precinct 7003/7004	634	198	1,755	839	0	0	7	832
Precinct 7005 - Election Day	105	17	850	124	0	0	2	122
Precinct 7005 - Vote By Mail	202	77	850	280	0	0	1	279
Precinct 7005	307	94	850	404	0	0	3	401
Precinct 7006 - Election Day	96	36	921	135	0	0	3	132
Precinct 7006 - Vote By Mail	197	60	921	263	0	0	6	257
Precinct 7006	293	96	921	398	0	0	9	389
Precinct 7007/7008 - Election Day	206	55	1,821	269	0	0	8	261
