Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	143,055	57,974	495,050	206,340	0	42	5,269	201,029
All Precincts - Election Day	44,590	13,399	495,050	59,414	0	11	1,414	57,989
All Precincts - Vote By Mail	98,465	44,575	495,050	146,926	0	31	3,855	143,040
Precinct 1101 - Election Day	37	15	557	54	0	0	2	52
Precinct 1101 - Vote By Mail	108	54	557	166	0	0	4	162
Precinct 1101	145	69	557	220	0	0	6	214
Precinct 1102 - Election Day	100	43	994	145	0	0	2	143
Precinct 1102 - Vote By Mail	175	125	994	304	0	0	4	300
Precinct 1102	275	168	994	449	0	0	6	443
Precinct 1103 - Election Day	83	27	962	111	0	0	1	110
Precinct 1103 - Vote By Mail	171	108	962	283	0	0	4	279
Precinct 1103	254	135	962	394	0	0	5	389
Precinct 1104/1105 - Election Day	75	27	1,012	109	0	0	7	102
Precinct 1104/1105 - Vote By Mail	187	80	1,012	271	0	0	4	267
Precinct 1104/1105	262	107	1,012	380	0	0	11	369
Precinct 1106/1107 - Election Day	124	42	1,505	168	0	0	2	166
Precinct 1106/1107 - Vote By Mail	240	190	1,505	435	0	0	5	430
Precinct 1106/1107	364	232	1,505	603	0	0	7	596
Precinct 1108 - Election Day	74	20	908	95	0	0	1	94
Precinct 1108 - Vote By Mail	161	99	908	272	0	0	12	260
Precinct 1108	235	119	908	367	0	0	13	354
Precinct 1109 - Election Day	69	21	805	93	0	0	3	90
Precinct 1109 - Vote By Mail	132	94	805	233	0	0	7	226
Precinct 1109	201	115	805	326	0	0	10	316
Precinct 1111 - Election Day	75	30	1,025	106	0	0	1	105
Precinct 1111 - Vote By Mail	158	139	1,025	303	0	0	6	297
Precinct 1111	233	169	1,025	409	0	0	7	402
Precinct 1112 - Election Day	47	17	770	65	0	0	1	64
Precinct 1112 - Vote By Mail	139	75	770	217	0	0	3	214
Precinct 1112	186	92	770	282	0	0	4	278
Precinct 1114/1113 - Election Day	97	28	1,741	129	0	0	4	125
