Subtotal Area	SUZY LOFTUS	LEIF DAUTCH	NANCY TUNG	CHESA BOUDIN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7503	84	41	46	88	725	283	0	0	24	0	259	0
Precinct 7504/7501 - Election Day	46	15	19	31	1,019	121	0	0	10	0	111	0
Precinct 7504/7501 - Vote By Mail	103	47	53	79	1,019	308	0	1	25	0	282	0
Precinct 7504/7501	149	62	72	110	1,019	429	0	1	35	0	393	0
Precinct 7505 - Election Day	47	9	10	28	851	101	0	0	7	0	94	0
Precinct 7505 - Vote By Mail	159	45	63	61	851	363	0	0	35	0	328	0
Precinct 7505	206	54	73	89	851	464	0	0	42	0	422	0
Precinct 7506/7507 - Election Day	53	18	24	82	1,913	188	0	0	11	0	177	0
Precinct 7506/7507 - Vote By Mail	161	52	73	187	1,913	514	0	1	40	0	473	0
Precinct 7506/7507	214	70	97	269	1,913	702	0	1	51	0	650	0
Precinct 7508 - Election Day	25	13	16	32	720	96	0	0	10	0	86	0
Precinct 7508 - Vote By Mail	94	45	56	64	720	286	0	1	26	0	259	0
Precinct 7508	119	58	72	96	720	382	0	1	36	0	345	0
Precinct 7509/7511 - Election Day	42	11	13	54	914	128	0	0	8	0	120	0
Precinct 7509/7511 - Vote By Mail	99	53	44	68	914	287	0	2	21	0	264	0
Precinct 7509/7511	141	64	57	122	914	415	0	2	29	0	384	0
Precinct 7512 - Election Day	25	17	10	17	588	78	0	0	9	0	69	0
Precinct 7512 - Vote By Mail	53	49	30	59	588	207	0	0	16	0	191	0
Precinct 7512	78	66	40	76	588	285	0	0	25	0	260	0
Precinct 7513 - Election Day	27	8	6	52	784	101	0	1	7	0	93	0
Precinct 7513 - Vote By Mail	50	31	22	68	784	194	0	1	22	0	171	0
Precinct 7513	77	39	28	120	784	295	0	2	29	0	264	0
Precinct 7514 - Election Day	40	3	9	22	901	87	0	0	13	0	74	0
Precinct 7514 - Vote By Mail	88	26	32	61	901	234	0	2	25	0	207	0
Precinct 7514	128	29	41	83	901	321	0	2	38	0	281	0
Precinct 7515 - Election Day	42	9	5	35	852	97	0	0	6	0	91	0
Precinct 7515 - Vote By Mail	69	24	42	90	852	241	0	1	15	0	225	0
Precinct 7515	111	33	47	125	852	338	0	1	21	0	316	0
Precinct 7516 - Election Day	33	10	20	42	906	112	0	0	7	0	105	0
Precinct 7516 - Vote By Mail	120	52	60	101	906	359	0	1	25	0	333	0
Precinct 7516	153	62	80	143	906	471	0	1	32	0	438	0
Precinct 7518/7517 - Election Day	64	21	24	206	1,754	328	0	0	13	0	315	0
Precinct 7518/7517 - Vote By Mail	164	50	50	265	1,754	563	0	1	33	0	529	0
Precinct 7518/7517	228	71	74	471	1,754	891	0	1	46	0	844	0
Precinct 7519 - Election Day	21	8	5	74	709	116	0	0	8	0	108	0
Precinct 7519 - Vote By Mail	61	15	17	92	709	204	0	0	19	0	185	0
Precinct 7519	82	23	22	166	709	320	0	0	27	0	293	0
Precinct 7521 - Election Day	34	15	8	67	761	135	0	0	11	0	124	0
Precinct 7521 - Vote By Mail	83	23	16	110	761	248	0	0	16	0	232	0
Precinct 7521	117	38	24	177	761	383	0	0	27	0	356	0
Precinct 7522/7523 - Election Day	75	22	17	163	1,464	290	0	0	13	0	277	0
Precinct 7522/7523 - Vote By Mail	119	39	37	209	1,464	424	0	0	20	0	404	0
Precinct 7522/7523	194	61	54	372	1,464	714	0	0	33	0	681	0
Precinct 7524 - Election Day	36	5	6	46	606	98	0	0	5	0	93	0
Precinct 7524 - Vote By Mail	43	14	22	76	606	167	0	0	12	0	155	0
Precinct 7524	79	19	28	122	606	265	0	0	17	0	248	0
Precinct 7525 - Election Day	29	4	8	52	762	97	0	0	4	0	93	0
Precinct 7525 - Vote By Mail	67	16	15	82	762	191	0	0	11	0	180	0
Precinct 7525	96	20	23	134	762	288	0	0	15	0	273	0
Precinct 7526 - Election Day	31	17	12	58	974	125	0	0	7	0	118	0
Precinct 7526 - Vote By Mail	92	43	35	98	974	297	0	0	29	0	268	0
Precinct 7526	123	60	47	156	974	422	0	0	36	0	386	0
Precinct 7527/7528 - Election Day	38	15	8	49	689	120	0	0	10	0	110	0
Precinct 7527/7528 - Vote By Mail	55	27	27	84	689	215	0	3	19	0	193	0
Precinct 7527/7528	93	42	35	133	689	335	0	3	29	0	303	0
Precinct 7529 - Election Day	38	9	13	98	906	172	0	0	14	0	158	0
Precinct 7529 - Vote By Mail	95	25	28	126	906	295	0	0	21	0	274	0
Precinct 7529	133	34	41	224	906	467	0	0	35	0	432	0
Precinct 7531 - Election Day	21	12	3	70	839	116	0	0	10	0	106	0
Precinct 7531 - Vote By Mail	86	17	24	137	839	276	0	0	12	0	264	0
Precinct 7531	107	29	27	207	839	392	0	0	22	0	370	0
Precinct 7532 - Election Day	24	17	10	56	792	114	0	0	7	0	107	0
Precinct 7532 - Vote By Mail	64	30	27	87	792	221	0	1	12	0	208	0
Precinct 7532	88	47	37	143	792	335	0	1	19	0	315	0
Precinct 7533 - Election Day	40	19	10	123	936	201	0	0	9	0	192	0
Precinct 7533 - Vote By Mail	73	31	21	127	936	275	0	1	22	0	252	0
Precinct 7533	113	50	31	250	936	476	0	1	31	0	444	0
Precinct 7534 - Election Day	36	7	10	93	881	153	0	0	7	0	146	0
Precinct 7534 - Vote By Mail	71	23	21	107	881	237	0	0	15	0	222	0
Precinct 7534	107	30	31	200	881	390	0	0	22	0	368	0
Precinct 7536/7535 - Election Day	70	27	11	195	1,594	318	0	0	15	0	303	0
Precinct 7536/7535 - Vote By Mail	150	54	30	237	1,594	495	0	0	24	0	471	0
Precinct 7536/7535	220	81	41	432	1,594	813	0	0	39	0	774	0
Precinct 7537/7538 - Election Day	68	21	12	186	1,472	301	0	0	14	0	287	0
Precinct 7537/7538 - Vote By Mail	149	34	27	203	1,472	437	0	0	24	0	413	0
Precinct 7537/7538	217	55	39	389	1,472	738	0	0	38	0	700	0
Precinct 7539 - Election Day	54	8	11	145	906	233	0	0	15	0	218	0
Precinct 7539 - Vote By Mail	92	25	13	131	906	279	0	0	18	0	261	0
Precinct 7539	146	33	24	276	906	512	0	0	33	0	479	0
Precinct 7541 - Election Day	26	8	10	84	769	136	0	0	8	0	128	0
Precinct 7541 - Vote By Mail	75	26	31	100	769	247	0	0	15	0	232	0
Precinct 7541	101	34	41	184	769	383	0	0	23	0	360	0
Precinct 7543/7542 - Election Day	60	17	21	146	1,718	252	0	0	8	0	244	0
Precinct 7543/7542 - Vote By Mail	167	41	35	278	1,718	549	0	2	26	0	521	0
Precinct 7543/7542	227	58	56	424	1,718	801	0	2	34	0	765	0
Precinct 7544 - Election Day	43	12	10	79	892	152	0	1	7	0	144	0
Precinct 7544 - Vote By Mail	70	29	34	129	892	281	0	0	19	0	262	0
Precinct 7544	113	41	44	208	892	433	0	1	26	0	406	0
Precinct 7545 - Election Day	31	15	8	78	877	139	0	1	6	0	132	0
Precinct 7545 - Vote By Mail	77	36	33	109	877	277	0	1	21	0	255	0
Precinct 7545	108	51	41	187	877	416	0	2	27	0	387	0
Precinct 7546/7547 - Election Day	79	38	22	187	1,900	340	0	0	14	0	326	0
Precinct 7546/7547 - Vote By Mail	183	55	46	357	1,900	670	0	0	29	0	641	0
Precinct 7546/7547	262	93	68	544	1,900	1,010	0	0	43	0	967	0
Precinct 7548 - Election Day	61	14	10	101	1,027	198	0	0	12	0	186	0
Precinct 7548 - Vote By Mail	111	27	19	142	1,027	322	0	1	22	0	299	0
Precinct 7548	172	41	29	243	1,027	520	0	1	34	0	485	0
Precinct 7549 - Election Day	38	5	9	77	799	135	0	0	6	0	129	0
Precinct 7549 - Vote By Mail	83	33	27	125	799	286	0	0	18	0	268	0
Precinct 7549	121	38	36	202	799	421	0	0	24	0	397	0
Precinct 7552 - Election Day	36	9	13	70	685	136	0	1	7	0	128	0
Precinct 7552 - Vote By Mail	78	17	21	87	685	213	0	0	10	0	203	0
Precinct 7552	114	26	34	157	685	349	0	1	17	0	331	0
Precinct 7553 MB - Election Day	1	0	0	0	182	1	0	0	0	0	1	0
Precinct 7553 MB - Vote By Mail	22	8	12	34	182	81	0	0	5	0	76	0
Precinct 7553 MB	23	8	12	34	182	82	0	0	5	0	77	0
Precinct 7554 - Election Day	56	10	6	53	795	135	0	0	10	0	125	0
Precinct 7554 - Vote By Mail	131	26	23	107	795	311	0	1	23	0	287	0
Precinct 7554	187	36	29	160	795	446	0	1	33	0	412	0
Precinct 7555/7551 - Election Day	124	31	18	148	1,584	340	0	0	19	0	321	0
Precinct 7555/7551 - Vote By Mail	195	52	43	243	1,584	565	0	2	30	0	533	0
Precinct 7555/7551	319	83	61	391	1,584	905	0	2	49	0	854	0
Precinct 7556/7557 - Election Day	54	13	13	63	958	147	0	0	4	0	143	0
Precinct 7556/7557 - Vote By Mail	176	35	36	129	958	400	0	0	24	0	376	0
Precinct 7556/7557	230	48	49	192	958	547	0	0	28	0	519	0
Precinct 7601 - Election Day	21	7	9	34	677	81	0	0	10	0	71	0
Precinct 7601 - Vote By Mail	37	30	20	52	677	151	0	0	12	0	139	0
Precinct 7601	58	37	29	86	677	232	0	0	22	0	210	0
Precinct 7602/7603 - Election Day	39	21	18	88	1,659	176	0	0	10	0	166	0
Precinct 7602/7603 - Vote By Mail	81	64	61	153	1,659	383	0	1	23	0	359	0
Precinct 7602/7603	120	85	79	241	1,659	559	0	1	33	0	525	0
Precinct 7605/7609 - Election Day	21	23	17	47	1,508	114	0	0	6	0	108	0
Precinct 7605/7609 - Vote By Mail	77	121	76	125	1,508	444	0	10	35	0	399	0
Precinct 7605/7609	98	144	93	172	1,508	558	0	10	41	0	507	0
Precinct 7606 - Election Day	15	13	11	33	887	74	0	0	2	0	72	0
Precinct 7606 - Vote By Mail	48	40	22	59	887	180	0	0	11	0	169	0
Precinct 7606	63	53	33	92	887	254	0	0	13	0	241	0
Precinct 7607 - Election Day	11	13	13	41	900	86	0	1	7	0	78	0
Precinct 7607 - Vote By Mail	48	48	39	81	900	236	0	1	19	0	216	0
Precinct 7607	59	61	52	122	900	322	0	2	26	0	294	0
Precinct 7608/7604 - Election Day	26	14	17	39	1,300	102	0	1	5	0	96	0
Precinct 7608/7604 - Vote By Mail	56	59	62	75	1,300	279	0	1	26	0	252	0
Precinct 7608/7604	82	73	79	114	1,300	381	0	2	31	0	348	0
Precinct 7611 - Election Day	16	16	8	21	763	65	0	0	4	0	61	0
Precinct 7611 - Vote By Mail	36	38	39	45	763	190	0	6	26	0	158	0
Precinct 7611	52	54	47	66	763	255	0	6	30	0	219	0
Precinct 7613/7612 - Election Day	35	19	20	56	1,421	139	0	0	9	0	130	0
Precinct 7613/7612 - Vote By Mail	79	88	70	101	1,421	372	0	3	31	0	338	0
Precinct 7613/7612	114	107	90	157	1,421	511	0	3	40	0	468	0
Precinct 7614 - Election Day	17	10	15	33	932	83	0	0	8	0	75	0
Precinct 7614 - Vote By Mail	37	29	32	76	932	188	0	0	14	0	174	0
Precinct 7614	54	39	47	109	932	271	0	0	22	0	249	0
Precinct 7615 - Election Day	11	11	8	23	745	61	0	1	7	0	53	0
Precinct 7615 - Vote By Mail	30	38	34	41	745	153	0	1	9	0	143	0
Precinct 7615	41	49	42	64	745	214	0	2	16	0	196	0
Precinct 7616/7654 - Election Day	25	16	8	37	1,246	90	0	0	4	0	86	0
Precinct 7616/7654 - Vote By Mail	105	53	53	105	1,246	348	0	2	30	0	316	0
Precinct 7616/7654	130	69	61	142	1,246	438	0	2	34	0	402	0
Precinct 7617 - Election Day	5	11	6	23	737	49	0	0	4	0	45	0
Precinct 7617 - Vote By Mail	45	39	41	53	737	196	0	4	14	0	178	0
Precinct 7617	50	50	47	76	737	245	0	4	18	0	223	0
Precinct 7618 - Election Day	15	9	12	43	873	82	0	0	3	0	79	0
Precinct 7618 - Vote By Mail	50	39	43	83	873	237	0	0	22	0	215	0
Precinct 7618	65	48	55	126	873	319	0	0	25	0	294	0
Precinct 7619 - Election Day	18	9	9	49	1,055	89	0	0	4	0	85	0
Precinct 7619 - Vote By Mail	69	68	39	109	1,055	301	0	0	16	0	285	0
Precinct 7619	87	77	48	158	1,055	390	0	0	20	0	370	0
Precinct 7621 - Election Day	30	11	19	25	1,064	89	0	0	4	0	85	0
Precinct 7621 - Vote By Mail	74	44	73	79	1,064	290	0	1	19	0	270	0
Precinct 7621	104	55	92	104	1,064	379	0	1	23	0	355	0
Precinct 7622 - Election Day	13	15	13	25	923	69	0	0	3	0	66	0
Precinct 7622 - Vote By Mail	31	31	25	55	923	159	0	1	16	0	142	0
Precinct 7622	44	46	38	80	923	228	0	1	19	0	208	0
Precinct 7623 - Election Day	15	9	9	43	965	81	0	1	4	0	76	0
Precinct 7623 - Vote By Mail	31	38	36	66	965	188	0	1	16	0	171	0
Precinct 7623	46	47	45	109	965	269	0	2	20	0	247	0
Precinct 7624 - Election Day	14	11	6	23	835	59	0	1	4	0	54	0
Precinct 7624 - Vote By Mail	29	45	24	57	835	173	0	3	15	0	155	0
Precinct 7624	43	56	30	80	835	232	0	4	19	0	209	0
Precinct 7625 - Election Day	13	8	7	11	809	40	0	0	1	0	39	0
Precinct 7625 - Vote By Mail	105	106	72	67	809	398	0	6	42	0	350	0
Precinct 7625	118	114	79	78	809	438	0	6	43	0	389	0
Precinct 7626 - Election Day	20	10	13	15	1,037	61	0	0	3	0	58	0
Precinct 7626 - Vote By Mail	82	57	66	67	1,037	294	0	1	21	0	272	0
Precinct 7626	102	67	79	82	1,037	355	0	1	24	0	330	0
Precinct 7628 - Election Day	21	9	9	55	933	98	0	0	4	0	94	0
Precinct 7628 - Vote By Mail	52	26	35	99	933	231	0	0	19	0	212	0
Precinct 7628	73	35	44	154	933	329	0	0	23	0	306	0
Precinct 7629 - Election Day	16	13	6	38	847	75	0	0	2	0	73	0
Precinct 7629 - Vote By Mail	51	40	19	57	847	188	0	1	20	0	167	0
Precinct 7629	67	53	25	95	847	263	0	1	22	0	240	0
Precinct 7632 - Election Day	21	9	13	47	1,112	95	0	0	5	0	90	0
Precinct 7632 - Vote By Mail	57	40	39	105	1,112	258	0	0	17	0	241	0
Precinct 7632	78	49	52	152	1,112	353	0	0	22	0	331	0
Precinct 7633/7631 - Election Day	37	32	26	53	1,902	153	0	1	4	0	148	0
Precinct 7633/7631 - Vote By Mail	130	110	105	129	1,902	514	0	4	36	0	474	0
Precinct 7633/7631	167	142	131	182	1,902	667	0	5	40	0	622	0
Precinct 7634 - Election Day	20	14	20	25	864	86	0	1	6	0	79	0
Precinct 7634 - Vote By Mail	58	61	55	61	864	254	0	3	16	0	235	0
Precinct 7634	78	75	75	86	864	340	0	4	22	0	314	0
Precinct 7635 - Election Day	18	8	9	23	821	60	0	0	2	0	58	0
Precinct 7635 - Vote By Mail	58	40	33	79	821	221	0	0	11	0	210	0
Precinct 7635	76	48	42	102	821	281	0	0	13	0	268	0
Precinct 7636 - Election Day	23	7	16	25	945	79	0	1	7	0	71	0
Precinct 7636 - Vote By Mail	65	37	54	51	945	233	0	2	24	0	207	0
Precinct 7636	88	44	70	76	945	312	0	3	31	0	278	0
Precinct 7637 - Election Day	11	10	14	17	841	56	0	0	4	0	52	0
Precinct 7637 - Vote By Mail	64	54	55	35	841	231	0	0	23	0	208	0
Precinct 7637	75	64	69	52	841	287	0	0	27	0	260	0
Precinct 7638/7656 - Election Day	16	24	33	12	1,467	89	0	0	4	0	85	0
Precinct 7638/7656 - Vote By Mail	151	89	120	53	1,467	460	0	1	46	0	413	0
Precinct 7638/7656	167	113	153	65	1,467	549	0	1	50	0	498	0
Precinct 7639/7641 - Election Day	40	28	26	36	1,935	137	0	0	7	0	130	0
Precinct 7639/7641 - Vote By Mail	163	117	151	109	1,935	596	0	1	55	0	540	0
Precinct 7639/7641	203	145	177	145	1,935	733	0	1	62	0	670	0
Precinct 7642 - Election Day	21	11	16	17	946	68	0	0	3	0	65	0
Precinct 7642 - Vote By Mail	48	49	38	50	946	209	0	0	24	0	185	0
Precinct 7642	69	60	54	67	946	277	0	0	27	0	250	0
Precinct 7643 - Election Day	21	19	15	27	927	87	0	0	5	0	82	0
Precinct 7643 - Vote By Mail	82	64	69	65	927	308	0	3	25	0	280	0
Precinct 7643	103	83	84	92	927	395	0	3	30	0	362	0
Precinct 7644 - Election Day	24	11	24	22	1,111	87	0	0	6	0	81	0
Precinct 7644 - Vote By Mail	79	43	45	62	1,111	250	0	0	21	0	229	0
Precinct 7644	103	54	69	84	1,111	337	0	0	27	0	310	0
Precinct 7645 - Election Day	10	7	13	9	626	42	0	0	3	0	39	0
Precinct 7645 - Vote By Mail	72	46	49	28	626	218	0	0	23	0	195	0
Precinct 7645	82	53	62	37	626	260	0	0	26	0	234	0
Precinct 7646 - Election Day	15	5	9	27	1,090	60	0	0	4	0	56	0
Precinct 7646 - Vote By Mail	122	58	67	69	1,090	346	0	0	30	0	316	0
Precinct 7646	137	63	76	96	1,090	406	0	0	34	0	372	0
Precinct 7647 - Election Day	15	8	9	22	968	55	0	0	1	0	54	0
Precinct 7647 - Vote By Mail	33	18	19	48	968	136	0	4	14	0	118	0
Precinct 7647	48	26	28	70	968	191	0	4	15	0	172	0
Precinct 7648 MB - Election Day	0	0	0	0	2	0	0	0	0	0	0	0
Precinct 7648 MB - Vote By Mail	0	0	0	0	2	0	0	0	0	0	0	0
Precinct 7648 MB	0	0	0	0	2	0	0	0	0	0	0	0
Precinct 7649 - Election Day	20	6	8	22	888	58	0	0	2	0	56	0
Precinct 7649 - Vote By Mail	64	44	31	55	888	212	0	0	18	0	194	0
Precinct 7649	84	50	39	77	888	270	0	0	20	0	250	0
Precinct 7651 - Election Day	10	10	11	18	830	50	0	0	1	0	49	0
Precinct 7651 - Vote By Mail	55	36	54	47	830	206	0	1	13	0	192	0
Precinct 7651	65	46	65	65	830	256	0	1	14	0	241	0
Precinct 7652 - Election Day	12	7	9	19	596	48	0	0	1	0	47	0
Precinct 7652 - Vote By Mail	48	23	29	42	596	152	0	0	10	0	142	0
Precinct 7652	60	30	38	61	596	200	0	0	11	0	189	0
Precinct 7653/7657 - Election Day	23	14	17	21	1,373	79	0	0	4	0	75	0
Precinct 7653/7657 - Vote By Mail	103	63	85	82	1,373	366	0	0	33	0	333	0
Precinct 7653/7657	126	77	102	103	1,373	445	0	0	37	0	408	0
Precinct 7655/7627 - Election Day	19	9	13	18	1,150	63	0	0	4	0	59	0
Precinct 7655/7627 - Vote By Mail	89	54	62	49	1,150	270	0	0	16	0	254	0
Precinct 7655/7627	108	63	75	67	1,150	333	0	0	20	0	313	0
Precinct 7701 - Election Day	37	14	22	54	1,035	139	0	1	11	0	127	0
Precinct 7701 - Vote By Mail	108	49	72	112	1,035	372	0	0	31	0	341	0
Precinct 7701	145	63	94	166	1,035	511	0	1	42	0	468	0
Precinct 7703 MB - Election Day	0	1	0	0	178	1	0	0	0	0	1	0
Precinct 7703 MB - Vote By Mail	17	8	8	13	178	54	0	0	8	0	46	0
Precinct 7703 MB	17	9	8	13	178	55	0	0	8	0	47	0
Precinct 7704/7702 - Election Day	90	30	47	64	1,723	249	0	1	17	0	231	0
Precinct 7704/7702 - Vote By Mail	232	72	166	130	1,723	632	0	0	32	0	600	0
Precinct 7704/7702	322	102	213	194	1,723	881	0	1	49	0	831	0
Precinct 7705 - Election Day	41	8	26	13	570	91	0	0	3	0	88	0
Precinct 7705 - Vote By Mail	89	31	52	37	570	219	0	0	10	0	209	0
Precinct 7705	130	39	78	50	570	310	0	0	13	0	297	0
Precinct 7706 - Election Day	56	28	27	35	839	151	0	1	4	0	146	0
Precinct 7706 - Vote By Mail	128	54	62	66	839	337	0	0	27	0	310	0
Precinct 7706	184	82	89	101	839	488	0	1	31	0	456	0
Precinct 7707 - Election Day	60	16	24	36	861	139	0	0	3	0	136	0
Precinct 7707 - Vote By Mail	125	43	79	80	861	344	0	0	17	0	327	0
Precinct 7707	185	59	103	116	861	483	0	0	20	0	463	0
Precinct 7708 - Election Day	38	23	14	41	881	116	0	0	0	0	116	0
Precinct 7708 - Vote By Mail	116	46	94	79	881	358	0	0	23	0	335	0
Precinct 7708	154	69	108	120	881	474	0	0	23	0	451	0
Precinct 7709 - Election Day	17	4	8	44	395	75	0	0	2	0	73	0
Precinct 7709 - Vote By Mail	51	11	26	54	395	149	0	1	6	0	142	0
Precinct 7709	68	15	34	98	395	224	0	1	8	0	215	0
Precinct 7712/7711 - Election Day	41	23	26	104	1,308	198	0	0	4	0	194	0
Precinct 7712/7711 - Vote By Mail	125	53	100	137	1,308	453	0	0	38	0	415	0
Precinct 7712/7711	166	76	126	241	1,308	651	0	0	42	0	609	0
Precinct 7801 - Election Day	53	16	11	58	968	138	0	0	0	0	138	0
Precinct 7801 - Vote By Mail	151	30	34	127	968	365	0	0	23	0	342	0
Precinct 7801	204	46	45	185	968	503	0	0	23	0	480	0
Precinct 7802 - Election Day	44	6	7	71	788	131	0	0	3	0	128	0
Precinct 7802 - Vote By Mail	107	36	32	80	788	275	0	0	20	0	255	0
Precinct 7802	151	42	39	151	788	406	0	0	23	0	383	0
Precinct 7803 - Election Day	28	12	6	35	822	85	0	0	4	0	81	0
Precinct 7803 - Vote By Mail	151	54	35	113	822	373	0	0	20	0	353	0
Precinct 7803	179	66	41	148	822	458	0	0	24	0	434	0
Precinct 7805/7804 - Election Day	82	28	26	140	1,683	283	0	0	7	0	276	0
Precinct 7805/7804 - Vote By Mail	238	69	58	228	1,683	632	0	0	39	0	593	0
Precinct 7805/7804	320	97	84	368	1,683	915	0	0	46	0	869	0
Precinct 7807 - Election Day	41	15	16	76	796	155	0	0	7	0	148	0
Precinct 7807 - Vote By Mail	68	28	17	117	796	243	0	0	13	0	230	0
Precinct 7807	109	43	33	193	796	398	0	0	20	0	378	0
Precinct 7808/7806 - Election Day	58	17	27	133	1,377	244	0	0	9	0	235	0
Precinct 7808/7806 - Vote By Mail	132	48	42	214	1,377	462	0	0	26	0	436	0
Precinct 7808/7806	190	65	69	347	1,377	706	0	0	35	0	671	0
Precinct 7809 - Election Day	28	7	3	69	770	112	0	0	5	0	107	0
Precinct 7809 - Vote By Mail	55	32	28	119	770	249	0	1	14	0	234	0
Precinct 7809	83	39	31	188	770	361	0	1	19	0	341	0
Precinct 7811 - Election Day	29	6	9	76	726	126	0	0	6	0	120	0
Precinct 7811 - Vote By Mail	52	12	21	106	726	199	0	0	8	0	191	0
Precinct 7811	81	18	30	182	726	325	0	0	14	0	311	0
Precinct 7812 - Election Day	33	13	14	63	871	132	0	0	9	0	123	0
Precinct 7812 - Vote By Mail	76	37	34	122	871	285	0	0	16	0	269	0
Precinct 7812	109	50	48	185	871	417	0	0	25	0	392	0
Precinct 7813 - Election Day	37	14	15	107	1,037	179	0	0	6	0	173	0
Precinct 7813 - Vote By Mail	93	38	32	172	1,037	347	0	1	11	0	335	0
Precinct 7813	130	52	47	279	1,037	526	0	1	17	0	508	0
Precinct 7814 - Election Day	13	9	8	85	887	122	0	1	6	0	115	0
Precinct 7814 - Vote By Mail	43	22	28	105	887	215	0	2	15	0	198	0
Precinct 7814	56	31	36	190	887	337	0	3	21	0	313	0
Precinct 7815/7816 - Election Day	64	24	17	111	1,779	231	0	0	15	0	216	0
Precinct 7815/7816 - Vote By Mail	252	80	53	236	1,779	662	0	0	41	0	621	0
Precinct 7815/7816	316	104	70	347	1,779	893	0	0	56	0	837	0
Precinct 7817/7818 - Election Day	75	31	16	161	1,641	291	0	0	8	0	283	0
Precinct 7817/7818 - Vote By Mail	173	59	49	277	1,641	586	0	0	28	0	558	0
Precinct 7817/7818	248	90	65	438	1,641	877	0	0	36	0	841	0
Precinct 7819/7827 - Election Day	45	17	20	141	1,585	230	0	1	6	0	223	0
Precinct 7819/7827 - Vote By Mail	133	66	59	225	1,585	500	0	0	17	0	483	0
Precinct 7819/7827	178	83	79	366	1,585	730	0	1	23	0	706	0
Precinct 7821 - Election Day	54	19	15	76	965	168	0	0	4	0	164	0
Precinct 7821 - Vote By Mail	135	44	40	134	965	372	0	0	19	0	353	0
Precinct 7821	189	63	55	210	965	540	0	0	23	0	517	0
Precinct 7822/7823 - Election Day	71	29	23	189	1,748	322	0	1	9	0	312	0
Precinct 7822/7823 - Vote By Mail	211	79	56	249	1,748	626	0	0	31	0	595	0
Precinct 7822/7823	282	108	79	438	1,748	948	0	1	40	0	907	0
Precinct 7824/7825 - Election Day	65	33	13	119	1,353	243	0	0	13	0	230	0
Precinct 7824/7825 - Vote By Mail	134	43	27	191	1,353	417	0	1	21	0	395	0
Precinct 7824/7825	199	76	40	310	1,353	660	0	1	34	0	625	0
Precinct 7826 - Election Day	42	10	10	75	661	140	0	0	3	0	137	0
Precinct 7826 - Vote By Mail	53	21	9	81	661	175	0	0	11	0	164	0
Precinct 7826	95	31	19	156	661	315	0	0	14	0	301	0
Precinct 7828 - Election Day	41	10	15	58	997	132	0	0	8	0	124	0
Precinct 7828 - Vote By Mail	117	34	37	117	997	326	0	0	21	0	305	0
Precinct 7828	158	44	52	175	997	458	0	0	29	0	429	0
Precinct 7829 - Election Day	55	14	7	54	884	134	0	0	4	0	130	0
Precinct 7829 - Vote By Mail	123	55	36	115	884	346	0	0	17	0	329	0
Precinct 7829	178	69	43	169	884	480	0	0	21	0	459	0
Precinct 7832 - Election Day	40	10	13	38	773	103	0	0	2	0	101	0
Precinct 7832 - Vote By Mail	106	35	23	116	773	291	0	1	10	0	280	0
Precinct 7832	146	45	36	154	773	394	0	1	12	0	381	0
Precinct 7834/7833 - Election Day	48	22	14	182	1,593	279	0	1	12	0	266	0
Precinct 7834/7833 - Vote By Mail	133	49	31	230	1,593	473	0	1	29	0	443	0
Precinct 7834/7833	181	71	45	412	1,593	752	0	2	41	0	709	0
Precinct 7835 - Election Day	31	13	11	37	847	97	0	0	5	0	92	0
Precinct 7835 - Vote By Mail	93	44	39	100	847	289	0	0	13	0	276	0
Precinct 7835	124	57	50	137	847	386	0	0	18	0	368	0
Precinct 7836 - Election Day	47	15	11	54	1,011	131	0	0	4	0	127	0
Precinct 7836 - Vote By Mail	125	41	63	123	1,011	375	0	0	23	0	352	0
Precinct 7836	172	56	74	177	1,011	506	0	0	27	0	479	0
Precinct 7837/7838 - Election Day	99	26	24	126	1,784	281	0	0	6	0	275	0
Precinct 7837/7838 - Vote By Mail	280	78	75	203	1,784	675	0	1	38	0	636	0
Precinct 7837/7838	379	104	99	329	1,784	956	0	1	44	0	911	0
Precinct 7839/7831 - Election Day	71	20	18	124	1,718	238	0	1	4	0	233	0
Precinct 7839/7831 - Vote By Mail	281	75	62	224	1,718	681	0	1	38	0	642	0
Precinct 7839/7831	352	95	80	348	1,718	919	0	2	42	0	875	0
Precinct 7841/7842 - Election Day	94	22	26	179	1,778	331	0	0	10	0	321	0
Precinct 7841/7842 - Vote By Mail	166	54	42	268	1,778	562	0	1	31	0	530	0
Precinct 7841/7842	260	76	68	447	1,778	893	0	1	41	0	851	0
Precinct 7843 - Election Day	35	11	6	92	719	148	0	0	4	0	144	0
Precinct 7843 - Vote By Mail	66	24	15	104	719	225	0	0	16	0	209	0
Precinct 7843	101	35	21	196	719	373	0	0	20	0	353	0
Precinct 7844 - Election Day	24	6	8	63	630	105	0	0	4	0	101	0
Precinct 7844 - Vote By Mail	51	17	16	110	630	199	0	0	5	0	194	0
Precinct 7844	75	23	24	173	630	304	0	0	9	0	295	0
Precinct 7845 - Election Day	50	14	19	49	870	137	0	0	5	0	132	0
Precinct 7845 - Vote By Mail	118	31	27	106	870	298	0	1	15	0	282	0
Precinct 7845	168	45	46	155	870	435	0	1	20	0	414	0
Precinct 7846 - Election Day	41	14	9	52	888	122	0	0	6	0	116	0
