Subtotal Area	JENNY LAM	KIRSTEN STROBEL	ROBERT K. COLEMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9221 - None	48	10	5	638	73	0	0	10	63	0
Precinct 9221 - None	142	22	20	638	244	0	0	60	184	0
Precinct 9221	190	32	25	638	317	0	0	70	247	0
Precinct 9222 - None	41	21	8	886	91	0	0	21	70	0
Precinct 9222 - None	132	38	23	886	262	0	1	68	193	0
Precinct 9222	173	59	31	886	353	0	1	89	263	0
Precinct 9223 - None	28	9	6	651	53	0	0	10	43	0
Precinct 9223 - None	110	24	16	651	188	0	0	38	150	0
Precinct 9223	138	33	22	651	241	0	0	48	193	0
Precinct 9224 - None	60	19	6	928	107	0	0	22	85	0
Precinct 9224 - None	165	40	14	928	270	0	1	50	219	0
Precinct 9224	225	59	20	928	377	0	1	72	304	0
Precinct 9226 - None	45	14	14	892	85	0	0	12	73	0
Precinct 9226 - None	127	34	13	892	233	0	1	58	174	0
Precinct 9226	172	48	27	892	318	0	1	70	247	0
Precinct 9227 - None	52	17	4	713	83	0	0	10	73	0
Precinct 9227 - None	181	27	20	713	292	0	0	64	228	0
Precinct 9227	233	44	24	713	375	0	0	74	301	0
Precinct 9228 - None	52	17	5	740	89	0	0	15	74	0
Precinct 9228 - None	143	33	19	740	240	0	0	45	195	0
Precinct 9228	195	50	24	740	329	0	0	60	269	0
Precinct 9229 - None	50	20	3	574	93	0	0	20	73	0
Precinct 9229 - None	105	29	14	574	190	0	0	42	148	0
Precinct 9229	155	49	17	574	283	0	0	62	221	0
Precinct 9231 - None	81	26	12	954	157	0	0	38	119	0
Precinct 9231 - None	170	24	16	954	272	0	1	61	210	0
Precinct 9231	251	50	28	954	429	0	1	99	329	0
Precinct 9232 - None	62	8	6	716	92	0	0	16	76	0
Precinct 9232 - None	163	22	16	716	238	0	0	37	201	0
Precinct 9232	225	30	22	716	330	0	0	53	277	0
Precinct 9233 - None	40	11	7	814	77	0	0	19	58	0
Precinct 9233 - None	164	36	8	814	260	0	2	50	208	0
Precinct 9233	204	47	15	814	337	0	2	69	266	0
Precinct 9234 - None	46	16	4	747	84	0	0	18	66	0
Precinct 9234 - None	124	25	12	747	216	0	1	54	161	0
Precinct 9234	170	41	16	747	300	0	1	72	227	0
Precinct 9235/9243 - None	92	21	18	1,439	164	0	0	33	131	0
Precinct 9235/9243 - None	264	64	22	1,439	443	0	0	93	350	0
Precinct 9235/9243	356	85	40	1,439	607	0	0	126	481	0
Precinct 9236 - None	36	11	5	659	65	0	1	12	52	0
Precinct 9236 - None	115	24	10	659	204	0	0	55	149	0
Precinct 9236	151	35	15	659	269	0	1	67	201	0
Precinct 9237 - None	51	13	9	874	86	0	0	13	73	0
Precinct 9237 - None	147	37	9	874	266	0	0	73	193	0
Precinct 9237	198	50	18	874	352	0	0	86	266	0
Precinct 9238/9246 - None	88	25	14	1,769	161	0	0	34	127	0
Precinct 9238/9246 - None	329	60	40	1,769	526	0	0	97	429	0
Precinct 9238/9246	417	85	54	1,769	687	0	0	131	556	0
Precinct 9239 - None	42	17	7	866	78	0	0	12	66	0
Precinct 9239 - None	176	32	23	866	288	0	0	57	231	0
Precinct 9239	218	49	30	866	366	0	0	69	297	0
Precinct 9241 - None	55	16	6	968	95	0	1	17	77	0
Precinct 9241 - None	172	37	18	968	282	0	3	52	227	0
Precinct 9241	227	53	24	968	377	0	4	69	304	0
Precinct 9242/9247 - None	80	25	22	1,845	158	0	0	31	127	0
Precinct 9242/9247 - None	327	64	29	1,845	509	0	2	87	420	0
Precinct 9242/9247	407	89	51	1,845	667	0	2	118	547	0
Precinct 9244 - None	67	17	5	881	99	0	0	10	89	0
Precinct 9244 - None	136	26	7	881	226	0	0	57	169	0
Precinct 9244	203	43	12	881	325	0	0	67	258	0
Precinct 9245/7206 - None	78	18	12	1,081	131	0	0	23	108	0
Precinct 9245/7206 - None	159	46	16	1,081	278	0	1	56	221	0
Precinct 9245/7206	237	64	28	1,081	409	0	1	79	329	0
Precinct 9248 - None	49	19	6	870	88	0	0	14	74	0
Precinct 9248 - None	147	22	14	870	243	0	0	60	183	0
Precinct 9248	196	41	20	870	331	0	0	74	257	0
Precinct 9251/9249 - None	148	51	22	1,887	283	0	1	61	221	0
Precinct 9251/9249 - None	335	76	29	1,887	559	0	3	116	440	0
Precinct 9251/9249	483	127	51	1,887	842	0	4	177	661	0
Precinct 9252 - None	52	7	11	918	83	0	0	13	70	0
Precinct 9252 - None	164	33	20	918	286	0	1	68	217	0
Precinct 9252	216	40	31	918	369	0	1	81	287	0
Precinct 9253 - None	55	17	7	752	103	0	0	24	79	0
Precinct 9253 - None	142	27	31	752	238	0	2	36	200	0
Precinct 9253	197	44	38	752	341	0	2	60	279	0
Precinct 9255/9258 - None	99	25	16	1,236	168	0	0	28	140	0
Precinct 9255/9258 - None	205	36	28	1,236	351	0	0	82	269	0
Precinct 9255/9258	304	61	44	1,236	519	0	0	110	409	0
Precinct 9256/9254 - None	93	21	7	1,373	150	0	0	29	121	0
Precinct 9256/9254 - None	252	48	25	1,373	408	0	3	80	325	0
Precinct 9256/9254	345	69	32	1,373	558	0	3	109	446	0
Precinct 9257 MB - None	1	1	0	311	3	0	0	1	2	0
Precinct 9257 MB - None	59	18	9	311	124	0	1	37	86	0
Precinct 9257 MB	60	19	9	311	127	0	1	38	88	0
Precinct 9401 - None	83	36	10	1,015	159	0	1	29	129	0
Precinct 9401 - None	144	32	23	1,015	259	0	0	60	199	0
Precinct 9401	227	68	33	1,015	418	0	1	89	328	0
Precinct 9402 - None	72	30	11	988	148	0	0	35	113	0
Precinct 9402 - None	159	39	29	988	287	0	1	59	227	0
Precinct 9402	231	69	40	988	435	0	1	94	340	0
Precinct 9404/9403 - None	105	32	21	1,814	207	0	0	49	158	0
Precinct 9404/9403 - None	331	41	42	1,814	502	0	2	86	414	0
Precinct 9404/9403	436	73	63	1,814	709	0	2	135	572	0
Precinct 9405 - None	66	19	11	770	113	0	1	16	96	0
Precinct 9405 - None	144	21	13	770	224	0	0	46	178	0
Precinct 9405	210	40	24	770	337	0	1	62	274	0
Precinct 9406 - None	72	16	10	873	133	0	0	35	98	0
Precinct 9406 - None	134	28	21	873	225	0	0	42	183	0
Precinct 9406	206	44	31	873	358	0	0	77	281	0
Precinct 9407 - None	70	23	11	887	126	0	0	22	104	0
Precinct 9407 - None	181	16	14	887	242	0	0	31	211	0
Precinct 9407	251	39	25	887	368	0	0	53	315	0
Precinct 9408 - None	68	21	11	834	129	0	0	29	100	0
Precinct 9408 - None	130	21	14	834	204	0	0	39	165	0
Precinct 9408	198	42	25	834	333	0	0	68	265	0
Precinct 9409 - None	58	15	7	591	105	0	0	25	80	0
Precinct 9409 - None	88	15	10	591	133	0	0	20	113	0
Precinct 9409	146	30	17	591	238	0	0	45	193	0
Precinct 9411/9412 - None	131	46	31	1,842	255	0	1	46	208	0
Precinct 9411/9412 - None	310	61	40	1,842	523	0	3	109	411	0
Precinct 9411/9412	441	107	71	1,842	778	0	4	155	619	0
Precinct 9413 - None	55	12	12	920	102	0	0	23	79	0
Precinct 9413 - None	163	26	15	920	281	0	1	76	204	0
Precinct 9413	218	38	27	920	383	0	1	99	283	0
Precinct 9415 - None	41	16	7	779	79	0	0	15	64	0
Precinct 9415 - None	171	24	17	779	255	0	0	43	212	0
Precinct 9415	212	40	24	779	334	0	0	58	276	0
Precinct 9416 - None	88	27	9	988	152	0	0	28	124	0
Precinct 9416 - None	187	27	23	988	279	0	2	40	237	0
Precinct 9416	275	54	32	988	431	0	2	68	361	0
Precinct 9418/9417 - None	121	27	15	1,561	201	0	1	37	163	0
Precinct 9418/9417 - None	333	49	43	1,561	514	0	1	88	425	0
Precinct 9418/9417	454	76	58	1,561	715	0	2	125	588	0
Precinct 9419/9414 - None	100	27	19	1,790	174	0	0	28	146	0
Precinct 9419/9414 - None	367	69	31	1,790	586	0	3	116	467	0
Precinct 9419/9414	467	96	50	1,790	760	0	3	144	613	0
Precinct 9421 - None	45	13	7	917	94	0	0	29	65	0
Precinct 9421 - None	183	29	19	917	283	0	0	52	231	0
Precinct 9421	228	42	26	917	377	0	0	81	296	0
Precinct 9422 - None	77	21	11	1,068	138	0	0	29	109	0
Precinct 9422 - None	212	36	30	1,068	330	0	1	51	278	0
Precinct 9422	289	57	41	1,068	468	0	1	80	387	0
Precinct 9423 - None	55	11	11	906	88	0	0	11	77	0
Precinct 9423 - None	169	37	19	906	264	0	1	38	225	0
Precinct 9423	224	48	30	906	352	0	1	49	302	0
Precinct 9424/9425 - None	92	26	13	1,949	182	0	1	50	131	0
Precinct 9424/9425 - None	434	66	41	1,949	637	0	0	96	541	0
Precinct 9424/9425	526	92	54	1,949	819	0	1	146	672	0
Precinct 9426 - None	43	20	8	832	83	0	1	11	71	0
Precinct 9426 - None	164	25	19	832	264	0	0	56	208	0
Precinct 9426	207	45	27	832	347	0	1	67	279	0
Precinct 9427 - None	74	17	6	964	116	0	0	19	97	0
Precinct 9427 - None	195	28	17	964	285	0	1	44	240	0
Precinct 9427	269	45	23	964	401	0	1	63	337	0
Precinct 9431/9429 - None	133	31	21	1,914	218	0	0	33	185	0
Precinct 9431/9429 - None	398	55	38	1,914	588	0	8	89	491	0
Precinct 9431/9429	531	86	59	1,914	806	0	8	122	676	0
Precinct 9432 - None	64	13	11	943	100	0	0	12	88	0
Precinct 9432 - None	193	13	20	943	268	0	2	40	226	0
Precinct 9432	257	26	31	943	368	0	2	52	314	0
Precinct 9433/9428 - None	80	30	19	1,923	152	0	0	23	129	0
Precinct 9433/9428 - None	409	53	23	1,923	609	0	2	122	485	0
Precinct 9433/9428	489	83	42	1,923	761	0	2	145	614	0
Precinct 9434 - None	71	14	11	982	118	0	0	22	96	0
Precinct 9434 - None	183	27	22	982	297	0	2	63	232	0
Precinct 9434	254	41	33	982	415	0	2	85	328	0
Precinct 9436 - None	75	14	18	1,057	123	0	0	16	107	0
Precinct 9436 - None	223	35	19	1,057	325	0	0	48	277	0
Precinct 9436	298	49	37	1,057	448	0	0	64	384	0
Precinct 9437 - None	54	15	9	908	95	0	0	17	78	0
Precinct 9437 - None	196	19	17	908	281	0	1	48	232	0
Precinct 9437	250	34	26	908	376	0	1	65	310	0
Precinct 9439/9438 - None	91	24	13	1,863	163	0	0	35	128	0
Precinct 9439/9438 - None	396	66	27	1,863	598	0	2	107	489	0
Precinct 9439/9438	487	90	40	1,863	761	0	2	142	617	0
Precinct 9441 - None	59	19	12	985	118	0	0	28	90	0
Precinct 9441 - None	204	28	18	985	316	0	1	65	250	0
Precinct 9441	263	47	30	985	434	0	1	93	340	0
Precinct 9442/9435 - None	147	40	19	2,015	249	0	0	43	206	0
Precinct 9442/9435 - None	346	71	44	2,015	565	0	3	101	461	0
Precinct 9442/9435	493	111	63	2,015	814	0	3	144	667	0
Precinct 9443/9444 - None	114	28	12	1,908	176	0	0	22	154	0
Precinct 9443/9444 - None	344	58	54	1,908	561	0	3	102	456	0
Precinct 9443/9444	458	86	66	1,908	737	0	3	124	610	0
Precinct 9445 - None	45	13	14	971	92	0	0	20	72	0
Precinct 9445 - None	196	38	27	971	306	0	0	45	261	0
Precinct 9445	241	51	41	971	398	0	0	65	333	0
Precinct 9446/9452 - None	125	38	27	1,940	230	0	0	40	190	0
Precinct 9446/9452 - None	384	68	39	1,940	621	0	1	129	491	0
Precinct 9446/9452	509	106	66	1,940	851	0	1	169	681	0
Precinct 9447 - None	65	22	11	889	122	0	1	23	98	0
Precinct 9447 - None	165	30	13	889	275	0	4	63	208	0
Precinct 9447	230	52	24	889	397	0	5	86	306	0
Precinct 9448 - None	51	20	19	936	105	0	0	15	90	0
Precinct 9448 - None	164	27	16	936	265	0	0	58	207	0
Precinct 9448	215	47	35	936	370	0	0	73	297	0
Precinct 9449 - None	53	11	7	862	86	0	0	15	71	0
Precinct 9449 - None	190	29	6	862	274	0	1	48	225	0
Precinct 9449	243	40	13	862	360	0	1	63	296	0
Precinct 9451 - None	23	6	4	437	41	0	0	8	33	0
Precinct 9451 - None	88	14	14	437	144	0	0	28	116	0
Precinct 9451	111	20	18	437	185	0	0	36	149	0
Precinct 9453 - None	37	9	3	520	57	0	0	8	49	0
Precinct 9453 - None	113	20	10	520	166	0	0	23	143	0
Precinct 9453	150	29	13	520	223	0	0	31	192	0
Precinct 9501 MB - None	1	0	0	147	2	0	0	1	1	0
Precinct 9501 MB - None	43	9	4	147	69	0	0	13	56	0
Precinct 9501 MB	44	9	4	147	71	0	0	14	57	0
Precinct 9502 MB - None	2	1	1	253	5	0	0	1	4	0
Precinct 9502 MB - None	72	10	8	253	104	0	0	14	90	0
Precinct 9502 MB	74	11	9	253	109	0	0	15	94	0
Precinct 9503/9504 - None	56	12	8	667	86	0	0	10	76	0
Precinct 9503/9504 - None	108	21	14	667	175	0	1	31	143	0
Precinct 9503/9504	164	33	22	667	261	0	1	41	219	0
Precinct 9505 - None	60	23	13	760	115	0	0	19	96	0
Precinct 9505 - None	151	26	22	760	246	0	1	46	199	0
Precinct 9505	211	49	35	760	361	0	1	65	295	0
Precinct 9506 - None	46	21	7	750	95	0	1	20	74	0
Precinct 9506 - None	114	22	16	750	186	0	0	34	152	0
Precinct 9506	160	43	23	750	281	0	1	54	226	0
Precinct 9507 - None	63	14	11	713	122	0	0	34	88	0
Precinct 9507 - None	112	22	21	713	210	0	0	55	155	0
Precinct 9507	175	36	32	713	332	0	0	89	243	0
Precinct 9511/9509 - None	98	33	32	1,314	228	0	0	65	163	0
Precinct 9511/9509 - None	219	44	21	1,314	382	0	1	97	284	0
Precinct 9511/9509	317	77	53	1,314	610	0	1	162	447	0
Precinct 9512/9508 - None	116	37	23	1,544	231	0	0	55	176	0
Precinct 9512/9508 - None	267	67	27	1,544	489	0	2	126	361	0
Precinct 9512/9508	383	104	50	1,544	720	0	2	181	537	0
Precinct 9513 - None	84	28	12	872	161	0	1	36	124	0
Precinct 9513 - None	125	29	18	872	243	0	1	70	172	0
Precinct 9513	209	57	30	872	404	0	2	106	296	0
Precinct 9514/9522 - None	86	22	13	888	157	0	0	36	121	0
Precinct 9514/9522 - None	166	32	13	888	270	0	0	59	211	0
Precinct 9514/9522	252	54	26	888	427	0	0	95	332	0
Precinct 9516/9515 - None	145	41	26	1,579	275	0	0	63	212	0
Precinct 9516/9515 - None	295	49	21	1,579	486	0	0	121	365	0
Precinct 9516/9515	440	90	47	1,579	761	0	0	184	577	0
Precinct 9517/9518 - None	127	38	25	1,554	252	0	1	61	190	0
Precinct 9517/9518 - None	287	60	22	1,554	484	0	3	112	369	0
Precinct 9517/9518	414	98	47	1,554	736	0	4	173	559	0
Precinct 9519 - None	71	21	13	882	148	0	1	42	105	0
Precinct 9519 - None	182	33	14	882	305	0	0	76	229	0
Precinct 9519	253	54	27	882	453	0	1	118	334	0
Precinct 9521 - None	106	29	10	870	182	0	1	36	145	0
Precinct 9521 - None	181	32	15	870	295	0	0	67	228	0
Precinct 9521	287	61	25	870	477	0	1	103	373	0
Precinct 9701 - None	72	16	9	652	122	0	0	25	97	0
Precinct 9701 - None	114	17	9	652	183	0	1	42	140	0
Precinct 9701	186	33	18	652	305	0	1	67	237	0
Precinct 9702 - None	56	18	17	709	121	0	1	29	91	0
Precinct 9702 - None	112	18	15	709	210	0	0	65	145	0
Precinct 9702	168	36	32	709	331	0	1	94	236	0
Precinct 9703 - None	69	21	10	981	120	0	1	19	100	0
Precinct 9703 - None	241	22	16	981	330	0	0	51	279	0
Precinct 9703	310	43	26	981	450	0	1	70	379	0
Precinct 9704 - None	83	13	12	946	133	0	0	25	108	0
Precinct 9704 - None	218	40	25	946	337	0	1	53	283	0
Precinct 9704	301	53	37	946	470	0	1	78	391	0
Precinct 9705/9708 - None	163	39	17	1,865	274	0	0	55	219	0
Precinct 9705/9708 - None	380	60	45	1,865	610	0	2	123	485	0
Precinct 9705/9708	543	99	62	1,865	884	0	2	178	704	0
Precinct 9706 MB - None	0	0	0	48	0	0	0	0	0	0
Precinct 9706 MB - None	14	2	0	48	20	0	0	4	16	0
Precinct 9706 MB	14	2	0	48	20	0	0	4	16	0
Precinct 9709 - None	60	15	11	1,021	108	0	0	22	86	0
Precinct 9709 - None	217	35	22	1,021	338	0	0	64	274	0
Precinct 9709	277	50	33	1,021	446	0	0	86	360	0
Precinct 9711/9707 - None	134	30	22	1,433	222	0	0	36	186	0
Precinct 9711/9707 - None	357	51	42	1,433	529	0	0	79	450	0
Precinct 9711/9707	491	81	64	1,433	751	0	0	115	636	0
Precinct 9712/9715 - None	125	21	12	1,237	190	0	1	31	158	0
Precinct 9712/9715 - None	290	41	25	1,237	463	0	1	106	356	0
Precinct 9712/9715	415	62	37	1,237	653	0	2	137	514	0
Precinct 9716 - None	69	23	10	951	134	0	0	32	102	0
Precinct 9716 - None	221	34	16	951	324	0	2	51	271	0
Precinct 9716	290	57	26	951	458	0	2	83	373	0
Precinct 9717/9713 - None	135	24	31	1,917	224	0	0	34	190	0
Precinct 9717/9713 - None	413	61	44	1,917	611	0	0	93	518	0
Precinct 9717/9713	548	85	75	1,917	835	0	0	127	708	0
Precinct 9718/9714 - None	158	38	28	1,833	277	0	0	53	224	0
Precinct 9718/9714 - None	425	76	51	1,833	703	0	4	147	552	0
Precinct 9718/9714	583	114	79	1,833	980	0	4	200	776	0
Precinct 9719 - None	74	25	13	910	135	0	0	23	112	0
Precinct 9719 - None	235	21	26	910	349	0	0	67	282	0
Precinct 9719	309	46	39	910	484	0	0	90	394	0
Precinct 9721 - None	88	12	9	660	128	0	0	19	109	0
Precinct 9721 - None	158	24	22	660	251	0	1	46	204	0
Precinct 9721	246	36	31	660	379	0	1	65	313	0
Precinct 9722 - None	37	12	5	587	70	0	0	16	54	0
Precinct 9722 - None	153	28	29	587	245	0	0	35	210	0
Precinct 9722	190	40	34	587	315	0	0	51	264	0
Precinct 9723 - None	25	4	5	505	38	0	0	4	34	0
Precinct 9723 - None	127	17	14	505	186	0	0	28	158	0
Precinct 9723	152	21	19	505	224	0	0	32	192	0
Precinct 9724 - None	67	12	7	1,003	100	0	0	14	86	0
Precinct 9724 - None	237	41	26	1,003	380	0	0	76	304	0
Precinct 9724	304	53	33	1,003	480	0	0	90	390	0
Precinct 9725 - None	58	7	6	965	88	0	0	17	71	0
Precinct 9725 - None	211	19	19	965	325	0	0	76	249	0
Precinct 9725	269	26	25	965	413	0	0	93	320	0
Precinct 9726 - None	37	20	7	621	74	0	0	10	64	0
Precinct 9726 - None	73	21	8	621	127	0	1	24	102	0
Precinct 9726	110	41	15	621	201	0	1	34	166	0
Precinct 9727 - None	31	8	4	453	51	0	1	7	43	0
Precinct 9727 - None	107	6	19	453	163	0	1	30	132	0
Precinct 9727	138	14	23	453	214	0	2	37	175	0
Precinct 9728/9746 - None	159	29	37	1,829	272	0	2	45	225	0
Precinct 9728/9746 - None	361	71	53	1,829	616	0	2	129	485	0
Precinct 9728/9746	520	100	90	1,829	888	0	4	174	710	0
Precinct 9729 - None	72	8	10	809	105	0	0	15	90	0
Precinct 9729 - None	208	36	18	809	316	0	0	54	262	0
Precinct 9729	280	44	28	809	421	0	0	69	352	0
Precinct 9731 - None	45	12	15	572	77	0	0	5	72	0
Precinct 9731 - None	124	13	16	572	190	0	1	36	153	0
Precinct 9731	169	25	31	572	267	0	1	41	225	0
Precinct 9732 MB - None	0	0	0	71	0	0	0	0	0	0
Precinct 9732 MB - None	22	10	3	71	39	0	0	4	35	0
Precinct 9732 MB	22	10	3	71	39	0	0	4	35	0
Precinct 9733 MB - None	2	1	1	235	5	0	0	1	4	0
Precinct 9733 MB - None	67	17	7	235	115	0	0	24	91	0
Precinct 9733 MB	69	18	8	235	120	0	0	25	95	0
Precinct 9734/9735 - None	112	33	10	1,389	188	0	0	33	155	0
Precinct 9734/9735 - None	356	56	35	1,389	534	0	0	87	447	0
Precinct 9734/9735	468	89	45	1,389	722	0	0	120	602	0
Precinct 9737/9736 - None	111	33	18	1,518	204	0	0	42	162	0
Precinct 9737/9736 - None	326	71	54	1,518	574	0	2	121	451	0
Precinct 9737/9736	437	104	72	1,518	778	0	2	163	613	0
Precinct 9738 - None	24	8	3	813	48	0	0	13	35	0
Precinct 9738 - None	135	31	34	813	229	0	1	28	200	0
Precinct 9738	159	39	37	813	277	0	1	41	235	0
Precinct 9739 - None	37	18	7	768	69	0	0	7	62	0
Precinct 9739 - None	98	21	27	768	177	0	3	28	146	0
Precinct 9739	135	39	34	768	246	0	3	35	208	0
Precinct 9741 - None	24	20	2	497	65	0	0	19	46	0
Precinct 9741 - None	9	10	2	497	25	0	0	4	21	0
Precinct 9741	33	30	4	497	90	0	0	23	67	0
Precinct 9742 - None	44	19	18	679	95	0	0	14	81	0
Precinct 9742 - None	102	9	14	679	153	0	1	27	125	0
Precinct 9742	146	28	32	679	248	0	1	41	206	0
Precinct 9743 - None	65	21	13	1,138	122	0	0	23	99	0
Precinct 9743 - None	179	40	29	1,138	297	0	3	46	248	0
Precinct 9743	244	61	42	1,138	419	0	3	69	347	0
Precinct 9744 - None	56	25	7	907	112	0	0	24	88	0
Precinct 9744 - None	107	31	22	907	205	0	1	44	160	0
Precinct 9744	163	56	29	907	317	0	1	68	248	0
Precinct 9745 - None	43	21	22	973	109	0	0	23	86	0
Precinct 9745 - None	126	39	23	973	212	0	2	22	188	0
Precinct 9745	169	60	45	973	321	0	2	45	274	0
Precinct 9748 - None	60	10	13	910	98	0	0	15	83	0
Precinct 9748 - None	199	40	18	910	313	0	2	54	257	0
Precinct 9748	259	50	31	910	411	0	2	69	340	0
Precinct 9749/9747 - None	125	37	20	1,871	214	0	0	32	182	0
Precinct 9749/9747 - None	314	60	24	1,871	491	0	1	92	398	0
Precinct 9749/9747	439	97	44	1,871	705	0	1	124	580	0
Precinct 9751 - None	71	23	25	1,038	136	0	0	17	119	0
Precinct 9751 - None	225	43	19	1,038	353	0	1	65	287	0
Precinct 9751	296	66	44	1,038	489	0	1	82	406	0
Precinct 9752 - None	43	15	10	696	90	0	0	22	68	0
Precinct 9752 - None	159	32	21	696	267	0	1	54	212	0
Precinct 9752	202	47	31	696	357	0	1	76	280	0
Precinct 9753 - None	49	14	15	764	93	0	0	15	78	0
Precinct 9753 - None	137	35	22	764	239	0	1	44	194	0
Precinct 9753	186	49	37	764	332	0	1	59	272	0
Precinct 9754 - None	55	26	15	686	111	0	1	14	96	0
Precinct 9754 - None	160	35	20	686	241	0	0	26	215	0
Precinct 9754	215	61	35	686	352	0	1	40	311	0
Precinct 9755 - None	40	10	10	567	76	0	0	16	60	0
Precinct 9755 - None	113	22	10	567	170	0	0	25	145	0
Precinct 9755	153	32	20	567	246	0	0	41	205	0
Precinct 9756 - None	39	10	6	940	69	0	0	14	55	0
Precinct 9756 - None	185	29	13	940	267	0	3	37	227	0
Precinct 9756	224	39	19	940	336	0	3	51	282	0
Precinct 9801 - None	26	11	3	404	51	0	0	11	40	0
Precinct 9801 - None	88	17	7	404	135	0	1	22	112	0
Precinct 9801	114	28	10	404	186	0	1	33	152	0
Precinct 9900 MB - None	0	0	0	0	0	0	0	0	0	0
Precinct 9900 MB - None	0	0	0	0	0	0	0	0	0	0
Precinct 9900 MB	0	0	0	0	0	0	0	0	0	0
Precinct 9901 MB - None	0	0	0	0	0	0	0	0	0	0
Precinct 9901 MB - None	0	0	0	0	0	0	0	0	0	0
Precinct 9901 MB	0	0	0	0	0	0	0	0	0	0
Precinct 9902 MB - None	0	0	0	0	0	0	0	0	0	0
Precinct 9902 MB - None	0	0	0	0	0	0	0	0	0	0
Precinct 9902 MB	0	0	0	0	0	0	0	0	0	0
Congressional District 12 - None	28,134	8,457	5,529	437,850	53,402	0	90	11,192	42,120	0
Congressional District 12 - None	79,082	14,346	9,795	437,850	129,637	0	462	25,952	103,223	0
Congressional District 12	107,216	22,803	15,324	437,850	183,039	0	552	37,144	145,343	0
Congressional District 14 - None	3,218	1,059	690	57,200	6,017	0	14	1,036	4,967	0
Congressional District 14 - None	10,720	2,174	1,381	57,200	17,289	0	73	2,941	14,275	0
Congressional District 14	13,938	3,233	2,071	57,200	23,306	0	87	3,977	19,242	0
Assembly District 17 - None	18,022	5,543	3,816	287,476	34,948	0	67	7,500	27,381	0
Assembly District 17 - None	51,452	9,472	6,701	287,476	85,060	0	327	17,108	67,625	0
Assembly District 17	69,474	15,015	10,517	287,476	120,008	0	394	24,608	95,006	0
Assembly District 19 - None	13,330	3,973	2,403	207,574	24,471	0	37	4,728	19,706	0
Assembly District 19 - None	38,350	7,048	4,475	207,574	61,866	0	208	11,785	49,873	0
Assembly District 19	51,680	11,021	6,878	207,574	86,337	0	245	16,513	69,579	0
Supervisorial District 1 - None	2,977	837	558	42,447	5,465	0	1	1,092	4,372	0
Supervisorial District 1 - None	7,821	1,316	958	42,447	12,584	0	41	2,448	10,095	0
Supervisorial District 1	10,798	2,153	1,516	42,447	18,049	0	42	3,540	14,467	0
Supervisorial District 2 - None	2,867	913	419	49,361	5,274	0	9	1,066	4,199	0
Supervisorial District 2 - None	8,244	1,752	951	49,361	13,967	0	41	2,979	10,947	0
Supervisorial District 2	11,111	2,665	1,370	49,361	19,241	0	50	4,045	15,146	0
Supervisorial District 3 - None	2,106	562	471	38,836	3,913	0	6	768	3,139	0
Supervisorial District 3 - None	6,734	1,129	931	38,836	10,920	0	48	2,078	8,794	0
Supervisorial District 3	8,840	1,691	1,402	38,836	14,833	0	54	2,846	11,933	0
Supervisorial District 4 - None	2,803	802	471	43,341	5,029	0	7	946	4,076	0
Supervisorial District 4 - None	8,391	1,341	887	43,341	13,036	0	46	2,371	10,619	0
Supervisorial District 4	11,194	2,143	1,358	43,341	18,065	0	53	3,317	14,695	0
Supervisorial District 5 - None	4,256	1,319	733	51,976	8,351	0	17	2,026	6,308	0
Supervisorial District 5 - None	9,668	1,877	1,025	51,976	16,423	0	54	3,799	12,570	0
Supervisorial District 5	13,924	3,196	1,758	51,976	24,774	0	71	5,825	18,878	0
Supervisorial District 6 - None	1,622	563	485	42,510	3,311	0	11	630	2,670	0
Supervisorial District 6 - None	6,534	1,269	1,117	42,510	11,034	0	67	2,047	8,920	0
Supervisorial District 6	8,156	1,832	1,602	42,510	14,345	0	78	2,677	11,590	0
Supervisorial District 7 - None	3,459	933	645	46,757	6,126	0	9	1,080	5,037	0
Supervisorial District 7 - None	9,897	1,684	1,175	46,757	15,630	0	45	2,829	12,756	0
Supervisorial District 7	13,356	2,617	1,820	46,757	21,756	0	54	3,909	17,793	0
Supervisorial District 8 - None	4,878	1,430	838	57,103	9,078	0	10	1,922	7,146	0
Supervisorial District 8 - None	11,954	2,138	1,366	57,103	19,840	0	43	4,339	15,458	0
Supervisorial District 8	16,832	3,568	2,204	57,103	28,918	0	53	6,261	22,604	0
Supervisorial District 9 - None	2,835	891	658	42,539	5,866	0	8	1,474	4,384	0
Supervisorial District 9 - None	7,206	1,353	1,011	42,539	12,113	0	52	2,491	9,570	0
Supervisorial District 9	10,041	2,244	1,669	42,539	17,979	0	60	3,965	13,954	0
Supervisorial District 10 - None	1,897	583	491	42,195	3,620	0	14	635	2,971	0
Supervisorial District 10 - None	6,883	1,159	866	42,195	10,772	0	43	1,821	8,908	0
Supervisorial District 10	8,780	1,742	1,357	42,195	14,392	0	57	2,456	11,879	0
Supervisorial District 11 - None	1,652	683	450	37,985	3,386	0	12	589	2,785	0
Supervisorial District 11 - None	6,470	1,502	889	37,985	10,607	0	55	1,691	8,861	0
Supervisorial District 11	8,122	2,185	1,339	37,985	13,993	0	67	2,280	11,646	0
Bayview/Hunters Point - None	782	265	279	20,194	1,583	0	6	251	1,326	0
Bayview/Hunters Point - None	2,934	534	457	20,194	4,617	0	28	664	3,925	0
